<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFT.US,5,20210922,153000,15.73,15.7376,15.73,15.7376,3670,0
AFT.US,5,20210922,153500,15.75,15.75,15.75,15.75,127,0
AFT.US,5,20210922,154000,15.74,15.7462,15.74,15.7462,1090,0
AFT.US,5,20210922,155000,15.75,15.75,15.75,15.75,300,0
AFT.US,5,20210922,160000,15.75,15.77,15.75,15.77,1700,0
AFT.US,5,20210922,160500,15.77,15.77,15.76,15.76,200,0
AFT.US,5,20210922,161000,15.75,15.76,15.75,15.75,600,0
AFT.US,5,20210922,163000,15.71,15.73,15.71,15.71,4597,0
AFT.US,5,20210922,164500,15.71,15.71,15.71,15.71,1835,0
AFT.US,5,20210922,171000,15.71,15.71,15.71,15.71,1200,0
AFT.US,5,20210922,172500,15.7097,15.71,15.705,15.705,2352,0
AFT.US,5,20210922,175500,15.71,15.71,15.71,15.71,2300,0
AFT.US,5,20210922,180500,15.71,15.71,15.7,15.7,2490,0
AFT.US,5,20210922,183000,15.705,15.705,15.705,15.705,1920,0
AFT.US,5,20210922,184000,15.71,15.74,15.7096,15.7096,1069,0
AFT.US,5,20210922,184500,15.7,15.725,15.7,15.7,1100,0
AFT.US,5,20210922,192000,15.6853,15.6853,15.6853,15.6853,1500,0
AFT.US,5,20210922,192500,15.6977,15.6977,15.6977,15.6977,114,0
AFT.US,5,20210922,193500,15.7,15.71,15.6997,15.71,1400,0
AFT.US,5,20210922,195000,15.71,15.71,15.71,15.71,300,0
AFT.US,5,20210922,195500,15.71,15.71,15.7067,15.7067,500,0
AFT.US,5,20210922,200000,15.74,15.74,15.735,15.7352,5200,0
AFT.US,5,20210922,200500,15.74,15.74,15.74,15.74,10100,0
AFT.US,5,20210922,201000,15.7,15.7,15.7,15.7,4782,0
AFT.US,5,20210922,210000,15.7,15.7,15.7,15.7,1000,0
AFT.US,5,20210922,210500,15.7,15.7,15.7,15.7,231,0
AFT.US,5,20210922,213000,15.7,15.7,15.7,15.7,1980,0
AFT.US,5,20210922,213500,15.6951,15.6951,15.6951,15.6951,3795,0
