<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGFY.US,5,20210922,153000,23.49,23.71,23.35,23.71,32049,0
AGFY.US,5,20210922,153500,23.94,23.97,23.71,23.91,16264,0
AGFY.US,5,20210922,154000,23.9,23.9,23.52,23.52,16623,0
AGFY.US,5,20210922,154500,23.51,23.6234,23.45,23.54,7936,0
AGFY.US,5,20210922,155000,23.54,23.72,23.445,23.61,51588,0
AGFY.US,5,20210922,155500,23.63,23.66,23.33,23.45,43724,0
AGFY.US,5,20210922,160000,23.46,23.5,22.84,22.8643,43567,0
AGFY.US,5,20210922,160500,23.03,23.03,22.7056,22.74,8553,0
AGFY.US,5,20210922,161000,22.75,23.09,22.75,23.06,3043,0
AGFY.US,5,20210922,161500,22.99,23.19,22.9,23.03,7320,0
AGFY.US,5,20210922,162000,22.96,23.13,22.75,22.8,16148,0
AGFY.US,5,20210922,162500,22.89,22.955,22.89,22.955,7145,0
AGFY.US,5,20210922,163000,23.02,23.1,22.91,23.01,9982,0
AGFY.US,5,20210922,163500,23.0001,23.0601,23.0001,23.0601,3187,0
AGFY.US,5,20210922,164000,23.09,23.2,23.08,23.12,3735,0
AGFY.US,5,20210922,164500,23.13,23.2,23.13,23.2,720,0
AGFY.US,5,20210922,165000,23.14,23.2,23.08,23.15,6949,0
AGFY.US,5,20210922,165500,23.16,23.24,22.93,23.01,18191,0
AGFY.US,5,20210922,170000,22.92,23.111,22.82,23.08,17294,0
AGFY.US,5,20210922,170500,23.09,23.2,23.04,23.04,8330,0
AGFY.US,5,20210922,171000,23.0606,23.12,22.99,23.1,3849,0
AGFY.US,5,20210922,171500,23.12,23.15,23.08,23.08,10164,0
AGFY.US,5,20210922,172000,23.07,23.21,23.03,23.1,18809,0
AGFY.US,5,20210922,172500,23.07,23.12,23,23.055,5876,0
AGFY.US,5,20210922,173000,23.02,23.52,23,23.51,25850,0
AGFY.US,5,20210922,173500,23.52,23.52,23.25,23.37,12463,0
AGFY.US,5,20210922,174000,23.46,23.5,23.31,23.4,7639,0
AGFY.US,5,20210922,174500,23.33,23.44,23.22,23.29,22856,0
AGFY.US,5,20210922,175000,23.26,23.34,23.11,23.11,3002,0
AGFY.US,5,20210922,175500,23.18,23.18,23.11,23.14,400,0
AGFY.US,5,20210922,180000,23.13,23.16,23.13,23.1599,1075,0
AGFY.US,5,20210922,180500,23.11,23.135,23.11,23.13,1571,0
AGFY.US,5,20210922,181000,23.075,23.075,22.99,23,1133,0
AGFY.US,5,20210922,181500,23.04,23.06,23.04,23.04,912,0
AGFY.US,5,20210922,182000,23.1799,23.1799,23.1799,23.1799,1500,0
AGFY.US,5,20210922,182500,23.11,23.11,23.105,23.105,200,0
AGFY.US,5,20210922,183000,23.16,23.18,23.15,23.18,450,0
