<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALIT-WS.US,5,20210922,153000,3.07,3.3,2.9,3.24,12934,0
ALIT-WS.US,5,20210922,154000,3.2,3.2,3.19,3.19,1915,0
ALIT-WS.US,5,20210922,154500,3.16,3.16,3.16,3.16,1096,0
ALIT-WS.US,5,20210922,155000,3.11,3.11,3.1,3.11,1180,0
ALIT-WS.US,5,20210922,155500,3.1,3.1,3.1,3.1,1051,0
ALIT-WS.US,5,20210922,162500,3.05,3.05,3.05,3.05,317,0
ALIT-WS.US,5,20210922,163000,3.07,3.07,3.07,3.07,266,0
ALIT-WS.US,5,20210922,164000,3.07,3.07,3.07,3.07,624,0
ALIT-WS.US,5,20210922,164500,3.12,3.12,3.11,3.11,900,0
ALIT-WS.US,5,20210922,170500,3.13,3.19,3.13,3.19,481,0
ALIT-WS.US,5,20210922,171000,3.12,3.12,3.12,3.12,500,0
ALIT-WS.US,5,20210922,171500,3.12,3.12,3.12,3.12,485,0
ALIT-WS.US,5,20210922,172000,3.1669,3.1669,3.1669,3.1669,334,0
ALIT-WS.US,5,20210922,205000,3.1,3.1,3.1,3.1,300,0
ALIT-WS.US,5,20210922,210500,3.05,3.05,3.05,3.05,800,0
ALIT-WS.US,5,20210922,212000,3.0601,3.0601,2.9,3.06,35019,0
ALIT-WS.US,5,20210922,212500,3.06,3.07,3.06,3.06,3917,0
ALIT-WS.US,5,20210922,213000,3.05,3.06,3.05,3.06,4014,0
ALIT-WS.US,5,20210922,213500,3.08,3.08,3.08,3.08,200,0
ALIT-WS.US,5,20210922,214000,3.09,3.1,3.09,3.1,816,0
ALIT-WS.US,5,20210922,214500,3.1099,3.11,3.1099,3.11,2000,0
ALIT-WS.US,5,20210922,215000,3.11,3.11,3.08,3.08,1200,0
ALIT-WS.US,5,20210922,215500,3.09,3.1,3.09,3.1,332,0
ALIT-WS.US,5,20210923,153000,3.05,3.05,3.05,3.05,200,0
ALIT-WS.US,5,20210923,153500,3.12,3.12,3.11,3.11,679,0
ALIT-WS.US,5,20210923,160000,3.15,3.19,3.15,3.19,4594,0
ALIT-WS.US,5,20210923,175500,3.09,3.09,3.09,3.09,200,0
ALIT-WS.US,5,20210923,180000,3.0901,3.0901,3.0901,3.0901,100,0
ALIT-WS.US,5,20210923,181500,3.13,3.14,3.13,3.14,1891,0
ALIT-WS.US,5,20210923,192000,3.09,3.09,3.09,3.09,185,0
ALIT-WS.US,5,20210923,194500,3.12,3.12,3.12,3.12,200,0
ALIT-WS.US,5,20210923,201000,3.16,3.16,3.16,3.16,910,0
ALIT-WS.US,5,20210923,215500,3.1,3.1,3.1,3.1,500,0
ALIT-WS.US,5,20210924,153500,3.05,3.05,3.05,3.05,2971,0
ALIT-WS.US,5,20210924,154000,3.11,3.11,3.11,3.11,185,0
ALIT-WS.US,5,20210924,160000,3.12,3.12,3.12,3.12,850,0
ALIT-WS.US,5,20210924,160500,3.13,3.13,3.12,3.12,10210,0
ALIT-WS.US,5,20210924,161000,3.12,3.13,3.11,3.13,8900,0
ALIT-WS.US,5,20210924,161500,3.21,3.22,3.21,3.22,10557,0
ALIT-WS.US,5,20210924,172000,3.22,3.22,3.22,3.22,500,0
ALIT-WS.US,5,20210924,200500,3.1301,3.1435,3.092,3.092,5009,0
ALIT-WS.US,5,20210924,204000,3.12,3.17,3.12,3.17,700,0
ALIT-WS.US,5,20210927,153000,3.26,3.26,3.26,3.26,100,0
ALIT-WS.US,5,20210927,155500,3.2,3.2,3.2,3.2,200,0
ALIT-WS.US,5,20210927,160500,3.22,3.22,3.2,3.2,4945,0
ALIT-WS.US,5,20210927,163500,3.2,3.2,3.2,3.2,5234,0
ALIT-WS.US,5,20210927,174000,3.18,3.18,3.18,3.18,1156,0
