<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AOUT.US,5,20210922,153000,25.1,25.1,25.1,25.1,1968,0
AOUT.US,5,20210922,153500,24.89,25.12,24.89,25.045,3450,0
AOUT.US,5,20210922,154000,24.98,24.98,24.83,24.83,300,0
AOUT.US,5,20210922,154500,24.645,24.84,24.53,24.84,1500,0
AOUT.US,5,20210922,155000,24.91,24.93,24.68,24.8423,2668,0
AOUT.US,5,20210922,155500,25,25,25,25,262,0
AOUT.US,5,20210922,160000,24.73,24.78,24.73,24.78,200,0
AOUT.US,5,20210922,160500,24.825,24.825,24.745,24.745,200,0
AOUT.US,5,20210922,161000,24.82,24.82,24.82,24.82,100,0
AOUT.US,5,20210922,161500,24.831,25.0173,24.831,24.965,1205,0
AOUT.US,5,20210922,162000,24.965,24.965,24.895,24.965,1021,0
AOUT.US,5,20210922,162500,24.91,24.98,24.91,24.925,14700,0
AOUT.US,5,20210922,163000,24.925,24.925,24.845,24.845,1650,0
AOUT.US,5,20210922,163500,24.835,24.93,24.815,24.815,900,0
AOUT.US,5,20210922,164000,24.815,24.815,24.815,24.815,300,0
AOUT.US,5,20210922,164500,24.9,24.9,24.82,24.82,200,0
AOUT.US,5,20210922,165000,24.89,25.0394,24.89,25.01,1200,0
AOUT.US,5,20210922,165500,25.09,25.09,25.005,25.005,516,0
AOUT.US,5,20210922,170000,25.005,25.005,24.9983,24.9983,375,0
AOUT.US,5,20210922,170500,25.06,25.09,25.06,25.085,1190,0
AOUT.US,5,20210922,171000,25.095,25.095,25.095,25.095,100,0
AOUT.US,5,20210922,171500,25.2,25.2,25.2,25.2,2500,0
AOUT.US,5,20210922,172000,25.31,25.31,25.2,25.2,300,0
AOUT.US,5,20210922,172500,25.278,25.278,25.278,25.278,200,0
AOUT.US,5,20210922,173000,25.3,25.3,25.185,25.185,400,0
AOUT.US,5,20210922,173500,25.2,25.2,25.2,25.2,100,0
AOUT.US,5,20210922,174000,25.22,25.22,25.22,25.22,100,0
AOUT.US,5,20210922,174500,25.131,25.131,24.97,25.05,900,0
AOUT.US,5,20210922,175000,25.05,25.13,25.05,25.05,567,0
AOUT.US,5,20210922,175500,25.11,25.11,25.11,25.11,100,0
AOUT.US,5,20210922,180500,25.06,25.13,25.06,25.13,300,0
AOUT.US,5,20210922,181500,25.06,25.06,25.055,25.055,300,0
AOUT.US,5,20210922,182000,25.055,25.055,25.055,25.055,100,0
AOUT.US,5,20210922,182500,25.0613,25.0613,25.0613,25.0613,500,0
AOUT.US,5,20210922,183000,25.05,25.11,25.05,25.11,723,0
AOUT.US,5,20210922,183500,25.11,25.19,25.11,25.1416,800,0
AOUT.US,5,20210922,184000,25.15,25.15,25.15,25.15,830,0
AOUT.US,5,20210922,185500,25.08,25.135,25.08,25.135,773,0
AOUT.US,5,20210922,190000,25.135,25.135,25.135,25.135,100,0
AOUT.US,5,20210922,190500,25.065,25.065,25.065,25.065,100,0
AOUT.US,5,20210922,191000,25.06,25.061,25.0127,25.0127,800,0
AOUT.US,5,20210922,191500,25.005,25.13,25.005,25.07,500,0
AOUT.US,5,20210922,192000,25.1,25.1,25.1,25.1,100,0
AOUT.US,5,20210922,192500,25.17,25.17,25.17,25.17,100,0
AOUT.US,5,20210922,193000,25.19,25.19,25.17,25.19,596,0
AOUT.US,5,20210922,194000,25.22,25.22,25.22,25.22,239,0
AOUT.US,5,20210922,194500,25.215,25.215,25.16,25.16,400,0
AOUT.US,5,20210922,195000,25.205,25.205,25.13,25.13,500,0
AOUT.US,5,20210922,195500,25.13,25.13,25.13,25.13,100,0
AOUT.US,5,20210922,200000,25.135,25.255,25.135,25.175,2289,0
AOUT.US,5,20210922,200500,25.34,25.34,25.25,25.34,1600,0
AOUT.US,5,20210922,201000,25.31,25.31,25.31,25.31,100,0
AOUT.US,5,20210922,201500,25.36,25.39,25.305,25.34,800,0
AOUT.US,5,20210922,202000,25.2851,25.2851,25.24,25.24,5200,0
AOUT.US,5,20210922,202500,25.32,25.35,25.32,25.35,300,0
AOUT.US,5,20210922,203000,25.37,25.4,25.35,25.36,3440,0
AOUT.US,5,20210922,203500,25.365,25.44,25.36,25.3618,4523,0
AOUT.US,5,20210922,204000,25.37,25.39,25.31,25.31,1936,0
AOUT.US,5,20210922,205000,25.26,25.26,25.151,25.21,2590,0
AOUT.US,5,20210922,205500,25.175,25.21,25.175,25.21,522,0
AOUT.US,5,20210922,210000,25.1628,25.2,25.15,25.2,1000,0
AOUT.US,5,20210922,210500,25.1,25.14,25.1,25.1119,900,0
AOUT.US,5,20210922,211000,25.16,25.16,25.16,25.16,300,0
AOUT.US,5,20210922,211500,25.095,25.095,25.095,25.095,100,0
