<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARCH.US,5,20210922,153000,78.49,79.5,78.43,79.25,6927,0
ARCH.US,5,20210922,153500,79.015,79.66,78.4,78.81,2149,0
ARCH.US,5,20210922,154000,79.4,79.82,79.4,79.51,2755,0
ARCH.US,5,20210922,154500,79.57,79.73,79.27,79.27,1200,0
ARCH.US,5,20210922,155000,79.405,80.22,79.405,79.87,1800,0
ARCH.US,5,20210922,155500,79.84,80,79.21,79.88,3100,0
ARCH.US,5,20210922,160000,79.9,79.9,79.06,79.06,1910,0
ARCH.US,5,20210922,160500,79.34,79.34,78.37,78.47,1300,0
ARCH.US,5,20210922,161000,78.55,78.55,78.23,78.23,2608,0
ARCH.US,5,20210922,161500,78.5,78.88,78.5,78.75,2163,0
ARCH.US,5,20210922,162000,78.885,78.885,78.28,78.44,1700,0
ARCH.US,5,20210922,162500,78.61,78.62,78.16,78.46,2027,0
ARCH.US,5,20210922,163000,78.48,78.76,78.36,78.76,2502,0
ARCH.US,5,20210922,163500,78.855,79.5,78.855,79.5,6500,0
ARCH.US,5,20210922,164000,79.6499,79.6499,79.27,79.27,3100,0
ARCH.US,5,20210922,164500,79.16,79.35,79.15,79.3,4290,0
ARCH.US,5,20210922,165000,79.42,79.62,79.19,79.28,3202,0
ARCH.US,5,20210922,165500,79.275,79.64,79.17,79.64,2702,0
ARCH.US,5,20210922,170000,79.58,79.635,79.47,79.6,852,0
ARCH.US,5,20210922,170500,79.52,79.655,79.21,79.21,2876,0
ARCH.US,5,20210922,171000,79.47,79.47,79.34,79.43,900,0
ARCH.US,5,20210922,171500,79.44,79.55,79.17,79.55,1500,0
ARCH.US,5,20210922,172000,79.48,79.69,79.44,79.69,16600,0
ARCH.US,5,20210922,172500,79.785,79.855,79.64,79.65,3266,0
ARCH.US,5,20210922,173000,79.66,79.69,79.62,79.69,1214,0
ARCH.US,5,20210922,173500,79.705,79.78,79.52,79.57,2600,0
ARCH.US,5,20210922,174000,79.78,79.78,79.55,79.69,6200,0
ARCH.US,5,20210922,174500,79.59,79.7473,79.59,79.63,1850,0
ARCH.US,5,20210922,175000,79.69,79.875,79.43,79.465,29842,0
ARCH.US,5,20210922,175500,79.48,79.765,79.48,79.65,700,0
ARCH.US,5,20210922,180000,79.72,79.72,79.455,79.51,1800,0
ARCH.US,5,20210922,180500,79.43,79.57,79.37,79.57,1400,0
ARCH.US,5,20210922,181000,79.42,79.5879,79.39,79.41,1080,0
ARCH.US,5,20210922,181500,79.56,79.61,79.4,79.465,1787,0
ARCH.US,5,20210922,182000,79.67,79.67,79.45,79.45,600,0
ARCH.US,5,20210922,182500,79.45,79.51,79.4,79.51,812,0
ARCH.US,5,20210922,183000,79.58,79.58,79.48,79.48,300,0
ARCH.US,5,20210922,183500,79.46,79.55,79.38,79.485,2250,0
ARCH.US,5,20210922,184000,79.4,79.52,79.39,79.475,2588,0
ARCH.US,5,20210922,184500,79.54,79.6199,79.47,79.56,1700,0
ARCH.US,5,20210922,185000,79.53,79.74,79.43,79.49,2533,0
ARCH.US,5,20210922,185500,79.49,79.6,79.49,79.5,600,0
ARCH.US,5,20210922,190000,79.49,79.5,79.49,79.49,300,0
ARCH.US,5,20210922,190500,79.58,79.58,79.45,79.51,1100,0
ARCH.US,5,20210922,191000,79.45,79.6,79.42,79.565,1200,0
ARCH.US,5,20210922,191500,79.5,79.57,79.5,79.53,900,0
ARCH.US,5,20210922,192000,79.46,79.599,79.4301,79.599,2311,0
ARCH.US,5,20210922,192500,79.6684,79.6684,79.43,79.5,1425,0
ARCH.US,5,20210922,193000,79.52,79.6,79.4959,79.4959,1180,0
ARCH.US,5,20210922,193500,79.5,79.625,79.44,79.54,3227,0
ARCH.US,5,20210922,194000,79.5,79.57,79.44,79.47,2525,0
ARCH.US,5,20210922,194500,79.445,79.51,79.445,79.495,800,0
