<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASPU.US,5,20210922,153000,5.7,5.7,5.6,5.62,3194,0
ASPU.US,5,20210922,153500,5.62,5.62,5.605,5.605,2130,0
ASPU.US,5,20210922,154000,5.62,5.62,5.59,5.6,1564,0
ASPU.US,5,20210922,154500,5.6,5.67,5.6,5.67,4340,0
ASPU.US,5,20210922,155000,5.67,5.67,5.67,5.67,100,0
ASPU.US,5,20210922,155500,5.64,5.64,5.62,5.62,900,0
ASPU.US,5,20210922,160000,5.62,5.62,5.62,5.62,400,0
ASPU.US,5,20210922,161000,5.655,5.655,5.6,5.6138,2603,0
ASPU.US,5,20210922,161500,5.61,5.61,5.61,5.61,100,0
ASPU.US,5,20210922,162000,5.62,5.62,5.62,5.62,100,0
ASPU.US,5,20210922,162500,5.595,5.595,5.595,5.595,100,0
ASPU.US,5,20210922,163000,5.6,5.62,5.6,5.6,800,0
ASPU.US,5,20210922,163500,5.5901,5.5901,5.575,5.575,500,0
ASPU.US,5,20210922,165500,5.59,5.63,5.59,5.62,3125,0
ASPU.US,5,20210922,170000,5.63,5.63,5.63,5.63,2000,0
ASPU.US,5,20210922,170500,5.61,5.61,5.61,5.61,1000,0
ASPU.US,5,20210922,171000,5.645,5.72,5.645,5.72,3963,0
ASPU.US,5,20210922,171500,5.705,5.72,5.705,5.72,5430,0
ASPU.US,5,20210922,172000,5.71,5.765,5.71,5.765,5010,0
ASPU.US,5,20210922,172500,5.74,5.75,5.73,5.73,400,0
ASPU.US,5,20210922,173000,5.73,5.75,5.73,5.75,400,0
ASPU.US,5,20210922,173500,5.7244,5.7244,5.7244,5.7244,200,0
ASPU.US,5,20210922,174000,5.75,5.77,5.74,5.75,1400,0
ASPU.US,5,20210922,175000,5.755,5.755,5.7,5.71,1589,0
ASPU.US,5,20210922,180000,5.71,5.72,5.69,5.7,1183,0
ASPU.US,5,20210922,180500,5.71,5.71,5.71,5.71,100,0
ASPU.US,5,20210922,181000,5.72,5.72,5.62,5.62,3386,0
ASPU.US,5,20210922,181500,5.6,5.6,5.56,5.58,1196,0
ASPU.US,5,20210922,182500,5.585,5.585,5.5831,5.5831,433,0
ASPU.US,5,20210922,183500,5.59,5.59,5.59,5.59,100,0
ASPU.US,5,20210922,184000,5.585,5.585,5.585,5.585,200,0
ASPU.US,5,20210922,184500,5.61,5.61,5.595,5.595,200,0
ASPU.US,5,20210922,185000,5.595,5.595,5.52,5.52,5617,0
ASPU.US,5,20210922,185500,5.525,5.55,5.525,5.525,500,0
ASPU.US,5,20210922,190000,5.525,5.525,5.505,5.505,200,0
ASPU.US,5,20210922,190500,5.52,5.52,5.49,5.505,400,0
ASPU.US,5,20210922,191000,5.505,5.505,5.46,5.46,1387,0
ASPU.US,5,20210922,191500,5.49,5.49,5.45,5.47,700,0
ASPU.US,5,20210922,192000,5.465,5.465,5.45,5.45,200,0
ASPU.US,5,20210922,192500,5.47,5.485,5.47,5.485,514,0
ASPU.US,5,20210922,193000,5.4883,5.4883,5.46,5.47,903,0
ASPU.US,5,20210922,193500,5.49,5.495,5.4605,5.47,4106,0
ASPU.US,5,20210922,194000,5.49,5.5401,5.48,5.49,20698,0
ASPU.US,5,20210922,194500,5.52,5.53,5.5,5.52,8480,0
ASPU.US,5,20210922,195000,5.53,5.53,5.47,5.48,6100,0
ASPU.US,5,20210922,195500,5.51,5.51,5.47,5.49,3235,0
ASPU.US,5,20210922,200000,5.48,5.5,5.45,5.47,6286,0
ASPU.US,5,20210922,200500,5.49,5.54,5.45,5.54,27600,0
ASPU.US,5,20210922,201000,5.545,5.5499,5.5404,5.548,1200,0
ASPU.US,5,20210922,202000,5.57,5.58,5.47,5.47,4000,0
ASPU.US,5,20210922,202500,5.48,5.5,5.47,5.47,2846,0
ASPU.US,5,20210922,203000,5.485,5.485,5.47,5.47,200,0
ASPU.US,5,20210922,203500,5.5,5.54,5.485,5.5,9689,0
ASPU.US,5,20210922,204000,5.51,5.51,5.4,5.42,30341,0
ASPU.US,5,20210922,204500,5.37,5.42,5.3,5.365,9862,0
ASPU.US,5,20210922,205000,5.36,5.36,5.32,5.345,867,0
ASPU.US,5,20210922,205500,5.345,5.37,5.3,5.3,5314,0
ASPU.US,5,20210922,210000,5.33,5.36,5.31,5.31,4257,0
ASPU.US,5,20210922,210500,5.35,5.39,5.35,5.39,1107,0
ASPU.US,5,20210922,211000,5.41,5.42,5.39,5.42,1000,0
ASPU.US,5,20210922,211500,5.425,5.44,5.41,5.44,1402,0
ASPU.US,5,20210922,212000,5.4,5.4,5.4,5.4,200,0
ASPU.US,5,20210922,212500,5.41,5.41,5.41,5.41,1196,0
