<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXON.US,5,20210922,153000,175.4,175.4,175.03,175.03,2930,0
AXON.US,5,20210922,153500,175.4,175.4,174.82,175.37,500,0
AXON.US,5,20210922,154000,175.27,175.27,175.27,175.27,100,0
AXON.US,5,20210922,154500,175.2,175.66,174.785,175.66,1700,0
AXON.US,5,20210922,155000,175.69,175.815,175.69,175.815,785,0
AXON.US,5,20210922,155500,175.07,175.135,174.73,174.73,300,0
AXON.US,5,20210922,160000,175.02,175.02,174.67,174.93,700,0
AXON.US,5,20210922,160500,174.81,174.82,173.916,173.916,1125,0
AXON.US,5,20210922,161000,173.848,173.98,173.84,173.98,457,0
AXON.US,5,20210922,161500,174.099,175.42,173.77,175.42,3800,0
AXON.US,5,20210922,162000,175.45,175.45,174.645,174.645,3762,0
AXON.US,5,20210922,163000,174.565,174.8,174.565,174.8,500,0
AXON.US,5,20210922,163500,175.13,175.13,174.86,174.86,200,0
AXON.US,5,20210922,164000,174.755,174.755,174.51,174.65,897,0
AXON.US,5,20210922,164500,174.38,174.65,174.38,174.65,300,0
AXON.US,5,20210922,165000,174.44,174.44,174.05,174.08,1648,0
AXON.US,5,20210922,165500,174.04,174.14,173.91,173.91,1339,0
AXON.US,5,20210922,170000,173.53,173.87,173.53,173.87,600,0
AXON.US,5,20210922,170500,173.745,173.85,173.66,173.66,811,0
AXON.US,5,20210922,171000,173.751,173.875,173.56,173.875,1144,0
AXON.US,5,20210922,171500,174.01,174.16,174.01,174.16,400,0
AXON.US,5,20210922,172000,174.08,174.38,174.08,174.38,500,0
AXON.US,5,20210922,172500,174.57,174.57,174.52,174.52,200,0
AXON.US,5,20210922,173000,174.9,175.17,174.9,175.17,489,0
AXON.US,5,20210922,173500,175.47,175.47,175.15,175.17,600,0
AXON.US,5,20210922,174000,175.02,175.31,175.02,175.135,900,0
AXON.US,5,20210922,174500,175.135,175.135,175.135,175.135,444,0
AXON.US,5,20210922,175000,175.3,175.3,174.98,174.98,1200,0
AXON.US,5,20210922,175500,175.27,175.27,175.27,175.27,100,0
AXON.US,5,20210922,180000,174.97,174.97,174.66,174.66,200,0
AXON.US,5,20210922,180500,174.66,174.74,174.66,174.73,578,0
AXON.US,5,20210922,181000,174.755,174.88,174.755,174.88,200,0
AXON.US,5,20210922,181500,174.62,174.74,174.62,174.74,600,0
AXON.US,5,20210922,182000,174.95,175.2,174.87,175.2,901,0
AXON.US,5,20210922,182500,175.09,175.168,175.035,175.168,1300,0
AXON.US,5,20210922,183000,175.18,175.47,175.18,175.47,1132,0
AXON.US,5,20210922,183500,175.62,175.94,175.62,175.88,300,0
AXON.US,5,20210922,184000,175.79,175.79,175.27,175.55,1498,0
AXON.US,5,20210922,185000,175.41,175.5,175.24,175.5,1301,0
AXON.US,5,20210922,185500,175.48,175.86,175.39,175.44,747,0
AXON.US,5,20210922,190000,175.005,175.48,175.005,175.25,708,0
AXON.US,5,20210922,190500,175.075,175.46,175.075,175.46,600,0
AXON.US,5,20210922,191000,174.92,174.92,174.87,174.87,400,0
AXON.US,5,20210922,191500,174.8,174.9,174.8,174.9,440,0
AXON.US,5,20210922,192000,174.89,174.99,174.66,174.66,956,0
AXON.US,5,20210922,192500,174.81,174.81,174.63,174.63,1603,0
AXON.US,5,20210922,193000,174.61,174.62,174.43,174.61,1250,0
AXON.US,5,20210922,193500,174.57,174.655,174.57,174.655,400,0
AXON.US,5,20210922,194000,174.46,175.02,174.46,174.983,600,0
AXON.US,5,20210922,194500,174.98,174.98,174.82,174.865,500,0
AXON.US,5,20210922,195000,174.94,175,174.8,174.929,983,0
AXON.US,5,20210922,195500,174.88,175.05,174.88,175.05,200,0
AXON.US,5,20210922,200000,174.95,175.39,174.84,175.39,500,0
AXON.US,5,20210922,200500,176.02,176.02,175.226,175.6,1273,0
AXON.US,5,20210922,201000,175.61,175.61,175.59,175.6,400,0
AXON.US,5,20210922,201500,175.89,176,175.71,175.71,1138,0
AXON.US,5,20210922,202000,175.88,176.08,175.457,175.457,1110,0
AXON.US,5,20210922,202500,175.595,175.64,175.595,175.62,400,0
AXON.US,5,20210922,203000,175.89,175.945,175.6,175.945,1357,0
AXON.US,5,20210922,203500,175.6,175.65,175.51,175.51,600,0
AXON.US,5,20210922,204000,175.21,175.525,175.21,175.31,1132,0
AXON.US,5,20210922,204500,175.16,175.35,174.88,174.88,1000,0
AXON.US,5,20210922,205000,174.915,175.17,174.47,175.17,1001,0
AXON.US,5,20210922,205500,175.1,175.1,174.665,174.805,400,0
AXON.US,5,20210922,210000,174.675,174.83,174.41,174.68,1800,0
AXON.US,5,20210922,210500,174.625,174.92,174.62,174.92,700,0
AXON.US,5,20210922,211000,175.22,175.36,175.03,175.17,800,0
AXON.US,5,20210922,211500,174.933,175.15,174.84,174.84,1801,0
AXON.US,5,20210922,212000,174.775,174.85,174.36,174.57,3000,0
AXON.US,5,20210922,212500,174.45,174.71,174.445,174.69,749,0
AXON.US,5,20210922,213000,174.73,174.84,174.41,174.41,2800,0
AXON.US,5,20210922,213500,174.74,175.13,174.72,175.07,2741,0
AXON.US,5,20210922,214000,174.96,175.29,174.96,175.29,1600,0
AXON.US,5,20210922,214500,175.2,175.27,174.89,174.9,1600,0
AXON.US,5,20210922,215000,174.87,175.25,174.74,175.24,6054,0
AXON.US,5,20210922,215500,175.21,175.21,174.54,175,61970,0
AXON.US,5,20210923,153000,175.83,175.83,174.17,174.17,4339,0
AXON.US,5,20210923,153500,174.16,175.079,174.16,175.079,1414,0
AXON.US,5,20210923,154500,175.464,175.464,175.395,175.395,200,0
AXON.US,5,20210923,155000,175.55,175.55,175.52,175.52,465,0
AXON.US,5,20210923,160000,175.445,175.445,175.445,175.445,100,0
AXON.US,5,20210923,160500,175.238,175.238,175.075,175.075,300,0
AXON.US,5,20210923,161000,174.7,174.76,174.7,174.75,765,0
