<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBN.US,5,20210922,153000,26.46,26.46,26.46,26.46,324,0
BBN.US,5,20210922,153500,26.4476,26.4476,26.4476,26.4476,680,0
BBN.US,5,20210922,154000,26.4487,26.4487,26.4487,26.4487,157,0
BBN.US,5,20210922,154500,26.41,26.41,26.4,26.4,500,0
BBN.US,5,20210922,155000,26.4074,26.4074,26.4074,26.4074,120,0
BBN.US,5,20210922,155500,26.449,26.449,26.449,26.449,500,0
BBN.US,5,20210922,161500,26.4,26.4,26.4,26.4,1000,0
BBN.US,5,20210922,162000,26.43,26.449,26.43,26.449,1293,0
BBN.US,5,20210922,162500,26.435,26.435,26.435,26.435,140,0
BBN.US,5,20210922,164000,26.435,26.4811,26.435,26.4811,1384,0
BBN.US,5,20210922,164500,26.5,26.5,26.5,26.5,2000,0
BBN.US,5,20210922,165000,26.43,26.43,26.43,26.43,1000,0
BBN.US,5,20210922,170000,26.451,26.451,26.451,26.451,955,0
BBN.US,5,20210922,171000,26.5,26.5,26.5,26.5,100,0
BBN.US,5,20210922,171500,26.502,26.52,26.502,26.52,965,0
BBN.US,5,20210922,172000,26.49,26.49,26.49,26.49,228,0
BBN.US,5,20210922,172500,26.512,26.512,26.512,26.512,125,0
BBN.US,5,20210922,173000,26.4604,26.4604,26.4604,26.4604,401,0
BBN.US,5,20210922,174000,26.5088,26.5088,26.5088,26.5088,775,0
BBN.US,5,20210922,174500,26.4948,26.52,26.4948,26.5197,1717,0
BBN.US,5,20210922,175000,26.5,26.5,26.5,26.5,600,0
BBN.US,5,20210922,175500,26.5432,26.5432,26.5203,26.53,2060,0
BBN.US,5,20210922,180000,26.56,26.59,26.555,26.555,815,0
BBN.US,5,20210922,180500,26.53,26.53,26.53,26.53,100,0
BBN.US,5,20210922,181000,26.58,26.595,26.56,26.595,1749,0
BBN.US,5,20210922,181500,26.5919,26.6,26.5919,26.6,2100,0
BBN.US,5,20210922,182000,26.6,26.6,26.57,26.57,655,0
BBN.US,5,20210922,182500,26.5997,26.5997,26.5997,26.5997,1651,0
BBN.US,5,20210922,184000,26.5701,26.599,26.5701,26.5726,4100,0
BBN.US,5,20210922,184500,26.6,26.6,26.571,26.571,4620,0
BBN.US,5,20210922,185000,26.6,26.61,26.6,26.61,417,0
BBN.US,5,20210922,185500,26.61,26.61,26.585,26.585,300,0
BBN.US,5,20210922,190000,26.6,26.6,26.6,26.6,400,0
BBN.US,5,20210922,190500,26.5814,26.6,26.5814,26.6,400,0
BBN.US,5,20210922,191000,26.6,26.6,26.6,26.6,200,0
BBN.US,5,20210922,191500,26.6,26.6,26.5884,26.6,700,0
BBN.US,5,20210922,192000,26.6163,26.6163,26.6163,26.6163,372,0
BBN.US,5,20210922,192500,26.62,26.62,26.62,26.62,717,0
BBN.US,5,20210922,193000,26.6101,26.615,26.5837,26.5837,1465,0
BBN.US,5,20210922,193500,26.595,26.61,26.595,26.595,1935,0
BBN.US,5,20210922,194000,26.61,26.62,26.6,26.62,590,0
BBN.US,5,20210922,194500,26.62,26.62,26.6,26.62,341,0
BBN.US,5,20210922,195000,26.62,26.62,26.62,26.62,497,0
BBN.US,5,20210922,195500,26.62,26.62,26.62,26.62,500,0
BBN.US,5,20210922,200000,26.595,26.62,26.595,26.6,2306,0
BBN.US,5,20210922,200500,26.57,26.595,26.57,26.57,2000,0
BBN.US,5,20210922,201500,26.57,26.615,26.57,26.615,3500,0
BBN.US,5,20210922,202000,26.5957,26.5957,26.595,26.595,1678,0
BBN.US,5,20210922,202500,26.62,26.62,26.616,26.616,600,0
BBN.US,5,20210922,203000,26.6009,26.6009,26.6009,26.6009,1445,0
BBN.US,5,20210922,203500,26.6009,26.6009,26.5717,26.5717,1192,0
BBN.US,5,20210922,205000,26.5745,26.5745,26.5745,26.5745,755,0
BBN.US,5,20210922,210000,26.595,26.62,26.595,26.62,300,0
BBN.US,5,20210922,210500,26.6175,26.6175,26.595,26.6144,1090,0
BBN.US,5,20210922,211000,26.595,26.6166,26.595,26.6166,902,0
BBN.US,5,20210922,212000,26.595,26.595,26.595,26.595,199,0
BBN.US,5,20210922,212500,26.62,26.62,26.575,26.575,5976,0
BBN.US,5,20210922,213500,26.565,26.57,26.565,26.57,902,0
BBN.US,5,20210922,214500,26.5501,26.62,26.5501,26.5705,2400,0
BBN.US,5,20210922,215000,26.595,26.619,26.57,26.57,4383,0
BBN.US,5,20210922,215500,26.57,26.6,26.56,26.59,950,0
BBN.US,5,20210923,153000,26.65,26.7,26.65,26.6999,4144,0
BBN.US,5,20210923,154000,26.6779,26.6779,26.605,26.605,1332,0
BBN.US,5,20210923,154500,26.69,26.69,26.6032,26.6032,1216,0
BBN.US,5,20210923,155000,26.62,26.62,26.62,26.62,378,0
BBN.US,5,20210923,155500,26.6085,26.6085,26.5867,26.5867,1310,0
BBN.US,5,20210923,160000,26.666,26.666,26.666,26.666,120,0
BBN.US,5,20210923,160500,26.67,26.67,26.6094,26.6094,2523,0
BBN.US,5,20210923,161000,26.65,26.65,26.625,26.625,563,0
BBN.US,5,20210923,162000,26.6252,26.6252,26.6252,26.6252,250,0
BBN.US,5,20210923,162500,26.64,26.66,26.64,26.65,2527,0
BBN.US,5,20210923,163000,26.6434,26.6434,26.6434,26.6434,300,0
BBN.US,5,20210923,163500,26.6302,26.6302,26.61,26.61,1762,0
BBN.US,5,20210923,164000,26.585,26.585,26.56,26.56,600,0
BBN.US,5,20210923,165000,26.58,26.61,26.58,26.58,1682,0
BBN.US,5,20210923,165500,26.57,26.57,26.57,26.57,800,0
BBN.US,5,20210923,170000,26.5897,26.5897,26.5897,26.5897,718,0
BBN.US,5,20210923,170500,26.575,26.575,26.575,26.575,578,0
BBN.US,5,20210923,171000,26.5897,26.5897,26.5897,26.5897,375,0
BBN.US,5,20210923,171500,26.5869,26.5869,26.49,26.49,4046,0
BBN.US,5,20210923,172500,26.4892,26.4892,26.48,26.48,360,0
BBN.US,5,20210923,173000,26.5,26.51,26.5,26.51,1750,0
BBN.US,5,20210923,173500,26.5199,26.5199,26.5,26.5,842,0
BBN.US,5,20210923,174000,26.4912,26.4912,26.4912,26.4912,395,0
BBN.US,5,20210923,175000,26.52,26.54,26.51,26.51,1150,0
BBN.US,5,20210923,175500,26.51,26.5884,26.51,26.5884,1740,0
BBN.US,5,20210923,180000,26.57,26.58,26.57,26.57,1180,0
BBN.US,5,20210923,180500,26.55,26.55,26.53,26.53,650,0
BBN.US,5,20210923,181000,26.55,26.55,26.53,26.53,1500,0
BBN.US,5,20210923,182000,26.53,26.53,26.53,26.53,153,0
BBN.US,5,20210923,183000,26.5101,26.5101,26.5101,26.5101,1000,0
BBN.US,5,20210923,183500,26.51,26.535,26.51,26.535,1160,0
BBN.US,5,20210923,184500,26.56,26.56,26.53,26.545,2750,0
BBN.US,5,20210923,185000,26.558,26.58,26.53,26.555,5791,0
BBN.US,5,20210923,190000,26.5485,26.5485,26.5485,26.5485,100,0
BBN.US,5,20210923,191000,26.58,26.58,26.56,26.56,475,0
BBN.US,5,20210923,191500,26.575,26.575,26.55,26.55,2363,0
BBN.US,5,20210923,192000,26.5542,26.5542,26.5542,26.5542,149,0
BBN.US,5,20210923,193000,26.5516,26.5541,26.5516,26.5541,276,0
BBN.US,5,20210923,193500,26.58,26.58,26.5678,26.57,1374,0
