<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCDAW.US,5,20210922,175500,1.99,2.08,1.56,1.56,1709,0
BCDAW.US,5,20210922,182500,1.98,2.01,1.98,2.01,3200,0
BCDAW.US,5,20210923,180000,1.63,1.63,1.63,1.63,100,0
BCDAW.US,5,20210923,180500,1.6,1.6,1.6,1.6,100,0
BCDAW.US,5,20210923,181500,1.635,1.635,1.635,1.635,100,0
BCDAW.US,5,20210923,182500,1.5,1.5,1.5,1.5,2604,0
BCDAW.US,5,20210923,210000,1.81,1.81,1.81,1.81,200,0
BCDAW.US,5,20210923,212000,1.69,1.69,1.69,1.69,100,0
BCDAW.US,5,20210924,174000,1.52,1.52,1.5,1.5,1000,0
BCDAW.US,5,20210924,210500,1.51,1.51,1.51,1.51,200,0
BCDAW.US,5,20210928,192000,1.6,1.6,1.6,1.6,200,0
BCDAW.US,5,20210928,214500,1.99,2.01,1.9859,2.0059,3748,0
BCDAW.US,5,20210929,215500,1.7499,1.7499,1.7499,1.7499,100,0
BCDAW.US,5,20210930,215500,1.625,1.625,1.625,1.625,100,0
BCDAW.US,5,20211001,183000,1.61,1.61,1.6,1.6,905,0
BCDAW.US,5,20211001,183500,1.6,1.6,1.6,1.6,100,0
BCDAW.US,5,20211004,155500,2,2,2,2,100,0
BCDAW.US,5,20211004,161000,1.8696,1.8696,1.8696,1.8696,100,0
BCDAW.US,5,20211006,170000,1.6,1.6,1.6,1.6,14000,0
BCDAW.US,5,20211006,180000,1.6,1.6,1.6,1.6,518,0
BCDAW.US,5,20211006,182500,1.555,1.555,1.555,1.555,100,0
BCDAW.US,5,20211007,213500,1.12,1.12,1.12,1.12,100,0
BCDAW.US,5,20211012,184000,1.5355,1.5355,1.5355,1.5355,100,0
BCDAW.US,5,20211021,214000,1.23,1.23,1.21,1.21,200,0
BCDAW.US,5,20211022,160000,1.4,1.45,1.4,1.45,210,0
BCDAW.US,5,20211022,191500,1.6,1.6,1.6,1.6,400,0
BCDAW.US,5,20211022,193000,1.31,1.31,1.31,1.31,300,0
BCDAW.US,5,20211022,194500,1.23,1.24,1.23,1.24,1300,0
BCDAW.US,5,20211022,202000,1.24,1.24,1.24,1.24,200,0
BCDAW.US,5,20211025,170000,1.16,1.335,1.14,1.335,500,0
BCDAW.US,5,20211026,203500,1.2,1.2,1.2,1.2,12405,0
BCDAW.US,5,20211027,194500,1.5205,1.5205,1.5205,1.5205,600,0
BCDAW.US,5,20211028,215000,1.29,1.29,1.29,1.29,5000,0
BCDAW.US,5,20211029,172500,1.8499,1.8499,1.8499,1.8499,200,0
BCDAW.US,5,20211029,192000,1.3999,1.3999,1.3999,1.3999,150,0
BCDAW.US,5,20211102,163500,1.45,1.45,1.45,1.45,150,0
BCDAW.US,5,20211102,172500,1.44,1.44,1.44,1.44,100,0
BCDAW.US,5,20211104,145500,1.23,1.26,1.23,1.26,282,0
BCDAW.US,5,20211104,150000,1.22,1.22,1.21,1.21,5100,0
BCDAW.US,5,20211104,161500,1.25,1.25,1.25,1.25,100,0
BCDAW.US,5,20211104,165500,1.195,1.25,1.195,1.25,7300,0
BCDAW.US,5,20211110,174500,1.82,1.82,1.82,1.82,102,0
BCDAW.US,5,20211111,161000,1.29,1.29,1.25,1.25,1000,0
BCDAW.US,5,20211111,161500,1.545,1.545,1.2501,1.26,1000,0
BCDAW.US,5,20211111,162000,1.27,1.27,1.25,1.25,1300,0
BCDAW.US,5,20211111,162500,1.2538,1.255,1.25,1.255,2900,0
BCDAW.US,5,20211111,163000,1.2999,1.2999,1.2999,1.2999,200,0
BCDAW.US,5,20211111,191000,1.21,1.21,1.21,1.21,210,0
BCDAW.US,5,20211111,213000,1.21,1.21,1.21,1.21,210,0
