<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKUI.US,5,20210928,153000,49.995,49.995,49.98,49.99,15800,0
BKUI.US,5,20210928,155000,49.98,49.98,49.98,49.98,4090,0
BKUI.US,5,20211014,215000,49.95,49.95,49.95,49.95,2500,0
BKUI.US,5,20211027,190000,49.905,49.91,49.905,49.91,499,0
BKUI.US,5,20211104,161500,49.89,49.89,49.89,49.89,16200,0
BKUI.US,5,20211104,164000,49.8864,49.8864,49.8864,49.8864,320,0
BKUI.US,5,20211105,155500,49.9,49.9,49.9,49.9,100,0
BKUI.US,5,20211108,200000,49.9173,49.9173,49.9173,49.9173,501,0
BKUI.US,5,20211109,214500,49.9,49.9,49.9,49.9,699,0
BKUI.US,5,20211110,215500,49.9,49.9,49.9,49.9,1000,0
BKUI.US,5,20211111,165000,49.87,49.87,49.87,49.87,568,0
