<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLNGU.US,5,20210923,181000,9.93,9.93,9.93,9.93,200,0
BLNGU.US,5,20210923,203000,9.94,9.94,9.92,9.94,19269,0
BLNGU.US,5,20210923,211000,9.94,9.94,9.94,9.94,3027,0
BLNGU.US,5,20210923,213000,9.943,9.943,9.943,9.943,500,0
BLNGU.US,5,20210924,171000,9.91,9.91,9.9,9.9,10000,0
BLNGU.US,5,20210924,204500,9.93,9.935,9.93,9.935,648,0
BLNGU.US,5,20210927,153000,9.95,9.95,9.95,9.95,1000,0
BLNGU.US,5,20210927,154000,9.955,9.955,9.955,9.955,900,0
BLNGU.US,5,20210927,155500,9.955,9.955,9.955,9.955,2000,0
BLNGU.US,5,20210927,160000,9.955,9.955,9.95,9.95,20937,0
BLNGU.US,5,20210927,161000,9.96,9.96,9.96,9.96,52000,0
BLNGU.US,5,20210927,165500,9.96,9.96,9.96,9.96,889,0
BLNGU.US,5,20210927,195500,9.96,9.96,9.95,9.95,2444,0
BLNGU.US,5,20210927,213500,9.95,9.95,9.95,9.95,2000,0
BLNGU.US,5,20210929,161500,9.9,9.9248,9.9,9.9248,4750,0
BLNGU.US,5,20210930,154000,9.91,9.91,9.9,9.91,3600,0
BLNGU.US,5,20210930,182000,9.91,9.95,9.91,9.95,2000,0
BLNGU.US,5,20211007,183500,9.96,9.97,9.96,9.97,3220,0
BLNGU.US,5,20211007,195500,9.97,9.97,9.97,9.97,2046,0
BLNGU.US,5,20211007,200000,9.97,9.97,9.97,9.97,730,0
BLNGU.US,5,20211007,201000,9.97,9.97,9.97,9.97,981,0
BLNGU.US,5,20211007,211500,9.96,9.96,9.96,9.96,100,0
BLNGU.US,5,20211008,170500,9.96,9.965,9.96,9.965,779,0
BLNGU.US,5,20211008,190500,9.97,9.97,9.96,9.96,10509,0
BLNGU.US,5,20211008,191000,9.95,9.96,9.95,9.96,4000,0
BLNGU.US,5,20211011,174000,9.96,9.96,9.96,9.96,380,0
BLNGU.US,5,20211011,174500,9.96,9.96,9.96,9.96,597,0
BLNGU.US,5,20211011,175000,9.96,9.97,9.96,9.97,898,0
BLNGU.US,5,20211011,185000,9.96,9.96,9.96,9.96,700,0
BLNGU.US,5,20211012,173500,9.96,9.96,9.96,9.96,4000,0
BLNGU.US,5,20211012,174000,9.96,9.97,9.94,9.94,21269,0
BLNGU.US,5,20211012,174500,9.96,9.96,9.96,9.96,1400,0
BLNGU.US,5,20211012,191000,9.96,9.96,9.96,9.96,4100,0
BLNGU.US,5,20211012,191500,9.96,9.96,9.96,9.96,21159,0
BLNGU.US,5,20211012,192500,9.96,9.96,9.95,9.96,50600,0
BLNGU.US,5,20211012,193000,9.97,9.99,9.97,9.99,781,0
BLNGU.US,5,20211012,195500,9.97,9.97,9.97,9.97,140,0
BLNGU.US,5,20211012,203000,9.97,9.97,9.97,9.97,8372,0
BLNGU.US,5,20211013,164500,9.96,9.97,9.96,9.97,3500,0
BLNGU.US,5,20211013,200000,9.97,9.97,9.97,9.97,1500,0
BLNGU.US,5,20211013,211000,9.97,9.97,9.97,9.97,2700,0
BLNGU.US,5,20211013,211500,9.97,9.97,9.97,9.97,70000,0
BLNGU.US,5,20211013,212000,9.97,9.97,9.97,9.97,2000,0
BLNGU.US,5,20211014,153000,9.95,9.95,9.95,9.95,5000,0
BLNGU.US,5,20211014,154000,9.95,9.95,9.95,9.95,3801,0
BLNGU.US,5,20211014,161000,9.95,9.95,9.95,9.95,4000,0
BLNGU.US,5,20211014,174500,9.95,9.95,9.95,9.95,24801,0
BLNGU.US,5,20211014,202000,9.95,9.96,9.95,9.96,25000,0
BLNGU.US,5,20211014,212500,9.96,9.96,9.96,9.96,10000,0
BLNGU.US,5,20211014,215000,9.96,9.96,9.96,9.96,8056,0
BLNGU.US,5,20211014,215500,9.96,9.96,9.96,9.96,4800,0
BLNGU.US,5,20211018,175500,9.93,9.93,9.93,9.93,230000,0
BLNGU.US,5,20211018,182500,9.94,9.94,9.93,9.93,79200,0
BLNGU.US,5,20211018,183000,9.93,9.93,9.93,9.93,44100,0
BLNGU.US,5,20211018,184000,9.93,9.93,9.93,9.93,6000,0
BLNGU.US,5,20211018,184500,9.93,9.93,9.93,9.93,100000,0
BLNGU.US,5,20211019,193500,9.93,9.93,9.93,9.93,157,0
BLNGU.US,5,20211019,203000,9.93,9.95,9.9,9.95,4000,0
BLNGU.US,5,20211021,153000,9.92,9.92,9.91,9.91,5000,0
BLNGU.US,5,20211021,153500,9.91,9.91,9.91,9.91,5000,0
BLNGU.US,5,20211021,173000,9.93,9.9303,9.93,9.9303,2000,0
BLNGU.US,5,20211021,173500,9.96,9.96,9.96,9.96,2000,0
BLNGU.US,5,20211021,174000,9.93,9.93,9.91,9.91,1500,0
BLNGU.US,5,20211021,192000,9.93,9.93,9.93,9.93,200,0
BLNGU.US,5,20211021,192500,9.93,9.93,9.93,9.93,2000,0
BLNGU.US,5,20211021,193000,9.93,9.93,9.93,9.93,1500,0
BLNGU.US,5,20211022,163000,9.9,9.9,9.9,9.9,1400,0
BLNGU.US,5,20211025,161500,9.93,9.93,9.93,9.93,200,0
BLNGU.US,5,20211025,163000,9.93,9.935,9.93,9.935,2600,0
BLNGU.US,5,20211025,163500,9.93,9.93,9.9,9.9,5000,0
BLNGU.US,5,20211025,164500,9.92,9.92,9.92,9.92,2000,0
BLNGU.US,5,20211025,165000,9.93,9.93,9.92,9.92,1000,0
BLNGU.US,5,20211025,165500,9.93,9.93,9.93,9.93,2000,0
BLNGU.US,5,20211025,181000,9.93,9.93,9.93,9.93,978,0
BLNGU.US,5,20211025,192000,9.95,9.95,9.95,9.95,43400,0
BLNGU.US,5,20211025,192500,9.95,9.95,9.95,9.95,6129,0
BLNGU.US,5,20211025,193000,9.95,9.95,9.94,9.94,17500,0
BLNGU.US,5,20211025,193500,9.95,9.95,9.95,9.95,22900,0
BLNGU.US,5,20211025,194000,9.9432,9.9432,9.9432,9.9432,100,0
BLNGU.US,5,20211025,194500,9.95,9.96,9.95,9.95,600,0
BLNGU.US,5,20211025,195000,9.95,9.95,9.95,9.95,13000,0
BLNGU.US,5,20211025,195500,9.95,9.95,9.95,9.95,1200,0
BLNGU.US,5,20211025,204500,9.97,9.97,9.955,9.955,500,0
BLNGU.US,5,20211025,205000,9.95,9.95,9.95,9.95,25800,0
BLNGU.US,5,20211025,213000,9.97,9.97,9.94,9.97,595,0
BLNGU.US,5,20211025,214500,9.95,9.95,9.95,9.95,9800,0
BLNGU.US,5,20211026,164000,9.95,9.95,9.95,9.95,12200,0
BLNGU.US,5,20211026,165000,9.95,9.95,9.95,9.95,2000,0
BLNGU.US,5,20211026,165500,9.95,9.95,9.95,9.95,400,0
BLNGU.US,5,20211026,184000,9.96,9.96,9.96,9.96,2000,0
BLNGU.US,5,20211026,210000,9.95,9.95,9.95,9.95,21476,0
BLNGU.US,5,20211027,154500,9.95,9.95,9.95,9.95,901,0
BLNGU.US,5,20211027,214000,9.96,9.96,9.96,9.96,11500,0
BLNGU.US,5,20211027,215000,9.96,9.96,9.96,9.96,200,0
BLNGU.US,5,20211027,215500,9.96,9.96,9.95,9.96,1190,0
BLNGU.US,5,20211028,182000,9.93,9.93,9.92,9.92,15000,0
BLNGU.US,5,20211028,200500,9.95,9.95,9.95,9.95,1400,0
BLNGU.US,5,20211028,201000,9.95,9.95,9.94,9.94,7439,0
BLNGU.US,5,20211028,212500,9.9601,9.97,9.96,9.97,4100,0
BLNGU.US,5,20211028,213000,9.96,9.96,9.96,9.96,5700,0
BLNGU.US,5,20211028,213500,9.96,9.96,9.96,9.96,7800,0
BLNGU.US,5,20211028,214000,9.96,9.96,9.96,9.96,1900,0
BLNGU.US,5,20211029,163000,9.93,9.93,9.92,9.93,4100,0
