<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSIG.US,5,20210922,153000,26.41,26.42,26.36,26.41,5985,0
BSIG.US,5,20210922,153500,26.44,26.45,26.44,26.44,669,0
BSIG.US,5,20210922,154500,26.43,26.43,26.43,26.43,300,0
BSIG.US,5,20210922,155000,26.48,26.5,26.46,26.5,3782,0
BSIG.US,5,20210922,155500,26.505,26.53,26.505,26.52,1008,0
BSIG.US,5,20210922,160000,26.605,26.605,26.55,26.57,3203,0
BSIG.US,5,20210922,160500,26.58,26.58,26.55,26.575,900,0
BSIG.US,5,20210922,161000,26.58,26.58,26.55,26.56,9799,0
BSIG.US,5,20210922,161500,26.57,26.57,26.55,26.55,995,0
BSIG.US,5,20210922,162000,26.55,26.56,26.55,26.56,5131,0
BSIG.US,5,20210922,162500,26.57,26.6,26.57,26.5978,6117,0
BSIG.US,5,20210922,163000,26.6,26.61,26.59,26.61,900,0
BSIG.US,5,20210922,163500,26.62,26.62,26.6,26.6089,400,0
BSIG.US,5,20210922,164000,26.62,26.62,26.6,26.6,1200,0
BSIG.US,5,20210922,164500,26.6,26.64,26.6,26.62,1000,0
BSIG.US,5,20210922,165000,26.65,26.679,26.635,26.679,1487,0
BSIG.US,5,20210922,165500,26.68,26.751,26.67,26.75,8124,0
BSIG.US,5,20210922,170000,26.74,26.75,26.74,26.745,600,0
BSIG.US,5,20210922,170500,26.78,26.78,26.73,26.73,3400,0
BSIG.US,5,20210922,171000,26.74,26.74,26.72,26.72,200,0
BSIG.US,5,20210922,171500,26.73,26.83,26.73,26.78,1937,0
BSIG.US,5,20210922,172000,26.78,26.78,26.76,26.76,2098,0
BSIG.US,5,20210922,172500,26.78,26.78,26.78,26.78,100,0
BSIG.US,5,20210922,173000,26.75,26.78,26.75,26.76,1300,0
BSIG.US,5,20210922,173500,26.765,26.765,26.74,26.74,1000,0
BSIG.US,5,20210922,174000,26.7,26.7,26.7,26.7,100,0
BSIG.US,5,20210922,174500,26.719,26.73,26.69,26.69,615,0
BSIG.US,5,20210922,175000,26.71,26.75,26.66,26.66,2088,0
BSIG.US,5,20210922,175500,26.69,26.699,26.672,26.672,600,0
BSIG.US,5,20210922,180000,26.67,26.67,26.67,26.67,100,0
BSIG.US,5,20210922,180500,26.68,26.68,26.67,26.67,700,0
BSIG.US,5,20210922,181000,26.661,26.661,26.64,26.64,700,0
BSIG.US,5,20210922,182000,26.65,26.65,26.65,26.65,200,0
BSIG.US,5,20210922,182500,26.66,26.66,26.65,26.65,200,0
BSIG.US,5,20210922,183000,26.65,26.65,26.64,26.64,1300,0
BSIG.US,5,20210922,183500,26.64,26.66,26.64,26.66,900,0
BSIG.US,5,20210922,184000,26.65,26.65,26.63,26.63,230,0
BSIG.US,5,20210922,184500,26.659,26.659,26.64,26.641,1203,0
BSIG.US,5,20210922,185000,26.64,26.64,26.6,26.61,1788,0
BSIG.US,5,20210922,185500,26.62,26.63,26.61,26.62,523,0
BSIG.US,5,20210922,190000,26.62,26.62,26.62,26.62,200,0
BSIG.US,5,20210922,190500,26.62,26.62,26.62,26.62,500,0
BSIG.US,5,20210922,191000,26.5803,26.59,26.58,26.59,300,0
BSIG.US,5,20210922,191500,26.589,26.6,26.58,26.6,1101,0
BSIG.US,5,20210922,192000,26.609,26.629,26.6,26.61,710,0
BSIG.US,5,20210922,192500,26.62,26.62,26.6101,26.62,2451,0
BSIG.US,5,20210922,193000,26.64,26.67,26.64,26.66,1400,0
BSIG.US,5,20210922,193500,26.65,26.68,26.65,26.68,6155,0
BSIG.US,5,20210922,194000,26.69,26.7,26.69,26.7,300,0
BSIG.US,5,20210922,194500,26.68,26.68,26.661,26.679,1200,0
BSIG.US,5,20210922,195000,26.65,26.65,26.63,26.63,800,0
BSIG.US,5,20210922,195500,26.66,26.67,26.66,26.66,763,0
BSIG.US,5,20210922,200000,26.66,26.76,26.64,26.76,917,0
BSIG.US,5,20210922,200500,26.76,26.79,26.76,26.79,5113,0
BSIG.US,5,20210922,201000,26.79,26.82,26.79,26.795,4474,0
BSIG.US,5,20210922,201500,26.79,26.83,26.79,26.81,1100,0
BSIG.US,5,20210922,202000,26.77,26.77,26.73,26.74,700,0
BSIG.US,5,20210922,202500,26.75,26.77,26.74,26.77,2001,0
BSIG.US,5,20210922,203000,26.77,26.78,26.74,26.75,2469,0
BSIG.US,5,20210922,203500,26.7724,26.7724,26.74,26.76,2501,0
BSIG.US,5,20210922,204000,26.74,26.74,26.69,26.69,1728,0
BSIG.US,5,20210922,204500,26.67,26.68,26.645,26.645,10600,0
BSIG.US,5,20210922,205000,26.645,26.72,26.62,26.72,2743,0
BSIG.US,5,20210922,205500,26.7,26.7,26.66,26.7,930,0
BSIG.US,5,20210922,210000,26.69,26.7,26.675,26.675,600,0
BSIG.US,5,20210922,210500,26.67,26.7,26.67,26.7,427,0
BSIG.US,5,20210922,211000,26.73,26.73,26.725,26.73,300,0
BSIG.US,5,20210922,211500,26.74,26.77,26.74,26.77,3825,0
BSIG.US,5,20210922,212000,26.75,26.79,26.75,26.78,2977,0
BSIG.US,5,20210922,212500,26.77,26.78,26.76,26.76,1500,0
BSIG.US,5,20210922,213000,26.77,26.77,26.72,26.73,1797,0
BSIG.US,5,20210922,213500,26.73,26.76,26.73,26.74,3704,0
BSIG.US,5,20210922,214000,26.74,26.75,26.71,26.73,3203,0
BSIG.US,5,20210922,214500,26.73,26.74,26.655,26.655,2121,0
BSIG.US,5,20210922,215000,26.6,26.63,26.6,26.6,7825,0
BSIG.US,5,20210922,215500,26.59,26.62,26.56,26.59,52269,0
BSIG.US,5,20210923,153000,26.79,26.855,26.77,26.77,3118,0
BSIG.US,5,20210923,153500,26.81,26.84,26.76,26.84,6300,0
BSIG.US,5,20210923,154000,26.86,26.86,26.86,26.86,100,0
BSIG.US,5,20210923,154500,26.93,26.93,26.93,26.93,100,0
BSIG.US,5,20210923,155500,26.89,26.89,26.85,26.85,200,0
BSIG.US,5,20210923,160000,26.87,26.87,26.81,26.825,5935,0
BSIG.US,5,20210923,160500,26.81,26.815,26.77,26.77,1374,0
BSIG.US,5,20210923,161000,26.8,26.83,26.79,26.83,826,0
BSIG.US,5,20210923,161500,26.85,26.85,26.84,26.84,300,0
BSIG.US,5,20210923,162000,26.8139,26.8139,26.8101,26.8101,434,0
BSIG.US,5,20210923,162500,26.8001,26.83,26.8001,26.83,1089,0
BSIG.US,5,20210923,163500,26.845,26.845,26.79,26.8,2100,0
BSIG.US,5,20210923,164000,26.81,26.81,26.81,26.81,506,0
BSIG.US,5,20210923,164500,26.84,26.84,26.84,26.84,300,0
BSIG.US,5,20210923,165000,26.87,26.88,26.87,26.87,1507,0
BSIG.US,5,20210923,165500,26.87,26.88,26.84,26.88,1954,0
BSIG.US,5,20210923,170000,26.86,26.87,26.86,26.87,929,0
BSIG.US,5,20210923,170500,26.86,26.86,26.85,26.85,300,0
BSIG.US,5,20210923,171500,26.86,26.88,26.86,26.88,1128,0
BSIG.US,5,20210923,172000,26.87,26.88,26.87,26.88,355,0
BSIG.US,5,20210923,172500,26.88,26.89,26.87,26.88,3802,0
BSIG.US,5,20210923,173000,26.87,26.88,26.87,26.88,2112,0
BSIG.US,5,20210923,173500,26.86,26.86,26.86,26.86,421,0
BSIG.US,5,20210923,174000,26.86,26.86,26.83,26.85,1030,0
BSIG.US,5,20210923,174500,26.82,26.82,26.82,26.82,100,0
BSIG.US,5,20210923,175000,26.795,26.81,26.795,26.81,441,0
BSIG.US,5,20210923,175500,26.87,26.87,26.86,26.86,223,0
BSIG.US,5,20210923,180000,26.86,26.86,26.835,26.85,4014,0
BSIG.US,5,20210923,181000,26.86,26.88,26.86,26.88,1900,0
BSIG.US,5,20210923,181500,26.875,26.875,26.875,26.875,100,0
BSIG.US,5,20210923,182000,26.87,26.885,26.87,26.88,3169,0
BSIG.US,5,20210923,182500,26.87,26.87,26.85,26.86,810,0
BSIG.US,5,20210923,183500,26.87,26.88,26.87,26.88,300,0
BSIG.US,5,20210923,184000,26.88,26.88,26.87,26.87,200,0
BSIG.US,5,20210923,184500,26.87,26.88,26.87,26.875,6000,0
BSIG.US,5,20210923,185000,26.88,26.91,26.88,26.91,1436,0
BSIG.US,5,20210923,185500,26.93,26.93,26.89,26.9,1636,0
BSIG.US,5,20210923,190000,26.91,26.94,26.91,26.94,300,0
BSIG.US,5,20210923,190500,26.95,26.95,26.95,26.95,100,0
BSIG.US,5,20210923,191000,26.99,26.99,26.99,26.99,100,0
BSIG.US,5,20210923,191500,26.99,27.03,26.99,27.03,6585,0
BSIG.US,5,20210923,192000,27.04,27.06,27.035,27.06,1151,0
BSIG.US,5,20210923,193000,27.09,27.11,27.09,27.1,1500,0
BSIG.US,5,20210923,193500,27.11,27.12,27.1,27.12,757,0
BSIG.US,5,20210923,194000,27.11,27.12,27.11,27.12,540,0
BSIG.US,5,20210923,194500,27.11,27.11,27.095,27.1,2568,0
BSIG.US,5,20210923,195000,27.13,27.13,27.12,27.125,301,0
BSIG.US,5,20210923,195500,27.125,27.125,27.09,27.09,1600,0
BSIG.US,5,20210923,200000,27.09,27.1,27.09,27.1,2002,0
BSIG.US,5,20210923,200500,27.09,27.09,27.06,27.06,1397,0
BSIG.US,5,20210923,201000,27.05,27.06,27.03,27.06,1460,0
BSIG.US,5,20210923,201500,27.055,27.055,27.04,27.04,300,0
BSIG.US,5,20210923,202000,27.059,27.059,27.05,27.05,300,0
BSIG.US,5,20210923,202500,27.04,27.04,27,27,1050,0
BSIG.US,5,20210923,203000,27.01,27.04,26.995,27.04,1423,0
BSIG.US,5,20210923,203500,27.02,27.03,27.02,27.03,2215,0
BSIG.US,5,20210923,204000,27.02,27.03,27,27.01,2852,0
BSIG.US,5,20210923,204500,27,27.005,26.92,26.92,6754,0
BSIG.US,5,20210923,205000,26.92,26.945,26.91,26.945,2627,0
BSIG.US,5,20210923,205500,26.93,26.95,26.92,26.93,1053,0
BSIG.US,5,20210923,210000,26.95,26.95,26.93,26.93,1948,0
BSIG.US,5,20210923,210500,26.93,26.93,26.92,26.93,831,0
BSIG.US,5,20210923,211000,26.92,26.92,26.91,26.91,2600,0
