<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSN-WS.US,5,20210922,153000,1.03,1.04,1.03,1.04,3000,0
BSN-WS.US,5,20210922,153500,1.03,1.04,1.0147,1.0147,6911,0
BSN-WS.US,5,20210922,154000,1.02,1.12,1.02,1.0951,6600,0
BSN-WS.US,5,20210922,154500,1.07,1.11,1.07,1.11,400,0
BSN-WS.US,5,20210922,160000,1.075,1.075,1.075,1.075,1500,0
BSN-WS.US,5,20210922,161000,1.06,1.06,0.95,1.01,4179,0
BSN-WS.US,5,20210922,162500,1.005,1.0097,1.005,1.0097,1000,0
BSN-WS.US,5,20210922,163000,1.005,1.005,1.005,1.005,444,0
BSN-WS.US,5,20210922,164500,1.01,1.01,1.005,1.005,2000,0
BSN-WS.US,5,20210922,181000,1.01,1.01,1.0072,1.0072,200,0
BSN-WS.US,5,20210922,181500,1.01,1.01,1.0071,1.0071,400,0
BSN-WS.US,5,20210922,185000,1.01,1.05,1.01,1.05,600,0
BSN-WS.US,5,20210922,212500,1.0499,1.0499,1.0499,1.0499,100,0
BSN-WS.US,5,20210923,153000,1.12,1.12,1.0375,1.04,1960,0
BSN-WS.US,5,20210923,154500,1.0051,1.0051,1.0051,1.0051,100,0
BSN-WS.US,5,20210923,155000,1.03,1.03,1.03,1.03,111,0
BSN-WS.US,5,20210923,160500,0.9801,1.04,0.98,1.04,3500,0
BSN-WS.US,5,20210923,161000,0.9802,1.04,0.98,1.04,2600,0
BSN-WS.US,5,20210923,172000,1.02,1.04,1.0196,1.03,91884,0
BSN-WS.US,5,20210923,180000,1.03,1.03,1.0298,1.0299,31036,0
BSN-WS.US,5,20210923,180500,1.035,1.035,1.035,1.035,1900,0
BSN-WS.US,5,20210923,181000,1.035,1.035,1.03,1.035,6000,0
BSN-WS.US,5,20210923,182500,1.04,1.04,1.04,1.04,600,0
BSN-WS.US,5,20210923,192000,1.035,1.035,1.035,1.035,1000,0
BSN-WS.US,5,20210923,192500,1.04,1.04,1.035,1.04,40234,0
BSN-WS.US,5,20210923,193000,1.05,1.08,1.05,1.08,13210,0
BSN-WS.US,5,20210923,194000,1.06,1.06,1.06,1.06,1500,0
BSN-WS.US,5,20210923,195000,1.06,1.06,1.06,1.06,5000,0
BSN-WS.US,5,20210923,200500,1.06,1.09,1.06,1.09,21575,0
BSN-WS.US,5,20210923,201000,1.12,1.12,1.09,1.09,911,0
BSN-WS.US,5,20210923,201500,1.12,1.12,1.12,1.12,500,0
BSN-WS.US,5,20210923,202000,1.12,1.12,1.07,1.1,5678,0
BSN-WS.US,5,20210923,202500,1.1,1.1,1.1,1.1,500,0
BSN-WS.US,5,20210923,203000,1.1,1.1,1.1,1.1,19099,0
BSN-WS.US,5,20210923,203500,1.11,1.11,1.11,1.11,333,0
BSN-WS.US,5,20210923,204000,1.11,1.11,1.11,1.11,2900,0
BSN-WS.US,5,20210923,210000,1.1101,1.1101,1.1101,1.1101,100,0
BSN-WS.US,5,20210923,210500,1.11,1.11,1.1,1.1,2090,0
BSN-WS.US,5,20210923,211000,1.1,1.1,1.1,1.1,400,0
BSN-WS.US,5,20210923,211500,1.1,1.1,1.1,1.1,2900,0
BSN-WS.US,5,20210923,212000,1.1,1.1,1.05,1.1,29650,0
BSN-WS.US,5,20210923,214500,1.1,1.1,1.09,1.1,59900,0
BSN-WS.US,5,20210923,215000,1.1,1.1,1.0988,1.1,39979,0
BSN-WS.US,5,20210924,155500,1.0301,1.0301,1.0301,1.0301,3000,0
BSN-WS.US,5,20210924,160000,1.055,1.055,1.055,1.055,111,0
BSN-WS.US,5,20210924,171500,1.07,1.19,1.07,1.155,8847,0
BSN-WS.US,5,20210924,172000,1.155,1.155,1.155,1.155,111,0
BSN-WS.US,5,20210924,173500,1.155,1.155,1.12,1.12,511,0
BSN-WS.US,5,20210924,200000,1.16,1.16,1.16,1.16,800,0
BSN-WS.US,5,20210924,201000,1.15,1.15,1.15,1.15,222,0
BSN-WS.US,5,20210924,201500,1.17,1.17,1.15,1.15,736,0
BSN-WS.US,5,20210924,203000,1.12,1.1228,1.12,1.1228,384,0
BSN-WS.US,5,20210924,210000,1.15,1.15,1.15,1.15,9970,0
BSN-WS.US,5,20210924,210500,1.15,1.165,1.15,1.15,34504,0
BSN-WS.US,5,20210924,211000,1.18,1.19,1.18,1.19,4403,0
BSN-WS.US,5,20210924,214000,1.12,1.12,1.12,1.12,113,0
BSN-WS.US,5,20210927,153000,1.12,1.12,1.1,1.1,2000,0
BSN-WS.US,5,20210927,154000,1.1,1.1,1.08,1.1,7000,0
BSN-WS.US,5,20210927,160000,1.1,1.1,1.1,1.1,400,0
