<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUFT.US,5,20211029,161500,20.0165,20.0165,20.0165,20.0165,1250,0
BUFT.US,5,20211029,180500,20.02,20.02,20.0199,20.0199,3000,0
BUFT.US,5,20211029,205500,20.0297,20.03,20.0297,20.0299,31700,0
BUFT.US,5,20211029,210500,20.03,20.03,20.0199,20.0199,4750,0
BUFT.US,5,20211029,211000,20.02,20.02,20.02,20.02,150,0
BUFT.US,5,20211029,211500,20.02,20.02,20.0198,20.0198,2700,0
BUFT.US,5,20211029,213000,20.025,20.025,20.025,20.025,1250,0
BUFT.US,5,20211029,213500,20.0299,20.0299,20.0299,20.0299,1250,0
BUFT.US,5,20211101,163000,20.0265,20.0265,20.0265,20.0265,5193,0
BUFT.US,5,20211101,174000,20.0206,20.0206,20.0206,20.0206,850,0
BUFT.US,5,20211101,190500,20.03,20.03,20.03,20.03,1250,0
BUFT.US,5,20211101,194500,20.03,20.03,20.0299,20.0299,2500,0
BUFT.US,5,20211101,202000,20.04,20.04,20.0399,20.04,7500,0
BUFT.US,5,20211101,202500,20.03,20.03,20.03,20.03,1150,0
BUFT.US,5,20211101,205500,20.03,20.04,20.03,20.04,1746,0
BUFT.US,5,20211102,162500,20.0447,20.0447,20.0447,20.0447,100,0
BUFT.US,5,20211102,164500,20.05,20.05,20.05,20.05,100,0
BUFT.US,5,20211102,174000,20.0498,20.0498,20.0498,20.0498,1750,0
BUFT.US,5,20211102,175000,20.05,20.06,20.0429,20.0429,5000,0
BUFT.US,5,20211102,181500,20.05,20.05,20.05,20.05,3000,0
BUFT.US,5,20211102,183500,20.05,20.06,20.05,20.06,3500,0
BUFT.US,5,20211102,190000,20.05,20.05,20.05,20.05,500,0
BUFT.US,5,20211103,143000,20.05,20.05,20.05,20.05,600,0
BUFT.US,5,20211103,154500,20.047,20.047,20.047,20.047,1075,0
BUFT.US,5,20211103,203000,20.0605,20.0605,20.0605,20.0605,850,0
BUFT.US,5,20211104,155500,20.09,20.09,20.09,20.09,800,0
