<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCVI-U.US,5,20210922,153000,9.94,9.94,9.94,9.94,204,0
CCVI-U.US,5,20210922,161000,9.935,9.935,9.935,9.935,200,0
CCVI-U.US,5,20210922,162500,9.95,9.95,9.92,9.92,1300,0
CCVI-U.US,5,20210922,172000,9.97,9.97,9.97,9.97,100,0
CCVI-U.US,5,20210922,181500,10.01,10.01,10.01,10.01,100,0
CCVI-U.US,5,20210922,182000,9.98,9.98,9.98,9.98,100,0
CCVI-U.US,5,20210922,201500,10.015,10.015,10.015,10.015,1000,0
CCVI-U.US,5,20210923,173500,10.01,10.01,10.01,10.01,100,0
CCVI-U.US,5,20210923,190500,10.0045,10.0045,10.0045,10.0045,482,0
CCVI-U.US,5,20210923,194000,10,10.0009,10,10.0009,1211,0
CCVI-U.US,5,20210923,201500,10,10.0009,10,10.0009,200,0
CCVI-U.US,5,20210924,153500,9.97,9.97,9.97,9.97,800,0
CCVI-U.US,5,20210924,165000,9.99,9.99,9.99,9.99,150,0
CCVI-U.US,5,20210924,173000,9.99,9.99,9.99,9.99,184,0
CCVI-U.US,5,20210924,183500,9.99,9.99,9.98,9.985,696,0
CCVI-U.US,5,20210924,190000,10,10,10,10,300,0
CCVI-U.US,5,20210924,205000,9.99,9.99,9.99,9.99,1000,0
CCVI-U.US,5,20210924,210000,9.98,9.98,9.98,9.98,100,0
CCVI-U.US,5,20210924,215500,9.9883,9.9883,9.9883,9.9883,1000,0
CCVI-U.US,5,20210927,153000,9.93,9.93,9.93,9.93,350,0
CCVI-U.US,5,20210927,165000,9.965,9.965,9.965,9.965,300,0
CCVI-U.US,5,20210927,170000,9.965,9.965,9.965,9.965,630,0
CCVI-U.US,5,20210927,173500,9.97,9.97,9.97,9.97,200,0
CCVI-U.US,5,20210927,174000,9.97,9.97,9.97,9.97,100,0
CCVI-U.US,5,20210927,174500,9.98,10.02,9.97,10.02,1130,0
CCVI-U.US,5,20210927,181500,9.99,9.99,9.99,9.99,1000,0
CCVI-U.US,5,20210927,205000,10.02,10.02,10.02,10.02,370,0
CCVI-U.US,5,20210927,213500,10.02,10.02,10.01,10.02,800,0
CCVI-U.US,5,20210928,165000,9.95,9.95,9.92,9.92,1000,0
CCVI-U.US,5,20210928,180500,9.955,9.955,9.95,9.95,300,0
CCVI-U.US,5,20210928,195000,9.9792,9.9792,9.9792,9.9792,1000,0
CCVI-U.US,5,20210928,204000,9.98,9.98,9.96,9.96,400,0
CCVI-U.US,5,20210929,162500,9.977,9.977,9.977,9.977,510,0
CCVI-U.US,5,20210929,172500,9.98,10.0001,9.98,9.99,551,0
CCVI-U.US,5,20210929,183500,9.97,9.98,9.965,9.98,6150,0
CCVI-U.US,5,20210929,184500,9.99,10.02,9.985,10.02,400,0
CCVI-U.US,5,20210929,185500,9.98,9.98,9.98,9.98,100,0
CCVI-U.US,5,20210929,192000,9.9801,9.99,9.9801,9.9804,1837,0
CCVI-U.US,5,20210929,204500,9.98,9.98,9.98,9.98,527,0
CCVI-U.US,5,20210930,161000,9.99,10.0082,9.99,10.0082,200,0
CCVI-U.US,5,20210930,161500,9.95,9.95,9.95,9.95,1900,0
CCVI-U.US,5,20210930,165500,9.9637,9.9637,9.9637,9.9637,100,0
CCVI-U.US,5,20210930,170000,9.9623,9.9623,9.9623,9.9623,100,0
CCVI-U.US,5,20210930,173500,9.9601,9.9601,9.9601,9.9601,190,0
CCVI-U.US,5,20210930,174000,10,10,10,10,300,0
CCVI-U.US,5,20210930,175000,10,10,10,10,600,0
CCVI-U.US,5,20210930,183500,10.04,10.04,10.04,10.04,600,0
CCVI-U.US,5,20211001,154000,9.98,9.9932,9.98,9.9932,508,0
CCVI-U.US,5,20211001,155500,9.97,9.97,9.97,9.97,200,0
CCVI-U.US,5,20211001,161500,9.99,9.99,9.99,9.99,600,0
CCVI-U.US,5,20211001,162500,9.9773,9.9773,9.9773,9.9773,125,0
CCVI-U.US,5,20211001,190500,10.019,10.019,10.019,10.019,200,0
CCVI-U.US,5,20211001,191000,10,10,10,10,690,0
CCVI-U.US,5,20211001,212000,9.995,10.01,9.99,9.99,984,0
CCVI-U.US,5,20211001,212500,9.995,10.0007,9.99,9.99,300,0
CCVI-U.US,5,20211004,164500,9.99,9.99,9.99,9.99,245,0
CCVI-U.US,5,20211004,165000,9.97,9.99,9.97,9.97,1630,0
CCVI-U.US,5,20211004,165500,9.99,9.99,9.99,9.99,155,0
CCVI-U.US,5,20211004,170500,9.99,9.99,9.99,9.99,622,0
CCVI-U.US,5,20211004,171000,9.99,9.99,9.97,9.97,900,0
CCVI-U.US,5,20211004,174000,9.97,9.97,9.97,9.97,500,0
CCVI-U.US,5,20211004,190500,9.98,9.98,9.98,9.98,100,0
CCVI-U.US,5,20211004,191000,9.98,9.98,9.98,9.98,920,0
CCVI-U.US,5,20211004,195500,9.975,9.98,9.975,9.98,400,0
CCVI-U.US,5,20211004,200000,9.98,9.98,9.98,9.98,100,0
CCVI-U.US,5,20211005,154000,9.98,9.98,9.98,9.98,200,0
CCVI-U.US,5,20211005,163500,9.96,9.96,9.96,9.96,100,0
CCVI-U.US,5,20211005,183000,9.9601,9.9601,9.9601,9.9601,100,0
CCVI-U.US,5,20211005,194000,9.9801,9.9801,9.9801,9.9801,900,0
CCVI-U.US,5,20211005,205500,10,10,10,10,100,0
CCVI-U.US,5,20211006,153000,9.93,9.93,9.93,9.93,500,0
CCVI-U.US,5,20211006,165000,9.97,9.97,9.97,9.97,100,0
CCVI-U.US,5,20211006,172500,9.98,9.98,9.98,9.98,200,0
CCVI-U.US,5,20211006,175000,9.98,9.98,9.98,9.98,100,0
CCVI-U.US,5,20211006,193000,9.9875,9.9875,9.985,9.986,2000,0
