<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEF.US,5,20210922,153000,17.34,17.42,17.34,17.4,13464,0
CEF.US,5,20210922,153500,17.4081,17.43,17.4081,17.43,1125,0
CEF.US,5,20210922,154000,17.42,17.44,17.42,17.44,3586,0
CEF.US,5,20210922,154500,17.435,17.44,17.409,17.4099,6445,0
CEF.US,5,20210922,155000,17.3901,17.3901,17.3901,17.3901,1082,0
CEF.US,5,20210922,155500,17.3797,17.3797,17.3797,17.3797,115,0
CEF.US,5,20210922,160000,17.3801,17.4,17.3801,17.395,8895,0
CEF.US,5,20210922,160500,17.39,17.4,17.39,17.4,2300,0
CEF.US,5,20210922,161000,17.4094,17.42,17.4094,17.41,838,0
CEF.US,5,20210922,161500,17.41,17.43,17.41,17.4284,6820,0
CEF.US,5,20210922,162000,17.4298,17.44,17.4298,17.4364,2165,0
CEF.US,5,20210922,162500,17.4316,17.4316,17.4316,17.4316,600,0
CEF.US,5,20210922,163000,17.4361,17.45,17.4361,17.45,1815,0
CEF.US,5,20210922,163500,17.45,17.47,17.45,17.47,300,0
CEF.US,5,20210922,164000,17.47,17.47,17.4523,17.4523,2900,0
CEF.US,5,20210922,164500,17.44,17.44,17.44,17.44,300,0
CEF.US,5,20210922,165000,17.4324,17.44,17.4304,17.4304,1965,0
CEF.US,5,20210922,165500,17.43,17.4301,17.43,17.4301,960,0
CEF.US,5,20210922,170000,17.46,17.46,17.46,17.46,100,0
CEF.US,5,20210922,170500,17.4513,17.465,17.4513,17.465,1606,0
CEF.US,5,20210922,171000,17.465,17.465,17.465,17.465,250,0
CEF.US,5,20210922,171500,17.465,17.465,17.465,17.465,250,0
CEF.US,5,20210922,172000,17.4781,17.4781,17.475,17.475,500,0
CEF.US,5,20210922,172500,17.48,17.48,17.4712,17.4712,1264,0
CEF.US,5,20210922,173000,17.46,17.4601,17.46,17.4601,2850,0
CEF.US,5,20210922,173500,17.4708,17.4799,17.4708,17.4799,3500,0
CEF.US,5,20210922,174000,17.455,17.46,17.455,17.46,600,0
CEF.US,5,20210922,174500,17.455,17.47,17.455,17.47,2364,0
CEF.US,5,20210922,175000,17.4716,17.49,17.4716,17.49,9600,0
CEF.US,5,20210922,175500,17.4809,17.488,17.4809,17.488,810,0
CEF.US,5,20210922,180000,17.475,17.4799,17.47,17.47,900,0
CEF.US,5,20210922,180500,17.48,17.48,17.48,17.48,515,0
CEF.US,5,20210922,181000,17.48,17.48,17.48,17.48,340,0
CEF.US,5,20210922,181500,17.48,17.48,17.48,17.48,100,0
CEF.US,5,20210922,182000,17.4799,17.4799,17.46,17.465,4106,0
CEF.US,5,20210922,182500,17.465,17.47,17.46,17.46,1603,0
CEF.US,5,20210922,183000,17.4625,17.48,17.4625,17.4799,9749,0
CEF.US,5,20210922,183500,17.4628,17.4628,17.4628,17.4628,459,0
CEF.US,5,20210922,184000,17.4622,17.4622,17.4622,17.4622,300,0
CEF.US,5,20210922,184500,17.47,17.47,17.4699,17.4699,5500,0
CEF.US,5,20210922,185000,17.47,17.47,17.4658,17.4695,810,0
CEF.US,5,20210922,185500,17.46,17.48,17.46,17.48,1726,0
CEF.US,5,20210922,190000,17.48,17.48,17.4758,17.4783,920,0
CEF.US,5,20210922,190500,17.49,17.49,17.49,17.49,100,0
CEF.US,5,20210922,191000,17.48,17.48,17.4715,17.475,2231,0
CEF.US,5,20210922,191500,17.47,17.475,17.47,17.475,1100,0
CEF.US,5,20210922,192000,17.4602,17.4602,17.4602,17.4602,200,0
CEF.US,5,20210922,192500,17.46,17.4665,17.46,17.465,972,0
CEF.US,5,20210922,193000,17.465,17.47,17.465,17.47,1100,0
CEF.US,5,20210922,193500,17.465,17.465,17.4404,17.445,3273,0
CEF.US,5,20210922,194000,17.4499,17.4499,17.44,17.44,1131,0
CEF.US,5,20210922,194500,17.4499,17.4499,17.4483,17.4483,1236,0
CEF.US,5,20210922,195000,17.445,17.445,17.44,17.44,500,0
CEF.US,5,20210922,195500,17.4502,17.4502,17.4502,17.4502,500,0
CEF.US,5,20210922,200000,17.43,17.53,17.39,17.46,18620,0
CEF.US,5,20210922,200500,17.54,17.57,17.54,17.56,772,0
CEF.US,5,20210922,201000,17.57,17.585,17.56,17.585,660,0
CEF.US,5,20210922,201500,17.59,17.59,17.5799,17.5799,500,0
CEF.US,5,20210922,202000,17.56,17.57,17.55,17.55,4955,0
CEF.US,5,20210922,202500,17.579,17.579,17.56,17.56,445,0
CEF.US,5,20210922,203000,17.5799,17.6,17.5799,17.6,4494,0
CEF.US,5,20210922,203500,17.58,17.58,17.46,17.47,3992,0
CEF.US,5,20210922,204000,17.42,17.44,17.4,17.43,11960,0
CEF.US,5,20210922,204500,17.39,17.4,17.37,17.38,9331,0
CEF.US,5,20210922,205000,17.375,17.375,17.37,17.37,2528,0
CEF.US,5,20210922,205500,17.355,17.36,17.35,17.35,13090,0
CEF.US,5,20210922,210000,17.345,17.36,17.3325,17.3338,4665,0
CEF.US,5,20210922,210500,17.33,17.42,17.33,17.3901,7591,0
CEF.US,5,20210922,211000,17.395,17.395,17.39,17.3901,900,0
CEF.US,5,20210922,211500,17.405,17.415,17.405,17.41,750,0
CEF.US,5,20210922,212000,17.45,17.45,17.42,17.42,1182,0
CEF.US,5,20210922,212500,17.415,17.415,17.3901,17.4,5664,0
CEF.US,5,20210922,213000,17.4,17.4,17.365,17.37,5795,0
CEF.US,5,20210922,213500,17.366,17.37,17.366,17.37,2768,0
CEF.US,5,20210922,214000,17.375,17.375,17.36,17.36,2450,0
CEF.US,5,20210922,214500,17.3572,17.36,17.35,17.35,7414,0
CEF.US,5,20210922,215000,17.3516,17.3691,17.3516,17.3691,3974,0
CEF.US,5,20210922,215500,17.365,17.37,17.35,17.37,4317,0
CEF.US,5,20210923,153000,17.35,17.36,17.22,17.22,18457,0
CEF.US,5,20210923,153500,17.2399,17.2399,17.21,17.22,4350,0
CEF.US,5,20210923,154000,17.22,17.2214,17.2112,17.2214,4126,0
CEF.US,5,20210923,154500,17.22,17.2201,17.2,17.2,7908,0
CEF.US,5,20210923,155000,17.22,17.2386,17.2195,17.2299,1603,0
CEF.US,5,20210923,155500,17.215,17.22,17.195,17.195,5938,0
CEF.US,5,20210923,160000,17.195,17.22,17.1941,17.22,916,0
