<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CENTA.US,5,20210922,153000,42,42,41.12,41.37,3290,0
CENTA.US,5,20210922,153500,41.99,42.29,41.7,41.86,1438,0
CENTA.US,5,20210922,154000,42.16,42.22,41.82,42.22,700,0
CENTA.US,5,20210922,154500,42.175,42.19,42.175,42.19,300,0
CENTA.US,5,20210922,155000,42.17,42.17,42.17,42.17,200,0
CENTA.US,5,20210922,155500,42.12,42.23,42.05,42.15,1000,0
CENTA.US,5,20210922,160500,42.18,42.275,42.01,42.09,2000,0
CENTA.US,5,20210922,161000,42.08,42.09,41.89,41.89,6293,0
CENTA.US,5,20210922,161500,41.935,41.935,41.85,41.92,3100,0
CENTA.US,5,20210922,162000,41.8,41.8,41.8,41.8,300,0
CENTA.US,5,20210922,162500,41.91,42.02,41.91,42.02,339,0
CENTA.US,5,20210922,163500,42.06,42.17,42.06,42.17,900,0
CENTA.US,5,20210922,164000,42.12,42.12,42.12,42.12,100,0
CENTA.US,5,20210922,164500,42.21,42.22,42.16,42.16,300,0
CENTA.US,5,20210922,165500,42.15,42.15,42.055,42.055,200,0
CENTA.US,5,20210922,170000,42.19,42.2,42.19,42.2,200,0
CENTA.US,5,20210922,170500,42.25,42.25,42.23,42.23,600,0
CENTA.US,5,20210922,171000,42.2,42.42,42.155,42.38,1087,0
CENTA.US,5,20210922,171500,42.46,42.46,42.365,42.365,850,0
CENTA.US,5,20210922,172500,42.31,42.34,42.25,42.27,1906,0
CENTA.US,5,20210922,173000,42.24,42.3,42.21,42.3,500,0
CENTA.US,5,20210922,173500,42.31,42.31,42.23,42.23,300,0
CENTA.US,5,20210922,174000,42.32,42.32,42.25,42.25,400,0
CENTA.US,5,20210922,174500,42.326,42.396,42.27,42.27,1211,0
CENTA.US,5,20210922,175000,42.34,42.34,42.305,42.305,763,0
CENTA.US,5,20210922,175500,42.25,42.25,42.24,42.24,200,0
CENTA.US,5,20210922,180000,42.25,42.25,42.25,42.25,100,0
CENTA.US,5,20210922,180500,42.19,42.235,42.175,42.22,1900,0
CENTA.US,5,20210922,181500,42.25,42.25,42.05,42.11,2200,0
CENTA.US,5,20210922,182000,42.12,42.14,42.12,42.14,500,0
CENTA.US,5,20210922,182500,42.17,42.19,42.15,42.19,900,0
CENTA.US,5,20210922,183000,42.12,42.26,42.12,42.26,600,0
CENTA.US,5,20210922,183500,42.29,42.33,42.26,42.33,1000,0
CENTA.US,5,20210922,184000,42.33,42.35,42.29,42.29,900,0
CENTA.US,5,20210922,184500,42.23,42.23,42.23,42.23,100,0
CENTA.US,5,20210922,185500,42.26,42.41,42.25,42.41,1223,0
CENTA.US,5,20210922,190000,42.36,42.36,42.33,42.335,695,0
CENTA.US,5,20210922,190500,42.24,42.24,42.22,42.22,567,0
CENTA.US,5,20210922,191000,42.27,42.27,42.27,42.27,400,0
CENTA.US,5,20210922,191500,42.295,42.36,42.26,42.3,2400,0
CENTA.US,5,20210922,192000,42.28,42.28,42.28,42.28,100,0
CENTA.US,5,20210922,192500,42.315,42.375,42.315,42.365,1113,0
CENTA.US,5,20210922,193000,42.39,42.39,42.35,42.355,1000,0
CENTA.US,5,20210922,193500,42.31,42.34,42.31,42.31,700,0
CENTA.US,5,20210922,194000,42.2648,42.315,42.25,42.315,490,0
CENTA.US,5,20210922,194500,42.35,42.41,42.34,42.41,2600,0
CENTA.US,5,20210922,195000,42.39,42.39,42.3,42.3,400,0
CENTA.US,5,20210922,195500,42.34,42.35,42.34,42.35,702,0
CENTA.US,5,20210922,200000,42.4,42.64,42.4,42.64,3370,0
CENTA.US,5,20210922,200500,42.65,42.68,42.545,42.66,1500,0
CENTA.US,5,20210922,201000,42.69,42.86,42.68,42.82,4264,0
CENTA.US,5,20210922,201500,42.77,42.81,42.67,42.71,1000,0
CENTA.US,5,20210922,202000,42.75,42.75,42.61,42.74,3627,0
CENTA.US,5,20210922,202500,42.6,42.73,42.6,42.73,400,0
CENTA.US,5,20210922,203000,42.75,42.87,42.7,42.86,4261,0
CENTA.US,5,20210922,203500,42.86,42.94,42.78,42.79,5281,0
CENTA.US,5,20210922,204000,42.83,42.85,42.65,42.695,2631,0
CENTA.US,5,20210922,204500,42.68,42.69,42.57,42.57,911,0
CENTA.US,5,20210922,205000,42.58,42.65,42.56,42.6,1672,0
CENTA.US,5,20210922,205500,42.54,42.585,42.5,42.505,1600,0
CENTA.US,5,20210922,210000,42.49,42.5,42.43,42.43,800,0
CENTA.US,5,20210922,210500,42.37,42.42,42.37,42.41,872,0
CENTA.US,5,20210922,211000,42.43,42.46,42.43,42.44,3000,0
CENTA.US,5,20210922,211500,42.44,42.5,42.44,42.5,2439,0
CENTA.US,5,20210922,212000,42.45,42.6,42.45,42.51,2100,0
CENTA.US,5,20210922,212500,42.45,42.55,42.39,42.51,1760,0
CENTA.US,5,20210922,213000,42.46,42.46,42.405,42.405,600,0
CENTA.US,5,20210922,213500,42.41,42.55,42.41,42.53,4379,0
CENTA.US,5,20210922,214000,42.54,42.58,42.465,42.505,1540,0
CENTA.US,5,20210922,214500,42.48,42.5,42.23,42.3,18034,0
CENTA.US,5,20210922,215000,42.29,42.41,42.26,42.32,11060,0
CENTA.US,5,20210922,215500,42.32,42.37,42.25,42.32,41540,0
CENTA.US,5,20210923,153000,42.43,42.43,41.9375,42.2,2033,0
CENTA.US,5,20210923,153500,42.19,42.74,42.19,42.74,1400,0
CENTA.US,5,20210923,154000,42.76,42.76,42.76,42.76,300,0
CENTA.US,5,20210923,154500,42.92,42.92,42.92,42.92,100,0
CENTA.US,5,20210923,155000,42.96,42.96,42.96,42.96,100,0
CENTA.US,5,20210923,155500,42.85,42.88,42.74,42.88,16300,0
CENTA.US,5,20210923,160000,42.93,42.93,42.93,42.93,100,0
CENTA.US,5,20210923,160500,42.72,42.72,42.66,42.66,200,0
CENTA.US,5,20210923,161000,42.74,42.83,42.545,42.83,2172,0
CENTA.US,5,20210923,161500,42.71,42.81,42.65,42.81,500,0
CENTA.US,5,20210923,162000,42.64,42.8,42.64,42.8,200,0
CENTA.US,5,20210923,162500,42.64,42.83,42.64,42.83,200,0
CENTA.US,5,20210923,163000,42.82,42.82,42.8,42.81,500,0
CENTA.US,5,20210923,163500,42.81,42.91,42.735,42.75,2512,0
CENTA.US,5,20210923,164000,42.87,42.87,42.87,42.87,300,0
CENTA.US,5,20210923,164500,42.87,42.87,42.67,42.67,445,0
CENTA.US,5,20210923,165000,42.87,42.87,42.84,42.84,600,0
CENTA.US,5,20210923,165500,42.95,43.01,42.85,42.85,400,0
CENTA.US,5,20210923,170000,42.84,43.02,42.84,43.02,300,0
CENTA.US,5,20210923,170500,43.02,43.02,42.885,42.885,799,0
CENTA.US,5,20210923,171000,42.92,42.97,42.89,42.97,400,0
CENTA.US,5,20210923,171500,42.9,42.97,42.89,42.89,300,0
CENTA.US,5,20210923,172000,42.97,43.12,42.97,43.1,2717,0
CENTA.US,5,20210923,172500,43.1,43.19,43.025,43.19,1061,0
CENTA.US,5,20210923,173000,43.2,43.3,43.2,43.3,900,0
CENTA.US,5,20210923,173500,43.19,43.27,43.19,43.23,500,0
CENTA.US,5,20210923,174000,43.21,43.25,43.21,43.25,200,0
CENTA.US,5,20210923,174500,43.28,43.29,43.26,43.26,1222,0
CENTA.US,5,20210923,175000,43.07,43.21,43.07,43.07,1035,0
CENTA.US,5,20210923,175500,43.07,43.07,42.94,42.94,1000,0
CENTA.US,5,20210923,180500,42.85,42.91,42.665,42.73,2724,0
CENTA.US,5,20210923,181000,42.68,42.68,42.58,42.65,1500,0
