<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHWAU.US,5,20210922,182000,10,10,10,10,3000,0
CHWAU.US,5,20210922,182500,9.998,10,9.998,10,2000,0
CHWAU.US,5,20210922,191500,10,10,10,10,986,0
CHWAU.US,5,20210922,192000,10,10,9.9984,10,2000,0
CHWAU.US,5,20210922,192500,10,10,10,10,1000,0
CHWAU.US,5,20210922,201500,10,10,10,10,9981,0
CHWAU.US,5,20210922,211500,9.995,10,9.995,9.995,19897,0
CHWAU.US,5,20210922,212000,9.995,9.995,9.995,9.995,100,0
CHWAU.US,5,20210922,215000,10,10,10,10,100,0
CHWAU.US,5,20210922,215500,9.995,9.995,9.995,9.995,100,0
CHWAU.US,5,20210923,180500,10.01,10.02,10.01,10.02,83200,0
CHWAU.US,5,20210923,182000,10.02,10.02,10.02,10.02,25000,0
CHWAU.US,5,20210923,182500,10.01,10.03,10.01,10.03,25100,0
CHWAU.US,5,20210923,183500,10.04,10.04,10.04,10.04,25000,0
CHWAU.US,5,20210923,203500,10.03,10.03,10.03,10.03,25000,0
CHWAU.US,5,20210923,215000,10.03,10.03,10.03,10.03,16800,0
CHWAU.US,5,20210923,215500,10.025,10.06,10.025,10.06,26104,0
CHWAU.US,5,20210924,205000,10.01,10.01,10.01,10.01,10000,0
CHWAU.US,5,20210928,162500,10.055,10.06,10.055,10.06,11200,0
CHWAU.US,5,20210928,163000,10.06,10.06,10.06,10.06,3800,0
CHWAU.US,5,20210928,170500,10.1,10.1,10.1,10.1,3800,0
CHWAU.US,5,20210928,213500,10.12,10.12,10.12,10.12,500,0
CHWAU.US,5,20210928,214500,10.17,10.17,10.17,10.17,200,0
CHWAU.US,5,20210929,171500,10.1,10.1,10.1,10.1,100,0
CHWAU.US,5,20210929,183000,10.15,10.15,10.15,10.15,200,0
CHWAU.US,5,20210930,153500,10.18,10.18,10.15,10.15,40000,0
CHWAU.US,5,20210930,154000,10.16,10.16,10.16,10.16,10000,0
CHWAU.US,5,20210930,161000,10.16,10.16,10.16,10.16,10000,0
CHWAU.US,5,20210930,161500,10.16,10.16,10.16,10.16,3300,0
CHWAU.US,5,20210930,165000,10.16,10.16,10.16,10.16,200,0
CHWAU.US,5,20210930,173500,10.17,10.17,10.17,10.17,9993,0
CHWAU.US,5,20210930,175500,10.16,10.16,10.16,10.16,200,0
CHWAU.US,5,20210930,183000,10.17,10.17,10.17,10.17,9800,0
CHWAU.US,5,20210930,183500,10.17,10.17,10.17,10.17,8600,0
CHWAU.US,5,20210930,192500,10.17,10.17,10.17,10.17,43300,0
CHWAU.US,5,20210930,195000,10.17,10.17,10.17,10.17,2000,0
CHWAU.US,5,20210930,203500,10.17,10.17,10.17,10.17,10000,0
CHWAU.US,5,20210930,204000,10.17,10.17,10.17,10.17,14704,0
CHWAU.US,5,20210930,213500,10.16,10.16,10.16,10.16,100,0
CHWAU.US,5,20210930,214500,10.17,10.17,10.17,10.17,6853,0
CHWAU.US,5,20211001,215500,10.2,10.2,10.2,10.2,579,0
CHWAU.US,5,20211004,154000,10.18,10.18,10.18,10.18,2000,0
CHWAU.US,5,20211004,155500,10.07,10.07,10.07,10.07,300,0
CHWAU.US,5,20211005,153000,10.12,10.12,10.12,10.12,100,0
CHWAU.US,5,20211005,153500,10.075,10.075,10.075,10.075,100,0
CHWAU.US,5,20211005,162000,10.13,10.13,10.13,10.13,2700,0
CHWAU.US,5,20211005,162500,10.13,10.13,10.13,10.13,1000,0
CHWAU.US,5,20211005,163000,10.13,10.13,10.13,10.13,800,0
CHWAU.US,5,20211005,163500,10.12,10.12,10.12,10.12,700,0
CHWAU.US,5,20211005,164000,10.12,10.12,10.12,10.12,1000,0
CHWAU.US,5,20211005,164500,10.12,10.12,10.12,10.12,900,0
CHWAU.US,5,20211005,165000,10.12,10.1239,10.12,10.1239,800,0
CHWAU.US,5,20211005,165500,10.12,10.12,10.12,10.12,300,0
CHWAU.US,5,20211005,170000,10.12,10.12,10.12,10.12,400,0
CHWAU.US,5,20211005,170500,10.12,10.12,10.12,10.12,400,0
CHWAU.US,5,20211005,171000,10.12,10.12,10.12,10.12,300,0
CHWAU.US,5,20211005,173000,10.12,10.12,10.12,10.12,300,0
CHWAU.US,5,20211005,173500,10.12,10.12,10.12,10.12,500,0
CHWAU.US,5,20211005,174000,10.12,10.12,10.12,10.12,300,0
CHWAU.US,5,20211005,174500,10.12,10.12,10.12,10.12,100,0
CHWAU.US,5,20211005,175000,10.12,10.12,10.12,10.12,200,0
CHWAU.US,5,20211005,175500,10.12,10.12,10.12,10.12,600,0
CHWAU.US,5,20211005,180000,10.12,10.12,10.12,10.12,500,0
CHWAU.US,5,20211005,180500,10.12,10.12,10.12,10.12,500,0
CHWAU.US,5,20211005,181000,10.12,10.12,10.12,10.12,500,0
CHWAU.US,5,20211005,181500,10.12,10.12,10.12,10.12,500,0
CHWAU.US,5,20211005,182000,10.12,10.12,10.12,10.12,500,0
CHWAU.US,5,20211005,182500,10.12,10.12,10.12,10.12,400,0
CHWAU.US,5,20211005,183000,10.12,10.12,10.12,10.12,900,0
CHWAU.US,5,20211005,183500,10.12,10.12,10.12,10.12,800,0
CHWAU.US,5,20211005,184000,10.12,10.12,10.12,10.12,1100,0
CHWAU.US,5,20211005,184500,10.12,10.12,10.12,10.12,900,0
CHWAU.US,5,20211005,185000,10.12,10.12,10.12,10.12,700,0
CHWAU.US,5,20211005,185500,10.12,10.12,10.12,10.12,600,0
CHWAU.US,5,20211005,190000,10.12,10.12,10.12,10.12,500,0
CHWAU.US,5,20211005,190500,10.12,10.12,10.12,10.12,1000,0
CHWAU.US,5,20211005,191000,10.12,10.12,10.12,10.12,1000,0
CHWAU.US,5,20211005,191500,10.12,10.12,10.12,10.12,500,0
CHWAU.US,5,20211005,192000,10.12,10.12,10.12,10.12,700,0
CHWAU.US,5,20211005,192500,10.12,10.12,10.12,10.12,1300,0
