<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIF.US,5,20210922,153000,2.97,2.97,2.96,2.96,4089,0
CIF.US,5,20210922,160000,3.005,3.005,3.005,3.005,100,0
CIF.US,5,20210922,160500,3.02,3.02,3.02,3.02,1200,0
CIF.US,5,20210922,164000,3.0224,3.03,3.02,3.02,2700,0
CIF.US,5,20210922,164500,3.03,3.03,3.03,3.03,100,0
CIF.US,5,20210922,171000,3.02,3.02,3.02,3.02,500,0
CIF.US,5,20210922,173000,3.0299,3.0299,3.02,3.02,750,0
CIF.US,5,20210922,174000,3.015,3.0298,3,3.0281,16067,0
CIF.US,5,20210922,174500,3.01,3.01,3.01,3.01,100,0
CIF.US,5,20210922,180000,3.02,3.02,3.01,3.01,300,0
CIF.US,5,20210922,181500,3.02,3.02,3.02,3.02,860,0
CIF.US,5,20210922,182000,3.02,3.02,3.02,3.02,100,0
CIF.US,5,20210922,184000,3.01,3.01,3.01,3.01,100,0
CIF.US,5,20210922,190000,3.015,3.015,3.015,3.015,100,0
CIF.US,5,20210922,192000,3.015,3.015,3.015,3.015,100,0
CIF.US,5,20210922,192500,3.01,3.01,3,3,3975,0
CIF.US,5,20210922,194000,3.01,3.01,3.01,3.01,100,0
CIF.US,5,20210922,194500,3.01,3.01,3,3.0075,2298,0
CIF.US,5,20210922,200000,3,3,3,3,100,0
CIF.US,5,20210922,201000,3.01,3.01,3.01,3.01,100,0
CIF.US,5,20210922,202000,3,3,3,3,100,0
CIF.US,5,20210922,203500,3,3.0002,3,3.0002,3100,0
CIF.US,5,20210922,205000,3,3,3,3,100,0
CIF.US,5,20210922,210000,3.01,3.01,3.01,3.01,100,0
CIF.US,5,20210922,211000,3,3,3,3,100,0
CIF.US,5,20210922,212500,3,3,3,3,100,0
CIF.US,5,20210922,213500,3,3,3,3,100,0
CIF.US,5,20210922,214000,3,3,3,3,1532,0
CIF.US,5,20210922,214500,3.0001,3.0001,3.0001,3.0001,450,0
CIF.US,5,20210922,215000,3,3,3,3,100,0
CIF.US,5,20210922,215500,3,3,3,3,100,0
CIF.US,5,20210923,153000,3,3,3,3,2000,0
CIF.US,5,20210923,153500,3,3,3,3,900,0
CIF.US,5,20210923,154000,3.01,3.02,3.01,3.0198,1250,0
CIF.US,5,20210923,155500,3.0124,3.0124,3.0124,3.0124,170,0
CIF.US,5,20210923,160500,3,3,3,3,800,0
CIF.US,5,20210923,163000,3.0124,3.0124,3.0124,3.0124,2000,0
CIF.US,5,20210923,164000,3.0123,3.0123,3.0123,3.0123,1400,0
CIF.US,5,20210923,165500,3.0199,3.0199,3.0199,3.0199,1000,0
CIF.US,5,20210923,172000,3.0185,3.0185,3.0185,3.0185,100,0
CIF.US,5,20210923,173000,3.01,3.02,3.01,3.0197,4043,0
CIF.US,5,20210923,174000,3.015,3.015,3.015,3.015,700,0
CIF.US,5,20210923,181500,3.02,3.02,3.02,3.02,300,0
CIF.US,5,20210923,184500,3.015,3.015,3.015,3.015,887,0
CIF.US,5,20210923,190500,3.01,3.01,3.01,3.01,500,0
CIF.US,5,20210923,191000,3.02,3.02,3.02,3.02,265,0
CIF.US,5,20210923,204000,3.02,3.02,3.02,3.02,100,0
CIF.US,5,20210923,214000,3.02,3.02,3.02,3.02,3000,0
CIF.US,5,20210923,215000,3.0183,3.0183,3.0183,3.0183,1360,0
CIF.US,5,20210923,215500,3,3,3,3,604,0
CIF.US,5,20210924,153000,3.02,3.02,3.02,3.02,335,0
CIF.US,5,20210924,154000,3.02,3.02,3.02,3.02,400,0
CIF.US,5,20210924,154500,3.02,3.02,3.02,3.02,400,0
CIF.US,5,20210924,155000,3.02,3.02,3.02,3.02,100,0
CIF.US,5,20210924,160000,3.0299,3.0299,3.0299,3.0299,400,0
CIF.US,5,20210924,164000,3.0253,3.0253,3.0253,3.0253,195,0
CIF.US,5,20210924,164500,3.0248,3.026,3.02,3.0242,1500,0
CIF.US,5,20210924,170000,3.028,3.0658,3.028,3.0658,26892,0
CIF.US,5,20210924,170500,3.0699,3.07,3.0658,3.07,5100,0
CIF.US,5,20210924,172000,3.069,3.1199,3.06,3.1051,21236,0
CIF.US,5,20210924,173000,3.0805,3.1,3.08,3.08,5305,0
CIF.US,5,20210924,173500,3.09,3.12,3.08,3.0942,16600,0
CIF.US,5,20210924,174000,3.12,3.13,3.09,3.13,21600,0
CIF.US,5,20210924,175000,3.0972,3.0972,3.0907,3.0907,300,0
CIF.US,5,20210924,175500,3.1058,3.1058,3.1058,3.1058,200,0
CIF.US,5,20210924,184000,3.1,3.1,3.1,3.1,2000,0
CIF.US,5,20210924,191000,3.13,3.15,3.1299,3.15,12700,0
CIF.US,5,20210924,191500,3.14,3.14,3.1,3.1001,10500,0
CIF.US,5,20210924,193500,3.1093,3.1093,3.1093,3.1093,100,0
CIF.US,5,20210924,200000,3.1001,3.1001,3.1001,3.1001,4333,0
CIF.US,5,20210924,203500,3.1,3.1056,3.1,3.1056,300,0
CIF.US,5,20210924,204500,3.1005,3.108,3.1005,3.108,371,0
CIF.US,5,20210924,205000,3.1,3.108,3.1,3.108,300,0
CIF.US,5,20210924,210500,3.1,3.1064,3.1,3.1007,300,0
CIF.US,5,20210924,211500,3.1072,3.1072,3.1,3.1005,300,0
CIF.US,5,20210924,212500,3.1056,3.1056,3.1005,3.1005,400,0
CIF.US,5,20210924,213500,3.11,3.11,3.11,3.11,200,0
CIF.US,5,20210924,214000,3.1,3.1,3.1,3.1,241,0
CIF.US,5,20210924,214500,3.1014,3.1014,3.0918,3.0918,849,0
CIF.US,5,20210924,215000,3.1099,3.11,3.0908,3.0908,1502,0
CIF.US,5,20210924,215500,3.11,3.11,3.11,3.11,849,0
CIF.US,5,20210927,153500,3.095,3.095,3.0432,3.0432,5178,0
CIF.US,5,20210927,161500,3.075,3.08,3.03,3.08,5354,0
CIF.US,5,20210927,164500,3.0602,3.07,3.0602,3.07,763,0
CIF.US,5,20210927,170500,3.07,3.07,3.07,3.07,5000,0
CIF.US,5,20210927,171000,3.0582,3.0582,3.0582,3.0582,532,0
CIF.US,5,20210927,173000,3.06,3.06,3.05,3.05,9318,0
CIF.US,5,20210927,174000,3.06,3.06,3.06,3.06,147,0
CIF.US,5,20210927,175500,3.0688,3.0688,3.0688,3.0688,3000,0
CIF.US,5,20210927,183500,3.07,3.07,3.065,3.065,702,0
CIF.US,5,20210927,184500,3.065,3.065,3.06,3.06,351,0
CIF.US,5,20210927,190000,3.065,3.065,3.06,3.06,1198,0
CIF.US,5,20210927,190500,3.055,3.055,3.05,3.05,1187,0
CIF.US,5,20210927,191000,3.0325,3.04,3.03,3.0302,7994,0
CIF.US,5,20210927,193000,3.04,3.04,3.04,3.04,200,0
CIF.US,5,20210927,194500,3.032,3.032,3.032,3.032,1000,0
CIF.US,5,20210927,201000,3.04,3.04,3.04,3.04,200,0
CIF.US,5,20210927,202500,3.03,3.03,3.03,3.03,2908,0
CIF.US,5,20210927,203500,3.0324,3.0324,3.0324,3.0324,835,0
CIF.US,5,20210927,204500,3.0363,3.04,3.035,3.04,800,0
CIF.US,5,20210927,210000,3.0365,3.0365,3.0365,3.0365,293,0
CIF.US,5,20210927,211500,3.035,3.035,3.035,3.035,185,0
CIF.US,5,20210927,214500,3.0346,3.0346,3.0346,3.0346,147,0
CIF.US,5,20210928,153000,3,3,3,3,3726,0
CIF.US,5,20210928,153500,3.0142,3.05,3.0142,3.05,1100,0
CIF.US,5,20210928,155000,3.05,3.05,3.03,3.03,2220,0
CIF.US,5,20210928,155500,3.04,3.04,3.04,3.04,3100,0
CIF.US,5,20210928,160000,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,161000,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,161500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,162500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,163000,3.04,3.04,3.04,3.04,2400,0
CIF.US,5,20210928,164000,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,164500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,165500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,170000,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,171000,3.03,3.03,3.025,3.025,383,0
CIF.US,5,20210928,171500,3.03,3.03,3.03,3.03,100,0
CIF.US,5,20210928,172000,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,172500,3.03,3.03,3.03,3.03,140,0
CIF.US,5,20210928,173000,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,173500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,174500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,175000,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,175500,3.0201,3.0201,3.0201,3.0201,6550,0
CIF.US,5,20210928,180000,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,180500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,181500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,182000,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,182500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,183000,3.03,3.03,3.02,3.028,4400,0
CIF.US,5,20210928,184000,3.04,3.04,3.026,3.026,219,0
CIF.US,5,20210928,184500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,185500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,190000,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,191000,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,191500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,192500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,193000,3.0377,3.04,3.0377,3.04,600,0
CIF.US,5,20210928,193500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,194500,3.04,3.04,3.04,3.04,100,0
CIF.US,5,20210928,195000,3.03,3.03,3.03,3.03,100,0
