<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLEU.US,5,20210922,153000,2.9,2.91,2.9,2.91,2356,0
CLEU.US,5,20210922,153500,2.9127,2.9127,2.86,2.88,4504,0
CLEU.US,5,20210922,154000,2.8714,2.91,2.86,2.9,11884,0
CLEU.US,5,20210922,154500,2.895,2.94,2.87,2.9,27475,0
CLEU.US,5,20210922,155000,2.9001,2.93,2.9001,2.93,8945,0
CLEU.US,5,20210922,155500,2.91,2.9293,2.91,2.9293,1200,0
CLEU.US,5,20210922,160000,2.9172,2.93,2.9172,2.93,618,0
CLEU.US,5,20210922,160500,2.93,2.95,2.92,2.935,18295,0
CLEU.US,5,20210922,161000,2.9456,2.95,2.935,2.94,1255,0
CLEU.US,5,20210922,161500,2.9352,2.9352,2.9352,2.9352,210,0
CLEU.US,5,20210922,162000,2.9472,2.97,2.94,2.97,16486,0
CLEU.US,5,20210922,162500,2.9701,2.98,2.97,2.97,1100,0
CLEU.US,5,20210922,163000,2.96,2.98,2.96,2.98,1675,0
CLEU.US,5,20210922,163500,2.9613,2.97,2.96,2.96,5000,0
CLEU.US,5,20210922,164000,2.96,2.9685,2.96,2.965,2073,0
CLEU.US,5,20210922,164500,2.9691,2.97,2.965,2.97,1150,0
CLEU.US,5,20210922,165000,2.9609,2.9614,2.96,2.9614,2485,0
CLEU.US,5,20210922,165500,2.96,2.96,2.955,2.9594,2044,0
CLEU.US,5,20210922,170000,2.95,2.95,2.95,2.95,2672,0
CLEU.US,5,20210922,170500,2.95,2.95,2.93,2.9429,2750,0
CLEU.US,5,20210922,171000,2.9413,2.95,2.9201,2.935,11600,0
CLEU.US,5,20210922,171500,2.935,2.9393,2.9201,2.9329,2438,0
CLEU.US,5,20210922,172500,2.93,2.93,2.93,2.93,800,0
CLEU.US,5,20210922,173000,2.93,2.94,2.9217,2.94,3041,0
CLEU.US,5,20210922,173500,2.9401,2.9401,2.9401,2.9401,100,0
CLEU.US,5,20210922,174000,2.9465,2.9465,2.9222,2.9222,1356,0
CLEU.US,5,20210922,174500,2.92,2.92,2.92,2.92,300,0
CLEU.US,5,20210922,175000,2.91,2.91,2.85,2.86,5547,0
CLEU.US,5,20210922,175500,2.89,2.9357,2.81,2.82,4344,0
CLEU.US,5,20210922,180000,2.89,2.94,2.89,2.9133,325,0
CLEU.US,5,20210922,183000,2.88,2.89,2.88,2.88,2800,0
CLEU.US,5,20210922,184000,2.8978,2.9,2.891,2.8978,800,0
CLEU.US,5,20210922,184500,2.88,2.88,2.88,2.88,300,0
CLEU.US,5,20210922,185000,2.88,2.88,2.88,2.88,700,0
CLEU.US,5,20210922,185500,2.872,2.872,2.85,2.87,24435,0
CLEU.US,5,20210922,190000,2.852,2.852,2.852,2.852,100,0
CLEU.US,5,20210922,190500,2.87,2.87,2.87,2.87,450,0
CLEU.US,5,20210922,191000,2.87,2.88,2.87,2.8777,11900,0
CLEU.US,5,20210922,191500,2.8799,2.96,2.86,2.9129,185003,0
CLEU.US,5,20210922,192000,2.9146,2.94,2.8901,2.9035,65000,0
CLEU.US,5,20210922,192500,2.9001,2.92,2.89,2.89,10700,0
CLEU.US,5,20210922,193000,2.89,2.89,2.89,2.89,5000,0
CLEU.US,5,20210922,193500,2.915,2.915,2.915,2.915,2800,0
CLEU.US,5,20210922,194000,2.929,2.94,2.9201,2.9201,15800,0
CLEU.US,5,20210922,194500,2.92,2.93,2.92,2.93,800,0
CLEU.US,5,20210922,195000,2.9222,2.94,2.9222,2.93,2400,0
CLEU.US,5,20210922,195500,2.93,2.93,2.92,2.92,3000,0
CLEU.US,5,20210922,200000,2.91,2.92,2.89,2.895,6605,0
CLEU.US,5,20210922,200500,2.9,2.9,2.9,2.9,500,0
CLEU.US,5,20210922,201000,2.895,2.895,2.895,2.895,301,0
CLEU.US,5,20210922,201500,2.891,2.9,2.89,2.89,4480,0
CLEU.US,5,20210922,202500,2.93,2.955,2.93,2.9499,4450,0
CLEU.US,5,20210922,203000,2.93,2.9301,2.93,2.9301,1250,0
CLEU.US,5,20210922,203500,2.95,2.95,2.9499,2.9499,1139,0
CLEU.US,5,20210922,204000,2.9399,2.9399,2.9399,2.9399,338,0
CLEU.US,5,20210922,204500,2.9322,2.9322,2.9322,2.9322,111,0
CLEU.US,5,20210922,205500,2.9301,2.9301,2.9301,2.9301,900,0
CLEU.US,5,20210922,210000,2.948,2.948,2.948,2.948,200,0
CLEU.US,5,20210922,210500,2.9486,2.9486,2.9374,2.9374,2500,0
CLEU.US,5,20210922,211500,2.95,2.96,2.95,2.9561,2526,0
CLEU.US,5,20210922,212000,2.97,2.98,2.96,2.97,3995,0
CLEU.US,5,20210922,212500,2.961,2.97,2.96,2.9699,11347,0
CLEU.US,5,20210922,213500,2.9799,2.9799,2.9799,2.9799,100,0
CLEU.US,5,20210922,214000,2.9623,2.9623,2.9623,2.9623,100,0
CLEU.US,5,20210922,214500,2.97,2.9775,2.9474,2.955,16721,0
CLEU.US,5,20210922,215000,2.97,2.97,2.97,2.97,300,0
CLEU.US,5,20210922,215500,2.97,2.98,2.94,2.98,6863,0
CLEU.US,5,20210923,153000,3.4,3.47,2.6,2.61,1169080,0
CLEU.US,5,20210923,153500,2.62,2.71,2.07,2.1101,759850,0
CLEU.US,5,20210923,154000,2.12,2.3,1.9,2.2095,553327,0
CLEU.US,5,20210923,154500,2.18,2.34,1.7,1.7906,899391,0
CLEU.US,5,20210923,155000,1.805,1.91,1.5,1.535,1275400,0
CLEU.US,5,20210923,155500,1.52,1.64,1.4245,1.62,604364,0
CLEU.US,5,20210923,160000,1.61,1.74,1.58,1.6801,274024,0
CLEU.US,5,20210923,160500,1.6875,1.79,1.63,1.76,292896,0
CLEU.US,5,20210923,161000,1.76,1.9,1.7419,1.89,240097,0
CLEU.US,5,20210923,161500,1.8884,1.98,1.87,1.9686,161664,0
CLEU.US,5,20210923,162000,1.96,1.97,1.865,1.95,105320,0
CLEU.US,5,20210923,162500,1.95,1.98,1.92,1.94,53996,0
CLEU.US,5,20210923,163000,1.94,2.07,1.935,2.0301,182834,0
CLEU.US,5,20210923,163500,2.0375,2.04,1.94,1.96,64728,0
CLEU.US,5,20210923,164000,1.96,2.03,1.95,2,40804,0
CLEU.US,5,20210923,164500,2.0001,2.03,1.96,2.01,57018,0
CLEU.US,5,20210923,165000,2,2,1.92,1.9599,67862,0
CLEU.US,5,20210923,165500,1.97,1.97,1.925,1.925,30145,0
CLEU.US,5,20210923,170000,1.94,1.96,1.9201,1.9516,21054,0
CLEU.US,5,20210923,170500,1.9515,1.9592,1.91,1.91,30862,0
CLEU.US,5,20210923,171000,1.92,1.93,1.92,1.9299,5721,0
CLEU.US,5,20210923,171500,1.9299,1.969,1.9299,1.955,22308,0
CLEU.US,5,20210923,172000,1.9536,1.96,1.93,1.935,18787,0
CLEU.US,5,20210923,172500,1.94,1.94,1.9301,1.9301,2189,0
CLEU.US,5,20210923,173000,1.94,1.94,1.9,1.9001,61429,0
CLEU.US,5,20210923,173500,1.9,1.95,1.86,1.926,114566,0
CLEU.US,5,20210923,174000,1.9126,1.93,1.9,1.93,3361,0
CLEU.US,5,20210923,174500,1.93,1.94,1.9214,1.94,11907,0
CLEU.US,5,20210923,175000,1.9399,1.94,1.9373,1.94,6600,0
CLEU.US,5,20210923,175500,1.94,1.94,1.93,1.93,5234,0
CLEU.US,5,20210923,180000,1.9299,1.94,1.9101,1.92,10085,0
CLEU.US,5,20210923,180500,1.925,1.94,1.912,1.93,6478,0
CLEU.US,5,20210923,181000,1.93,1.94,1.92,1.94,4710,0
CLEU.US,5,20210923,181500,1.935,1.97,1.935,1.95,8802,0
CLEU.US,5,20210923,182000,1.9415,1.96,1.94,1.96,1492,0
CLEU.US,5,20210923,182500,1.9575,1.98,1.9573,1.9799,31689,0
CLEU.US,5,20210923,183000,1.98,1.98,1.9701,1.9799,34481,0
CLEU.US,5,20210923,183500,1.98,2,1.97,2,28460,0
CLEU.US,5,20210923,184000,2,2.01,1.9724,2.005,25346,0
CLEU.US,5,20210923,184500,2.01,2.02,2.001,2.0198,27891,0
CLEU.US,5,20210923,185000,2.02,2.05,2.015,2.0395,11880,0
CLEU.US,5,20210923,185500,2.04,2.05,2,2.01,58265,0
CLEU.US,5,20210923,190000,2.02,2.04,2.02,2.0252,15852,0
CLEU.US,5,20210923,190500,2.03,2.03,2.025,2.03,2150,0
CLEU.US,5,20210923,191000,2.03,2.04,2.02,2.0201,9344,0
CLEU.US,5,20210923,191500,2.02,2.02,1.9838,1.99,12877,0
CLEU.US,5,20210923,192000,1.99,1.9951,1.98,1.9951,5194,0
CLEU.US,5,20210923,192500,1.995,2,1.994,1.995,6725,0
CLEU.US,5,20210923,193000,1.9975,2,1.98,1.9899,6141,0
CLEU.US,5,20210923,193500,1.98,1.99,1.98,1.985,7666,0
CLEU.US,5,20210923,194000,1.99,1.99,1.9801,1.99,7497,0
CLEU.US,5,20210923,194500,1.9899,1.9899,1.96,1.96,14184,0
CLEU.US,5,20210923,195000,1.97,2.01,1.964,2.01,25602,0
CLEU.US,5,20210923,195500,2.01,2.028,2,2.005,21595,0
CLEU.US,5,20210923,200000,2.0099,2.02,2.0058,2.0194,5890,0
CLEU.US,5,20210923,200500,2.0199,2.02,1.9901,1.9901,12787,0
CLEU.US,5,20210923,201000,1.9925,2.01,1.9925,2,2400,0
CLEU.US,5,20210923,201500,2.01,2.01,2,2.005,900,0
CLEU.US,5,20210923,202000,2.0027,2.0094,2.0016,2.0094,975,0
CLEU.US,5,20210923,202500,2.0095,2.02,2,2.02,4324,0
CLEU.US,5,20210923,203000,2.02,2.09,2.02,2.08,86224,0
CLEU.US,5,20210923,203500,2.08,2.1,2.08,2.0801,19194,0
CLEU.US,5,20210923,204000,2.09,2.1,2.07,2.0801,8171,0
CLEU.US,5,20210923,204500,2.08,2.08,2.032,2.075,20281,0
CLEU.US,5,20210923,205000,2.07,2.08,2.0475,2.08,3163,0
CLEU.US,5,20210923,205500,2.08,2.08,2.06,2.0743,8244,0
CLEU.US,5,20210923,210000,2.08,2.09,2.0716,2.09,3219,0
CLEU.US,5,20210923,210500,2.0801,2.22,2.07,2.18,201828,0
CLEU.US,5,20210923,211000,2.18,2.194,2.15,2.17,63539,0
CLEU.US,5,20210923,211500,2.18,2.21,2.0805,2.1,156594,0
CLEU.US,5,20210923,212000,2.1199,2.15,2.08,2.125,25088,0
CLEU.US,5,20210923,212500,2.1299,2.13,2.1001,2.1001,11478,0
CLEU.US,5,20210923,213000,2.115,2.1261,2.1,2.1001,25259,0
CLEU.US,5,20210923,213500,2.1188,2.1189,2.08,2.09,14033,0
CLEU.US,5,20210923,214000,2.09,2.13,2.0863,2.1,6357,0
CLEU.US,5,20210923,214500,2.1,2.1,2.07,2.0706,14828,0
CLEU.US,5,20210923,215000,2.08,2.1242,2.08,2.1242,29651,0
CLEU.US,5,20210923,215500,2.11,2.13,2.09,2.13,43873,0
CLEU.US,5,20210924,153000,2.05,2.1,2.05,2.0628,34359,0
CLEU.US,5,20210924,153500,2.09,2.09,2.05,2.05,13024,0
CLEU.US,5,20210924,154000,2.1,2.1,2.041,2.041,13253,0
CLEU.US,5,20210924,154500,2.04,2.05,2.02,2.04,21300,0
CLEU.US,5,20210924,155000,2.04,2.04,1.95,1.95,72677,0
CLEU.US,5,20210924,155500,1.9509,2.04,1.9509,2.005,25862,0
