<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLSC.US,5,20210922,153000,25.18,25.18,25.18,25.18,100,0
CLSC.US,5,20210922,153500,25.22,25.25,25.19,25.19,1000,0
CLSC.US,5,20210922,161500,25.26,25.26,25.26,25.26,400,0
CLSC.US,5,20210922,162500,25.285,25.285,25.285,25.285,620,0
CLSC.US,5,20210922,164000,25.29,25.29,25.29,25.29,985,0
CLSC.US,5,20210922,164500,25.29,25.29,25.29,25.29,2812,0
CLSC.US,5,20210922,165000,25.277,25.28,25.277,25.28,2313,0
CLSC.US,5,20210922,191000,25.29,25.29,25.29,25.29,2101,0
CLSC.US,5,20210922,203000,25.35,25.35,25.34,25.34,39082,0
CLSC.US,5,20210922,214000,25.34,25.34,25.34,25.34,434,0
CLSC.US,5,20210922,215500,25.3,25.3,25.3,25.3,300,0
CLSC.US,5,20210923,153000,25.31,25.31,25.31,25.31,200,0
CLSC.US,5,20210923,160000,25.47,25.47,25.43,25.43,300,0
CLSC.US,5,20210923,161000,25.46,25.46,25.46,25.46,115,0
CLSC.US,5,20210923,191000,25.4386,25.4386,25.41,25.41,3790,0
CLSC.US,5,20210923,191500,25.4,25.4,25.4,25.4,3500,0
CLSC.US,5,20210923,195500,25.445,25.445,25.445,25.445,154,0
CLSC.US,5,20210923,203500,25.41,25.42,25.41,25.42,35309,0
CLSC.US,5,20210923,204000,25.43,25.43,25.43,25.43,900,0
CLSC.US,5,20210923,205000,25.4107,25.4107,25.4107,25.4107,239,0
CLSC.US,5,20210923,215500,25.4,25.4,25.4,25.4,262,0
CLSC.US,5,20210924,153000,25.34,25.34,25.34,25.34,200,0
CLSC.US,5,20210924,160500,25.34,25.34,25.34,25.34,215,0
CLSC.US,5,20210924,161500,25.33,25.33,25.33,25.33,2086,0
CLSC.US,5,20210924,183000,25.37,25.37,25.37,25.37,188,0
CLSC.US,5,20210924,201500,25.36,25.36,25.36,25.36,1400,0
CLSC.US,5,20210924,203000,25.36,25.38,25.36,25.375,40136,0
CLSC.US,5,20210924,214500,25.4,25.4,25.4,25.4,14000,0
CLSC.US,5,20210924,215500,25.38,25.38,25.38,25.38,300,0
CLSC.US,5,20210927,163000,25.34,25.34,25.34,25.34,459,0
CLSC.US,5,20210927,163500,25.34,25.34,25.3295,25.34,1720,0
CLSC.US,5,20210927,184500,25.275,25.275,25.275,25.275,651,0
CLSC.US,5,20210927,203500,25.31,25.3357,25.3,25.3357,1421,0
CLSC.US,5,20210927,204500,25.32,25.32,25.32,25.32,173,0
CLSC.US,5,20210927,205000,25.33,25.33,25.32,25.32,52047,0
CLSC.US,5,20210927,215000,25.3,25.3084,25.29,25.29,432,0
CLSC.US,5,20210927,215500,25.3,25.3,25.3,25.3,300,0
CLSC.US,5,20210928,160500,24.945,24.945,24.94,24.94,3277,0
CLSC.US,5,20210928,161500,24.92,24.92,24.905,24.905,4425,0
CLSC.US,5,20210928,172000,24.85,24.865,24.84,24.85,2264,0
CLSC.US,5,20210928,202000,24.88,24.89,24.88,24.89,8384,0
CLSC.US,5,20210928,205500,24.94,24.94,24.94,24.94,3173,0
CLSC.US,5,20210928,212500,24.8874,24.8874,24.8874,24.8874,108,0
CLSC.US,5,20210928,215500,24.83,24.83,24.83,24.83,208,0
CLSC.US,5,20210929,153500,24.94,24.94,24.94,24.94,300,0
CLSC.US,5,20210929,155000,24.97,24.97,24.97,24.97,100,0
CLSC.US,5,20210929,160500,24.98,24.98,24.97,24.98,341,0
CLSC.US,5,20210929,161000,24.97,24.97,24.97,24.97,1569,0
CLSC.US,5,20210929,200500,24.855,24.855,24.855,24.855,404,0
CLSC.US,5,20210929,201000,24.92,24.92,24.92,24.92,100,0
CLSC.US,5,20210929,202500,24.9,24.9,24.89,24.89,14924,0
CLSC.US,5,20210929,215500,24.78,24.8,24.78,24.8,400,0
CLSC.US,5,20210930,153500,24.93,24.93,24.9,24.9,900,0
CLSC.US,5,20210930,162500,24.91,24.91,24.91,24.91,400,0
CLSC.US,5,20210930,163500,24.865,24.865,24.865,24.865,853,0
CLSC.US,5,20210930,164500,24.85,24.85,24.85,24.85,635,0
CLSC.US,5,20210930,201500,24.87,24.87,24.87,24.87,678,0
CLSC.US,5,20210930,202500,24.85,24.85,24.85,24.85,5571,0
CLSC.US,5,20210930,203500,24.87,24.87,24.87,24.87,11152,0
CLSC.US,5,20210930,215500,24.71,24.71,24.71,24.71,157,0
CLSC.US,5,20211001,153000,24.52,24.78,24.52,24.78,1100,0
CLSC.US,5,20211001,154000,24.75,24.75,24.75,24.75,500,0
CLSC.US,5,20211001,154500,24.73,24.74,24.73,24.74,724,0
CLSC.US,5,20211001,155000,24.74,24.74,24.74,24.74,100,0
CLSC.US,5,20211001,160000,24.72,24.72,24.72,24.72,300,0
CLSC.US,5,20211001,160500,24.715,24.715,24.715,24.715,200,0
CLSC.US,5,20211001,161000,24.72,24.75,24.72,24.75,200,0
CLSC.US,5,20211001,161500,24.69,24.69,24.69,24.69,2049,0
CLSC.US,5,20211001,164000,24.68,24.68,24.68,24.68,400,0
CLSC.US,5,20211001,170000,24.74,24.74,24.74,24.74,100,0
