<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CODI_B.US,5,20210922,175000,27.15,27.1821,27.15,27.1821,906,0
CODI_B.US,5,20210922,192000,27.25,27.25,27.2,27.2,1960,0
CODI_B.US,5,20210922,195000,27.4,27.4,27.355,27.355,200,0
CODI_B.US,5,20210922,201500,27.4,27.42,27.375,27.39,2228,0
CODI_B.US,5,20210922,210000,27.4249,27.4249,27.39,27.39,900,0
CODI_B.US,5,20210922,213500,27.38,27.38,27.38,27.38,115,0
CODI_B.US,5,20210922,215500,27.46,27.46,27.46,27.46,100,0
CODI_B.US,5,20210923,153500,27.461,27.461,27.461,27.461,100,0
CODI_B.US,5,20210923,164500,27.44,27.44,27.44,27.44,500,0
CODI_B.US,5,20210923,173500,27.2724,27.37,27.2724,27.37,310,0
CODI_B.US,5,20210923,174000,27.32,27.32,27.32,27.32,180,0
CODI_B.US,5,20210923,194500,27.405,27.405,27.405,27.405,100,0
CODI_B.US,5,20210923,195500,27.4,27.4,27.4,27.4,994,0
CODI_B.US,5,20210923,200000,27.47,27.47,27.47,27.47,600,0
CODI_B.US,5,20210923,211500,27.47,27.47,27.47,27.47,175,0
CODI_B.US,5,20210923,215500,27.51,27.51,27.51,27.51,200,0
CODI_B.US,5,20210924,153000,27.55,27.55,27.55,27.55,510,0
CODI_B.US,5,20210924,154500,27.4105,27.4105,27.4,27.4,500,0
CODI_B.US,5,20210924,155000,27.4,27.4,27.4,27.4,254,0
CODI_B.US,5,20210924,184500,27.35,27.35,27.35,27.35,200,0
CODI_B.US,5,20210924,185000,27.3332,27.35,27.3332,27.35,500,0
CODI_B.US,5,20210924,210500,27.2623,27.2623,27.2623,27.2623,546,0
CODI_B.US,5,20210924,211000,27.35,27.35,27.35,27.35,300,0
CODI_B.US,5,20210924,212000,27.1444,27.1444,27.1444,27.1444,800,0
CODI_B.US,5,20210927,153000,27.15,27.15,27.15,27.15,600,0
CODI_B.US,5,20210927,154000,27.355,27.355,27.35,27.35,200,0
CODI_B.US,5,20210927,164500,27.355,27.355,27.355,27.355,150,0
CODI_B.US,5,20210927,171000,27.25,27.25,27.25,27.25,200,0
CODI_B.US,5,20210927,174000,27.18,27.18,27.15,27.15,759,0
CODI_B.US,5,20210927,175000,27.15,27.15,27.15,27.15,2500,0
CODI_B.US,5,20210927,175500,27.15,27.15,27.15,27.15,800,0
CODI_B.US,5,20210927,182500,27.09,27.09,27.07,27.07,200,0
CODI_B.US,5,20210927,202000,27.0504,27.0504,27.0504,27.0504,200,0
CODI_B.US,5,20210927,202500,27.06,27.06,27.06,27.06,307,0
CODI_B.US,5,20210927,205000,27.09,27.09,27.09,27.09,200,0
CODI_B.US,5,20210927,205500,27.09,27.09,27.09,27.09,300,0
CODI_B.US,5,20210927,213000,27.0595,27.0595,27.0595,27.0595,100,0
CODI_B.US,5,20210927,215000,27.1,27.1,27.1,27.1,200,0
CODI_B.US,5,20210927,215500,27.171,27.171,27.171,27.171,100,0
CODI_B.US,5,20210928,153000,26.75,26.75,26.75,26.75,1151,0
CODI_B.US,5,20210928,154000,27.0169,27.0169,26.93,26.97,1000,0
CODI_B.US,5,20210928,154500,26.73,26.73,26.73,26.73,200,0
CODI_B.US,5,20210928,163500,26.84,26.84,26.84,26.84,100,0
CODI_B.US,5,20210928,164500,26.95,26.95,26.95,26.95,127,0
CODI_B.US,5,20210928,170500,26.921,26.921,26.921,26.921,100,0
CODI_B.US,5,20210928,175000,27.105,27.105,27.105,27.105,500,0
CODI_B.US,5,20210928,183000,27.009,27.009,27.009,27.009,100,0
CODI_B.US,5,20210928,201500,27.16,27.16,27.16,27.16,100,0
CODI_B.US,5,20210928,203000,27.1184,27.1184,27.1184,27.1184,253,0
CODI_B.US,5,20210928,211500,27.25,27.26,27.25,27.26,2073,0
CODI_B.US,5,20210928,214500,27.25,27.25,27.25,27.25,800,0
CODI_B.US,5,20210929,164500,27.21,27.21,27.21,27.21,200,0
CODI_B.US,5,20210929,173500,27.349,27.35,27.349,27.35,200,0
CODI_B.US,5,20210929,181000,27.3334,27.3334,27.3332,27.3332,500,0
CODI_B.US,5,20210929,184000,27.359,27.411,27.359,27.41,1142,0
CODI_B.US,5,20210929,190000,27.3513,27.489,27.3513,27.489,1600,0
CODI_B.US,5,20210929,192000,27.49,27.49,27.49,27.49,100,0
CODI_B.US,5,20210929,200500,27.5,27.5,27.5,27.5,100,0
CODI_B.US,5,20210929,204500,27.53,27.53,27.41,27.4703,577,0
CODI_B.US,5,20210929,205500,27.44,27.44,27.44,27.44,300,0
CODI_B.US,5,20210929,212000,27.5951,27.5951,27.5951,27.5951,100,0
CODI_B.US,5,20210930,153000,27.44,27.44,27.44,27.44,100,0
CODI_B.US,5,20210930,163000,27.49,27.49,27.38,27.38,1341,0
CODI_B.US,5,20210930,164000,27.5,27.5,27.48,27.48,500,0
CODI_B.US,5,20210930,165500,27.3,27.3,27.3,27.3,543,0
CODI_B.US,5,20210930,174000,27.3155,27.3155,27.3155,27.3155,100,0
CODI_B.US,5,20210930,191500,27.24,27.285,27.1,27.215,5000,0
CODI_B.US,5,20210930,192000,27.198,27.22,27.13,27.22,3100,0
CODI_B.US,5,20210930,195000,27.31,27.31,27.31,27.31,100,0
CODI_B.US,5,20210930,205000,27.33,27.33,27.33,27.33,100,0
CODI_B.US,5,20210930,205500,27.33,27.33,27.33,27.33,100,0
CODI_B.US,5,20210930,214000,27.367,27.367,27.367,27.367,100,0
CODI_B.US,5,20210930,215500,27.45,27.45,27.45,27.45,753,0
CODI_B.US,5,20211001,212500,27.11,27.11,27.0988,27.0988,800,0
CODI_B.US,5,20211001,213500,27.24,27.24,27.24,27.24,100,0
CODI_B.US,5,20211001,215500,27.14,27.14,27.14,27.14,100,0
CODI_B.US,5,20211004,155000,27.14,27.14,27.14,27.14,100,0
CODI_B.US,5,20211004,160000,27.14,27.14,27.14,27.14,114,0
CODI_B.US,5,20211004,161500,26.8495,27.03,26.809,26.809,1200,0
CODI_B.US,5,20211004,162000,26.91,26.91,26.91,26.91,200,0
CODI_B.US,5,20211004,162500,26.8,26.8,26.799,26.8,1300,0
CODI_B.US,5,20211004,163000,26.8,26.95,26.8,26.95,700,0
CODI_B.US,5,20211004,190000,26.94,27.02,26.94,27.02,300,0
CODI_B.US,5,20211004,201000,26.98,27.111,26.98,27.111,200,0
CODI_B.US,5,20211004,214500,26.9,26.9,26.9,26.9,300,0
CODI_B.US,5,20211004,215500,26.86,26.87,26.85,26.87,836,0
CODI_B.US,5,20211005,153000,26.97,26.97,26.97,26.97,100,0
CODI_B.US,5,20211005,153500,27.0059,27.0059,27.0059,27.0059,267,0
CODI_B.US,5,20211005,160000,26.9223,26.9223,26.9223,26.9223,205,0
CODI_B.US,5,20211005,161500,26.93,26.94,26.93,26.94,200,0
CODI_B.US,5,20211005,170500,26.92,26.92,26.9,26.9,1162,0
CODI_B.US,5,20211005,180000,26.7868,26.7868,26.7868,26.7868,119,0
CODI_B.US,5,20211005,180500,26.79,26.79,26.79,26.79,140,0
CODI_B.US,5,20211005,204500,26.7944,26.8,26.7944,26.8,700,0
CODI_B.US,5,20211006,153000,26.61,26.95,26.61,26.95,4400,0
CODI_B.US,5,20211006,160000,26.62,26.62,26.6,26.6,800,0
CODI_B.US,5,20211006,160500,26.61,26.61,26.61,26.61,300,0
CODI_B.US,5,20211006,165000,26.6416,26.6416,26.6416,26.6416,100,0
CODI_B.US,5,20211006,172500,26.612,26.612,26.612,26.612,469,0
CODI_B.US,5,20211006,182000,26.54,26.54,26.54,26.54,100,0
CODI_B.US,5,20211006,185500,26.585,26.585,26.585,26.585,100,0
CODI_B.US,5,20211006,194000,26.58,26.63,26.58,26.63,400,0
CODI_B.US,5,20211006,195000,26.68,26.68,26.62,26.62,600,0
CODI_B.US,5,20211006,204500,26.57,26.57,26.57,26.57,100,0
