<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COF_H.US,5,20210922,153000,25.34,25.34,25.34,25.34,200,0
COF_H.US,5,20210922,153500,25.3634,25.38,25.3634,25.38,258,0
COF_H.US,5,20210922,154000,25.38,25.38,25.38,25.38,100,0
COF_H.US,5,20210922,160000,25.39,25.39,25.39,25.39,100,0
COF_H.US,5,20210922,161000,25.3812,25.387,25.38,25.3801,1011,0
COF_H.US,5,20210922,161500,25.3801,25.39,25.37,25.3801,1725,0
COF_H.US,5,20210922,162000,25.3811,25.386,25.3811,25.3855,725,0
COF_H.US,5,20210922,164000,25.41,25.41,25.399,25.399,700,0
COF_H.US,5,20210922,170500,25.41,25.41,25.41,25.41,100,0
COF_H.US,5,20210922,173500,25.41,25.41,25.375,25.375,343,0
COF_H.US,5,20210922,175000,25.343,25.343,25.343,25.343,665,0
COF_H.US,5,20210922,180500,25.41,25.41,25.3532,25.3532,1487,0
COF_H.US,5,20210922,183000,25.4,25.4,25.4,25.4,367,0
COF_H.US,5,20210922,185000,25.39,25.4,25.39,25.4,762,0
COF_H.US,5,20210922,191000,25.4,25.4,25.4,25.4,100,0
COF_H.US,5,20210922,191500,25.3925,25.4,25.3925,25.4,300,0
COF_H.US,5,20210922,192500,25.4,25.4,25.4,25.4,436,0
COF_H.US,5,20210922,193000,25.4,25.4,25.39,25.39,470,0
COF_H.US,5,20210922,193500,25.39,25.4,25.386,25.386,1662,0
COF_H.US,5,20210922,194000,25.4,25.4,25.4,25.4,425,0
COF_H.US,5,20210922,194500,25.4,25.4,25.4,25.4,100,0
COF_H.US,5,20210922,200000,25.4,25.41,25.4,25.41,265,0
COF_H.US,5,20210922,200500,25.4193,25.44,25.41,25.44,1907,0
COF_H.US,5,20210922,201000,25.44,25.44,25.435,25.44,790,0
COF_H.US,5,20210922,201500,25.44,25.44,25.44,25.44,1100,0
COF_H.US,5,20210922,203000,25.425,25.44,25.425,25.435,1069,0
COF_H.US,5,20210922,203500,25.43,25.44,25.43,25.44,985,0
COF_H.US,5,20210922,204000,25.43,25.47,25.43,25.46,6681,0
COF_H.US,5,20210922,205000,25.4098,25.4098,25.4098,25.4098,5000,0
COF_H.US,5,20210922,210000,25.44,25.4404,25.44,25.4404,428,0
COF_H.US,5,20210922,211000,25.46,25.46,25.46,25.46,101,0
COF_H.US,5,20210922,211500,25.46,25.46,25.46,25.46,100,0
COF_H.US,5,20210922,212500,25.46,25.46,25.4565,25.4565,622,0
COF_H.US,5,20210922,213000,25.4196,25.4196,25.4196,25.4196,725,0
