<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTKB.US,5,20210922,153000,24.63,24.945,24.22,24.56,2126,0
CTKB.US,5,20210922,153500,24.355,24.55,24.28,24.3,1100,0
CTKB.US,5,20210922,154000,24.06,24.06,24.06,24.06,100,0
CTKB.US,5,20210922,154500,24.27,24.27,24.05,24.05,200,0
CTKB.US,5,20210922,155000,24.09,24.48,24.07,24.35,10907,0
CTKB.US,5,20210922,155500,24.23,24.34,23.93,23.96,12222,0
CTKB.US,5,20210922,160000,24,24,23.76,23.85,3393,0
CTKB.US,5,20210922,160500,23.845,23.85,23.72,23.73,13303,0
CTKB.US,5,20210922,161000,23.75,23.79,23.75,23.76,888,0
CTKB.US,5,20210922,161500,23.755,23.97,23.755,23.95,2334,0
CTKB.US,5,20210922,162000,23.97,24.005,23.97,23.9795,5400,0
CTKB.US,5,20210922,162500,23.91,23.91,23.89,23.89,200,0
CTKB.US,5,20210922,163000,23.91,23.96,23.73,23.79,2980,0
CTKB.US,5,20210922,163500,23.85,23.91,23.85,23.91,300,0
CTKB.US,5,20210922,164000,23.93,24,23.93,23.97,2592,0
CTKB.US,5,20210922,164500,24.02,24.085,23.9193,23.9193,3058,0
CTKB.US,5,20210922,165000,23.78,23.895,23.74,23.85,1400,0
CTKB.US,5,20210922,170000,23.915,23.915,23.85,23.85,300,0
CTKB.US,5,20210922,170500,23.8,23.8,23.8,23.8,200,0
CTKB.US,5,20210922,171000,23.7,23.8,23.51,23.75,14716,0
CTKB.US,5,20210922,171500,23.8,23.9024,23.77,23.81,962,0
CTKB.US,5,20210922,172000,23.8,23.8,23.6,23.7,11464,0
CTKB.US,5,20210922,172500,23.7,23.71,23.63,23.63,900,0
CTKB.US,5,20210922,173000,23.61,23.61,23.61,23.61,300,0
CTKB.US,5,20210922,173500,23.7,23.71,23.69,23.71,900,0
CTKB.US,5,20210922,174000,23.69,23.69,23.66,23.675,300,0
CTKB.US,5,20210922,174500,23.6,23.61,23.59,23.59,5261,0
CTKB.US,5,20210922,175000,23.565,23.78,23.565,23.75,3050,0
CTKB.US,5,20210922,180500,23.65,23.685,23.58,23.58,981,0
CTKB.US,5,20210922,181000,23.58,23.58,23.58,23.58,200,0
CTKB.US,5,20210922,181500,23.52,23.52,23.52,23.52,100,0
CTKB.US,5,20210922,182000,23.51,23.55,23.5,23.54,400,0
CTKB.US,5,20210922,182500,23.51,23.515,23.4,23.4,2646,0
CTKB.US,5,20210922,183000,23.4,23.55,23.3705,23.52,1868,0
CTKB.US,5,20210922,183500,23.58,23.61,23.525,23.5795,1326,0
CTKB.US,5,20210922,184000,23.6,23.62,23.6,23.61,868,0
CTKB.US,5,20210922,184500,23.6,23.6,23.6,23.6,100,0
CTKB.US,5,20210922,185000,23.555,23.555,23.555,23.555,300,0
CTKB.US,5,20210922,185500,23.45,23.67,23.45,23.6,3719,0
CTKB.US,5,20210922,190000,23.5,23.5672,23.5,23.5672,280,0
CTKB.US,5,20210922,190500,23.555,23.555,23.44,23.44,200,0
CTKB.US,5,20210922,191000,23.46,23.46,23.46,23.46,100,0
CTKB.US,5,20210922,191500,23.525,23.525,23.31,23.31,581,0
CTKB.US,5,20210922,192000,23.3,23.3,23.23,23.23,700,0
CTKB.US,5,20210922,192500,23.18,23.2,23.18,23.2,200,0
CTKB.US,5,20210922,193000,23.18,23.18,23.01,23.01,1148,0
CTKB.US,5,20210922,193500,23.02,23.02,22.92,22.95,2049,0
CTKB.US,5,20210922,194000,23.01,23.12,23.01,23.08,720,0
CTKB.US,5,20210922,195000,23.1,23.11,23.05,23.075,1600,0
CTKB.US,5,20210922,195500,23.12,23.1894,23.12,23.18,1120,0
CTKB.US,5,20210922,200000,23.26,23.375,23.26,23.375,400,0
CTKB.US,5,20210922,200500,23.385,23.62,23.385,23.61,2880,0
CTKB.US,5,20210922,201000,23.64,23.76,23.61,23.735,600,0
CTKB.US,5,20210922,201500,23.83,24.08,23.83,24.08,1400,0
CTKB.US,5,20210922,202000,23.99,24.065,23.96,24.06,1000,0
CTKB.US,5,20210922,202500,23.9,24,23.85,23.85,2361,0
CTKB.US,5,20210922,203000,23.74,23.74,23.63,23.63,600,0
CTKB.US,5,20210922,203500,23.61,23.61,23.58,23.58,300,0
CTKB.US,5,20210922,204000,23.58,23.6,23.5,23.565,1600,0
CTKB.US,5,20210922,204500,23.55,23.6,23.55,23.6,200,0
CTKB.US,5,20210922,205000,23.5,23.56,23.32,23.56,7819,0
CTKB.US,5,20210922,205500,23.59,23.62,23.56,23.56,1694,0
CTKB.US,5,20210922,210000,23.62,23.81,23.62,23.66,1100,0
CTKB.US,5,20210922,211000,23.75,23.75,23.62,23.62,601,0
CTKB.US,5,20210922,211500,23.61,23.64,23.51,23.575,1291,0
CTKB.US,5,20210922,212000,23.6,23.72,23.57,23.7,1500,0
CTKB.US,5,20210922,213000,23.59,23.67,23.59,23.67,1800,0
CTKB.US,5,20210922,213500,23.69,23.725,23.69,23.715,500,0
CTKB.US,5,20210922,214000,23.72,23.79,23.72,23.78,1000,0
CTKB.US,5,20210922,214500,23.79,23.84,23.75,23.795,1000,0
CTKB.US,5,20210922,215000,23.75,23.87,23.615,23.65,3611,0
CTKB.US,5,20210922,215500,23.66,23.765,23.615,23.65,9350,0
CTKB.US,5,20210923,153000,23.61,23.61,23.61,23.61,376,0
CTKB.US,5,20210923,160000,23.522,23.522,23.522,23.522,500,0
CTKB.US,5,20210923,161000,23.55,23.61,23.55,23.61,400,0
CTKB.US,5,20210923,161500,23.61,23.63,23.3,23.3,1728,0
CTKB.US,5,20210923,162000,23.315,23.5,23.26,23.41,5554,0
CTKB.US,5,20210923,162500,23.46,23.46,23.32,23.37,7573,0
CTKB.US,5,20210923,163000,23.39,23.59,23.3,23.4,11347,0
CTKB.US,5,20210923,163500,23.43,23.48,23.43,23.48,233,0
CTKB.US,5,20210923,164000,23.32,23.62,23.3,23.62,7555,0
CTKB.US,5,20210923,164500,23.55,23.7,23.5,23.5,9668,0
CTKB.US,5,20210923,165000,23.5,23.65,23.4,23.61,15128,0
CTKB.US,5,20210923,165500,23.58,23.64,23.52,23.56,2800,0
CTKB.US,5,20210923,170000,23.4,23.56,23.4,23.48,6032,0
CTKB.US,5,20210923,170500,23.5,23.59,23.5,23.59,4274,0
CTKB.US,5,20210923,171500,23.56,23.7,23.56,23.685,800,0
CTKB.US,5,20210923,172000,23.83,23.92,23.75,23.845,2899,0
CTKB.US,5,20210923,172500,23.8475,24.07,23.8475,24.07,800,0
CTKB.US,5,20210923,173000,23.995,24.33,23.995,24.21,6865,0
CTKB.US,5,20210923,173500,24.16,24.16,24.15,24.15,300,0
CTKB.US,5,20210923,174000,24.08,24.09,24.08,24.09,200,0
CTKB.US,5,20210923,174500,24.08,24.22,24.075,24.075,500,0
CTKB.US,5,20210923,175500,24.08,24.08,24.08,24.08,200,0
CTKB.US,5,20210923,180000,24.07,24.09,23.75,23.75,700,0
CTKB.US,5,20210923,180500,23.75,23.75,23.725,23.725,200,0
CTKB.US,5,20210923,181000,23.77,23.78,23.63,23.6395,1200,0
CTKB.US,5,20210923,181500,23.61,23.7,23.585,23.6,1380,0
CTKB.US,5,20210923,182000,23.62,23.79,23.58,23.635,3661,0
CTKB.US,5,20210923,182500,23.605,23.61,23.55,23.59,743,0
CTKB.US,5,20210923,183000,23.525,23.59,23.455,23.53,500,0
CTKB.US,5,20210923,183500,23.69,23.79,23.55,23.77,1019,0
CTKB.US,5,20210923,184000,23.645,23.72,23.645,23.72,200,0
CTKB.US,5,20210923,184500,23.65,23.66,23.565,23.66,1000,0
CTKB.US,5,20210923,185000,23.73,23.76,23.645,23.69,700,0
CTKB.US,5,20210923,185500,23.565,23.75,23.565,23.75,200,0
CTKB.US,5,20210923,190000,23.575,23.625,23.575,23.625,200,0
CTKB.US,5,20210923,190500,23.565,23.9,23.56,23.725,8408,0
CTKB.US,5,20210923,191000,23.9,23.9,23.66,23.75,6607,0
CTKB.US,5,20210923,191500,23.68,23.8,23.665,23.8,600,0
CTKB.US,5,20210923,192000,23.88,24,23.82,23.95,1600,0
CTKB.US,5,20210923,192500,23.9,23.96,23.85,23.89,4008,0
CTKB.US,5,20210923,193000,23.88,23.99,23.86,23.97,1500,0
CTKB.US,5,20210923,193500,23.96,24,23.86,23.99,2500,0
CTKB.US,5,20210923,194000,23.92,24.04,23.92,24.04,1300,0
CTKB.US,5,20210923,194500,24.01,24.11,24.01,24.11,300,0
CTKB.US,5,20210923,195000,24.125,24.17,24.125,24.17,200,0
CTKB.US,5,20210923,195500,24.125,24.27,24.125,24.27,300,0
CTKB.US,5,20210923,200000,24.3,24.36,24.29,24.29,2741,0
CTKB.US,5,20210923,200500,24.39,24.39,24.38,24.3895,400,0
CTKB.US,5,20210923,201000,24.44,24.4575,24.44,24.4575,300,0
CTKB.US,5,20210923,202000,24.47,24.47,24.47,24.47,100,0
CTKB.US,5,20210923,202500,24.49,24.4922,24.3982,24.3982,700,0
CTKB.US,5,20210923,203000,24.39,24.39,24.305,24.305,300,0
CTKB.US,5,20210923,203500,24.32,24.32,24.32,24.32,100,0
CTKB.US,5,20210923,204000,24.43,24.45,24.43,24.45,200,0
CTKB.US,5,20210923,204500,24.43,24.43,24.35,24.35,400,0
CTKB.US,5,20210923,205000,24.42,24.42,24.36,24.36,200,0
CTKB.US,5,20210923,205500,24.32,24.34,24.23,24.27,400,0
CTKB.US,5,20210923,210000,24.285,24.32,24.285,24.32,300,0
CTKB.US,5,20210923,210500,24.4,24.41,24.265,24.41,300,0
CTKB.US,5,20210923,211000,24.385,24.385,24.385,24.385,100,0
CTKB.US,5,20210923,211500,24.33,24.33,24.33,24.33,100,0
CTKB.US,5,20210923,212000,24.34,24.38,24.33,24.38,700,0
CTKB.US,5,20210923,212500,24.3725,24.3725,24.3725,24.3725,100,0
CTKB.US,5,20210923,213000,24.4,24.555,24.4,24.555,583,0
CTKB.US,5,20210923,213500,24.56,24.56,24.38,24.38,700,0
CTKB.US,5,20210923,214000,24.43,24.43,24.34,24.35,1823,0
CTKB.US,5,20210923,214500,24.27,24.38,24.27,24.34,1000,0
CTKB.US,5,20210923,215000,24.34,24.37,24.28,24.33,1300,0
CTKB.US,5,20210923,215500,24.39,24.4,24.23,24.4,8702,0
CTKB.US,5,20210924,153000,24.2,24.2,24.2,24.2,1385,0
CTKB.US,5,20210924,153500,23.2357,23.36,23.2357,23.36,475,0
CTKB.US,5,20210924,155000,23.88,23.88,23.76,23.76,200,0
