<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CWEN-A.US,5,20210922,153000,29.19,29.19,29.19,29.19,414,0
CWEN-A.US,5,20210922,153500,29.42,29.42,29.42,29.42,270,0
CWEN-A.US,5,20210922,154500,29.44,29.51,29.4,29.51,402,0
CWEN-A.US,5,20210922,155000,29.45,29.51,29.45,29.49,1000,0
CWEN-A.US,5,20210922,160500,29.64,29.72,29.64,29.72,2329,0
CWEN-A.US,5,20210922,161000,29.7,29.71,29.7,29.7,706,0
CWEN-A.US,5,20210922,161500,29.71,29.72,29.71,29.72,289,0
CWEN-A.US,5,20210922,162500,29.72,29.77,29.72,29.77,359,0
CWEN-A.US,5,20210922,163000,29.8,29.81,29.8,29.81,1200,0
CWEN-A.US,5,20210922,163500,29.85,29.86,29.85,29.86,300,0
CWEN-A.US,5,20210922,164000,29.84,29.88,29.825,29.855,1283,0
CWEN-A.US,5,20210922,164500,29.805,29.805,29.805,29.805,100,0
CWEN-A.US,5,20210922,165000,29.8,29.82,29.8,29.82,200,0
CWEN-A.US,5,20210922,165500,29.82,29.82,29.82,29.82,100,0
CWEN-A.US,5,20210922,170000,29.8,29.83,29.8,29.83,701,0
CWEN-A.US,5,20210922,170500,29.91,29.91,29.91,29.91,100,0
CWEN-A.US,5,20210922,171500,29.94,29.94,29.94,29.94,100,0
CWEN-A.US,5,20210922,172000,29.94,29.94,29.94,29.94,200,0
CWEN-A.US,5,20210922,173000,29.94,29.94,29.94,29.94,100,0
CWEN-A.US,5,20210922,173500,29.95,29.98,29.94,29.94,600,0
CWEN-A.US,5,20210922,174000,29.905,29.905,29.905,29.905,100,0
CWEN-A.US,5,20210922,174500,29.92,29.92,29.92,29.92,680,0
CWEN-A.US,5,20210922,175500,29.95,29.96,29.94,29.96,563,0
CWEN-A.US,5,20210922,180000,29.95,29.97,29.95,29.97,200,0
CWEN-A.US,5,20210922,180500,29.98,29.98,29.96,29.96,400,0
CWEN-A.US,5,20210922,181000,29.97,29.97,29.97,29.97,101,0
CWEN-A.US,5,20210922,181500,29.97,29.97,29.97,29.97,100,0
CWEN-A.US,5,20210922,182000,29.92,29.96,29.92,29.96,1400,0
CWEN-A.US,5,20210922,182500,29.94,29.94,29.94,29.94,150,0
CWEN-A.US,5,20210922,183000,29.98,30,29.98,29.99,1250,0
CWEN-A.US,5,20210922,184500,30.03,30.03,30.03,30.03,340,0
CWEN-A.US,5,20210922,185000,29.99,29.99,29.99,29.99,100,0
CWEN-A.US,5,20210922,190000,30,30,29.98,29.98,10400,0
CWEN-A.US,5,20210922,190500,29.96,29.96,29.96,29.96,100,0
CWEN-A.US,5,20210922,191000,29.9,29.95,29.9,29.92,1380,0
CWEN-A.US,5,20210922,191500,29.96,29.96,29.96,29.96,106,0
CWEN-A.US,5,20210922,192500,30.04,30.04,30.04,30.04,100,0
CWEN-A.US,5,20210922,193000,29.99,29.99,29.99,29.99,200,0
CWEN-A.US,5,20210922,194000,29.95,29.95,29.95,29.95,300,0
CWEN-A.US,5,20210922,194500,29.94,29.94,29.94,29.94,100,0
CWEN-A.US,5,20210922,195000,29.91,29.91,29.87,29.87,200,0
CWEN-A.US,5,20210922,195500,29.83,29.85,29.8,29.85,513,0
CWEN-A.US,5,20210922,200000,29.88,29.88,29.88,29.88,100,0
CWEN-A.US,5,20210922,200500,29.91,29.92,29.91,29.92,304,0
CWEN-A.US,5,20210922,201000,29.955,30,29.95,29.97,1231,0
CWEN-A.US,5,20210922,201500,30.01,30.01,30.01,30.01,200,0
CWEN-A.US,5,20210922,202000,30.03,30.03,30.03,30.03,100,0
CWEN-A.US,5,20210922,202500,29.98,29.998,29.98,29.998,206,0
CWEN-A.US,5,20210922,203000,30.03,30.03,30.01,30.01,492,0
CWEN-A.US,5,20210922,203500,30.03,30.04,29.98,29.98,17493,0
CWEN-A.US,5,20210922,204000,29.94,29.95,29.9,29.95,1168,0
CWEN-A.US,5,20210922,204500,29.955,29.97,29.94,29.94,2056,0
CWEN-A.US,5,20210922,205000,29.91,29.91,29.91,29.91,100,0
CWEN-A.US,5,20210922,205500,29.96,29.96,29.92,29.94,539,0
CWEN-A.US,5,20210922,210000,29.91,29.91,29.88,29.88,700,0
CWEN-A.US,5,20210922,210500,29.89,29.89,29.88,29.88,200,0
CWEN-A.US,5,20210922,211000,29.92,29.94,29.92,29.93,1837,0
CWEN-A.US,5,20210922,211500,29.94,29.94,29.94,29.94,201,0
CWEN-A.US,5,20210922,212000,29.95,29.96,29.9399,29.95,1630,0
CWEN-A.US,5,20210922,212500,29.91,29.91,29.89,29.9,1254,0
CWEN-A.US,5,20210922,213000,29.88,29.88,29.88,29.88,1300,0
CWEN-A.US,5,20210922,213500,29.81,29.87,29.81,29.87,402,0
CWEN-A.US,5,20210922,214000,29.8,29.83,29.8,29.83,935,0
CWEN-A.US,5,20210922,214500,29.74,29.75,29.72,29.75,501,0
CWEN-A.US,5,20210922,215000,29.74,29.74,29.69,29.71,1142,0
CWEN-A.US,5,20210922,215500,29.7,29.79,29.68,29.76,27397,0
CWEN-A.US,5,20210923,153000,29.85,29.9999,29.85,29.9999,646,0
CWEN-A.US,5,20210923,153500,29.925,30.04,29.925,30.04,600,0
CWEN-A.US,5,20210923,154000,30.076,30.15,30.07,30.15,1509,0
CWEN-A.US,5,20210923,154500,30.105,30.105,30.105,30.105,983,0
CWEN-A.US,5,20210923,155000,30.03,30.03,29.99,29.99,500,0
CWEN-A.US,5,20210923,155500,29.97,29.97,29.97,29.97,100,0
CWEN-A.US,5,20210923,160000,29.92,29.93,29.92,29.92,1000,0
CWEN-A.US,5,20210923,160500,29.8,29.8,29.8,29.8,100,0
CWEN-A.US,5,20210923,161000,29.8,29.87,29.8,29.865,4853,0
CWEN-A.US,5,20210923,161500,29.84,29.84,29.775,29.775,300,0
CWEN-A.US,5,20210923,162500,29.765,29.775,29.765,29.775,600,0
CWEN-A.US,5,20210923,163000,29.74,29.78,29.74,29.78,381,0
CWEN-A.US,5,20210923,164000,29.65,29.66,29.65,29.66,268,0
CWEN-A.US,5,20210923,164500,29.64,29.65,29.64,29.65,357,0
CWEN-A.US,5,20210923,165000,29.6566,29.74,29.6566,29.74,1450,0
CWEN-A.US,5,20210923,165500,29.73,29.73,29.691,29.7,301,0
CWEN-A.US,5,20210923,170000,29.7,29.7,29.7,29.7,200,0
CWEN-A.US,5,20210923,170500,29.69,29.69,29.69,29.69,100,0
CWEN-A.US,5,20210923,171000,29.7776,29.7776,29.7776,29.7776,100,0
CWEN-A.US,5,20210923,171500,29.71,29.75,29.68,29.75,12626,0
CWEN-A.US,5,20210923,172000,29.7406,29.8,29.7406,29.79,1126,0
CWEN-A.US,5,20210923,173500,29.87,29.87,29.85,29.85,992,0
CWEN-A.US,5,20210923,174000,29.85,29.85,29.8,29.8,691,0
CWEN-A.US,5,20210923,175000,29.815,29.815,29.78,29.8,1100,0
CWEN-A.US,5,20210923,175500,29.81,29.82,29.81,29.82,1207,0
CWEN-A.US,5,20210923,180000,29.78,29.78,29.78,29.78,100,0
CWEN-A.US,5,20210923,181000,29.805,29.805,29.805,29.805,300,0
CWEN-A.US,5,20210923,181500,29.81,29.83,29.81,29.83,200,0
CWEN-A.US,5,20210923,182500,29.83,29.87,29.83,29.87,592,0
CWEN-A.US,5,20210923,184500,29.83,29.83,29.79,29.8,1300,0
CWEN-A.US,5,20210923,185000,29.78,29.8,29.78,29.8,500,0
CWEN-A.US,5,20210923,190000,29.79,29.795,29.79,29.795,300,0
CWEN-A.US,5,20210923,192000,29.78,29.8,29.77,29.8,10799,0
CWEN-A.US,5,20210923,192500,29.82,29.82,29.79,29.805,550,0
CWEN-A.US,5,20210923,193000,29.82,29.93,29.82,29.93,1900,0
CWEN-A.US,5,20210923,193500,29.94,29.94,29.93,29.94,300,0
CWEN-A.US,5,20210923,194000,30,30,30,30,300,0
CWEN-A.US,5,20210923,194500,30.01,30.01,29.95,29.98,1800,0
CWEN-A.US,5,20210923,195000,30,30,29.97,29.975,1600,0
CWEN-A.US,5,20210923,195500,29.9861,29.995,29.95,29.974,2257,0
CWEN-A.US,5,20210923,200000,29.964,30.04,29.964,30.04,930,0
CWEN-A.US,5,20210923,200500,30.07,30.07,30.02,30.02,500,0
CWEN-A.US,5,20210923,201000,30.05,30.07,30.05,30.07,996,0
CWEN-A.US,5,20210923,202000,30.06,30.06,30.02,30.05,4324,0
CWEN-A.US,5,20210923,202500,30.03,30.03,30.03,30.03,300,0
CWEN-A.US,5,20210923,203000,29.99,30.05,29.99,30.0492,1887,0
CWEN-A.US,5,20210923,203500,30.02,30.03,30.02,30.025,1252,0
CWEN-A.US,5,20210923,204500,30,30.05,30,30.0112,2961,0
CWEN-A.US,5,20210923,205500,30.01,30.03,30.01,30.03,404,0
CWEN-A.US,5,20210923,210000,29.99,29.99,29.99,29.99,100,0
CWEN-A.US,5,20210923,210500,29.99,29.99,29.9615,29.9615,749,0
CWEN-A.US,5,20210923,211000,29.93,29.93,29.89,29.89,400,0
CWEN-A.US,5,20210923,211500,29.905,29.905,29.905,29.905,100,0
CWEN-A.US,5,20210923,212000,29.86,29.95,29.86,29.91,3682,0
CWEN-A.US,5,20210923,212500,29.89,29.89,29.88,29.88,301,0
CWEN-A.US,5,20210923,213000,29.87,29.87,29.81,29.81,2636,0
