<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CWK.US,5,20210922,153000,17.84,17.98,17.6,17.93,46470,0
CWK.US,5,20210922,153500,17.93,17.95,17.83,17.84,4013,0
CWK.US,5,20210922,154000,17.84,17.95,17.82,17.95,8329,0
CWK.US,5,20210922,154500,17.95,18.04,17.91,17.94,23289,0
CWK.US,5,20210922,155000,17.935,17.995,17.92,17.94,6937,0
CWK.US,5,20210922,155500,17.94,18.03,17.93,18.02,6633,0
CWK.US,5,20210922,160000,18.02,18.08,17.99,18.03,9185,0
CWK.US,5,20210922,160500,18.03,18.06,18.02,18.06,9125,0
CWK.US,5,20210922,161000,18.05,18.055,17.96,18,4366,0
CWK.US,5,20210922,161500,18.01,18.07,18.01,18.04,5368,0
CWK.US,5,20210922,162000,18.03,18.03,17.96,18,10498,0
CWK.US,5,20210922,162500,17.99,18,17.94,17.94,2395,0
CWK.US,5,20210922,163000,17.95,18.05,17.95,18.05,5523,0
CWK.US,5,20210922,163500,18.05,18.07,17.98,17.98,10105,0
CWK.US,5,20210922,164000,17.96,18,17.93,17.99,5706,0
CWK.US,5,20210922,164500,17.99,18.01,17.925,17.99,7319,0
CWK.US,5,20210922,165000,17.98,17.985,17.94,17.94,3684,0
CWK.US,5,20210922,165500,17.94,17.96,17.92,17.94,2774,0
CWK.US,5,20210922,170000,17.95,17.95,17.935,17.945,2128,0
CWK.US,5,20210922,170500,17.94,17.96,17.935,17.94,3708,0
CWK.US,5,20210922,171000,17.935,18,17.935,17.995,2217,0
CWK.US,5,20210922,171500,18,18.04,18,18.04,1229,0
CWK.US,5,20210922,172000,18.0499,18.06,18.045,18.06,2120,0
CWK.US,5,20210922,172500,18.055,18.085,18.055,18.065,3600,0
CWK.US,5,20210922,173000,18.07,18.095,18.07,18.09,4065,0
CWK.US,5,20210922,173500,18.095,18.1,18.03,18.04,9746,0
CWK.US,5,20210922,174000,18.04,18.06,18.025,18.06,2654,0
CWK.US,5,20210922,174500,18.06,18.06,18.03,18.035,4403,0
CWK.US,5,20210922,175000,18.05,18.06,18,18.03,9202,0
CWK.US,5,20210922,175500,18.03,18.04,18.03,18.035,600,0
CWK.US,5,20210922,180000,18.035,18.07,18.035,18.07,2667,0
CWK.US,5,20210922,180500,18.07,18.07,18.03,18.03,1747,0
CWK.US,5,20210922,181000,18.03,18.05,18.03,18.035,1401,0
CWK.US,5,20210922,181500,18.03,18.03,18.01,18.02,541,0
CWK.US,5,20210922,182000,18.02,18.02,18,18,1190,0
CWK.US,5,20210922,182500,18,18,17.995,17.995,500,0
CWK.US,5,20210922,183000,17.995,18,17.995,18,900,0
CWK.US,5,20210922,183500,18.005,18.005,17.99,17.99,1616,0
CWK.US,5,20210922,184000,17.98,17.985,17.96,17.97,1926,0
CWK.US,5,20210922,184500,17.97,17.98,17.97,17.98,1510,0
CWK.US,5,20210922,185000,17.985,17.985,17.965,17.965,1270,0
CWK.US,5,20210922,185500,17.97,18,17.97,18,1613,0
CWK.US,5,20210922,190000,17.99,17.99,17.98,17.98,1771,0
CWK.US,5,20210922,190500,17.975,17.975,17.96,17.96,1600,0
CWK.US,5,20210922,191000,17.96,17.97,17.96,17.97,2249,0
CWK.US,5,20210922,191500,17.97,18.009,17.97,17.99,3692,0
CWK.US,5,20210922,192000,17.98,17.98,17.97,17.97,1428,0
CWK.US,5,20210922,192500,17.975,18.015,17.975,18.015,4018,0
CWK.US,5,20210922,193000,18.01,18.04,18.01,18.04,5902,0
CWK.US,5,20210922,193500,18.05,18.05,18.025,18.04,1447,0
CWK.US,5,20210922,194000,18.045,18.085,18.045,18.06,4196,0
CWK.US,5,20210922,194500,18.05,18.05,18.04,18.045,911,0
CWK.US,5,20210922,195000,18.04,18.04,18.02,18.04,3052,0
CWK.US,5,20210922,195500,18.03,18.05,18.02,18.04,2367,0
CWK.US,5,20210922,200000,18.04,18.12,18.02,18.1,4531,0
CWK.US,5,20210922,200500,18.1,18.1,18.07,18.1,1731,0
CWK.US,5,20210922,201000,18.11,18.16,18.1,18.16,5901,0
CWK.US,5,20210922,201500,18.16,18.17,18.135,18.14,7626,0
CWK.US,5,20210922,202000,18.14,18.15,18.09,18.12,7886,0
CWK.US,5,20210922,202500,18.13,18.2,18.13,18.2,11398,0
CWK.US,5,20210922,203000,18.2,18.21,18.175,18.18,8800,0
CWK.US,5,20210922,203500,18.185,18.22,18.15,18.16,4452,0
CWK.US,5,20210922,204000,18.15,18.17,18.13,18.14,5949,0
CWK.US,5,20210922,204500,18.14,18.14,18.1,18.1,8319,0
CWK.US,5,20210922,205000,18.09,18.13,18.07,18.11,7469,0
CWK.US,5,20210922,205500,18.11,18.12,18.095,18.1,5230,0
CWK.US,5,20210922,210000,18.08,18.1,18.08,18.1,6693,0
CWK.US,5,20210922,210500,18.1,18.11,18.08,18.11,3861,0
CWK.US,5,20210922,211000,18.12,18.15,18.11,18.145,5139,0
CWK.US,5,20210922,211500,18.15,18.18,18.15,18.18,5224,0
CWK.US,5,20210922,212000,18.2,18.21,18.19,18.19,3700,0
CWK.US,5,20210922,212500,18.19,18.2,18.165,18.195,5924,0
CWK.US,5,20210922,213000,18.19,18.21,18.15,18.15,9348,0
CWK.US,5,20210922,213500,18.155,18.185,18.15,18.175,10384,0
CWK.US,5,20210922,214000,18.17,18.18,18.13,18.14,14696,0
CWK.US,5,20210922,214500,18.135,18.16,18.13,18.13,12959,0
CWK.US,5,20210922,215000,18.12,18.135,18.09,18.12,17495,0
CWK.US,5,20210922,215500,18.12,18.12,18.06,18.08,154461,0
CWK.US,5,20210923,153000,18.2,18.24,18.06,18.18,11105,0
CWK.US,5,20210923,153500,18.25,18.38,18.25,18.38,15157,0
CWK.US,5,20210923,154000,18.38,18.43,18.34,18.43,26217,0
CWK.US,5,20210923,154500,18.415,18.48,18.35,18.39,20014,0
CWK.US,5,20210923,155000,18.39,18.39,18.32,18.33,2705,0
CWK.US,5,20210923,155500,18.36,18.4,18.345,18.4,4510,0
CWK.US,5,20210923,160000,18.4,18.43,18.37,18.41,23135,0
CWK.US,5,20210923,160500,18.41,18.41,18.34,18.35,3073,0
CWK.US,5,20210923,161000,18.37,18.39,18.36,18.37,30283,0
CWK.US,5,20210923,161500,18.37,18.39,18.345,18.36,6173,0
CWK.US,5,20210923,162000,18.35,18.375,18.35,18.36,15445,0
CWK.US,5,20210923,162500,18.36,18.38,18.36,18.37,2297,0
CWK.US,5,20210923,163000,18.36,18.39,18.36,18.375,7200,0
CWK.US,5,20210923,163500,18.37,18.38,18.335,18.35,13692,0
CWK.US,5,20210923,164000,18.345,18.35,18.325,18.35,2940,0
CWK.US,5,20210923,164500,18.345,18.39,18.345,18.385,11241,0
CWK.US,5,20210923,165000,18.39,18.395,18.37,18.38,4462,0
CWK.US,5,20210923,165500,18.38,18.38,18.32,18.345,1998,0
CWK.US,5,20210923,170000,18.345,18.365,18.345,18.365,1400,0
CWK.US,5,20210923,170500,18.36,18.38,18.355,18.37,5281,0
CWK.US,5,20210923,171000,18.37,18.39,18.355,18.355,4796,0
CWK.US,5,20210923,171500,18.35,18.39,18.35,18.37,9266,0
CWK.US,5,20210923,172000,18.375,18.39,18.36,18.375,7143,0
CWK.US,5,20210923,172500,18.385,18.405,18.37,18.38,2646,0
CWK.US,5,20210923,173000,18.37,18.38,18.33,18.335,3077,0
CWK.US,5,20210923,173500,18.33,18.38,18.32,18.38,3423,0
CWK.US,5,20210923,174000,18.38,18.43,18.38,18.41,2193,0
CWK.US,5,20210923,174500,18.415,18.44,18.415,18.44,3606,0
CWK.US,5,20210923,175000,18.45,18.45,18.42,18.45,4904,0
CWK.US,5,20210923,175500,18.45,18.455,18.44,18.455,3092,0
CWK.US,5,20210923,180000,18.445,18.46,18.44,18.455,2351,0
CWK.US,5,20210923,180500,18.46,18.47,18.46,18.465,1187,0
CWK.US,5,20210923,181000,18.47,18.485,18.47,18.475,5560,0
CWK.US,5,20210923,181500,18.48,18.49,18.475,18.485,2401,0
CWK.US,5,20210923,182000,18.485,18.485,18.485,18.485,100,0
CWK.US,5,20210923,182500,18.48,18.505,18.47,18.49,8800,0
CWK.US,5,20210923,183000,18.5,18.5,18.465,18.47,2066,0
CWK.US,5,20210923,183500,18.46,18.48,18.45,18.46,3557,0
CWK.US,5,20210923,184000,18.46,18.49,18.46,18.47,3061,0
CWK.US,5,20210923,184500,18.48,18.485,18.46,18.47,4126,0
CWK.US,5,20210923,185000,18.47,18.475,18.465,18.47,2095,0
CWK.US,5,20210923,185500,18.47,18.48,18.445,18.45,2326,0
CWK.US,5,20210923,190000,18.45,18.475,18.45,18.46,5686,0
CWK.US,5,20210923,190500,18.45,18.46,18.44,18.46,2725,0
CWK.US,5,20210923,191000,18.45,18.47,18.445,18.4675,4509,0
CWK.US,5,20210923,191500,18.47,18.485,18.46,18.485,3122,0
CWK.US,5,20210923,192000,18.49,18.495,18.48,18.48,2699,0
CWK.US,5,20210923,192500,18.485,18.485,18.46,18.46,1439,0
CWK.US,5,20210923,193000,18.47,18.48,18.45,18.46,6113,0
CWK.US,5,20210923,193500,18.45,18.48,18.45,18.48,3912,0
CWK.US,5,20210923,194000,18.485,18.485,18.47,18.48,2433,0
CWK.US,5,20210923,194500,18.47,18.49,18.47,18.485,3879,0
CWK.US,5,20210923,195000,18.49,18.5,18.48,18.495,7832,0
CWK.US,5,20210923,195500,18.5,18.515,18.47,18.475,29264,0
CWK.US,5,20210923,200000,18.47,18.485,18.465,18.475,4075,0
CWK.US,5,20210923,200500,18.46,18.48,18.46,18.475,3634,0
CWK.US,5,20210923,201000,18.475,18.5,18.47,18.495,3819,0
CWK.US,5,20210923,201500,18.495,18.5,18.48,18.485,1500,0
CWK.US,5,20210923,202000,18.485,18.5,18.485,18.495,4595,0
CWK.US,5,20210923,202500,18.495,18.5,18.46,18.465,3049,0
CWK.US,5,20210923,203000,18.47,18.5,18.45,18.46,4535,0
CWK.US,5,20210923,203500,18.46,18.47,18.45,18.46,4510,0
CWK.US,5,20210923,204000,18.45,18.46,18.44,18.44,1667,0
CWK.US,5,20210923,204500,18.45,18.48,18.45,18.47,16964,0
CWK.US,5,20210923,205000,18.465,18.485,18.46,18.48,6195,0
CWK.US,5,20210923,205500,18.47,18.485,18.46,18.465,4511,0
CWK.US,5,20210923,210000,18.47,18.49,18.46,18.465,2600,0
