<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDD.US,5,20210922,153000,28.75,29.1,28.66,29.03,69386,0
DDD.US,5,20210922,153500,29.03,29.2,29.03,29.2,17217,0
DDD.US,5,20210922,154000,29.22,29.33,28.9244,29.03,21923,0
DDD.US,5,20210922,154500,29.03,29.17,28.95,29.155,11855,0
DDD.US,5,20210922,155000,29.11,29.23,29.07,29.09,23173,0
DDD.US,5,20210922,155500,29.09,29.2499,29,29.07,19209,0
DDD.US,5,20210922,160000,29.05,29.1387,28.95,29.1387,13755,0
DDD.US,5,20210922,160500,29.1385,29.275,29.05,29.2,16586,0
DDD.US,5,20210922,161000,29.2199,29.26,29.1,29.215,9218,0
DDD.US,5,20210922,161500,29.1801,29.3,29.18,29.26,6279,0
DDD.US,5,20210922,162000,29.27,29.28,29,29,18489,0
DDD.US,5,20210922,162500,29,29.04,28.95,29,18223,0
DDD.US,5,20210922,163000,29.02,29.08,28.96,29.0272,11156,0
DDD.US,5,20210922,163500,29.11,29.25,29.02,29.23,9314,0
DDD.US,5,20210922,164000,29.18,29.33,29.145,29.27,9664,0
DDD.US,5,20210922,164500,29.21,29.2399,29.16,29.21,8836,0
DDD.US,5,20210922,165000,29.2033,29.2033,29.01,29.03,9254,0
DDD.US,5,20210922,165500,29.035,29.1,28.9964,29.05,16846,0
DDD.US,5,20210922,170000,29.04,29.06,28.95,28.98,10770,0
DDD.US,5,20210922,170500,29,29,28.95,28.97,7707,0
DDD.US,5,20210922,171000,28.97,29.03,28.89,28.895,83566,0
DDD.US,5,20210922,171500,28.9,29.01,28.9,28.99,10108,0
DDD.US,5,20210922,172000,28.995,29.0477,28.93,28.96,5627,0
DDD.US,5,20210922,172500,28.97,29.02,28.97,29.02,6685,0
DDD.US,5,20210922,173000,29.01,29.08,28.96,29.06,6434,0
DDD.US,5,20210922,173500,29.05,29.08,29.01,29.03,8702,0
DDD.US,5,20210922,174000,29.05,29.1076,28.88,28.96,41981,0
DDD.US,5,20210922,174500,28.94,28.94,28.7,28.75,29598,0
DDD.US,5,20210922,175000,28.76,28.86,28.66,28.7112,12676,0
DDD.US,5,20210922,175500,28.71,28.76,28.69,28.7482,10918,0
DDD.US,5,20210922,180000,28.74,28.8,28.74,28.79,5736,0
DDD.US,5,20210922,180500,28.8199,28.84,28.74,28.84,8464,0
DDD.US,5,20210922,181000,28.84,28.855,28.8,28.835,3341,0
DDD.US,5,20210922,181500,28.845,28.87,28.79,28.8,4451,0
DDD.US,5,20210922,182000,28.8251,28.86,28.81,28.85,7351,0
DDD.US,5,20210922,182500,28.83,28.89,28.785,28.8886,5662,0
DDD.US,5,20210922,183000,28.89,28.9499,28.89,28.9356,3981,0
DDD.US,5,20210922,183500,28.95,29.02,28.95,28.981,7763,0
DDD.US,5,20210922,184000,28.98,29.005,28.95,28.96,12253,0
DDD.US,5,20210922,184500,28.98,29.04,28.98,29.04,3480,0
DDD.US,5,20210922,185000,29.055,29.08,28.99,29,4592,0
DDD.US,5,20210922,185500,29,29.02,28.96,29,5150,0
DDD.US,5,20210922,190000,29.01,29.01,28.95,29,20228,0
DDD.US,5,20210922,190500,29,29.01,28.97,28.97,10291,0
DDD.US,5,20210922,191000,28.95,28.98,28.88,28.95,4571,0
DDD.US,5,20210922,191500,28.95,29,28.91,29,8315,0
DDD.US,5,20210922,192000,28.995,29.06,28.96,28.96,10387,0
DDD.US,5,20210922,192500,28.96,29.03,28.96,28.9817,9051,0
DDD.US,5,20210922,193000,28.98,29.08,28.97,29.08,6623,0
DDD.US,5,20210922,193500,29.08,29.09,28.97,28.98,8479,0
DDD.US,5,20210922,194000,28.98,29.02,28.98,29.01,3151,0
DDD.US,5,20210922,194500,29.0002,29.005,28.96,28.99,5985,0
DDD.US,5,20210922,195000,28.99,29.01,28.95,28.96,5435,0
DDD.US,5,20210922,195500,28.965,29,28.95,29,3698,0
DDD.US,5,20210922,200000,28.97,29.18,28.92,29.18,16620,0
DDD.US,5,20210922,200500,29.17,29.21,29.09,29.16,19969,0
DDD.US,5,20210922,201000,29.16,29.3,29.16,29.2999,10151,0
DDD.US,5,20210922,201500,29.2942,29.365,29.2,29.2,13439,0
DDD.US,5,20210922,202000,29.2199,29.2199,29.09,29.175,8960,0
DDD.US,5,20210922,202500,29.1849,29.31,29.1849,29.31,3528,0
DDD.US,5,20210922,203000,29.34,29.41,29.26,29.3899,10647,0
DDD.US,5,20210922,203500,29.389,29.43,29.23,29.27,6942,0
DDD.US,5,20210922,204000,29.27,29.27,29.12,29.1978,8048,0
DDD.US,5,20210922,204500,29.19,29.22,29.09,29.09,19816,0
DDD.US,5,20210922,205000,29.08,29.22,28.95,29.145,24735,0
DDD.US,5,20210922,205500,29.12,29.15,29.04,29.13,10221,0
DDD.US,5,20210922,210000,29.12,29.14,29.06,29.115,8360,0
DDD.US,5,20210922,210500,29.12,29.18,29.07,29.13,5010,0
DDD.US,5,20210922,211000,29.16,29.31,29.15,29.2824,7972,0
DDD.US,5,20210922,211500,29.28,29.29,29.23,29.29,6213,0
DDD.US,5,20210922,212000,29.3,29.31,29.25,29.26,5429,0
DDD.US,5,20210922,212500,29.28,29.28,29.18,29.24,8649,0
DDD.US,5,20210922,213000,29.22,29.25,29.15,29.221,7742,0
DDD.US,5,20210922,213500,29.22,29.3,29.21,29.2387,23861,0
DDD.US,5,20210922,214000,29.22,29.22,29.03,29.09,21967,0
DDD.US,5,20210922,214500,29.06,29.09,29.05,29.07,15018,0
DDD.US,5,20210922,215000,29.05,29.125,29,29.08,30245,0
DDD.US,5,20210922,215500,29.085,29.085,29,29,131009,0
DDD.US,5,20210923,153000,29.56,29.88,29.41,29.75,60522,0
DDD.US,5,20210923,153500,29.76,30.07,29.7,30.0213,48613,0
DDD.US,5,20210923,154000,30.015,30.26,29.9207,30.06,50317,0
DDD.US,5,20210923,154500,30.06,30.1,29.59,29.6255,63928,0
DDD.US,5,20210923,155000,29.607,29.81,29.6,29.73,41117,0
DDD.US,5,20210923,155500,29.6601,29.86,29.6601,29.79,30976,0
DDD.US,5,20210923,160000,29.75,29.85,29.61,29.85,29775,0
DDD.US,5,20210923,160500,29.8,29.9,29.7,29.81,33647,0
DDD.US,5,20210923,161000,29.79,29.8919,29.77,29.87,12062,0
DDD.US,5,20210923,161500,29.84,30.03,29.79,29.96,17914,0
DDD.US,5,20210923,162000,29.95,30.01,29.8957,29.97,16777,0
DDD.US,5,20210923,162500,29.98,30.07,29.9145,29.9263,19390,0
DDD.US,5,20210923,163000,29.94,30.11,29.92,29.94,11375,0
DDD.US,5,20210923,163500,29.91,29.91,29.7,29.7,12554,0
DDD.US,5,20210923,164000,29.71,29.8,29.69,29.75,12593,0
DDD.US,5,20210923,164500,29.75,29.96,29.7303,29.91,25669,0
DDD.US,5,20210923,165000,29.9,29.9,29.74,29.74,13186,0
DDD.US,5,20210923,165500,29.78,29.84,29.7678,29.84,5341,0
DDD.US,5,20210923,170000,29.835,29.85,29.75,29.85,8161,0
DDD.US,5,20210923,170500,29.8404,29.85,29.69,29.7,10685,0
DDD.US,5,20210923,171000,29.72,29.83,29.72,29.82,7946,0
DDD.US,5,20210923,171500,29.815,29.89,29.79,29.8136,7016,0
DDD.US,5,20210923,172000,29.81,29.8156,29.44,29.5,38241,0
DDD.US,5,20210923,172500,29.5398,29.5985,29.5,29.52,13134,0
DDD.US,5,20210923,173000,29.511,29.59,29.5,29.5301,13588,0
DDD.US,5,20210923,173500,29.53,29.59,29.48,29.57,4603,0
DDD.US,5,20210923,174000,29.55,29.6099,29.51,29.51,9643,0
DDD.US,5,20210923,174500,29.52,29.58,29.5001,29.54,6150,0
DDD.US,5,20210923,175000,29.54,29.7,29.54,29.61,9680,0
DDD.US,5,20210923,175500,29.65,29.75,29.62,29.75,9139,0
DDD.US,5,20210923,180000,29.75,29.77,29.68,29.71,3444,0
DDD.US,5,20210923,180500,29.7187,29.76,29.7187,29.76,1401,0
DDD.US,5,20210923,181000,29.76,29.79,29.75,29.76,4989,0
DDD.US,5,20210923,181500,29.78,29.84,29.78,29.8,2472,0
DDD.US,5,20210923,182000,29.805,29.815,29.745,29.785,5225,0
DDD.US,5,20210923,182500,29.7686,29.85,29.73,29.74,4810,0
DDD.US,5,20210923,183000,29.7286,29.77,29.71,29.74,4818,0
DDD.US,5,20210923,183500,29.77,29.78,29.72,29.78,4371,0
DDD.US,5,20210923,184000,29.78,29.83,29.76,29.8,5825,0
DDD.US,5,20210923,184500,29.81,29.88,29.76,29.88,6212,0
