<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIN.US,5,20210922,153000,80.17,80.99,79.3301,80.99,2927,0
DIN.US,5,20210922,153500,80.17,80.17,80.17,80.17,200,0
DIN.US,5,20210922,154500,81,81,81,81,1097,0
DIN.US,5,20210922,155000,81.25,81.355,80.97,80.97,2000,0
DIN.US,5,20210922,155500,81.23,81.3,81.23,81.3,200,0
DIN.US,5,20210922,160000,81.2,81.2,81.19,81.19,200,0
DIN.US,5,20210922,160500,81.2608,81.5,81.2608,81.5,875,0
DIN.US,5,20210922,161000,81.48,81.48,81.29,81.4732,523,0
DIN.US,5,20210922,161500,81.59,81.59,81.42,81.59,1299,0
DIN.US,5,20210922,162000,81.57,81.57,81.37,81.3866,2150,0
DIN.US,5,20210922,162500,81.5,81.5,81.47,81.47,300,0
DIN.US,5,20210922,163000,81.54,81.54,81.34,81.37,1506,0
DIN.US,5,20210922,164000,81.44,81.78,81.435,81.78,700,0
DIN.US,5,20210922,164500,81.67,81.83,81.5,81.7,2153,0
DIN.US,5,20210922,165000,81.79,81.79,81.61,81.63,600,0
DIN.US,5,20210922,165500,81.61,81.71,81.61,81.71,704,0
DIN.US,5,20210922,170000,81.81,81.81,81.81,81.81,100,0
DIN.US,5,20210922,170500,81.81,82,81.81,81.83,500,0
DIN.US,5,20210922,171000,81.83,81.92,81.83,81.915,1400,0
DIN.US,5,20210922,171500,81.95,82.16,81.95,82.16,916,0
DIN.US,5,20210922,172000,82.14,82.28,82.13,82.28,400,0
DIN.US,5,20210922,172500,82.29,82.29,82.18,82.265,500,0
DIN.US,5,20210922,173000,82.18,82.28,82.18,82.22,600,0
DIN.US,5,20210922,173500,82.26,82.26,82.22,82.22,312,0
DIN.US,5,20210922,174000,82.24,82.24,82.24,82.24,500,0
DIN.US,5,20210922,174500,82.39,82.49,82.37,82.47,2325,0
DIN.US,5,20210922,175000,82.43,82.56,82.42,82.56,1727,0
DIN.US,5,20210922,175500,82.37,82.37,82.37,82.37,100,0
DIN.US,5,20210922,180000,82.41,82.47,82.3414,82.45,854,0
DIN.US,5,20210922,180500,82.29,82.29,82.25,82.25,200,0
DIN.US,5,20210922,181000,82.115,82.115,82.115,82.115,100,0
DIN.US,5,20210922,181500,82.05,82.05,81.99,81.99,408,0
DIN.US,5,20210922,182000,81.96,82.11,81.96,82.11,2582,0
DIN.US,5,20210922,182500,82.19,82.19,82.19,82.19,100,0
DIN.US,5,20210922,183000,82.16,82.195,82.1509,82.17,500,0
DIN.US,5,20210922,184000,82.13,82.13,82.1,82.1,200,0
DIN.US,5,20210922,185000,82.12,82.12,82.06,82.07,779,0
DIN.US,5,20210922,185500,82.07,82.145,82.07,82.145,400,0
DIN.US,5,20210922,190000,82.145,82.145,82.145,82.145,100,0
DIN.US,5,20210922,190500,82.135,82.23,82.135,82.17,410,0
DIN.US,5,20210922,191000,82.19,82.19,82.19,82.19,100,0
DIN.US,5,20210922,191500,82.18,82.18,82.18,82.18,111,0
DIN.US,5,20210922,192000,82.45,82.45,82.35,82.35,600,0
DIN.US,5,20210922,192500,82.4,82.4,82.4,82.4,100,0
DIN.US,5,20210922,193000,82.53,82.66,82.53,82.66,310,0
DIN.US,5,20210922,193500,82.63,82.71,82.63,82.71,324,0
DIN.US,5,20210922,194000,82.76,82.855,82.72,82.855,300,0
DIN.US,5,20210922,194500,82.71,82.71,82.67,82.67,704,0
DIN.US,5,20210922,195000,82.615,82.63,82.52,82.58,2050,0
DIN.US,5,20210922,195500,82.67,82.67,82.67,82.67,100,0
DIN.US,5,20210922,200000,82.625,83.155,82.35,83.155,4544,0
DIN.US,5,20210922,200500,82.995,83.07,82.85,82.96,1100,0
DIN.US,5,20210922,201000,83.06,83.18,83.035,83.18,573,0
DIN.US,5,20210922,201500,83.33,83.33,83.16,83.16,910,0
DIN.US,5,20210922,202000,83.13,83.15,83.06,83.11,600,0
DIN.US,5,20210922,202500,83.3343,83.35,83.28,83.28,3910,0
DIN.US,5,20210922,203000,83.42,83.495,83.21,83.42,1300,0
DIN.US,5,20210922,203500,83.49,83.49,83.17,83.31,600,0
DIN.US,5,20210922,204000,83.205,83.205,83.05,83.2,1200,0
DIN.US,5,20210922,204500,82.9,82.9,82.68,82.84,800,0
DIN.US,5,20210922,205000,82.63,82.82,82.46,82.78,969,0
DIN.US,5,20210922,205500,82.86,82.86,82.59,82.79,730,0
DIN.US,5,20210922,210000,82.66,82.78,82.63,82.78,1005,0
DIN.US,5,20210922,210500,82.69,82.8,82.57,82.74,2400,0
DIN.US,5,20210922,211000,82.79,83,82.79,83,502,0
DIN.US,5,20210922,211500,83,83.31,83,83.23,2654,0
DIN.US,5,20210922,212000,83.155,83.18,83.1,83.13,700,0
DIN.US,5,20210922,212500,83.19,83.28,83.07,83.28,1222,0
DIN.US,5,20210922,213000,83.28,83.32,83.08,83.18,3789,0
DIN.US,5,20210922,213500,83.12,83.49,83.12,83.49,4901,0
DIN.US,5,20210922,214000,83.52,83.52,82.94,83.1,7827,0
DIN.US,5,20210922,214500,83.09,83.1,82.93,83.02,2408,0
DIN.US,5,20210922,215000,82.96,82.97,82.64,82.88,2191,0
DIN.US,5,20210922,215500,82.85,82.97,82.71,82.9,18793,0
DIN.US,5,20210923,153000,83.81,84.2,83.655,84.2,2583,0
DIN.US,5,20210923,153500,84.1846,85.07,84.1846,85.07,3295,0
DIN.US,5,20210923,154000,84.55,84.825,84.17,84.825,1100,0
DIN.US,5,20210923,154500,84.75,84.996,84.75,84.996,1016,0
DIN.US,5,20210923,155000,85.05,85.12,84.98,84.98,600,0
DIN.US,5,20210923,155500,85.26,85.825,85.26,85.825,2590,0
DIN.US,5,20210923,160000,85.7,85.7,85.2,85.2,696,0
DIN.US,5,20210923,160500,85.535,85.535,85.29,85.29,300,0
DIN.US,5,20210923,161000,85.1,85.52,85.1,85.31,600,0
DIN.US,5,20210923,161500,85.62,85.62,85.3,85.48,600,0
DIN.US,5,20210923,162000,85.6,85.6,85.44,85.44,700,0
DIN.US,5,20210923,162500,85.27,85.5199,85.21,85.3,600,0
DIN.US,5,20210923,163000,85.5246,85.5246,85.37,85.52,446,0
DIN.US,5,20210923,163500,85.56,85.6624,85.5,85.5,501,0
DIN.US,5,20210923,164000,85.47,85.47,85.42,85.42,200,0
DIN.US,5,20210923,164500,85.4664,85.59,85.4664,85.59,277,0
DIN.US,5,20210923,165000,85.72,85.8,85.62,85.62,798,0
DIN.US,5,20210923,165500,85.6469,85.6469,85.56,85.56,450,0
DIN.US,5,20210923,170000,85.636,85.636,85.636,85.636,150,0
DIN.US,5,20210923,170500,85.56,85.56,85.56,85.56,100,0
DIN.US,5,20210923,171000,85.67,85.67,85.6623,85.6623,380,0
DIN.US,5,20210923,171500,85.74,86.1358,85.74,86.11,2983,0
DIN.US,5,20210923,172000,86,86.05,85.93,86.05,592,0
DIN.US,5,20210923,172500,85.97,86.02,85.97,85.97,832,0
DIN.US,5,20210923,173000,86.11,86.11,86.11,86.11,134,0
DIN.US,5,20210923,173500,86.08,86.49,86.08,86.35,400,0
DIN.US,5,20210923,174000,86.32,86.36,86.17,86.17,1242,0
DIN.US,5,20210923,175000,85.89,86.08,85.89,86.08,300,0
DIN.US,5,20210923,175500,86.07,86.07,85.54,85.77,20134,0
DIN.US,5,20210923,180000,85.81,85.946,85.78,85.78,751,0
DIN.US,5,20210923,180500,85.8,85.8,85.42,85.75,16721,0
DIN.US,5,20210923,181000,85.69,85.74,85.16,85.16,12039,0
DIN.US,5,20210923,181500,85.17,85.34,85.17,85.29,800,0
DIN.US,5,20210923,182000,85.36,85.36,85.28,85.3,400,0
DIN.US,5,20210923,182500,85.29,85.47,85.29,85.33,600,0
DIN.US,5,20210923,183000,85.08,85.08,85,85,432,0
DIN.US,5,20210923,183500,85.18,85.18,85.18,85.18,100,0
DIN.US,5,20210923,184000,85.13,85.29,85.13,85.29,400,0
DIN.US,5,20210923,184500,85.35,85.42,85.3,85.31,701,0
DIN.US,5,20210923,185000,85.3,85.41,85.29,85.38,782,0
DIN.US,5,20210923,185500,85.35,85.35,85.3,85.3,210,0
DIN.US,5,20210923,190000,85.45,85.61,85.45,85.61,302,0
DIN.US,5,20210923,190500,85.65,85.65,85.65,85.65,300,0
DIN.US,5,20210923,191000,85.72,85.7328,85.64,85.7328,702,0
DIN.US,5,20210923,191500,85.74,85.81,85.66,85.66,422,0
DIN.US,5,20210923,192500,85.65,85.7,85.58,85.62,600,0
DIN.US,5,20210923,193000,85.645,85.645,85.645,85.645,100,0
DIN.US,5,20210923,193500,85.57,85.61,85.55,85.55,600,0
DIN.US,5,20210923,194000,85.59,85.6,85.52,85.6,401,0
