<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DKNG.US,5,20210922,153000,52.45,52.52,51.91,51.956,837791,0
DKNG.US,5,20210922,153500,51.96,52.45,51.77,51.875,629945,0
DKNG.US,5,20210922,154000,51.8879,52.89,51.571,52.5631,662713,0
DKNG.US,5,20210922,154500,52.57,52.58,51.9401,52,490618,0
DKNG.US,5,20210922,155000,51.9899,52.3705,51.825,52.28,380535,0
DKNG.US,5,20210922,155500,52.2863,52.57,52.18,52.56,432058,0
DKNG.US,5,20210922,160000,52.55,52.67,52.15,52.28,476590,0
DKNG.US,5,20210922,160500,52.27,52.56,52.05,52.465,379397,0
DKNG.US,5,20210922,161000,52.4888,52.54,52.31,52.43,360293,0
DKNG.US,5,20210922,161500,52.4301,52.55,52.32,52.42,333085,0
DKNG.US,5,20210922,162000,52.4,52.47,52.23,52.27,471197,0
DKNG.US,5,20210922,162500,52.28,52.29,52.01,52.18,315612,0
DKNG.US,5,20210922,163000,52.17,52.473,52.13,52.44,179920,0
DKNG.US,5,20210922,163500,52.43,52.4696,52.33,52.4696,172002,0
DKNG.US,5,20210922,164000,52.45,52.62,52.38,52.615,256915,0
DKNG.US,5,20210922,164500,52.6,52.78,52.51,52.62,192037,0
DKNG.US,5,20210922,165000,52.63,52.64,52.31,52.35,282045,0
DKNG.US,5,20210922,165500,52.35,52.48,52.29,52.29,274754,0
DKNG.US,5,20210922,170000,52.29,52.4,52.1801,52.3411,177288,0
DKNG.US,5,20210922,170500,52.35,52.43,52.33,52.36,143702,0
DKNG.US,5,20210922,171000,52.37,52.435,52.3,52.41,91895,0
DKNG.US,5,20210922,171500,52.42,52.53,52.4,52.41,88592,0
DKNG.US,5,20210922,172000,52.4,52.5,52.35,52.421,142068,0
DKNG.US,5,20210922,172500,52.4198,52.66,52.4,52.51,173912,0
DKNG.US,5,20210922,173000,52.5111,52.7,52.51,52.6486,187184,0
DKNG.US,5,20210922,173500,52.65,52.9,52.58,52.8802,276968,0
DKNG.US,5,20210922,174000,52.8801,53.21,52.76,53.14,269480,0
DKNG.US,5,20210922,174500,53.14,53.17,52.84,52.8932,378681,0
DKNG.US,5,20210922,175000,52.8835,52.98,52.59,52.76,326210,0
DKNG.US,5,20210922,175500,52.75,52.85,52.71,52.788,87171,0
DKNG.US,5,20210922,180000,52.79,52.89,52.66,52.872,151117,0
DKNG.US,5,20210922,180500,52.9,52.925,52.7501,52.7768,126544,0
DKNG.US,5,20210922,181000,52.7692,52.98,52.7692,52.86,107334,0
DKNG.US,5,20210922,181500,52.85,52.87,52.76,52.84,137527,0
DKNG.US,5,20210922,182000,52.839,53.01,52.839,52.97,132158,0
DKNG.US,5,20210922,182500,52.965,52.99,52.8,52.8,107917,0
DKNG.US,5,20210922,183000,52.815,52.95,52.79,52.9,97757,0
DKNG.US,5,20210922,183500,52.9099,52.98,52.87,52.92,68259,0
DKNG.US,5,20210922,184000,52.915,52.93,52.85,52.86,60695,0
DKNG.US,5,20210922,184500,52.86,52.97,52.85,52.92,106251,0
DKNG.US,5,20210922,185000,52.92,52.99,52.79,52.86,110357,0
DKNG.US,5,20210922,185500,52.8523,52.9,52.82,52.86,52813,0
DKNG.US,5,20210922,190000,52.87,52.87,52.7309,52.8471,152755,0
DKNG.US,5,20210922,190500,52.84,52.88,52.78,52.83,57532,0
DKNG.US,5,20210922,191000,52.83,52.85,52.7702,52.8,75657,0
DKNG.US,5,20210922,191500,52.8,52.8,52.58,52.6,90584,0
DKNG.US,5,20210922,192000,52.5844,52.65,52.55,52.58,79689,0
DKNG.US,5,20210922,192500,52.6,52.6699,52.555,52.5899,50296,0
DKNG.US,5,20210922,193000,52.57,52.69,52.5501,52.63,147112,0
DKNG.US,5,20210922,193500,52.6201,52.67,52.51,52.5399,88302,0
DKNG.US,5,20210922,194000,52.54,52.69,52.47,52.59,157496,0
DKNG.US,5,20210922,194500,52.58,52.58,52.48,52.53,72985,0
DKNG.US,5,20210922,195000,52.53,52.5499,52.46,52.51,65185,0
DKNG.US,5,20210922,195500,52.5021,52.52,52.47,52.48,37650,0
DKNG.US,5,20210922,200000,52.47,52.85,52.18,52.84,202796,0
DKNG.US,5,20210922,200500,52.84,52.89,52.71,52.79,173541,0
DKNG.US,5,20210922,201000,52.81,53.0884,52.81,53.03,153727,0
DKNG.US,5,20210922,201500,53.03,53.215,53.03,53.1318,189837,0
DKNG.US,5,20210922,202000,53.14,53.17,52.8201,52.835,187101,0
DKNG.US,5,20210922,202500,52.84,53.04,52.805,53.03,142478,0
DKNG.US,5,20210922,203000,53.02,53.07,52.87,52.9848,93819,0
DKNG.US,5,20210922,203500,52.98,53.1,52.85,53.07,96166,0
DKNG.US,5,20210922,204000,53.08,53.08,52.815,52.87,90832,0
DKNG.US,5,20210922,204500,52.86,52.86,52.56,52.6033,113480,0
DKNG.US,5,20210922,205000,52.6,52.78,52.43,52.6946,111562,0
DKNG.US,5,20210922,205500,52.685,52.74,52.58,52.68,68405,0
DKNG.US,5,20210922,210000,52.7,52.73,52.5831,52.6301,57043,0
DKNG.US,5,20210922,210500,52.63,52.76,52.56,52.7402,85420,0
DKNG.US,5,20210922,211000,52.74,52.88,52.66,52.73,161491,0
DKNG.US,5,20210922,211500,52.735,52.84,52.71,52.8,105316,0
DKNG.US,5,20210922,212000,52.79,52.9,52.72,52.79,77211,0
DKNG.US,5,20210922,212500,52.79,52.8,52.63,52.66,97647,0
DKNG.US,5,20210922,213000,52.67,52.8315,52.63,52.8315,186173,0
DKNG.US,5,20210922,213500,52.83,53.075,52.82,53.075,259606,0
DKNG.US,5,20210922,214000,53.06,53.29,52.9,53.09,567529,0
DKNG.US,5,20210922,214500,53.09,53.17,52.9,52.9099,252857,0
DKNG.US,5,20210922,215000,52.9,53.0015,52.66,52.675,348470,0
DKNG.US,5,20210922,215500,52.675,52.69,52.515,52.63,748436,0
DKNG.US,5,20210923,153000,52.92,53.6,52.85,53.1391,573952,0
DKNG.US,5,20210923,153500,53.125,53.8499,53,53.84,393400,0
DKNG.US,5,20210923,154000,53.82,53.8201,53.1,53.28,354192,0
DKNG.US,5,20210923,154500,53.3,53.55,52.94,53.11,303195,0
DKNG.US,5,20210923,155000,53.12,53.27,52.96,53.0299,179815,0
DKNG.US,5,20210923,155500,53.01,53.22,52.97,53.02,195706,0
DKNG.US,5,20210923,160000,53.02,53.46,53.01,53.45,268393,0
DKNG.US,5,20210923,160500,53.44,53.6572,53.3,53.58,339778,0
DKNG.US,5,20210923,161000,53.6,53.6499,53.22,53.34,218688,0
DKNG.US,5,20210923,161500,53.36,53.55,53.331,53.4,138695,0
DKNG.US,5,20210923,162000,53.3991,53.59,53.315,53.435,136791,0
DKNG.US,5,20210923,162500,53.4299,53.5299,53.32,53.4001,124474,0
DKNG.US,5,20210923,163000,53.4,53.5898,53.305,53.45,138694,0
DKNG.US,5,20210923,163500,53.46,53.63,53.21,53.2989,145251,0
DKNG.US,5,20210923,164000,53.29,53.4,53.22,53.32,184301,0
DKNG.US,5,20210923,164500,53.31,53.31,53.1,53.145,180761,0
DKNG.US,5,20210923,165000,53.13,53.39,53.02,53.35,226409,0
DKNG.US,5,20210923,165500,53.3474,53.51,53.323,53.44,181446,0
DKNG.US,5,20210923,170000,53.4534,53.4534,53.2294,53.27,130446,0
DKNG.US,5,20210923,170500,53.27,53.3388,53.15,53.2618,69344,0
DKNG.US,5,20210923,171000,53.25,53.35,53.24,53.35,58831,0
DKNG.US,5,20210923,171500,53.3333,53.45,53.27,53.27,94578,0
DKNG.US,5,20210923,172000,53.27,53.2946,53.1189,53.24,171809,0
DKNG.US,5,20210923,172500,53.23,53.25,53.1,53.1533,82494,0
DKNG.US,5,20210923,173000,53.1669,53.25,53.1,53.15,111204,0
DKNG.US,5,20210923,173500,53.1583,53.1599,52.82,52.8209,281154,0
DKNG.US,5,20210923,174000,52.82,52.83,52.66,52.76,226556,0
DKNG.US,5,20210923,174500,52.755,52.775,52.65,52.73,133309,0
DKNG.US,5,20210923,175000,52.735,52.75,52.4666,52.5888,249813,0
DKNG.US,5,20210923,175500,52.58,52.705,52.56,52.6993,230307,0
DKNG.US,5,20210923,180000,52.7,52.905,52.68,52.88,117165,0
DKNG.US,5,20210923,180500,52.88,52.89,52.73,52.75,86348,0
DKNG.US,5,20210923,181000,52.7419,52.81,52.73,52.77,58794,0
DKNG.US,5,20210923,181500,52.765,52.8,52.67,52.675,72686,0
DKNG.US,5,20210923,182000,52.675,52.675,52.44,52.495,211611,0
DKNG.US,5,20210923,182500,52.475,52.6,52.45,52.505,112283,0
DKNG.US,5,20210923,183000,52.505,52.64,52.46,52.58,146208,0
DKNG.US,5,20210923,183500,52.5899,52.6,52.48,52.57,157589,0
DKNG.US,5,20210923,184000,52.57,52.71,52.56,52.7,102990,0
DKNG.US,5,20210923,184500,52.695,52.77,52.66,52.77,87650,0
DKNG.US,5,20210923,185000,52.76,52.76,52.68,52.71,54886,0
DKNG.US,5,20210923,185500,52.71,52.72,52.645,52.685,65270,0
DKNG.US,5,20210923,190000,52.68,52.69,52.52,52.55,93155,0
DKNG.US,5,20210923,190500,52.555,52.61,52.48,52.495,96385,0
DKNG.US,5,20210923,191000,52.5099,52.5716,52.44,52.5624,141240,0
DKNG.US,5,20210923,191500,52.5765,52.6,52.485,52.57,75112,0
DKNG.US,5,20210923,192000,52.5634,52.8,52.56,52.725,220074,0
DKNG.US,5,20210923,192500,52.73,52.8,52.7,52.795,228986,0
DKNG.US,5,20210923,193000,52.78,52.9,52.71,52.77,146991,0
DKNG.US,5,20210923,193500,52.77,52.77,52.64,52.64,105250,0
DKNG.US,5,20210923,194000,52.6389,52.69,52.61,52.66,72199,0
DKNG.US,5,20210923,194500,52.66,52.67,52.48,52.5299,181850,0
DKNG.US,5,20210923,195000,52.53,52.54,52.44,52.4966,143534,0
DKNG.US,5,20210923,195500,52.495,52.53,52.43,52.43,110239,0
DKNG.US,5,20210923,200000,52.44,52.51,52.355,52.4693,118172,0
DKNG.US,5,20210923,200500,52.47,52.49,52.27,52.3483,189482,0
DKNG.US,5,20210923,201000,52.33,52.46,52.3,52.4419,117723,0
DKNG.US,5,20210923,201500,52.44,52.5,52.38,52.41,120291,0
DKNG.US,5,20210923,202000,52.395,52.395,52.01,52.125,424103,0
DKNG.US,5,20210923,202500,52.1,52.1699,51.91,51.99,368585,0
DKNG.US,5,20210923,203000,51.99,52.08,51.85,51.87,325504,0
DKNG.US,5,20210923,203500,51.86,51.95,51.68,51.7262,337770,0
DKNG.US,5,20210923,204000,51.73,51.875,51.69,51.86,217123,0
DKNG.US,5,20210923,204500,51.87,52.05,51.87,51.92,179397,0
DKNG.US,5,20210923,205000,51.925,52.03,51.89,51.89,182099,0
