<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DLTH.US,5,20210922,153000,14,14.04,14,14.04,7016,0
DLTH.US,5,20210922,153500,14.04,14.04,14.03,14.03,680,0
DLTH.US,5,20210922,154000,14.09,14.09,14.07,14.07,1200,0
DLTH.US,5,20210922,154500,14.17,14.17,14.17,14.17,100,0
DLTH.US,5,20210922,155000,14.25,14.29,14.25,14.29,731,0
DLTH.US,5,20210922,155500,14.29,14.36,14.29,14.32,500,0
DLTH.US,5,20210922,160000,14.29,14.32,14.26,14.32,600,0
DLTH.US,5,20210922,160500,14.29,14.3,14.255,14.255,600,0
DLTH.US,5,20210922,161000,14.24,14.27,14.22,14.23,600,0
DLTH.US,5,20210922,161500,14.21,14.21,14.21,14.21,100,0
DLTH.US,5,20210922,162000,14.2,14.2,14.17,14.17,500,0
DLTH.US,5,20210922,162500,14.16,14.16,14.07,14.0707,994,0
DLTH.US,5,20210922,164000,14.05,14.05,14.04,14.04,200,0
DLTH.US,5,20210922,164500,14.06,14.06,14.05,14.05,400,0
DLTH.US,5,20210922,165000,14.04,14.04,14.04,14.04,100,0
DLTH.US,5,20210922,165500,14,14,14,14,210,0
DLTH.US,5,20210922,170000,13.99,14.04,13.99,14.04,1241,0
DLTH.US,5,20210922,170500,14.09,14.14,14.09,14.14,300,0
DLTH.US,5,20210922,171000,14.145,14.19,14.145,14.19,200,0
DLTH.US,5,20210922,171500,14.1754,14.23,14.1754,14.22,961,0
DLTH.US,5,20210922,172000,14.24,14.33,14.24,14.29,5387,0
DLTH.US,5,20210922,172500,14.32,14.32,14.285,14.3,800,0
DLTH.US,5,20210922,173000,14.29,14.35,14.29,14.35,800,0
DLTH.US,5,20210922,173500,14.33,14.33,14.33,14.33,200,0
DLTH.US,5,20210922,174500,14.325,14.325,14.3,14.3,400,0
DLTH.US,5,20210922,175000,14.3,14.3,14.26,14.26,1578,0
DLTH.US,5,20210922,175500,14.27,14.27,14.27,14.27,300,0
DLTH.US,5,20210922,180000,14.282,14.3113,14.24,14.3,2455,0
DLTH.US,5,20210922,180500,14.285,14.285,14.27,14.27,200,0
DLTH.US,5,20210922,182000,14.28,14.28,14.2798,14.2798,1169,0
DLTH.US,5,20210922,182500,14.26,14.28,14.26,14.28,200,0
DLTH.US,5,20210922,183000,14.27,14.27,14.27,14.27,100,0
DLTH.US,5,20210922,183500,14.26,14.26,14.24,14.24,200,0
DLTH.US,5,20210922,184000,14.24,14.24,14.2,14.2,300,0
DLTH.US,5,20210922,184500,14.22,14.23,14.22,14.23,400,0
DLTH.US,5,20210922,185000,14.24,14.28,14.24,14.24,1700,0
DLTH.US,5,20210922,185500,14.26,14.28,14.26,14.28,300,0
DLTH.US,5,20210922,190000,14.26,14.31,14.26,14.28,500,0
DLTH.US,5,20210922,190500,14.32,14.32,14.31,14.31,200,0
DLTH.US,5,20210922,191000,14.31,14.31,14.28,14.29,400,0
DLTH.US,5,20210922,191500,14.28,14.28,14.28,14.28,100,0
DLTH.US,5,20210922,192000,14.2806,14.2806,14.28,14.28,598,0
DLTH.US,5,20210922,192500,14.27,14.27,14.257,14.257,938,0
DLTH.US,5,20210922,193000,14.27,14.29,14.27,14.29,400,0
DLTH.US,5,20210922,194000,14.27,14.28,14.27,14.28,800,0
DLTH.US,5,20210922,194500,14.28,14.28,14.28,14.28,100,0
DLTH.US,5,20210922,195000,14.26,14.26,14.26,14.26,100,0
DLTH.US,5,20210922,195500,14.2575,14.26,14.255,14.255,1000,0
DLTH.US,5,20210922,200000,14.25,14.3,14.24,14.29,1000,0
DLTH.US,5,20210922,200500,14.3,14.3,14.25,14.265,1129,0
DLTH.US,5,20210922,201000,14.275,14.32,14.275,14.32,500,0
DLTH.US,5,20210922,201500,14.34,14.36,14.34,14.36,700,0
DLTH.US,5,20210922,202000,14.3,14.3,14.235,14.27,1100,0
DLTH.US,5,20210922,202500,14.33,14.33,14.33,14.33,100,0
DLTH.US,5,20210922,203000,14.32,14.3641,14.315,14.3641,3700,0
DLTH.US,5,20210922,203500,14.355,14.355,14.28,14.32,1046,0
DLTH.US,5,20210922,204000,14.27,14.3,14.26,14.27,1200,0
DLTH.US,5,20210922,204500,14.22,14.24,14.21,14.24,400,0
DLTH.US,5,20210922,205000,14.2,14.306,14.19,14.306,800,0
