<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMAQU.US,5,20211028,153000,10.0798,10.08,10.0798,10.08,300,0
DMAQU.US,5,20211028,153500,10.08,10.08,10.08,10.08,200,0
DMAQU.US,5,20211028,154000,10.08,10.08,10.08,10.08,100,0
DMAQU.US,5,20211028,154500,10.05,10.05,10.05,10.05,998,0
DMAQU.US,5,20211028,155000,10.05,10.05,10.05,10.05,11000,0
DMAQU.US,5,20211028,162000,10.03,10.03,10.03,10.03,2000,0
DMAQU.US,5,20211028,164500,10.04,10.04,10.04,10.04,496,0
DMAQU.US,5,20211028,170500,10.04,10.04,10.04,10.04,8178,0
DMAQU.US,5,20211028,172000,10.05,10.05,10.05,10.05,200,0
DMAQU.US,5,20211028,172500,10.05,10.05,10.05,10.05,200,0
DMAQU.US,5,20211028,173000,10.05,10.05,10.05,10.05,300,0
DMAQU.US,5,20211028,173500,10.05,10.05,10.05,10.05,400,0
DMAQU.US,5,20211028,174500,10.05,10.05,10.04,10.04,600,0
DMAQU.US,5,20211028,180000,10.05,10.05,10.05,10.05,600,0
DMAQU.US,5,20211028,181500,10.05,10.05,10.05,10.05,700,0
DMAQU.US,5,20211028,183500,10.05,10.05,10.04,10.04,1200,0
DMAQU.US,5,20211028,184000,10.045,10.045,10.04,10.04,900,0
DMAQU.US,5,20211028,184500,10.04,10.04,10.04,10.04,300,0
DMAQU.US,5,20211028,185000,10.04,10.04,10.04,10.04,300,0
DMAQU.US,5,20211028,185500,10.04,10.04,10.04,10.04,400,0
DMAQU.US,5,20211028,190000,10.04,10.04,10.04,10.04,300,0
DMAQU.US,5,20211028,190500,10.04,10.04,10.04,10.04,500,0
DMAQU.US,5,20211028,191000,10.04,10.04,10.04,10.04,200,0
DMAQU.US,5,20211028,191500,10.04,10.04,10.04,10.04,400,0
DMAQU.US,5,20211028,192000,10.04,10.04,10.04,10.04,300,0
DMAQU.US,5,20211028,192500,10.04,10.04,10.04,10.04,200,0
DMAQU.US,5,20211028,193000,10.04,10.04,10.04,10.04,500,0
DMAQU.US,5,20211028,193500,10.04,10.04,10.04,10.04,300,0
DMAQU.US,5,20211028,194000,10.04,10.04,10.04,10.04,200,0
DMAQU.US,5,20211028,194500,10.04,10.04,10.04,10.04,500,0
DMAQU.US,5,20211028,195000,10.04,10.04,10.04,10.04,300,0
DMAQU.US,5,20211028,195500,10.04,10.04,10.04,10.04,400,0
DMAQU.US,5,20211028,200000,10.04,10.04,10.04,10.04,400,0
DMAQU.US,5,20211028,200500,10.04,10.04,10.04,10.04,400,0
