<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMTK.US,5,20210922,153000,34.65,34.96,34.59,34.7204,9480,0
DMTK.US,5,20210922,153500,34.82,35.27,34.63,35.14,11721,0
DMTK.US,5,20210922,154000,35.05,35.05,34.83,34.83,3234,0
DMTK.US,5,20210922,154500,34.86,34.86,34.68,34.68,2667,0
DMTK.US,5,20210922,155000,34.5753,34.87,34.5753,34.87,720,0
DMTK.US,5,20210922,155500,34.7776,34.7776,34.54,34.54,2304,0
DMTK.US,5,20210922,160000,34.45,34.45,33.9,34.28,3368,0
DMTK.US,5,20210922,160500,34.49,34.56,34.49,34.545,1347,0
DMTK.US,5,20210922,161000,34.595,34.73,34.595,34.73,700,0
DMTK.US,5,20210922,161500,34.74,34.84,34.7086,34.71,2294,0
DMTK.US,5,20210922,162000,34.9189,34.9189,34.65,34.705,3177,0
DMTK.US,5,20210922,162500,34.79,34.79,34.56,34.6775,4198,0
DMTK.US,5,20210922,163000,34.53,34.7,34.53,34.59,4456,0
DMTK.US,5,20210922,163500,34.81,34.81,34.77,34.77,1000,0
DMTK.US,5,20210922,164000,34.6845,34.9,34.6845,34.9,1520,0
DMTK.US,5,20210922,164500,34.935,34.96,34.74,34.96,852,0
DMTK.US,5,20210922,165000,35.0484,35.14,35,35,1750,0
DMTK.US,5,20210922,165500,35,35.1,34.89,34.89,1560,0
DMTK.US,5,20210922,170000,34.81,34.91,34.7801,34.91,2698,0
DMTK.US,5,20210922,170500,35.0048,35.15,34.9003,35.0922,4043,0
DMTK.US,5,20210922,171000,35.1061,35.1061,35.0058,35.05,700,0
DMTK.US,5,20210922,171500,35.0833,35.0833,35.0597,35.0597,1506,0
DMTK.US,5,20210922,172000,35.0225,35.11,35.0225,35.11,450,0
DMTK.US,5,20210922,172500,35.15,35.44,35.15,35.44,1200,0
DMTK.US,5,20210922,173000,35.325,35.325,35.22,35.23,611,0
DMTK.US,5,20210922,173500,35.3085,35.38,35.24,35.38,2240,0
DMTK.US,5,20210922,174000,35.315,35.315,35.315,35.315,100,0
DMTK.US,5,20210922,174500,35.24,35.3,35.162,35.23,1620,0
DMTK.US,5,20210922,175000,35.21,35.28,35.15,35.28,500,0
DMTK.US,5,20210922,175500,35.28,35.43,35.22,35.38,1911,0
DMTK.US,5,20210922,180000,35.3401,35.44,35.3401,35.43,500,0
DMTK.US,5,20210922,180500,35.44,35.46,35.35,35.37,2995,0
DMTK.US,5,20210922,181000,35.35,35.43,35.35,35.43,332,0
DMTK.US,5,20210922,181500,35.44,35.44,35.3,35.3,543,0
DMTK.US,5,20210922,182000,35.34,35.34,35.2911,35.2911,1100,0
DMTK.US,5,20210922,182500,35.36,35.57,35.36,35.57,5137,0
DMTK.US,5,20210922,183000,35.67,35.6999,35.57,35.57,1200,0
DMTK.US,5,20210922,183500,35.56,35.61,35.51,35.61,709,0
DMTK.US,5,20210922,184000,35.55,35.56,35.4101,35.5271,1660,0
DMTK.US,5,20210922,184500,35.5753,35.5753,35.5753,35.5753,1000,0
DMTK.US,5,20210922,185000,35.5,35.55,35.49,35.49,1128,0
DMTK.US,5,20210922,185500,35.4897,35.66,35.4897,35.63,871,0
DMTK.US,5,20210922,190000,35.655,35.655,35.57,35.6,641,0
DMTK.US,5,20210922,190500,35.5838,35.5838,35.55,35.565,400,0
DMTK.US,5,20210922,191000,35.5292,35.5292,35.47,35.47,1441,0
DMTK.US,5,20210922,191500,35.37,35.37,35.2846,35.2846,450,0
DMTK.US,5,20210922,192000,35.4,35.4,35.27,35.3,2900,0
DMTK.US,5,20210922,192500,35.21,35.2799,35.2,35.2,602,0
DMTK.US,5,20210922,193000,35.27,35.335,35.27,35.335,300,0
DMTK.US,5,20210922,193500,35.33,35.33,35.3001,35.3001,542,0
DMTK.US,5,20210922,194000,35.38,35.505,35.38,35.505,1900,0
DMTK.US,5,20210922,194500,35.5,35.5,35.5,35.5,300,0
DMTK.US,5,20210922,195500,35.39,35.39,35.25,35.25,1995,0
DMTK.US,5,20210922,200000,35.27,35.6144,35.22,35.6144,1391,0
DMTK.US,5,20210922,200500,35.53,35.53,35.44,35.4848,400,0
DMTK.US,5,20210922,201000,35.65,35.8,35.6499,35.8,2091,0
DMTK.US,5,20210922,201500,35.9,35.99,35.76,35.765,5450,0
DMTK.US,5,20210922,202000,35.7355,35.855,35.66,35.7,2163,0
DMTK.US,5,20210922,202500,35.82,35.98,35.74,35.93,2011,0
DMTK.US,5,20210922,203000,36,36.0523,35.76,35.88,2430,0
DMTK.US,5,20210922,203500,35.92,35.9768,35.7501,35.7501,895,0
DMTK.US,5,20210922,204000,35.8,35.8,35.7,35.75,800,0
DMTK.US,5,20210922,204500,35.84,35.84,35.69,35.7,2709,0
DMTK.US,5,20210922,205000,35.65,36,35.41,35.83,2049,0
DMTK.US,5,20210922,205500,35.86,35.86,35.73,35.75,1800,0
DMTK.US,5,20210922,210000,35.73,35.73,35.69,35.7,500,0
DMTK.US,5,20210922,210500,35.745,35.96,35.66,35.77,1598,0
DMTK.US,5,20210922,211000,35.87,35.87,35.82,35.82,719,0
DMTK.US,5,20210922,211500,35.85,35.9,35.78,35.9,500,0
DMTK.US,5,20210922,212000,35.835,35.93,35.79,35.845,1700,0
DMTK.US,5,20210922,212500,35.78,35.875,35.76,35.875,1577,0
DMTK.US,5,20210922,213000,35.91,35.91,35.79,35.84,1150,0
