<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DSPC.US,5,20210922,194000,23.3201,23.3201,23.3201,23.3201,150,0
DSPC.US,5,20210923,173500,23.91,23.91,23.91,23.91,400,0
DSPC.US,5,20210927,165000,24.17,24.1808,24.17,24.1808,900,0
DSPC.US,5,20210927,190500,24.02,24.02,24.02,24.02,100,0
DSPC.US,5,20210927,192500,24.0201,24.0201,24.0201,24.0201,100,0
DSPC.US,5,20210927,211000,24,24,23.98,23.98,2000,0
DSPC.US,5,20210928,192000,22.95,22.95,22.95,22.95,600,0
DSPC.US,5,20210929,215000,22.2798,22.2798,22.2798,22.2798,100,0
DSPC.US,5,20211001,154000,22.2,22.2,22.2,22.2,500,0
DSPC.US,5,20211001,210000,22.25,22.25,22.25,22.25,100,0
DSPC.US,5,20211004,163500,21.21,21.26,21.21,21.26,300,0
DSPC.US,5,20211004,164500,21.25,21.25,21.25,21.25,100,0
DSPC.US,5,20211005,164000,21.4,21.4,21.4,21.4,100,0
DSPC.US,5,20211006,153000,20.84,20.84,20.84,20.84,400,0
DSPC.US,5,20211006,190500,20.78,20.78,20.78,20.78,200,0
DSPC.US,5,20211006,191000,20.78,20.78,20.78,20.78,120,0
DSPC.US,5,20211006,203500,21.0339,21.0339,21.0339,21.0339,160,0
DSPC.US,5,20211007,154000,21.4419,21.4419,21.4419,21.4419,168,0
DSPC.US,5,20211007,155000,21.4665,21.4665,21.4665,21.4665,300,0
DSPC.US,5,20211007,163000,21.59,21.615,21.59,21.615,400,0
DSPC.US,5,20211007,192500,21.7031,21.7031,21.7031,21.7031,162,0
DSPC.US,5,20211007,195500,21.681,21.681,21.681,21.681,162,0
DSPC.US,5,20211008,161000,21.54,21.54,21.54,21.54,100,0
DSPC.US,5,20211008,162000,21.55,21.55,21.55,21.55,100,0
DSPC.US,5,20211008,164000,21.39,21.39,21.39,21.39,100,0
DSPC.US,5,20211008,165000,21.51,21.51,21.51,21.51,100,0
DSPC.US,5,20211008,170500,21.47,21.47,21.47,21.47,100,0
DSPC.US,5,20211008,171000,21.48,21.48,21.48,21.48,100,0
DSPC.US,5,20211008,172500,21.41,21.41,21.41,21.41,100,0
DSPC.US,5,20211008,173500,21.39,21.39,21.39,21.39,100,0
DSPC.US,5,20211008,174500,21.36,21.36,21.36,21.36,100,0
DSPC.US,5,20211008,175500,21.34,21.34,21.34,21.34,100,0
DSPC.US,5,20211008,180500,21.32,21.32,21.32,21.32,100,0
DSPC.US,5,20211008,181500,21.3,21.3,21.3,21.3,100,0
DSPC.US,5,20211008,182500,21.34,21.34,21.34,21.34,100,0
DSPC.US,5,20211008,184500,21.37,21.37,21.37,21.37,100,0
DSPC.US,5,20211008,185500,21.37,21.37,21.37,21.37,100,0
DSPC.US,5,20211008,190500,21.36,21.36,21.36,21.36,100,0
DSPC.US,5,20211008,191500,21.32,21.32,21.32,21.32,100,0
DSPC.US,5,20211008,192500,21.28,21.28,21.28,21.28,100,0
DSPC.US,5,20211008,193500,21.28,21.28,21.28,21.28,100,0
DSPC.US,5,20211008,195500,21.29,21.29,21.29,21.29,100,0
DSPC.US,5,20211008,201500,21.3,21.3,21.3,21.3,100,0
DSPC.US,5,20211008,202000,21.34,21.34,21.34,21.34,100,0
DSPC.US,5,20211008,203000,21.37,21.37,21.37,21.37,100,0
