<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXYN.US,5,20210922,153000,5.2,5.205,5.2,5.205,2235,0
DXYN.US,5,20210922,153500,5.205,5.205,5.205,5.205,1200,0
DXYN.US,5,20210922,154000,5.1384,5.1384,5.1384,5.1384,800,0
DXYN.US,5,20210922,155000,5.25,5.28,5.25,5.28,511,0
DXYN.US,5,20210922,155500,5.28,5.28,5.24,5.24,2000,0
DXYN.US,5,20210922,160000,5.28,5.28,5.235,5.235,1400,0
DXYN.US,5,20210922,160500,5.2623,5.2623,5.2623,5.2623,500,0
DXYN.US,5,20210922,161000,5.235,5.27,5.235,5.27,800,0
DXYN.US,5,20210922,161500,5.27,5.27,5.27,5.27,800,0
DXYN.US,5,20210922,162000,5.21,5.27,5.2,5.2,1746,0
DXYN.US,5,20210922,171000,5.1311,5.1311,5.1311,5.1311,200,0
DXYN.US,5,20210922,175000,5.16,5.16,5.16,5.16,2000,0
DXYN.US,5,20210922,175500,5.17,5.17,5.17,5.17,200,0
DXYN.US,5,20210922,180000,5.17,5.17,5.17,5.17,100,0
DXYN.US,5,20210922,180500,5.1692,5.1692,5.15,5.15,482,0
DXYN.US,5,20210922,181500,5.14,5.14,5.14,5.14,907,0
DXYN.US,5,20210922,182000,5.15,5.15,5.15,5.15,194,0
DXYN.US,5,20210922,185500,5.12,5.12,5.05,5.065,11873,0
DXYN.US,5,20210922,190000,5.08,5.09,5.08,5.09,1982,0
DXYN.US,5,20210922,194000,5.07,5.07,5.07,5.07,100,0
DXYN.US,5,20210922,194500,5.0601,5.12,5.0601,5.12,950,0
DXYN.US,5,20210922,200000,5.12,5.12,5.12,5.12,300,0
DXYN.US,5,20210922,202500,5.13,5.13,5.13,5.13,200,0
DXYN.US,5,20210922,204000,5.2,5.2,5.2,5.2,150,0
DXYN.US,5,20210922,204500,5.16,5.2,5.16,5.16,2102,0
DXYN.US,5,20210922,210000,5.15,5.15,5.12,5.135,1300,0
DXYN.US,5,20210922,211500,5.15,5.15,5.09,5.09,5154,0
DXYN.US,5,20210922,212000,5.06,5.06,5.06,5.06,100,0
DXYN.US,5,20210922,213000,5.05,5.05,5.04,5.05,1546,0
DXYN.US,5,20210922,214000,5.045,5.045,5.045,5.045,300,0
DXYN.US,5,20210922,214500,5.03,5.035,5.03,5.03,3335,0
DXYN.US,5,20210922,215000,5.025,5.025,5.01,5.01,600,0
DXYN.US,5,20210922,215500,5.01,5.01,4.98,5.01,8209,0
DXYN.US,5,20210923,153000,5.1,5.1,5.1,5.1,3123,0
DXYN.US,5,20210923,153500,5.19,5.19,5.0501,5.17,5900,0
DXYN.US,5,20210923,154000,5.19,5.19,5.0514,5.1,10587,0
DXYN.US,5,20210923,154500,5.1,5.18,5.0711,5.0711,3000,0
DXYN.US,5,20210923,155500,5.06,5.06,5.05,5.05,5824,0
DXYN.US,5,20210923,160000,5.0501,5.0989,5.0501,5.0989,987,0
DXYN.US,5,20210923,160500,5.0615,5.1099,5.0615,5.1099,600,0
DXYN.US,5,20210923,162000,5.0999,5.0999,5.05,5.08,4269,0
DXYN.US,5,20210923,162500,5.05,5.0576,5.05,5.0576,1073,0
DXYN.US,5,20210923,163500,5.05,5.05,5.05,5.05,100,0
DXYN.US,5,20210923,164000,5.05,5.05,5.05,5.05,2644,0
DXYN.US,5,20210923,164500,5.05,5.05,5.05,5.05,900,0
DXYN.US,5,20210923,165000,5,5.0182,5,5.0182,200,0
DXYN.US,5,20210923,165500,5.0299,5.0299,5.0299,5.0299,2800,0
DXYN.US,5,20210923,170000,5,5,5,5,400,0
DXYN.US,5,20210923,170500,4.97,4.99,4.97,4.99,701,0
DXYN.US,5,20210923,171000,4.99,4.99,4.955,4.99,6413,0
DXYN.US,5,20210923,171500,5.0574,5.0574,5.0574,5.0574,1002,0
DXYN.US,5,20210923,172000,5,5,5,5,2406,0
DXYN.US,5,20210923,173000,5.0375,5.0375,5.0375,5.0375,1000,0
DXYN.US,5,20210923,173500,5.05,5.15,5.05,5.06,7700,0
DXYN.US,5,20210923,175000,5.025,5.025,5.025,5.025,200,0
DXYN.US,5,20210923,181000,5.0001,5.0599,4.99,5.001,12190,0
DXYN.US,5,20210923,181500,5.04,5.04,5.04,5.04,199,0
DXYN.US,5,20210923,183000,5.05,5.05,5.05,5.05,216,0
DXYN.US,5,20210923,185000,4.9716,5.005,4.9101,4.9101,6915,0
DXYN.US,5,20210923,191500,5.03,5.03,5,5,500,0
DXYN.US,5,20210923,192000,5.01,5.01,4.96,5.01,1555,0
DXYN.US,5,20210923,193000,4.965,5,4.965,4.97,1300,0
DXYN.US,5,20210923,195500,4.995,4.995,4.9501,4.99,4620,0
DXYN.US,5,20210923,200500,4.96,4.96,4.96,4.96,100,0
DXYN.US,5,20210923,201500,4.97,4.97,4.95,4.95,800,0
DXYN.US,5,20210923,202500,4.96,4.9635,4.96,4.96,1232,0
DXYN.US,5,20210923,203500,4.985,4.985,4.985,4.985,100,0
DXYN.US,5,20210923,204000,4.955,5.04,4.92,5.04,690,0
DXYN.US,5,20210923,205500,4.995,4.995,4.995,4.995,100,0
DXYN.US,5,20210923,210000,4.9894,4.9894,4.9894,4.9894,100,0
DXYN.US,5,20210923,211500,4.99,4.99,4.99,4.99,279,0
DXYN.US,5,20210923,212000,5.0049,5.0049,4.97,4.97,1993,0
DXYN.US,5,20210923,212500,5.01,5.01,5,5.01,1100,0
DXYN.US,5,20210923,213500,4.97,4.977,4.9625,4.9625,2270,0
DXYN.US,5,20210923,214000,5.01,5.01,5.01,5.01,100,0
DXYN.US,5,20210923,214500,4.9601,5.01,4.96,4.96,2310,0
DXYN.US,5,20210923,215000,4.98,4.98,4.96,4.96,1179,0
DXYN.US,5,20210923,215500,4.96,4.96,4.94,4.94,2472,0
DXYN.US,5,20210924,153000,4.91,5.11,4.91,5.03,1868,0
DXYN.US,5,20210924,153500,4.955,4.955,4.955,4.955,125,0
DXYN.US,5,20210924,154000,5,5,5,5,700,0
DXYN.US,5,20210924,154500,5.0001,5.0182,5,5,3569,0
DXYN.US,5,20210924,160000,4.99,4.99,4.99,4.99,999,0
DXYN.US,5,20210924,161000,4.98,4.98,4.98,4.98,13880,0
DXYN.US,5,20210924,161500,4.92,4.92,4.91,4.91,200,0
DXYN.US,5,20210924,162500,4.97,4.97,4.97,4.97,300,0
DXYN.US,5,20210924,163000,4.98,5.25,4.98,5.25,5536,0
DXYN.US,5,20210924,163500,5.1325,5.23,5.0301,5.0301,8000,0
DXYN.US,5,20210924,164000,5.14,5.21,5.14,5.18,1000,0
DXYN.US,5,20210924,164500,5.0422,5.18,5.035,5.0645,1762,0
DXYN.US,5,20210924,165500,5.0001,5.0001,5.0001,5.0001,100,0
DXYN.US,5,20210924,170000,4.99,5.0194,4.99,5.0194,284,0
DXYN.US,5,20210924,172000,5.0082,5.0082,5.0082,5.0082,100,0
DXYN.US,5,20210924,175500,4.97,4.97,4.97,4.97,100,0
DXYN.US,5,20210924,180500,4.97,5.02,4.95,4.9731,1840,0
DXYN.US,5,20210924,183000,5.03,5.03,5.03,5.03,1300,0
DXYN.US,5,20210924,184000,5,5.03,5,5.03,490,0
DXYN.US,5,20210924,184500,5.03,5.03,5.03,5.03,500,0
DXYN.US,5,20210924,185000,5.01,5.01,5.01,5.01,500,0
DXYN.US,5,20210924,185500,5.03,5.03,5.03,5.03,500,0
DXYN.US,5,20210924,194000,5.049,5.12,5.049,5.12,2521,0
DXYN.US,5,20210924,194500,5.1258,5.175,5.1258,5.175,500,0
DXYN.US,5,20210924,195000,5.19,5.19,5.14,5.14,600,0
DXYN.US,5,20210924,200000,5.154,5.154,5.154,5.154,100,0
DXYN.US,5,20210924,202500,5.1,5.1,5.1,5.1,100,0
DXYN.US,5,20210924,203000,5.1699,5.18,5.1699,5.18,1850,0
DXYN.US,5,20210924,205000,5.127,5.127,5.127,5.127,200,0
DXYN.US,5,20210924,210000,5.125,5.17,5.125,5.17,1100,0
DXYN.US,5,20210924,210500,5.17,5.17,5.17,5.17,1100,0
DXYN.US,5,20210924,211500,5.0955,5.15,5.0955,5.12,1200,0
DXYN.US,5,20210924,212000,5.1,5.1,5.1,5.1,100,0
DXYN.US,5,20210924,212500,5.15,5.151,5.15,5.151,500,0
DXYN.US,5,20210924,214500,5.13,5.17,5.13,5.17,1500,0
DXYN.US,5,20210924,215000,5.1395,5.1395,5.1395,5.1395,114,0
DXYN.US,5,20210924,215500,5.16,5.1603,5.13,5.16,1421,0
DXYN.US,5,20210927,153000,5.09,5.09,5.09,5.09,7843,0
DXYN.US,5,20210927,153500,5.15,5.15,5.1,5.1,1700,0
DXYN.US,5,20210927,154000,5.06,5.06,5.06,5.06,100,0
DXYN.US,5,20210927,154500,5.0432,5.13,5.04,5.13,5419,0
DXYN.US,5,20210927,160000,5.0965,5.0965,5.0965,5.0965,400,0
DXYN.US,5,20210927,160500,5.13,5.13,5.13,5.13,871,0
DXYN.US,5,20210927,161000,5.1172,5.1172,5.07,5.072,2262,0
DXYN.US,5,20210927,161500,5.06,5.06,5.04,5.04,300,0
DXYN.US,5,20210927,164000,5.041,5.0607,5.03,5.0607,2150,0
DXYN.US,5,20210927,164500,5.01,5.01,5.01,5.01,100,0
DXYN.US,5,20210927,165000,5.03,5.03,5.03,5.03,200,0
DXYN.US,5,20210927,165500,5.0182,5.0182,5.0182,5.0182,120,0
DXYN.US,5,20210927,171500,5.02,5.02,5.02,5.02,687,0
DXYN.US,5,20210927,172000,5.01,5.01,5,5,2100,0
DXYN.US,5,20210927,173000,4.99,4.99,4.99,4.99,104,0
DXYN.US,5,20210927,173500,4.99,4.99,4.95,4.96,1510,0
DXYN.US,5,20210927,175000,5.01,5.01,4.97,5,1792,0
DXYN.US,5,20210927,175500,5.01,5.0152,5.01,5.0152,366,0
DXYN.US,5,20210927,180500,5.0215,5.0215,5.0215,5.0215,200,0
DXYN.US,5,20210927,181000,5.0623,5.0623,5.0623,5.0623,200,0
DXYN.US,5,20210927,182500,5.0492,5.0492,5.0492,5.0492,178,0
DXYN.US,5,20210927,184000,5.045,5.045,5.045,5.045,230,0
DXYN.US,5,20210927,190000,5.09,5.09,5.09,5.09,600,0
DXYN.US,5,20210927,191500,5.09,5.09,5.09,5.09,100,0
DXYN.US,5,20210927,192500,5.03,5.03,5.02,5.03,544,0
DXYN.US,5,20210927,193000,4.99,5.02,4.96,4.96,2600,0
DXYN.US,5,20210927,193500,5.02,5.02,5.02,5.02,1091,0
DXYN.US,5,20210927,200000,5.02,5.09,5.02,5.09,1100,0
DXYN.US,5,20210927,201000,5.0899,5.0899,5.0899,5.0899,100,0
DXYN.US,5,20210927,202000,5.075,5.075,5.075,5.075,392,0
DXYN.US,5,20210927,203500,5.08,5.08,5.08,5.08,100,0
DXYN.US,5,20210927,205500,5.06,5.07,5.04,5.04,797,0
DXYN.US,5,20210927,210000,5.04,5.05,5.04,5.05,400,0
DXYN.US,5,20210927,210500,5.045,5.07,5.045,5.05,300,0
DXYN.US,5,20210927,212000,5.06,5.07,5.04,5.04,999,0
DXYN.US,5,20210927,213500,5.04,5.09,5.03,5.09,775,0
DXYN.US,5,20210927,214500,5.079,5.079,5,5.05,6043,0
DXYN.US,5,20210927,215000,5.03,5.04,5,5.04,6573,0
DXYN.US,5,20210927,215500,5.055,5.055,5.02,5.02,5161,0
DXYN.US,5,20210928,153000,5.06,5.06,5.06,5.06,2066,0
DXYN.US,5,20210928,153500,5.0873,5.0873,5.05,5.0873,1192,0
DXYN.US,5,20210928,154500,5.12,5.12,5.12,5.12,100,0
DXYN.US,5,20210928,155000,5.055,5.055,5.055,5.055,100,0
DXYN.US,5,20210928,160500,5.09,5.09,5,5,1799,0
DXYN.US,5,20210928,162000,5.03,5.03,4.94,4.94,241,0
DXYN.US,5,20210928,163500,4.9572,4.9572,4.9572,4.9572,125,0
DXYN.US,5,20210928,165500,5.04,5.04,5.04,5.04,500,0
DXYN.US,5,20210928,171000,5.016,5.016,5.016,5.016,100,0
