<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EACPW.US,5,20210922,153000,0.5699,0.5699,0.5699,0.5699,200,0
EACPW.US,5,20210922,160500,0.5198,0.5198,0.5198,0.5198,700,0
EACPW.US,5,20210922,161000,0.5199,0.52,0.5199,0.52,1200,0
EACPW.US,5,20210922,161500,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,162000,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,162500,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,163000,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,163500,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,164000,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,164500,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,165000,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,165500,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,170000,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,170500,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,171000,0.5219,0.5219,0.5219,0.5219,100,0
EACPW.US,5,20210922,171500,0.5378,0.58,0.5298,0.58,18629,0
EACPW.US,5,20210922,172000,0.58,0.58,0.58,0.58,75300,0
EACPW.US,5,20210922,172500,0.58,0.58,0.58,0.58,313,0
EACPW.US,5,20210922,175000,0.58,0.58,0.58,0.58,4025,0
EACPW.US,5,20210922,175500,0.58,0.58,0.58,0.58,400,0
EACPW.US,5,20210922,210000,0.58,0.58,0.58,0.58,1612,0
EACPW.US,5,20210922,212500,0.5198,0.5198,0.5,0.519,12901,0
EACPW.US,5,20210924,210000,0.54,0.541,0.54,0.54,2100,0
EACPW.US,5,20210927,172000,0.5699,0.5699,0.5699,0.5699,1000,0
EACPW.US,5,20210928,153000,0.5799,0.5799,0.5799,0.5799,1000,0
EACPW.US,5,20210928,215500,0.5799,0.5799,0.5799,0.5799,2000,0
EACPW.US,5,20210929,153000,0.5799,0.5799,0.5799,0.5799,1000,0
EACPW.US,5,20210929,160000,0.519,0.52,0.5,0.52,1045,0
EACPW.US,5,20210929,165000,0.56,0.5699,0.56,0.5699,924,0
EACPW.US,5,20210929,215500,0.5799,0.5799,0.5799,0.5799,2000,0
EACPW.US,5,20210930,153000,0.5799,0.5799,0.5799,0.5799,1000,0
EACPW.US,5,20210930,171500,0.566859,0.566859,0.5444,0.5444,1000,0
EACPW.US,5,20210930,215500,0.5799,0.5799,0.5799,0.5799,2000,0
EACPW.US,5,20211001,153000,0.5799,0.5799,0.5799,0.5799,1000,0
EACPW.US,5,20211001,214000,0.56,0.5798,0.56,0.5722,3500,0
EACPW.US,5,20211001,215500,0.5798,0.5799,0.5349,0.5722,10798,0
EACPW.US,5,20211004,153000,0.6099,0.6099,0.6099,0.6099,1100,0
EACPW.US,5,20211004,214500,0.5394,0.5394,0.5394,0.5394,200,0
EACPW.US,5,20211004,215000,0.55,0.55,0.55,0.55,100,0
EACPW.US,5,20211004,215500,0.55,0.57,0.55,0.57,2200,0
EACPW.US,5,20211005,153000,0.6099,0.6099,0.6099,0.6099,1000,0
EACPW.US,5,20211005,215500,0.5699,0.5699,0.5699,0.5699,2000,0
EACPW.US,5,20211006,153000,0.5699,0.5699,0.5699,0.5699,1000,0
EACPW.US,5,20211006,163000,0.5189,0.57,0.4986,0.558,106570,0
EACPW.US,5,20211006,163500,0.558,0.558,0.558,0.558,200,0
EACPW.US,5,20211006,164000,0.558,0.558,0.558,0.558,100,0
EACPW.US,5,20211006,164500,0.558,0.558,0.558,0.558,200,0
EACPW.US,5,20211006,165500,0.558,0.558,0.558,0.558,100,0
EACPW.US,5,20211006,170500,0.558,0.558,0.558,0.558,300,0
EACPW.US,5,20211006,172000,0.558,0.558,0.558,0.558,200,0
EACPW.US,5,20211006,215500,0.5998,0.5998,0.5998,0.5998,1800,0
EACPW.US,5,20211007,153000,0.5997,0.5997,0.5997,0.5997,1000,0
EACPW.US,5,20211007,153500,0.545,0.5799,0.545,0.5799,1320,0
EACPW.US,5,20211007,171500,0.5799,0.5899,0.5799,0.5899,3100,0
EACPW.US,5,20211007,173000,0.59,0.6265,0.59,0.6,8619,0
EACPW.US,5,20211007,174000,0.59,0.59,0.53,0.53,25700,0
EACPW.US,5,20211007,180500,0.5995,0.5995,0.5995,0.5995,100,0
EACPW.US,5,20211007,215500,0.5399,0.5399,0.5399,0.5399,100,0
EACPW.US,5,20211011,181000,0.5171,0.6099,0.5171,0.6099,2300,0
EACPW.US,5,20211011,181500,0.53,0.53,0.53,0.53,100,0
EACPW.US,5,20211011,215000,0.517,0.517,0.517,0.517,300,0
EACPW.US,5,20211012,203000,0.52,0.52,0.5171,0.5171,1000,0
EACPW.US,5,20211013,165000,0.517,0.517,0.517,0.517,100,0
EACPW.US,5,20211013,171500,0.517,0.517,0.5169,0.5169,2873,0
EACPW.US,5,20211013,190000,0.5169,0.5169,0.4801,0.4801,1000,0
EACPW.US,5,20211013,190500,0.5167,0.5167,0.5167,0.5167,1000,0
EACPW.US,5,20211013,192500,0.4801,0.4801,0.4801,0.4801,100,0
EACPW.US,5,20211013,194000,0.5166,0.5166,0.5166,0.5166,100,0
EACPW.US,5,20211013,214000,0.5166,0.5166,0.51,0.51,3100,0
EACPW.US,5,20211013,214500,0.4801,0.51,0.4801,0.51,38105,0
EACPW.US,5,20211013,215000,0.51,0.51,0.51,0.51,500,0
EACPW.US,5,20211018,200500,0.5109,0.5109,0.5109,0.5109,200,0
EACPW.US,5,20211021,153500,0.5106,0.5106,0.5071,0.5104,1436,0
EACPW.US,5,20211021,154000,0.5103,0.5103,0.5102,0.5102,984,0
EACPW.US,5,20211021,181000,0.5112,0.5112,0.5017,0.5092,7585,0
EACPW.US,5,20211021,181500,0.5092,0.5092,0.5092,0.5092,500,0
EACPW.US,5,20211021,214000,0.509,0.509,0.4989,0.5088,2400,0
EACPW.US,5,20211021,214500,0.5088,0.5088,0.49375,0.5062,19200,0
EACPW.US,5,20211021,215000,0.49315,0.5061,0.49245,0.5047,11200,0
EACPW.US,5,20211021,215500,0.5046,0.5046,0.48,0.5,12266,0
EACPW.US,5,20211026,164500,0.538,0.5399,0.538,0.5397,3700,0
EACPW.US,5,20211026,173500,0.54,0.54,0.54,0.54,18650,0
EACPW.US,5,20211026,183500,0.54,0.54,0.54,0.54,2988,0
EACPW.US,5,20211027,203000,0.4462,0.5399,0.4433,0.5399,800,0
EACPW.US,5,20211027,210500,0.4462,0.4462,0.4462,0.4462,200,0
EACPW.US,5,20211027,211500,0.5101,0.5101,0.5101,0.5101,272,0
EACPW.US,5,20211027,212000,0.4364,0.5101,0.4364,0.5101,328,0
EACPW.US,5,20211028,160000,0.44,0.44,0.44,0.44,465,0
EACPW.US,5,20211028,163000,0.48,0.51,0.48,0.51,600,0
EACPW.US,5,20211028,172500,0.49,0.52,0.49,0.52,4022,0
EACPW.US,5,20211028,185000,0.52,0.52,0.518,0.518,300,0
EACPW.US,5,20211028,200000,0.52,0.52,0.52,0.52,2400,0
EACPW.US,5,20211028,215500,0.52,0.52,0.52,0.52,200,0
EACPW.US,5,20211101,193500,0.54,0.54,0.54,0.54,100000,0
EACPW.US,5,20211103,154500,0.56,0.56,0.56,0.56,3186,0
EACPW.US,5,20211103,155000,0.56,0.56,0.56,0.56,100,0
EACPW.US,5,20211103,170000,0.56,0.56,0.56,0.56,100,0
EACPW.US,5,20211103,205500,0.531,0.531,0.49,0.52,52600,0
EACPW.US,5,20211104,202500,0.58,0.58,0.49,0.5,31900,0
EACPW.US,5,20211104,203000,0.51,0.52,0.501,0.52,69600,0
EACPW.US,5,20211105,151500,0.5389,0.54,0.5389,0.54,5000,0
EACPW.US,5,20211105,184500,0.51675,0.51675,0.51675,0.51675,100000,0
EACPW.US,5,20211105,185000,0.52,0.52,0.52,0.52,45200,0
EACPW.US,5,20211105,200000,0.5,0.5,0.49,0.49,3644,0
EACPW.US,5,20211105,201500,0.49,0.49,0.48755,0.49,28600,0
EACPW.US,5,20211105,203500,0.49,0.49,0.49,0.49,20800,0
EACPW.US,5,20211105,204000,0.51,0.51,0.51,0.51,1500,0
EACPW.US,5,20211105,205000,0.52,0.52,0.52,0.52,2321,0
EACPW.US,5,20211105,205500,0.52,0.52,0.52,0.52,1857,0
EACPW.US,5,20211108,155500,0.521,0.521,0.52,0.52,4000,0
EACPW.US,5,20211109,161500,0.519,0.52,0.519,0.52,10000,0
EACPW.US,5,20211109,181500,0.52,0.52,0.52,0.52,15000,0
EACPW.US,5,20211109,182000,0.55,0.55,0.55,0.55,2000,0
EACPW.US,5,20211109,193500,0.55,0.55,0.55,0.55,400,0
EACPW.US,5,20211110,175500,0.521,0.521,0.521,0.521,200,0
EACPW.US,5,20211110,183000,0.5201,0.5201,0.52,0.52,400,0
EACPW.US,5,20211110,185500,0.5499,0.5499,0.5499,0.5499,1700,0
EACPW.US,5,20211110,194500,0.55,0.55,0.55,0.55,200,0
