<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPR.US,5,20210922,153000,49.74,50.325,49.74,49.87,6007,0
EPR.US,5,20210922,153500,50.11,50.23,50.065,50.18,1466,0
EPR.US,5,20210922,154000,49.99,50.13,49.87,50,5386,0
EPR.US,5,20210922,154500,50.015,50.195,50.015,50.075,1300,0
EPR.US,5,20210922,155000,50.07,50.24,50.07,50.12,12686,0
EPR.US,5,20210922,155500,50.18,50.28,50.18,50.23,7191,0
EPR.US,5,20210922,160000,50.13,50.15,49.9,49.9,13096,0
EPR.US,5,20210922,160500,49.9,49.9,49.76,49.8,1812,0
EPR.US,5,20210922,161000,49.865,49.865,49.61,49.67,12298,0
EPR.US,5,20210922,161500,49.78,49.89,49.72,49.84,1870,0
EPR.US,5,20210922,162000,49.81,49.81,49.72,49.72,1260,0
EPR.US,5,20210922,162500,49.71,49.77,49.61,49.63,1451,0
EPR.US,5,20210922,163000,49.72,49.87,49.71,49.87,3042,0
EPR.US,5,20210922,163500,49.83,49.86,49.825,49.86,829,0
EPR.US,5,20210922,164000,49.865,49.975,49.865,49.97,612,0
EPR.US,5,20210922,164500,49.96,49.97,49.83,49.97,1000,0
EPR.US,5,20210922,165000,50,50,49.92,49.92,200,0
EPR.US,5,20210922,165500,49.92,49.95,49.92,49.94,1117,0
EPR.US,5,20210922,170000,49.96,49.96,49.88,49.8801,1829,0
EPR.US,5,20210922,170500,49.9,49.98,49.9,49.98,600,0
EPR.US,5,20210922,171000,49.98,50.0799,49.97,50.0799,2160,0
EPR.US,5,20210922,171500,50.11,50.25,50.1,50.23,2559,0
EPR.US,5,20210922,172000,50.22,50.27,50.21,50.26,601,0
EPR.US,5,20210922,172500,50.27,50.315,50.25,50.275,1002,0
EPR.US,5,20210922,173000,50.25,50.29,50.21,50.22,2262,0
EPR.US,5,20210922,173500,50.29,50.29,50.11,50.11,700,0
EPR.US,5,20210922,174000,50.04,50.04,50.01,50.01,600,0
EPR.US,5,20210922,174500,50.07,50.1,50.07,50.1,399,0
EPR.US,5,20210922,175000,50.11,50.17,50.07,50.125,2741,0
EPR.US,5,20210922,175500,50.145,50.17,50.14,50.17,860,0
EPR.US,5,20210922,180000,50.15,50.23,50.12,50.23,2402,0
EPR.US,5,20210922,180500,50.21,50.2499,50.14,50.2,1024,0
EPR.US,5,20210922,181000,50.19,50.19,50.13,50.13,1900,0
EPR.US,5,20210922,181500,50.12,50.135,50.01,50.01,593,0
EPR.US,5,20210922,182000,49.97,49.98,49.97,49.97,506,0
EPR.US,5,20210922,182500,50.03,50.07,50.03,50.07,808,0
EPR.US,5,20210922,183000,50.12,50.13,50.07,50.1,2010,0
EPR.US,5,20210922,183500,50.1,50.2199,50.09,50.12,500,0
EPR.US,5,20210922,184000,50.2,50.2,50.04,50.04,1377,0
EPR.US,5,20210922,184500,50.065,50.1,50.02,50.1,1820,0
EPR.US,5,20210922,185000,50.11,50.12,50.0939,50.12,1602,0
EPR.US,5,20210922,185500,50.14,50.17,50.14,50.16,500,0
EPR.US,5,20210922,190000,50.165,50.165,50.07,50.09,1300,0
EPR.US,5,20210922,190500,50.07,50.14,50.07,50.115,837,0
EPR.US,5,20210922,191000,50.11,50.11,50.11,50.11,100,0
EPR.US,5,20210922,191500,50.13,50.185,50.13,50.185,1443,0
EPR.US,5,20210922,192000,50.17,50.17,50.115,50.115,878,0
EPR.US,5,20210922,192500,50.13,50.26,50.115,50.26,1155,0
EPR.US,5,20210922,193000,50.29,50.32,50.24,50.32,6643,0
EPR.US,5,20210922,193500,50.34,50.37,50.32,50.33,1150,0
EPR.US,5,20210922,194000,50.31,50.37,50.31,50.335,4532,0
EPR.US,5,20210922,194500,50.31,50.315,50.27,50.315,1150,0
EPR.US,5,20210922,195000,50.32,50.32,50.265,50.28,500,0
EPR.US,5,20210922,195500,50.285,50.34,50.28,50.34,840,0
