<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEDU.US,5,20210922,153000,0.53,0.53,0.53,0.53,2534,0
FEDU.US,5,20210922,153500,0.5399,0.5399,0.5399,0.5399,1200,0
FEDU.US,5,20210922,154000,0.535,0.535,0.535,0.535,3000,0
FEDU.US,5,20210922,154500,0.5351,0.5351,0.5351,0.5351,1875,0
FEDU.US,5,20210922,155000,0.5399,0.5399,0.5361,0.537549,6680,0
FEDU.US,5,20210922,155500,0.5384,0.5384,0.5384,0.5384,100,0
FEDU.US,5,20210922,160000,0.5364,0.5364,0.5364,0.5364,100,0
FEDU.US,5,20210922,160500,0.5353,0.5355,0.5353,0.5355,400,0
FEDU.US,5,20210922,164000,0.54,0.54,0.54,0.54,3000,0
FEDU.US,5,20210922,164500,0.5355,0.5355,0.5355,0.5355,1970,0
FEDU.US,5,20210922,165500,0.54,0.54,0.5376,0.5376,1250,0
FEDU.US,5,20210922,170000,0.5376,0.5376,0.5376,0.5376,100,0
FEDU.US,5,20210922,171000,0.54,0.54,0.5399,0.5399,4169,0
FEDU.US,5,20210922,171500,0.54,0.54,0.54,0.54,10000,0
FEDU.US,5,20210922,172000,0.54,0.54,0.5398,0.5399,41063,0
FEDU.US,5,20210922,172500,0.5401,0.55,0.5401,0.55,400,0
FEDU.US,5,20210922,173000,0.56,0.56,0.555,0.555,1073,0
FEDU.US,5,20210922,173500,0.5542,0.5542,0.5542,0.5542,100,0
FEDU.US,5,20210922,174000,0.55999,0.55999,0.559899,0.559899,2053,0
FEDU.US,5,20210922,174500,0.5571,0.5573,0.5571,0.5571,1550,0
FEDU.US,5,20210922,175000,0.56,0.56,0.556,0.556,2907,0
FEDU.US,5,20210922,180000,0.556,0.5586,0.556,0.5586,630,0
FEDU.US,5,20210922,184000,0.56,0.56,0.56,0.56,2000,0
FEDU.US,5,20210922,185000,0.540001,0.540001,0.540001,0.540001,100,0
FEDU.US,5,20210922,191000,0.5493,0.5493,0.5493,0.5493,200,0
FEDU.US,5,20210922,202000,0.558599,0.558599,0.558599,0.558599,400,0
FEDU.US,5,20210922,203500,0.5504,0.5504,0.5504,0.5504,100,0
