<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FHN_C.US,5,20210922,201500,28.7,28.7,28.7,28.7,100,0
FHN_C.US,5,20210922,205000,28.75,28.75,28.75,28.75,500,0
FHN_C.US,5,20210922,214000,28.7212,28.7212,28.6282,28.6282,400,0
FHN_C.US,5,20210923,183500,28.63,28.63,28.63,28.63,260,0
FHN_C.US,5,20210924,202500,28.65,28.65,28.65,28.65,4000,0
FHN_C.US,5,20210924,213000,28.5,28.53,28.5,28.53,700,0
FHN_C.US,5,20210928,211500,28.2,28.74,28.1713,28.74,4585,0
FHN_C.US,5,20210928,213500,28.27,28.27,28.04,28.05,6433,0
FHN_C.US,5,20210928,214000,28.06,28.12,28.06,28.07,1600,0
FHN_C.US,5,20210928,214500,28.07,28.08,28.06,28.06,1200,0
FHN_C.US,5,20210928,215500,28.27,28.27,28.27,28.27,1017,0
FHN_C.US,5,20210929,153000,28.13,28.13,28.13,28.13,476,0
FHN_C.US,5,20210929,160000,28.37,28.37,28.37,28.37,100,0
FHN_C.US,5,20210929,161000,28.37,28.37,28.37,28.37,100,0
FHN_C.US,5,20210929,162000,28.36,28.36,28.36,28.36,100,0
FHN_C.US,5,20210929,171000,28.31,28.31,28.31,28.31,100,0
FHN_C.US,5,20210929,172500,28.3,28.3,28.3,28.3,100,0
FHN_C.US,5,20210929,173500,28.3,28.3,28.3,28.3,100,0
FHN_C.US,5,20210929,174500,28.29,28.29,28.29,28.29,100,0
FHN_C.US,5,20210929,175000,27.99,27.99,27.99,27.99,100,0
FHN_C.US,5,20210929,181000,28.25,28.25,28.25,28.25,100,0
FHN_C.US,5,20210929,182500,28.25,28.25,28.25,28.25,100,0
FHN_C.US,5,20210929,183500,28.25,28.25,28.25,28.25,100,0
FHN_C.US,5,20210929,185000,28.25,28.25,28.25,28.25,100,0
FHN_C.US,5,20210929,190000,28.25,28.25,28.25,28.25,100,0
FHN_C.US,5,20210929,191000,28.25,28.25,28.25,28.25,100,0
