<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FL.US,5,20210922,153000,50.03,50.24,49.86,50.13,24931,0
FL.US,5,20210922,153500,50.02,50.1176,49.92,50.08,8775,0
FL.US,5,20210922,154000,50.06,50.09,49.89,50.02,9176,0
FL.US,5,20210922,154500,50.01,50.04,49.86,49.99,15469,0
FL.US,5,20210922,155000,50.01,50.23,50.01,50.22,9492,0
FL.US,5,20210922,155500,50.24,50.355,50.18,50.345,9871,0
FL.US,5,20210922,160000,50.35,50.586,50.2,50.51,17975,0
FL.US,5,20210922,160500,50.535,50.63,50.533,50.54,7017,0
FL.US,5,20210922,161000,50.5,50.51,50.37,50.47,9802,0
FL.US,5,20210922,161500,50.4999,50.56,50.39,50.42,5715,0
FL.US,5,20210922,162000,50.42,50.5,50.3,50.47,11209,0
FL.US,5,20210922,162500,50.45,50.47,50.3272,50.3272,9975,0
FL.US,5,20210922,163000,50.31,50.41,50.24,50.3399,6789,0
FL.US,5,20210922,163500,50.3,50.38,50.25,50.3,18108,0
FL.US,5,20210922,164000,50.29,50.46,50.28,50.41,22643,0
FL.US,5,20210922,164500,50.39,50.5,50.39,50.45,8748,0
FL.US,5,20210922,165000,50.48,50.56,50.48,50.495,5986,0
FL.US,5,20210922,165500,50.51,50.72,50.51,50.68,64104,0
FL.US,5,20210922,170000,50.68,50.95,50.68,50.88,29312,0
FL.US,5,20210922,170500,50.89,51.02,50.89,50.93,16798,0
FL.US,5,20210922,171000,50.93,51.05,50.93,51.05,11285,0
FL.US,5,20210922,171500,51.04,51.05,50.95,50.95,33758,0
FL.US,5,20210922,172000,50.97,51.01,50.97,50.995,14100,0
FL.US,5,20210922,172500,50.99,51.0099,50.95,50.97,6150,0
FL.US,5,20210922,173000,50.9853,51.01,50.96,51,9350,0
FL.US,5,20210922,173500,51,51.02,50.8,50.815,34104,0
FL.US,5,20210922,174000,50.8,50.85,50.75,50.83,5758,0
FL.US,5,20210922,174500,50.85,50.88,50.68,50.84,18430,0
FL.US,5,20210922,175000,50.84,50.97,50.78,50.86,11910,0
FL.US,5,20210922,175500,50.88,50.9,50.81,50.84,7349,0
FL.US,5,20210922,180000,50.85,50.905,50.84,50.85,10883,0
FL.US,5,20210922,180500,50.85,50.855,50.7301,50.7301,6236,0
FL.US,5,20210922,181000,50.73,50.83,50.71,50.76,10616,0
FL.US,5,20210922,181500,50.78,50.805,50.76,50.78,5773,0
FL.US,5,20210922,182000,50.78,50.795,50.683,50.7,8726,0
FL.US,5,20210922,182500,50.71,50.77,50.7,50.77,6364,0
FL.US,5,20210922,183000,50.76,50.785,50.72,50.73,13182,0
FL.US,5,20210922,183500,50.73,50.73,50.6501,50.66,5791,0
FL.US,5,20210922,184000,50.67,50.67,50.605,50.62,6477,0
FL.US,5,20210922,184500,50.63,50.6601,50.61,50.62,5933,0
FL.US,5,20210922,185000,50.62,50.7,50.58,50.58,8497,0
FL.US,5,20210922,185500,50.57,50.625,50.5639,50.585,4200,0
FL.US,5,20210922,190000,50.575,50.63,50.55,50.555,6648,0
FL.US,5,20210922,190500,50.55,50.65,50.53,50.65,4911,0
FL.US,5,20210922,191000,50.6556,50.6556,50.61,50.61,4731,0
FL.US,5,20210922,191500,50.61,50.61,50.506,50.58,13228,0
FL.US,5,20210922,192000,50.57,50.62,50.57,50.6,2723,0
FL.US,5,20210922,192500,50.58,50.69,50.57,50.68,9514,0
FL.US,5,20210922,193000,50.665,50.72,50.665,50.69,3816,0
FL.US,5,20210922,193500,50.68,50.72,50.66,50.68,6901,0
FL.US,5,20210922,194000,50.67,50.69,50.65,50.68,5101,0
FL.US,5,20210922,194500,50.67,50.675,50.64,50.64,3610,0
FL.US,5,20210922,195000,50.62,50.62,50.57,50.58,8464,0
FL.US,5,20210922,195500,50.57,50.62,50.545,50.57,5361,0
FL.US,5,20210922,200000,50.55,50.83,50.43,50.83,8926,0
FL.US,5,20210922,200500,50.83,50.85,50.71,50.82,9798,0
FL.US,5,20210922,201000,50.83,50.94,50.81,50.94,7535,0
FL.US,5,20210922,201500,50.95,51.01,50.91,50.92,12211,0
FL.US,5,20210922,202000,50.93,50.95,50.84,50.94,7670,0
FL.US,5,20210922,202500,50.92,51.01,50.92,50.97,12202,0
FL.US,5,20210922,203000,50.97,51,50.91,50.97,10672,0
FL.US,5,20210922,203500,50.97,51.03,50.85,50.91,10401,0
FL.US,5,20210922,204000,50.89,50.89,50.75,50.79,6527,0
FL.US,5,20210922,204500,50.78,50.8,50.65,50.65,7598,0
FL.US,5,20210922,205000,50.64,50.73,50.54,50.69,4629,0
FL.US,5,20210922,205500,50.7,50.71,50.62,50.675,9164,0
FL.US,5,20210922,210000,50.64,50.66,50.59,50.64,10727,0
FL.US,5,20210922,210500,50.67,50.68,50.57,50.62,8161,0
FL.US,5,20210922,211000,50.64,50.74,50.62,50.725,7447,0
FL.US,5,20210922,211500,50.72,50.77,50.71,50.77,6040,0
FL.US,5,20210922,212000,50.77,50.82,50.73,50.77,11751,0
FL.US,5,20210922,212500,50.78,50.78,50.68,50.7,7848,0
FL.US,5,20210922,213000,50.7,50.74,50.65,50.71,15292,0
FL.US,5,20210922,213500,50.7,50.82,50.66,50.81,17969,0
FL.US,5,20210922,214000,50.82,50.865,50.73,50.79,20502,0
FL.US,5,20210922,214500,50.78,50.79,50.67,50.67,30120,0
FL.US,5,20210922,215000,50.66,50.67,50.5583,50.655,46177,0
FL.US,5,20210922,215500,50.65,50.655,50.56,50.58,309427,0
FL.US,5,20210923,153000,51.19,52.35,50.94,52.34,80935,0
FL.US,5,20210923,153500,52.34,52.35,51.97,52.03,50388,0
FL.US,5,20210923,154000,52.01,52.01,51.6,51.95,13084,0
FL.US,5,20210923,154500,51.93,52.34,51.93,52.23,43944,0
FL.US,5,20210923,155000,52.17,52.26,51.94,52.26,15178,0
FL.US,5,20210923,155500,52.23,52.42,52.19,52.3904,25724,0
FL.US,5,20210923,160000,52.38,52.53,52.24,52.43,61761,0
FL.US,5,20210923,160500,52.47,52.56,52.42,52.48,32187,0
FL.US,5,20210923,161000,52.475,52.69,52.47,52.63,33309,0
FL.US,5,20210923,161500,52.63,52.68,52.58,52.63,29214,0
FL.US,5,20210923,162000,52.63,52.66,52.48,52.5,33195,0
FL.US,5,20210923,162500,52.49,52.58,52.48,52.48,15725,0
FL.US,5,20210923,163000,52.49,52.52,52.42,52.51,22612,0
FL.US,5,20210923,163500,52.49,52.565,52.43,52.53,23467,0
FL.US,5,20210923,164000,52.535,52.56,52.45,52.54,17748,0
FL.US,5,20210923,164500,52.53,52.56,52.49,52.51,21607,0
FL.US,5,20210923,165000,52.48,52.54,52.45,52.5,19133,0
FL.US,5,20210923,165500,52.505,52.505,52.3832,52.41,6937,0
FL.US,5,20210923,170000,52.42,52.43,52.25,52.27,10342,0
FL.US,5,20210923,170500,52.2656,52.42,52.2656,52.4,15391,0
FL.US,5,20210923,171000,52.39,52.41,52.35,52.36,6700,0
FL.US,5,20210923,171500,52.36,52.43,52.36,52.42,6330,0
FL.US,5,20210923,172000,52.4,52.43,52.26,52.26,13145,0
FL.US,5,20210923,172500,52.2572,52.4,52.25,52.365,9684,0
FL.US,5,20210923,173000,52.36,52.47,52.35,52.46,17399,0
FL.US,5,20210923,173500,52.46,52.5525,52.44,52.53,18878,0
FL.US,5,20210923,174000,52.52,52.58,52.5,52.51,31567,0
FL.US,5,20210923,174500,52.51,52.515,52.38,52.43,13794,0
FL.US,5,20210923,175000,52.44,52.48,52.3976,52.4,13887,0
FL.US,5,20210923,175500,52.41,52.43,52.39,52.39,6452,0
FL.US,5,20210923,180000,52.37,52.39,52.33,52.38,13808,0
