<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMIV.US,5,20210927,214000,9.7,9.7,9.67,9.67,25000,0
FMIV.US,5,20210927,215000,9.74,9.74,9.74,9.74,200,0
FMIV.US,5,20210927,215500,9.74,9.75,9.74,9.75,600,0
FMIV.US,5,20210928,154500,9.69,9.69,9.69,9.69,600,0
FMIV.US,5,20210928,203500,9.72,9.73,9.72,9.73,3094,0
FMIV.US,5,20210928,204000,9.72,9.74,9.71,9.71,23100,0
FMIV.US,5,20210928,204500,9.71,9.71,9.71,9.71,500,0
FMIV.US,5,20210928,205000,9.74,9.74,9.74,9.74,100,0
FMIV.US,5,20210928,205500,9.74,9.74,9.74,9.74,613,0
FMIV.US,5,20210928,210500,9.74,9.74,9.74,9.74,100,0
FMIV.US,5,20210928,211000,9.74,9.74,9.74,9.74,200,0
FMIV.US,5,20210928,211500,9.74,9.74,9.72,9.74,2300,0
FMIV.US,5,20210928,212000,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210928,212500,9.75,9.75,9.75,9.75,300,0
FMIV.US,5,20210928,213000,9.77,9.77,9.77,9.77,200,0
FMIV.US,5,20210928,213500,9.77,9.77,9.77,9.77,300,0
FMIV.US,5,20210928,214000,9.71,9.76,9.7,9.76,1300,0
FMIV.US,5,20210928,214500,9.77,9.77,9.77,9.77,400,0
FMIV.US,5,20210928,215000,9.77,9.77,9.77,9.77,600,0
FMIV.US,5,20210928,215500,9.77,9.77,9.77,9.77,1400,0
FMIV.US,5,20210929,174500,9.71,9.71,9.705,9.705,1000,0
FMIV.US,5,20210929,182000,9.72,9.72,9.72,9.72,1000,0
FMIV.US,5,20210929,184000,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20210929,184500,9.72,9.72,9.72,9.72,1000,0
FMIV.US,5,20210929,191000,9.75,9.75,9.75,9.75,100,0
FMIV.US,5,20210929,195000,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210929,195500,9.75,9.75,9.75,9.75,100,0
FMIV.US,5,20210929,205000,9.75,9.75,9.75,9.75,185,0
FMIV.US,5,20210929,212000,9.72,9.72,9.72,9.72,21400,0
FMIV.US,5,20210929,213500,9.71,9.71,9.7,9.7,82580,0
FMIV.US,5,20210929,214000,9.75,9.75,9.75,9.75,300,0
FMIV.US,5,20210929,214500,9.75,9.75,9.68,9.68,14100,0
FMIV.US,5,20210929,215000,9.7,9.74,9.68,9.68,5700,0
FMIV.US,5,20210929,215500,9.68,9.73,9.67,9.73,20925,0
FMIV.US,5,20210930,153500,9.7,9.7,9.67,9.67,24998,0
FMIV.US,5,20210930,160500,9.73,9.73,9.73,9.73,100,0
FMIV.US,5,20210930,161000,9.73,9.73,9.7,9.7,62408,0
FMIV.US,5,20210930,161500,9.73,9.73,9.73,9.73,100,0
FMIV.US,5,20210930,162000,9.73,9.73,9.73,9.73,300,0
FMIV.US,5,20210930,162500,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,163000,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,163500,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,164000,9.73,9.73,9.73,9.73,300,0
FMIV.US,5,20210930,164500,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,165000,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,165500,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,170000,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,170500,9.73,9.73,9.73,9.73,300,0
FMIV.US,5,20210930,171000,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,171500,9.73,9.73,9.73,9.73,100,0
FMIV.US,5,20210930,172000,9.73,9.73,9.73,9.73,300,0
FMIV.US,5,20210930,172500,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,173000,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,173500,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,174000,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,174500,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,175000,9.73,9.73,9.73,9.73,300,0
FMIV.US,5,20210930,175500,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,180000,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,180500,9.73,9.73,9.73,9.73,100,0
FMIV.US,5,20210930,181000,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,181500,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,182000,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,182500,9.73,9.73,9.73,9.73,200,0
FMIV.US,5,20210930,183000,9.73,9.73,9.73,9.73,100,0
FMIV.US,5,20210930,183500,9.75,9.75,9.75,9.75,100,0
FMIV.US,5,20210930,184000,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20210930,184500,9.76,9.76,9.76,9.76,200,0
FMIV.US,5,20210930,185000,9.76,9.76,9.76,9.76,200,0
FMIV.US,5,20210930,185500,9.76,9.76,9.76,9.76,200,0
FMIV.US,5,20210930,190000,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210930,190500,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210930,191000,9.75,9.75,9.75,9.75,100,0
FMIV.US,5,20210930,191500,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210930,192000,9.76,9.76,9.75,9.75,200,0
FMIV.US,5,20210930,192500,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210930,193000,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210930,193500,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210930,194000,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20210930,194500,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210930,195000,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210930,195500,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210930,200000,9.75,9.75,9.735,9.75,8056,0
FMIV.US,5,20210930,200500,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210930,201500,9.75,9.75,9.75,9.75,100,0
FMIV.US,5,20210930,202000,9.75,9.75,9.75,9.75,200,0
FMIV.US,5,20210930,202500,9.75,9.76,9.75,9.76,200,0
FMIV.US,5,20210930,203000,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20210930,203500,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20210930,215000,9.75,9.75,9.75,9.75,100,0
FMIV.US,5,20210930,215500,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20211001,153000,9.76,9.79,9.76,9.79,11419,0
FMIV.US,5,20211001,154000,9.79,9.79,9.79,9.79,100,0
FMIV.US,5,20211001,154500,9.79,9.79,9.79,9.79,100,0
FMIV.US,5,20211001,155000,9.79,9.79,9.79,9.79,100,0
FMIV.US,5,20211001,160000,9.78,9.78,9.78,9.78,100,0
FMIV.US,5,20211001,160500,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20211001,161500,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20211001,162000,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20211001,163000,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20211001,163500,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20211001,164500,9.78,9.78,9.78,9.78,100,0
FMIV.US,5,20211001,165500,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20211001,170000,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20211001,172500,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20211001,175000,9.72,9.72,9.72,9.72,300,0
FMIV.US,5,20211001,201500,9.78,9.78,9.78,9.78,512,0
FMIV.US,5,20211001,210500,9.78,9.78,9.78,9.78,100,0
FMIV.US,5,20211001,215500,9.76,9.76,9.76,9.76,100,0
FMIV.US,5,20211004,154500,9.76,9.76,9.76,9.76,1800,0
FMIV.US,5,20211004,155000,9.745,9.745,9.745,9.745,640,0
FMIV.US,5,20211004,155500,9.71,9.71,9.71,9.71,200,0
FMIV.US,5,20211004,160500,9.77,9.77,9.77,9.77,100,0
FMIV.US,5,20211004,162000,9.77,9.77,9.77,9.77,100,0
FMIV.US,5,20211004,164000,9.77,9.77,9.77,9.77,100,0
FMIV.US,5,20211004,171500,9.71,9.71,9.71,9.71,112,0
FMIV.US,5,20211004,173000,9.75,9.75,9.75,9.75,100,0
FMIV.US,5,20211004,173500,9.75,9.75,9.7375,9.7375,609,0
FMIV.US,5,20211004,184500,9.75,9.75,9.75,9.75,100,0
FMIV.US,5,20211004,213500,9.76,9.76,9.76,9.76,100,0
