<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FOF.US,5,20210922,153000,13.77,13.83,13.7399,13.7399,4856,0
FOF.US,5,20210922,153500,13.715,13.7499,13.715,13.7398,20800,0
FOF.US,5,20210922,154500,13.7399,13.74,13.7383,13.74,2103,0
FOF.US,5,20210922,155000,13.75,13.75,13.7233,13.7475,2704,0
FOF.US,5,20210922,155500,13.75,13.8,13.75,13.8,19369,0
FOF.US,5,20210922,160000,13.8129,13.8129,13.8129,13.8129,150,0
FOF.US,5,20210922,160500,13.7772,13.7772,13.7501,13.7501,333,0
FOF.US,5,20210922,161000,13.785,13.785,13.78,13.78,3040,0
FOF.US,5,20210922,161500,13.7707,13.78,13.7707,13.78,910,0
FOF.US,5,20210922,162000,13.77,13.775,13.77,13.775,892,0
FOF.US,5,20210922,162500,13.8065,13.8128,13.8065,13.8128,228,0
FOF.US,5,20210922,163000,13.815,13.815,13.7673,13.7673,400,0
FOF.US,5,20210922,163500,13.785,13.8065,13.785,13.8065,1000,0
FOF.US,5,20210922,164500,13.81,13.81,13.7708,13.7708,1101,0
FOF.US,5,20210922,165000,13.805,13.805,13.805,13.805,2000,0
FOF.US,5,20210922,165500,13.83,13.83,13.83,13.83,200,0
FOF.US,5,20210922,170000,13.8295,13.83,13.8236,13.8236,1540,0
FOF.US,5,20210922,170500,13.85,13.85,13.8249,13.8249,870,0
FOF.US,5,20210922,171000,13.83,13.83,13.83,13.83,200,0
FOF.US,5,20210922,171500,13.83,13.83,13.79,13.83,5900,0
FOF.US,5,20210922,172500,13.83,13.83,13.83,13.83,200,0
FOF.US,5,20210922,173000,13.84,13.84,13.84,13.84,100,0
FOF.US,5,20210922,174000,13.84,13.84,13.83,13.83,479,0
FOF.US,5,20210922,175500,13.84,13.84,13.835,13.835,400,0
FOF.US,5,20210922,180500,13.84,13.84,13.84,13.84,537,0
FOF.US,5,20210922,181000,13.84,13.85,13.8247,13.8435,993,0
FOF.US,5,20210922,182500,13.86,13.86,13.85,13.8565,400,0
FOF.US,5,20210922,183000,13.8529,13.8795,13.845,13.8695,4500,0
FOF.US,5,20210922,184000,13.8727,13.8727,13.8727,13.8727,3000,0
FOF.US,5,20210922,184500,13.855,13.855,13.855,13.855,350,0
FOF.US,5,20210922,185000,13.8799,13.88,13.87,13.8798,1562,0
FOF.US,5,20210922,185500,13.8635,13.8635,13.8635,13.8635,1000,0
FOF.US,5,20210922,190000,13.85,13.86,13.85,13.86,350,0
FOF.US,5,20210922,191000,13.87,13.87,13.87,13.87,1760,0
FOF.US,5,20210922,192000,13.87,13.87,13.8607,13.8607,600,0
FOF.US,5,20210922,192500,13.87,13.87,13.87,13.87,100,0
FOF.US,5,20210922,193000,13.85,13.86,13.85,13.86,300,0
FOF.US,5,20210922,195000,13.86,13.8698,13.86,13.8698,500,0
FOF.US,5,20210922,195500,13.84,13.8699,13.84,13.8699,1100,0
FOF.US,5,20210922,200000,13.8691,13.8691,13.8691,13.8691,934,0
FOF.US,5,20210922,200500,13.85,13.85,13.85,13.85,2729,0
FOF.US,5,20210922,202500,13.8785,13.8785,13.8702,13.8702,1221,0
FOF.US,5,20210922,203500,13.8786,13.88,13.8786,13.88,1000,0
FOF.US,5,20210922,204500,13.86,13.86,13.86,13.86,100,0
FOF.US,5,20210922,205000,13.87,13.88,13.87,13.88,600,0
FOF.US,5,20210922,205500,13.87,13.87,13.87,13.87,460,0
FOF.US,5,20210922,211500,13.87,13.87,13.87,13.87,100,0
FOF.US,5,20210922,212500,13.87,13.87,13.87,13.87,150,0
FOF.US,5,20210922,213500,13.865,13.865,13.865,13.865,550,0
FOF.US,5,20210922,214500,13.8693,13.8693,13.8693,13.8693,252,0
FOF.US,5,20210922,215500,13.865,13.87,13.86,13.86,2076,0
FOF.US,5,20210923,153000,13.88,13.9003,13.88,13.9003,1135,0
FOF.US,5,20210923,153500,13.86,13.9036,13.86,13.9036,1150,0
FOF.US,5,20210923,154000,13.9,13.919,13.9,13.9,700,0
FOF.US,5,20210923,154500,13.92,13.95,13.92,13.95,393,0
FOF.US,5,20210923,155000,13.915,13.915,13.915,13.915,1000,0
FOF.US,5,20210923,155500,13.915,13.915,13.88,13.88,400,0
FOF.US,5,20210923,160000,13.9222,13.9222,13.88,13.88,200,0
FOF.US,5,20210923,160500,13.94,13.94,13.94,13.94,282,0
FOF.US,5,20210923,161000,13.9199,13.9199,13.9199,13.9199,350,0
FOF.US,5,20210923,161500,13.9176,13.92,13.9176,13.9199,1938,0
FOF.US,5,20210923,162000,13.94,13.94,13.92,13.92,2304,0
FOF.US,5,20210923,162500,13.94,13.94,13.92,13.935,1879,0
FOF.US,5,20210923,163000,13.95,13.95,13.93,13.93,3364,0
FOF.US,5,20210923,163500,13.93,13.9437,13.93,13.9437,880,0
FOF.US,5,20210923,165000,13.945,13.96,13.945,13.945,5310,0
FOF.US,5,20210923,170000,13.939,13.95,13.939,13.95,225,0
FOF.US,5,20210923,171000,13.9547,13.9547,13.95,13.95,600,0
FOF.US,5,20210923,171500,13.95,13.96,13.95,13.96,400,0
FOF.US,5,20210923,172000,13.96,13.96,13.9517,13.9517,2015,0
FOF.US,5,20210923,172500,13.95,13.96,13.95,13.9558,781,0
FOF.US,5,20210923,173000,13.96,13.96,13.96,13.96,2226,0
FOF.US,5,20210923,173500,13.9509,13.9509,13.9509,13.9509,238,0
FOF.US,5,20210923,174000,13.96,13.97,13.9599,13.97,2500,0
FOF.US,5,20210923,175000,13.965,13.97,13.965,13.9699,1914,0
FOF.US,5,20210923,175500,13.9699,13.9699,13.9699,13.9699,200,0
FOF.US,5,20210923,180500,13.97,13.97,13.97,13.97,200,0
FOF.US,5,20210923,181500,13.97,13.97,13.9601,13.9601,601,0
FOF.US,5,20210923,182000,13.965,13.97,13.96,13.97,1415,0
FOF.US,5,20210923,182500,13.95,13.95,13.95,13.95,100,0
FOF.US,5,20210923,183000,13.94,13.94,13.9,13.9,2280,0
FOF.US,5,20210923,184000,13.8936,13.8936,13.8936,13.8936,846,0
FOF.US,5,20210923,184500,13.915,13.915,13.915,13.915,300,0
FOF.US,5,20210923,190500,13.948,13.95,13.92,13.95,476,0
FOF.US,5,20210923,192500,13.9301,13.9301,13.9301,13.9301,700,0
FOF.US,5,20210923,193500,13.95,13.95,13.9499,13.9499,1200,0
FOF.US,5,20210923,195000,13.96,13.962,13.96,13.9607,380,0
FOF.US,5,20210923,195500,13.97,13.97,13.9699,13.9699,400,0
FOF.US,5,20210923,200000,13.97,13.97,13.97,13.97,117,0
FOF.US,5,20210923,201000,13.965,13.965,13.965,13.965,138,0
FOF.US,5,20210923,201500,13.96,13.966,13.96,13.96,3100,0
FOF.US,5,20210923,202000,13.97,13.97,13.97,13.97,134,0
FOF.US,5,20210923,203500,13.96,13.96,13.96,13.96,356,0
FOF.US,5,20210923,204000,13.97,13.97,13.97,13.97,100,0
FOF.US,5,20210923,205500,13.965,13.965,13.96,13.96,352,0
FOF.US,5,20210923,210500,13.965,13.97,13.965,13.97,386,0
FOF.US,5,20210923,211000,13.965,13.965,13.96,13.96,502,0
FOF.US,5,20210923,212000,13.96,13.96,13.96,13.96,500,0
FOF.US,5,20210923,212500,13.96,14,13.96,13.98,3208,0
FOF.US,5,20210923,213000,13.9701,13.975,13.97,13.97,600,0
FOF.US,5,20210923,213500,13.98,13.98,13.9799,13.9799,714,0
FOF.US,5,20210923,214000,13.98,13.98,13.98,13.98,100,0
FOF.US,5,20210923,214500,13.98,13.98,13.96,13.96,2564,0
FOF.US,5,20210923,215000,13.96,13.96,13.96,13.96,1100,0
FOF.US,5,20210923,215500,13.95,13.95,13.94,13.95,482,0
FOF.US,5,20210924,153000,13.99,13.99,13.99,13.99,9459,0
FOF.US,5,20210924,153500,13.96,13.96,13.96,13.96,388,0
FOF.US,5,20210924,154000,13.93,13.93,13.91,13.91,200,0
FOF.US,5,20210924,154500,13.94,13.94,13.928,13.928,500,0
FOF.US,5,20210924,155000,13.91,13.91,13.8877,13.8877,552,0
FOF.US,5,20210924,155500,13.91,13.91,13.8801,13.8801,600,0
FOF.US,5,20210924,160000,13.885,13.9256,13.885,13.9256,964,0
FOF.US,5,20210924,160500,13.905,13.905,13.8808,13.8808,1668,0
FOF.US,5,20210924,162000,13.915,13.915,13.915,13.915,100,0
FOF.US,5,20210924,162500,13.9299,13.9299,13.9299,13.9299,200,0
FOF.US,5,20210924,163000,13.915,13.915,13.915,13.915,100,0
FOF.US,5,20210924,163500,13.9297,13.9297,13.9236,13.9236,1100,0
FOF.US,5,20210924,164000,13.9,13.9,13.9,13.9,700,0
FOF.US,5,20210924,164500,13.9156,13.9156,13.9156,13.9156,212,0
FOF.US,5,20210924,170000,13.9,13.92,13.9,13.92,2105,0
FOF.US,5,20210924,171000,13.901,13.904,13.901,13.904,776,0
FOF.US,5,20210924,171500,13.909,13.9232,13.909,13.9232,923,0
FOF.US,5,20210924,174000,13.9181,13.9181,13.9181,13.9181,180,0
FOF.US,5,20210924,175000,13.92,13.92,13.92,13.92,100,0
FOF.US,5,20210924,175500,13.92,13.925,13.9157,13.925,2159,0
FOF.US,5,20210924,180000,13.92,13.93,13.905,13.93,3800,0
FOF.US,5,20210924,181000,13.92,13.9298,13.9162,13.9162,1174,0
FOF.US,5,20210924,182000,13.915,13.9293,13.9,13.92,7306,0
FOF.US,5,20210924,185000,13.92,13.92,13.92,13.92,500,0
FOF.US,5,20210924,191500,13.92,13.92,13.915,13.915,207,0
FOF.US,5,20210924,192000,13.9199,13.9199,13.91,13.91,1400,0
FOF.US,5,20210924,194000,13.905,13.905,13.89,13.89,937,0
FOF.US,5,20210924,194500,13.894,13.894,13.885,13.885,1406,0
FOF.US,5,20210924,200000,13.885,13.8858,13.88,13.885,1300,0
FOF.US,5,20210924,201000,13.88,13.88,13.88,13.88,500,0
FOF.US,5,20210924,201500,13.89,13.89,13.8891,13.8897,1799,0
FOF.US,5,20210924,202000,13.9,13.9,13.89,13.89,1110,0
FOF.US,5,20210924,203000,13.89,13.89,13.88,13.885,5100,0
FOF.US,5,20210924,205000,13.89,13.89,13.8857,13.89,1033,0
FOF.US,5,20210924,205500,13.9,13.9,13.9,13.9,520,0
FOF.US,5,20210924,211000,13.895,13.895,13.89,13.89,1757,0
FOF.US,5,20210924,211500,13.89,13.895,13.85,13.85,5400,0
FOF.US,5,20210924,212000,13.86,13.8685,13.86,13.86,700,0
FOF.US,5,20210924,212500,13.86,13.87,13.845,13.86,8402,0
FOF.US,5,20210924,213000,13.8614,13.8614,13.8614,13.8614,100,0
FOF.US,5,20210924,214500,13.87,13.87,13.856,13.856,400,0
FOF.US,5,20210924,215000,13.8682,13.8682,13.86,13.86,250,0
FOF.US,5,20210924,215500,13.86,13.88,13.86,13.88,851,0
FOF.US,5,20210927,153000,13.8,13.8471,13.8,13.8471,5331,0
FOF.US,5,20210927,155000,13.83,13.83,13.83,13.83,100,0
FOF.US,5,20210927,155500,13.8313,13.8313,13.83,13.83,3010,0
FOF.US,5,20210927,160000,13.8305,13.8684,13.83,13.85,7628,0
FOF.US,5,20210927,160500,13.8472,13.8472,13.8329,13.8329,1911,0
FOF.US,5,20210927,161000,13.85,13.85,13.85,13.85,1000,0
FOF.US,5,20210927,162500,13.86,13.86,13.86,13.86,700,0
FOF.US,5,20210927,163000,13.88,13.8899,13.88,13.8899,654,0
FOF.US,5,20210927,163500,13.8892,13.9,13.87,13.87,6847,0
FOF.US,5,20210927,164000,13.9,13.91,13.89,13.89,3416,0
FOF.US,5,20210927,164500,13.9,13.9,13.9,13.9,305,0
FOF.US,5,20210927,165000,13.9,13.91,13.9,13.91,587,0
FOF.US,5,20210927,165500,13.91,13.92,13.9097,13.9097,1260,0
FOF.US,5,20210927,170500,13.91,13.91,13.91,13.91,500,0
FOF.US,5,20210927,171500,13.91,13.91,13.885,13.8999,2076,0
FOF.US,5,20210927,172000,13.9,13.9,13.87,13.885,1080,0
FOF.US,5,20210927,173000,13.885,13.885,13.885,13.885,100,0
FOF.US,5,20210927,173500,13.87,13.87,13.87,13.87,200,0
FOF.US,5,20210927,174000,13.8814,13.8814,13.8814,13.8814,500,0
FOF.US,5,20210927,174500,13.89,13.89,13.89,13.89,176,0
FOF.US,5,20210927,175000,13.9,13.9,13.9,13.9,2655,0
FOF.US,5,20210927,175500,13.9,13.92,13.9,13.9,5456,0
FOF.US,5,20210927,180000,13.89,13.92,13.89,13.89,5081,0
FOF.US,5,20210927,181000,13.89,13.8907,13.89,13.8907,200,0
FOF.US,5,20210927,181500,13.89,13.89,13.89,13.89,431,0
FOF.US,5,20210927,182500,13.89,13.89,13.89,13.89,100,0
FOF.US,5,20210927,183000,13.89,13.89,13.89,13.89,201,0
FOF.US,5,20210927,183500,13.89,13.8942,13.89,13.8942,4809,0
FOF.US,5,20210927,184000,13.885,13.9,13.885,13.9,1000,0
FOF.US,5,20210927,184500,13.87,13.885,13.86,13.86,700,0
FOF.US,5,20210927,190000,13.875,13.875,13.875,13.875,100,0
FOF.US,5,20210927,190500,13.85,13.85,13.84,13.8401,320,0
FOF.US,5,20210927,191000,13.83,13.87,13.83,13.87,725,0
FOF.US,5,20210927,192500,13.86,13.86,13.8599,13.8599,200,0
FOF.US,5,20210927,194000,13.845,13.845,13.845,13.845,900,0
FOF.US,5,20210927,201500,13.839,13.86,13.839,13.86,1960,0
FOF.US,5,20210927,203000,13.85,13.85,13.85,13.85,100,0
FOF.US,5,20210927,205000,13.84,13.85,13.84,13.85,500,0
FOF.US,5,20210927,210000,13.82,13.835,13.82,13.82,1000,0
FOF.US,5,20210927,210500,13.815,13.82,13.8128,13.8128,1201,0
FOF.US,5,20210927,211000,13.815,13.815,13.81,13.815,302,0
FOF.US,5,20210927,212000,13.8199,13.8199,13.8199,13.8199,100,0
FOF.US,5,20210927,212500,13.8,13.8,13.8,13.8,100,0
FOF.US,5,20210927,213000,13.81,13.81,13.8,13.8,400,0
FOF.US,5,20210927,213500,13.8,13.8,13.79,13.79,1770,0
FOF.US,5,20210927,214000,13.82,13.82,13.805,13.82,1200,0
FOF.US,5,20210927,215000,13.8,13.8,13.8,13.8,200,0
FOF.US,5,20210927,215500,13.8,13.8,13.79,13.79,676,0
FOF.US,5,20210928,153000,13.74,13.78,13.67,13.78,5405,0
FOF.US,5,20210928,153500,13.7,13.7,13.7,13.7,1000,0
FOF.US,5,20210928,154000,13.73,13.75,13.73,13.75,400,0
FOF.US,5,20210928,154500,13.75,13.75,13.7,13.7,1124,0
FOF.US,5,20210928,155000,13.73,13.73,13.7,13.7171,1183,0
FOF.US,5,20210928,160000,13.715,13.715,13.66,13.6641,1473,0
FOF.US,5,20210928,160500,13.65,13.66,13.65,13.66,1000,0
FOF.US,5,20210928,161000,13.6501,13.6624,13.65,13.6502,1392,0
FOF.US,5,20210928,161500,13.662,13.662,13.6501,13.6501,693,0
FOF.US,5,20210928,162000,13.66,13.66,13.65,13.65,800,0
FOF.US,5,20210928,163000,13.65,13.655,13.6,13.6,1200,0
FOF.US,5,20210928,163500,13.63,13.63,13.609,13.615,1859,0
FOF.US,5,20210928,164000,13.616,13.616,13.615,13.615,1332,0
FOF.US,5,20210928,164500,13.63,13.63,13.63,13.63,366,0
FOF.US,5,20210928,165000,13.63,13.63,13.63,13.63,100,0
FOF.US,5,20210928,165500,13.63,13.63,13.63,13.63,100,0
FOF.US,5,20210928,170000,13.61,13.62,13.61,13.62,927,0
FOF.US,5,20210928,170500,13.62,13.62,13.62,13.62,100,0
FOF.US,5,20210928,171000,13.61,13.61,13.61,13.61,200,0
FOF.US,5,20210928,171500,13.6123,13.6123,13.59,13.5903,1910,0
FOF.US,5,20210928,172000,13.595,13.595,13.595,13.595,131,0
FOF.US,5,20210928,173000,13.61,13.61,13.61,13.61,100,0
FOF.US,5,20210928,173500,13.6099,13.61,13.595,13.61,400,0
FOF.US,5,20210928,174000,13.595,13.595,13.595,13.595,1000,0
FOF.US,5,20210928,174500,13.61,13.61,13.61,13.61,100,0
FOF.US,5,20210928,175000,13.61,13.61,13.5814,13.5814,600,0
FOF.US,5,20210928,175500,13.6,13.6,13.6,13.6,100,0
FOF.US,5,20210928,180000,13.6,13.6001,13.6,13.6,1160,0
FOF.US,5,20210928,180500,13.5928,13.62,13.5928,13.62,700,0
FOF.US,5,20210928,181000,13.6,13.6,13.6,13.6,100,0
FOF.US,5,20210928,181500,13.61,13.61,13.61,13.61,100,0
FOF.US,5,20210928,182000,13.59,13.61,13.59,13.61,1274,0
FOF.US,5,20210928,182500,13.61,13.61,13.61,13.61,100,0
FOF.US,5,20210928,183500,13.61,13.61,13.61,13.61,100,0
FOF.US,5,20210928,184000,13.61,13.61,13.6,13.6,1300,0
FOF.US,5,20210928,185500,13.59,13.6,13.59,13.6,200,0
FOF.US,5,20210928,190500,13.59,13.59,13.59,13.59,779,0
FOF.US,5,20210928,191000,13.595,13.63,13.592,13.592,1625,0
FOF.US,5,20210928,191500,13.62,13.62,13.62,13.62,100,0
FOF.US,5,20210928,192000,13.61,13.61,13.61,13.61,100,0
FOF.US,5,20210928,192500,13.5972,13.62,13.5972,13.62,696,0
FOF.US,5,20210928,193000,13.62,13.62,13.62,13.62,100,0
FOF.US,5,20210928,193500,13.61,13.62,13.61,13.62,666,0
FOF.US,5,20210928,194000,13.61,13.61,13.61,13.61,400,0
FOF.US,5,20210928,195500,13.6,13.605,13.6,13.6,500,0
FOF.US,5,20210928,200500,13.6,13.6,13.6,13.6,100,0
FOF.US,5,20210928,201000,13.5991,13.5991,13.595,13.595,200,0
FOF.US,5,20210928,201500,13.595,13.595,13.58,13.59,1868,0
FOF.US,5,20210928,202500,13.605,13.6122,13.605,13.61,1400,0
FOF.US,5,20210928,203000,13.612,13.62,13.612,13.62,960,0
FOF.US,5,20210928,203500,13.61,13.615,13.61,13.61,500,0
FOF.US,5,20210928,204500,13.62,13.62,13.62,13.62,300,0
FOF.US,5,20210928,205000,13.65,13.65,13.64,13.64,300,0
FOF.US,5,20210928,205500,13.64,13.64,13.63,13.635,2280,0
FOF.US,5,20210928,210000,13.65,13.65,13.6499,13.65,2814,0
FOF.US,5,20210928,211000,13.64,13.64,13.63,13.64,905,0
FOF.US,5,20210928,211500,13.64,13.64,13.64,13.64,300,0
FOF.US,5,20210928,212000,13.64,13.64,13.64,13.64,402,0
FOF.US,5,20210928,212500,13.64,13.64,13.63,13.635,1602,0
FOF.US,5,20210928,213000,13.63,13.63,13.63,13.63,100,0
FOF.US,5,20210928,213500,13.63,13.63,13.63,13.63,100,0
FOF.US,5,20210928,214000,13.63,13.63,13.625,13.625,200,0
FOF.US,5,20210928,214500,13.64,13.64,13.61,13.62,8149,0
FOF.US,5,20210928,215500,13.62,13.62,13.61,13.61,744,0
FOF.US,5,20210929,153000,13.69,13.7099,13.69,13.7099,1404,0
FOF.US,5,20210929,153500,13.6444,13.66,13.6444,13.66,200,0
FOF.US,5,20210929,155000,13.65,13.65,13.65,13.65,500,0
FOF.US,5,20210929,160000,13.67,13.6824,13.67,13.6824,1120,0
FOF.US,5,20210929,161000,13.68,13.68,13.63,13.63,1077,0
