<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRST.US,5,20210922,153000,13.7,13.7,13.7,13.7,223,0
FRST.US,5,20210922,154500,13.7314,13.7314,13.7314,13.7314,227,0
FRST.US,5,20210922,155000,13.72,13.72,13.72,13.72,100,0
FRST.US,5,20210922,160000,13.76,13.76,13.76,13.76,300,0
FRST.US,5,20210922,162500,13.77,13.77,13.77,13.77,318,0
FRST.US,5,20210922,163000,13.8,13.8,13.8,13.8,200,0
FRST.US,5,20210922,164500,13.81,13.81,13.81,13.81,100,0
FRST.US,5,20210922,171000,13.85,13.85,13.795,13.795,599,0
FRST.US,5,20210922,173000,13.87,13.87,13.87,13.87,100,0
FRST.US,5,20210922,175500,13.86,13.86,13.86,13.86,100,0
FRST.US,5,20210922,180500,13.85,13.85,13.85,13.85,300,0
FRST.US,5,20210922,181500,13.84,13.84,13.84,13.84,100,0
FRST.US,5,20210922,182500,13.88,13.88,13.88,13.88,100,0
FRST.US,5,20210922,183000,13.865,13.865,13.865,13.865,100,0
FRST.US,5,20210922,183500,13.86,13.86,13.85,13.85,300,0
FRST.US,5,20210922,185500,13.855,13.855,13.855,13.855,100,0
FRST.US,5,20210922,190500,13.85,13.85,13.85,13.85,100,0
FRST.US,5,20210922,192000,13.872,13.8824,13.872,13.8824,200,0
FRST.US,5,20210922,193000,13.885,13.9,13.885,13.89,400,0
FRST.US,5,20210922,193500,13.885,13.885,13.86,13.86,600,0
FRST.US,5,20210922,194000,13.86,13.86,13.85,13.85,400,0
FRST.US,5,20210922,194500,13.845,13.85,13.83,13.83,1200,0
FRST.US,5,20210922,200500,13.85,13.85,13.85,13.85,100,0
FRST.US,5,20210922,201000,13.865,13.87,13.845,13.87,600,0
FRST.US,5,20210922,201500,13.87,13.875,13.87,13.875,300,0
FRST.US,5,20210922,203500,13.88,13.88,13.88,13.88,100,0
FRST.US,5,20210922,205000,13.85,13.85,13.845,13.845,334,0
