<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBRG.US,5,20210923,215500,9.92,9.92,9.9,9.9,764,0
GBRG.US,5,20210928,202000,9.9,9.9,9.9,9.9,469,0
GBRG.US,5,20210930,154000,9.91,9.91,9.9,9.9,500,0
GBRG.US,5,20210930,193500,9.9,9.91,9.9,9.9,7018,0
GBRG.US,5,20210930,194000,9.9,9.9,9.9,9.9,4495,0
GBRG.US,5,20210930,195000,9.91,9.91,9.91,9.91,100,0
GBRG.US,5,20210930,200500,9.91,9.91,9.91,9.91,100,0
GBRG.US,5,20210930,202000,9.91,9.91,9.91,9.91,100,0
GBRG.US,5,20210930,203000,9.92,9.92,9.92,9.92,100,0
GBRG.US,5,20210930,204000,9.92,9.92,9.92,9.92,100,0
GBRG.US,5,20210930,204500,9.91,9.91,9.91,9.91,100,0
GBRG.US,5,20210930,205500,9.91,9.91,9.91,9.91,100,0
GBRG.US,5,20210930,210000,9.91,9.91,9.9,9.9,2043,0
GBRG.US,5,20210930,212000,9.91,9.91,9.91,9.91,100,0
GBRG.US,5,20210930,212500,9.91,9.91,9.91,9.91,100,0
GBRG.US,5,20210930,213000,9.91,9.91,9.91,9.91,100,0
GBRG.US,5,20210930,213500,9.91,9.91,9.91,9.91,100,0
GBRG.US,5,20210930,214000,9.91,9.91,9.91,9.91,200,0
GBRG.US,5,20210930,214500,9.91,9.91,9.91,9.91,100,0
GBRG.US,5,20210930,215000,9.91,9.91,9.91,9.91,200,0
GBRG.US,5,20210930,215500,9.92,9.92,9.92,9.92,215,0
GBRG.US,5,20211004,161000,9.87,9.89,9.86,9.8614,5900,0
GBRG.US,5,20211004,165000,9.86,9.86,9.86,9.86,233,0
GBRG.US,5,20211004,172000,9.87,9.87,9.87,9.87,250,0
GBRG.US,5,20211004,180000,9.88,9.88,9.87,9.87,1300,0
GBRG.US,5,20211005,172500,9.91,9.91,9.91,9.91,500,0
GBRG.US,5,20211006,162000,9.91,9.91,9.9,9.91,3100,0
GBRG.US,5,20211007,184500,9.89,9.89,9.89,9.89,500,0
GBRG.US,5,20211008,215500,9.89,9.89,9.89,9.89,100,0
GBRG.US,5,20211012,210500,9.9,9.9,9.9,9.9,1850,0
GBRG.US,5,20211012,214500,9.89,9.89,9.89,9.89,1100,0
GBRG.US,5,20211013,161500,9.89,9.89,9.89,9.89,200,0
GBRG.US,5,20211013,213000,9.89,9.89,9.89,9.89,100,0
GBRG.US,5,20211015,210000,9.9,9.9,9.9,9.9,25100,0
GBRG.US,5,20211015,211000,9.9,9.9,9.9,9.9,22342,0
GBRG.US,5,20211019,153000,9.95,9.95,9.95,9.95,100,0
GBRG.US,5,20211019,200000,9.92,9.94,9.92,9.925,20670,0
GBRG.US,5,20211021,191000,9.91,9.91,9.91,9.91,699,0
GBRG.US,5,20211021,212500,9.93,9.93,9.93,9.93,1000,0
GBRG.US,5,20211022,153500,9.95,9.95,9.95,9.95,100,0
GBRG.US,5,20211022,183500,9.94,9.94,9.93,9.93,4994,0
GBRG.US,5,20211022,184000,9.93,9.93,9.93,9.93,200,0
GBRG.US,5,20211022,184500,9.93,9.93,9.93,9.93,247,0
GBRG.US,5,20211028,153000,9.9,9.9,9.9,9.9,180,0
GBRG.US,5,20211101,203000,9.94,9.94,9.94,9.94,100,0
