<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GGZ_A.US,5,20210922,214000,25.9032,25.9032,25.9032,25.9032,505,0
GGZ_A.US,5,20210924,172000,26.07,26.07,26.07,26.07,100,0
GGZ_A.US,5,20210924,215000,26.14,26.14,26.14,26.14,250,0
GGZ_A.US,5,20210927,153000,26.21,26.21,26.21,26.21,134,0
GGZ_A.US,5,20211001,174000,26.069,26.069,26.069,26.069,110,0
GGZ_A.US,5,20211001,193500,25.96,25.96,25.96,25.96,200,0
GGZ_A.US,5,20211001,203500,25.77,25.77,25.77,25.77,500,0
GGZ_A.US,5,20211001,213000,25.82,25.82,25.82,25.82,300,0
GGZ_A.US,5,20211004,165000,25.92,25.96,25.92,25.96,286,0
GGZ_A.US,5,20211007,173000,25.67,25.67,25.65,25.65,562,0
GGZ_A.US,5,20211007,180500,25.65,25.6522,25.56,25.56,636,0
GGZ_A.US,5,20211007,184000,25.53,25.53,25.53,25.53,463,0
GGZ_A.US,5,20211007,190500,25.59,25.59,25.59,25.59,137,0
GGZ_A.US,5,20211007,205500,25.695,25.695,25.695,25.695,194,0
GGZ_A.US,5,20211008,174000,25.68,25.68,25.68,25.68,100,0
GGZ_A.US,5,20211008,182000,25.6801,25.6801,25.68,25.6801,400,0
GGZ_A.US,5,20211011,180000,25.71,25.71,25.71,25.71,212,0
GGZ_A.US,5,20211011,181000,25.69,25.69,25.69,25.69,250,0
GGZ_A.US,5,20211011,182000,25.69,25.69,25.69,25.69,200,0
GGZ_A.US,5,20211011,193500,25.6999,25.6999,25.64,25.64,700,0
GGZ_A.US,5,20211011,211000,25.67,25.67,25.67,25.67,543,0
GGZ_A.US,5,20211013,161000,25.8,25.8,25.8,25.8,100,0
GGZ_A.US,5,20211013,163000,25.78,25.78,25.78,25.78,100,0
GGZ_A.US,5,20211015,155000,25.65,25.65,25.65,25.65,300,0
GGZ_A.US,5,20211015,155500,25.65,25.65,25.65,25.65,200,0
GGZ_A.US,5,20211015,161500,25.68,25.68,25.68,25.68,119,0
GGZ_A.US,5,20211015,185000,25.67,25.67,25.67,25.67,100,0
GGZ_A.US,5,20211015,210000,25.66,25.66,25.66,25.66,100,0
GGZ_A.US,5,20211019,172000,25.58,25.61,25.58,25.5978,700,0
GGZ_A.US,5,20211019,200000,25.56,25.56,25.51,25.51,1200,0
GGZ_A.US,5,20211019,204500,25.51,25.51,25.51,25.51,400,0
GGZ_A.US,5,20211019,215000,25.51,25.51,25.51,25.51,100,0
GGZ_A.US,5,20211020,153000,25.51,25.51,25.51,25.51,100,0
GGZ_A.US,5,20211020,153500,25.51,25.51,25.505,25.505,200,0
GGZ_A.US,5,20211020,154000,25.51,25.51,25.51,25.51,223,0
GGZ_A.US,5,20211020,162000,25.51,25.51,25.51,25.51,170,0
GGZ_A.US,5,20211020,164000,25.51,25.51,25.51,25.51,100,0
GGZ_A.US,5,20211020,164500,25.51,25.51,25.51,25.51,100,0
GGZ_A.US,5,20211020,165000,25.51,25.51,25.51,25.51,100,0
GGZ_A.US,5,20211020,174500,25.5095,25.5095,25.5095,25.5095,200,0
GGZ_A.US,5,20211020,175000,25.46,25.46,25.46,25.46,200,0
GGZ_A.US,5,20211020,182500,25.46,25.515,25.46,25.515,800,0
GGZ_A.US,5,20211020,193500,25.48,25.48,25.48,25.48,122,0
GGZ_A.US,5,20211020,202000,25.4999,25.5,25.4999,25.5,600,0
GGZ_A.US,5,20211020,203000,25.5,25.5,25.5,25.5,3522,0
GGZ_A.US,5,20211020,212000,25.5,25.5,25.5,25.5,178,0
GGZ_A.US,5,20211021,155000,25.5,25.5,25.5,25.5,100,0
GGZ_A.US,5,20211021,161000,25.48,25.48,25.48,25.48,200,0
GGZ_A.US,5,20211021,173000,25.48,25.48,25.48,25.48,200,0
GGZ_A.US,5,20211021,192500,25.4878,25.4878,25.4878,25.4878,300,0
GGZ_A.US,5,20211021,193000,25.48,25.48,25.48,25.48,300,0
GGZ_A.US,5,20211021,202500,25.4707,25.4707,25.4707,25.4707,250,0
GGZ_A.US,5,20211021,214000,25.47,25.47,25.47,25.47,100,0
GGZ_A.US,5,20211022,153000,25.47,25.47,25.47,25.47,200,0
GGZ_A.US,5,20211022,153500,25.46,25.46,25.46,25.46,100,0
GGZ_A.US,5,20211022,160000,25.47,25.47,25.47,25.47,250,0
GGZ_A.US,5,20211022,160500,25.47,25.47,25.47,25.47,100,0
GGZ_A.US,5,20211022,161500,25.47,25.47,25.47,25.47,125,0
GGZ_A.US,5,20211022,162000,25.47,25.47,25.47,25.47,207,0
GGZ_A.US,5,20211022,165000,25.47,25.47,25.47,25.47,100,0
GGZ_A.US,5,20211022,172000,25.46,25.46,25.46,25.46,125,0
GGZ_A.US,5,20211022,182000,25.46,25.46,25.46,25.46,250,0
GGZ_A.US,5,20211022,182500,25.45,25.45,25.45,25.45,100,0
GGZ_A.US,5,20211022,183000,25.45,25.45,25.45,25.45,100,0
GGZ_A.US,5,20211022,190000,25.4345,25.4345,25.4345,25.4345,250,0
GGZ_A.US,5,20211022,191500,25.45,25.45,25.43,25.43,598,0
GGZ_A.US,5,20211022,201500,25.44,25.44,25.44,25.44,100,0
GGZ_A.US,5,20211022,212500,25.44,25.44,25.4365,25.4365,998,0
GGZ_A.US,5,20211022,213000,25.4398,25.4398,25.4398,25.4398,499,0
GGZ_A.US,5,20211022,214000,25.44,25.46,25.44,25.46,1809,0
GGZ_A.US,5,20211022,214500,25.46,25.46,25.46,25.46,800,0
GGZ_A.US,5,20211022,215000,25.45,25.45,25.45,25.45,200,0
GGZ_A.US,5,20211025,162000,25.45,25.45,25.45,25.45,500,0
GGZ_A.US,5,20211025,171500,25.45,25.45,25.45,25.45,200,0
GGZ_A.US,5,20211025,200500,25.42,25.42,25.42,25.42,520,0
GGZ_A.US,5,20211025,202500,25.42,25.42,25.42,25.42,300,0
GGZ_A.US,5,20211025,211000,25.36,25.36,25.36,25.36,150,0
GGZ_A.US,5,20211025,213000,25.38,25.38,25.38,25.38,100,0
GGZ_A.US,5,20211025,214000,25.38,25.38,25.38,25.38,100,0
GGZ_A.US,5,20211025,214500,25.38,25.38,25.38,25.38,200,0
GGZ_A.US,5,20211026,161000,25.39,25.39,25.39,25.39,200,0
GGZ_A.US,5,20211026,195500,25.39,25.39,25.39,25.39,200,0
GGZ_A.US,5,20211026,201000,25.39,25.39,25.3847,25.3847,398,0
GGZ_A.US,5,20211026,201500,25.3601,25.3601,25.3601,25.3601,600,0
GGZ_A.US,5,20211026,202000,25.36,25.36,25.36,25.36,200,0
GGZ_A.US,5,20211026,212000,25.375,25.39,25.375,25.39,244,0
GGZ_A.US,5,20211027,163500,25.39,25.39,25.39,25.39,250,0
GGZ_A.US,5,20211027,164500,25.39,25.39,25.39,25.39,150,0
GGZ_A.US,5,20211027,165000,25.39,25.39,25.39,25.39,100,0
GGZ_A.US,5,20211027,173000,25.37,25.37,25.37,25.37,122,0
GGZ_A.US,5,20211027,180000,25.38,25.38,25.38,25.38,300,0
GGZ_A.US,5,20211027,181000,25.4,25.4,25.4,25.4,100,0
GGZ_A.US,5,20211027,182000,25.393,25.393,25.393,25.393,150,0
GGZ_A.US,5,20211027,182500,25.38,25.38,25.38,25.38,300,0
GGZ_A.US,5,20211027,190500,25.4,25.4,25.4,25.4,100,0
GGZ_A.US,5,20211027,191500,25.37,25.3912,25.33,25.3485,1300,0
GGZ_A.US,5,20211027,192500,25.34,25.34,25.34,25.34,200,0
GGZ_A.US,5,20211027,204500,25.36,25.36,25.36,25.36,150,0
GGZ_A.US,5,20211027,210500,25.35,25.35,25.35,25.35,300,0
GGZ_A.US,5,20211027,212000,25.34,25.34,25.34,25.34,100,0
GGZ_A.US,5,20211027,215000,25.33,25.33,25.33,25.33,100,0
GGZ_A.US,5,20211028,154000,25.32,25.3316,25.32,25.3316,400,0
GGZ_A.US,5,20211028,154500,25.32,25.32,25.32,25.32,150,0
GGZ_A.US,5,20211028,160000,25.32,25.32,25.32,25.32,180,0
GGZ_A.US,5,20211028,161000,25.32,25.32,25.3165,25.3165,788,0
GGZ_A.US,5,20211028,162000,25.32,25.32,25.32,25.32,644,0
GGZ_A.US,5,20211028,172000,25.32,25.32,25.3165,25.3165,556,0
GGZ_A.US,5,20211028,174500,25.32,25.32,25.32,25.32,150,0
GGZ_A.US,5,20211028,175000,25.32,25.32,25.32,25.32,400,0
GGZ_A.US,5,20211028,185000,25.31,25.31,25.31,25.31,200,0
GGZ_A.US,5,20211028,202000,25.3072,25.3072,25.3072,25.3072,500,0
GGZ_A.US,5,20211028,205000,25.3,25.3,25.3,25.3,428,0
GGZ_A.US,5,20211028,210000,25.3,25.3,25.3,25.3,478,0
GGZ_A.US,5,20211028,212500,25.3,25.31,25.3,25.31,1262,0
GGZ_A.US,5,20211028,213000,25.31,25.31,25.3,25.3,1409,0
GGZ_A.US,5,20211028,214000,25.3,25.3,25.29,25.29,462,0
GGZ_A.US,5,20211028,215500,25.3,25.31,25.3,25.31,400,0
GGZ_A.US,5,20211029,153000,25.31,25.31,25.31,25.31,100,0
GGZ_A.US,5,20211029,153500,25.2961,25.2961,25.2961,25.2961,375,0
GGZ_A.US,5,20211029,154000,25.3,25.31,25.3,25.31,211,0
GGZ_A.US,5,20211029,154500,25.31,25.31,25.31,25.31,150,0
GGZ_A.US,5,20211029,155000,25.28,25.28,25.28,25.28,139,0
GGZ_A.US,5,20211029,160000,25.303,25.303,25.303,25.303,250,0
GGZ_A.US,5,20211029,161000,25.303,25.303,25.303,25.303,250,0
GGZ_A.US,5,20211029,161500,25.31,25.31,25.31,25.31,225,0
GGZ_A.US,5,20211029,162000,25.31,25.31,25.31,25.31,425,0
GGZ_A.US,5,20211029,182500,25.31,25.31,25.31,25.31,437,0
GGZ_A.US,5,20211029,192000,25.31,25.31,25.31,25.31,250,0
GGZ_A.US,5,20211029,213000,25.3,25.3,25.29,25.29,800,0
GGZ_A.US,5,20211029,215000,25.29,25.29,25.29,25.29,1041,0
GGZ_A.US,5,20211029,215500,25.29,25.3,25.2885,25.2885,2236,0
GGZ_A.US,5,20211101,144000,25.28,25.28,25.28,25.28,100,0
GGZ_A.US,5,20211101,145500,25.2899,25.2899,25.2899,25.2899,400,0
GGZ_A.US,5,20211101,150000,25.28,25.28,25.28,25.28,100,0
GGZ_A.US,5,20211101,154500,25.29,25.29,25.29,25.29,600,0
GGZ_A.US,5,20211101,161000,25.295,25.295,25.29,25.29,637,0
GGZ_A.US,5,20211101,171500,25.28,25.28,25.28,25.28,800,0
GGZ_A.US,5,20211101,174500,25.28,25.28,25.28,25.28,400,0
