<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLEEU.US,5,20210922,153500,10.08,10.08,10.08,10.08,300,0
GLEEU.US,5,20210922,171000,10.08,10.08,10.08,10.08,4600,0
GLEEU.US,5,20210922,183500,10.08,10.08,10.08,10.08,5000,0
GLEEU.US,5,20210922,192000,10.09,10.09,10.09,10.09,5000,0
GLEEU.US,5,20210922,214000,10.1,10.1,10.1,10.1,5000,0
GLEEU.US,5,20210923,193000,10.09,10.09,10.09,10.09,5000,0
GLEEU.US,5,20210923,215000,10.09,10.09,10.09,10.09,5000,0
GLEEU.US,5,20210924,173000,10.1,10.1,10.1,10.1,200,0
GLEEU.US,5,20210924,190500,10.1,10.1,10.1,10.1,4800,0
GLEEU.US,5,20210924,214500,10.1,10.1,10.1,10.1,5000,0
GLEEU.US,5,20210924,215500,10.1,10.1,10.1,10.1,200,0
GLEEU.US,5,20210927,182500,10.16,10.16,10.16,10.16,3700,0
GLEEU.US,5,20210927,183500,10.165,10.165,10.165,10.165,500,0
GLEEU.US,5,20210927,184000,10.17,10.17,10.17,10.17,2000,0
GLEEU.US,5,20210927,190000,10.175,10.175,10.175,10.175,200,0
GLEEU.US,5,20210927,192500,10.17,10.17,10.17,10.17,94300,0
GLEEU.US,5,20210928,154500,10.4,10.4,10.4,10.4,200,0
GLEEU.US,5,20210928,212500,10.12,10.1453,10.12,10.1453,200,0
GLEEU.US,5,20210929,153500,10.21,10.21,10.21,10.21,500,0
GLEEU.US,5,20210929,155500,10.19,10.19,10.19,10.19,200,0
GLEEU.US,5,20210930,205500,10.15,10.15,10.15,10.15,300000,0
GLEEU.US,5,20211001,194000,10.18,10.18,10.14,10.18,393,0
GLEEU.US,5,20211001,194500,10.18,10.18,10.18,10.18,200,0
GLEEU.US,5,20211001,215500,10.17,10.17,10.17,10.17,100,0
GLEEU.US,5,20211004,153000,10.17,10.17,10.17,10.17,300,0
GLEEU.US,5,20211004,162500,10.16,10.18,10.16,10.18,4939,0
GLEEU.US,5,20211004,163000,10.18,10.18,10.18,10.18,7082,0
GLEEU.US,5,20211004,190500,10.09,10.09,10.09,10.09,600,0
GLEEU.US,5,20211004,201000,10.09,10.09,10.09,10.09,100,0
GLEEU.US,5,20211005,180500,10.09,10.09,10.09,10.09,24400,0
GLEEU.US,5,20211005,194500,10.16,10.16,10.16,10.16,700,0
GLEEU.US,5,20211005,204500,10.16,10.16,10.16,10.16,900,0
GLEEU.US,5,20211006,192000,10.17,10.17,10.17,10.17,21000,0
GLEEU.US,5,20211006,215500,10.17,10.17,10.13,10.17,990,0
GLEEU.US,5,20211007,185000,10.44,10.44,10.44,10.44,100,0
GLEEU.US,5,20211008,204000,10.11,10.19,10.11,10.19,200,0
GLEEU.US,5,20211008,204500,10.11,10.11,10.11,10.11,100,0
GLEEU.US,5,20211008,205000,10.11,10.11,10.11,10.11,100,0
GLEEU.US,5,20211008,210000,10.11,10.11,10.11,10.11,100,0
GLEEU.US,5,20211008,210500,10.11,10.11,10.11,10.11,100,0
GLEEU.US,5,20211008,211000,10.11,10.11,10.11,10.11,100,0
GLEEU.US,5,20211008,213000,10.13,10.13,10.13,10.13,1340,0
GLEEU.US,5,20211008,214000,10.13,10.13,10.13,10.13,400,0
GLEEU.US,5,20211008,215500,10.11,10.11,10.11,10.11,120,0
GLEEU.US,5,20211011,154000,10.15,10.15,10.15,10.15,12000,0
GLEEU.US,5,20211011,154500,10.15,10.15,10.15,10.15,8000,0
GLEEU.US,5,20211011,155000,10.18,10.2,10.18,10.2,12000,0
GLEEU.US,5,20211011,165000,10.17,10.17,10.17,10.17,200,0
GLEEU.US,5,20211011,170000,10.2,10.2,10.2,10.2,8000,0
GLEEU.US,5,20211011,175000,10.19,10.19,10.19,10.19,200,0
GLEEU.US,5,20211011,195000,10.22,10.22,10.22,10.22,400,0
GLEEU.US,5,20211011,195500,10.22,10.22,10.22,10.22,3600,0
GLEEU.US,5,20211011,202500,10.22,10.22,10.22,10.22,341,0
GLEEU.US,5,20211011,204500,10.22,10.22,10.22,10.22,5659,0
GLEEU.US,5,20211011,214000,10.234,10.234,10.234,10.234,499,0
GLEEU.US,5,20211012,173500,10.2,10.21,10.2,10.21,200,0
GLEEU.US,5,20211012,194000,10.17,10.24,10.17,10.24,300,0
GLEEU.US,5,20211012,195500,10.24,10.24,10.24,10.24,200,0
GLEEU.US,5,20211020,154500,10.24,10.24,10.24,10.24,100,0
GLEEU.US,5,20211021,153000,11.19,11.19,11.19,11.19,292,0
GLEEU.US,5,20211021,155500,10.3,10.3,10.3,10.3,100,0
GLEEU.US,5,20211025,190000,10.2,10.2,10.2,10.2,100,0
GLEEU.US,5,20211028,153000,10.25,10.25,10.25,10.25,1200,0
GLEEU.US,5,20211102,144500,10.25,10.25,10.25,10.25,100,0
GLEEU.US,5,20211108,161500,10.25,10.25,10.25,10.25,394,0
GLEEU.US,5,20211108,170000,10.22,10.2204,10.2,10.2,2280,0
GLEEU.US,5,20211108,172000,10.2303,10.2303,10.22,10.22,5000,0
GLEEU.US,5,20211108,173000,10.23,10.2303,10.23,10.23,8900,0
GLEEU.US,5,20211108,182500,10.23,10.2303,10.23,10.2303,11000,0
GLEEU.US,5,20211109,175500,10.18,10.18,10.18,10.18,100,0
GLEEU.US,5,20211111,153000,10.2,10.2,10.2,10.2,300,0
