<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLSI.US,5,20210922,153000,43.24,43.24,43.24,43.24,160,0
GLSI.US,5,20210922,153500,42.8,42.8,42.8,42.8,300,0
GLSI.US,5,20210922,154500,43.6864,43.6864,43.6864,43.6864,100,0
GLSI.US,5,20210922,155500,43.4,43.6299,43.34,43.6299,773,0
GLSI.US,5,20210922,160000,43.63,43.63,43.63,43.63,100,0
GLSI.US,5,20210922,160500,43.4655,43.4655,43.45,43.45,200,0
GLSI.US,5,20210922,163000,43.79,43.79,43.79,43.79,100,0
GLSI.US,5,20210922,165000,43.775,43.775,43.71,43.71,200,0
GLSI.US,5,20210922,170500,43.1525,43.41,43.1525,43.41,521,0
GLSI.US,5,20210922,171000,43.5,43.5,43.5,43.5,300,0
GLSI.US,5,20210922,171500,43.665,43.665,43.665,43.665,100,0
GLSI.US,5,20210922,173000,43.89,43.89,43.68,43.78,1898,0
GLSI.US,5,20210922,174000,43.7695,43.89,43.7695,43.89,600,0
GLSI.US,5,20210922,175000,43.81,43.81,43.81,43.81,100,0
GLSI.US,5,20210922,180000,43.7994,43.7994,43.7994,43.7994,250,0
GLSI.US,5,20210922,180500,43.9,43.9,43.9,43.9,120,0
GLSI.US,5,20210922,183500,44.1,44.1,44.1,44.1,413,0
GLSI.US,5,20210922,184500,44.1,44.1,44.01,44.01,895,0
GLSI.US,5,20210922,191000,44.447,44.447,43.6701,44.005,2300,0
GLSI.US,5,20210922,192000,43.7434,43.7434,43.7434,43.7434,100,0
GLSI.US,5,20210922,192500,43.76,43.76,43.76,43.76,100,0
GLSI.US,5,20210922,193000,43.691,43.691,43.691,43.691,100,0
GLSI.US,5,20210922,194500,43.85,43.85,43.85,43.85,430,0
GLSI.US,5,20210922,195500,43.95,43.95,43.95,43.95,200,0
GLSI.US,5,20210922,200000,43.94,43.94,43.94,43.94,100,0
GLSI.US,5,20210922,202000,44.24,44.24,43.7514,43.965,5293,0
GLSI.US,5,20210922,202500,43.73,43.73,43.73,43.73,100,0
GLSI.US,5,20210922,204000,43.9501,44.02,43.9501,43.96,500,0
GLSI.US,5,20210922,205000,43.67,43.705,43.67,43.705,200,0
GLSI.US,5,20210922,205500,43.23,43.71,43.23,43.71,300,0
GLSI.US,5,20210922,210000,43.7,43.7,43.7,43.7,130,0
GLSI.US,5,20210922,210500,43.7,43.7,43.7,43.7,100,0
GLSI.US,5,20210922,212500,43.38,43.38,43.38,43.38,100,0
GLSI.US,5,20210922,213000,43.66,43.695,43.66,43.695,300,0
GLSI.US,5,20210922,214000,43.92,43.92,43.92,43.92,100,0
