<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNFT.US,5,20210922,154000,3.785,3.785,3.785,3.785,100,0
GNFT.US,5,20210922,160000,3.76,3.76,3.76,3.76,134,0
GNFT.US,5,20210922,160500,3.78,3.78,3.78,3.78,100,0
GNFT.US,5,20210922,162000,3.78,3.78,3.78,3.78,100,0
GNFT.US,5,20210922,173000,3.78,3.78,3.78,3.78,200,0
GNFT.US,5,20210922,214000,3.785,3.785,3.785,3.785,100,0
GNFT.US,5,20210922,215000,3.7833,3.79,3.77,3.79,300,0
GNFT.US,5,20210922,215500,3.77,3.785,3.77,3.785,600,0
GNFT.US,5,20210923,153000,3.82,3.82,3.82,3.82,479,0
GNFT.US,5,20210923,154000,3.82,3.82,3.82,3.82,820,0
GNFT.US,5,20210923,155500,3.8201,3.8201,3.8201,3.8201,101,0
GNFT.US,5,20210923,175500,3.77,3.77,3.68,3.74,1840,0
GNFT.US,5,20210923,182000,3.78,3.78,3.76,3.76,200,0
GNFT.US,5,20210923,183000,3.7417,3.7417,3.7417,3.7417,250,0
GNFT.US,5,20210923,215500,3.76,3.76,3.7,3.7,300,0
GNFT.US,5,20210924,153000,3.81,3.81,3.79,3.79,1920,0
GNFT.US,5,20210924,155500,3.78,3.82,3.78,3.82,1521,0
GNFT.US,5,20210924,160000,3.82,3.82,3.81,3.81,251,0
GNFT.US,5,20210924,173000,3.81,3.83,3.81,3.83,600,0
GNFT.US,5,20210924,174500,3.87,3.88,3.87,3.88,600,0
GNFT.US,5,20210924,175000,3.89,3.89,3.89,3.89,195,0
GNFT.US,5,20210924,180000,3.74,3.74,3.71,3.71,750,0
GNFT.US,5,20210924,181000,3.73,3.73,3.73,3.73,100,0
GNFT.US,5,20210924,182000,3.72,3.86,3.711,3.714,700,0
GNFT.US,5,20210924,203500,3.74,3.76,3.73,3.73,1100,0
GNFT.US,5,20210924,204500,3.84,3.84,3.84,3.84,100,0
GNFT.US,5,20210924,210500,3.77,3.77,3.75,3.75,200,0
GNFT.US,5,20210924,211500,3.84,3.84,3.83,3.83,200,0
GNFT.US,5,20210924,215000,3.84,3.84,3.84,3.84,100,0
GNFT.US,5,20210927,153000,3.9,3.9,3.9,3.9,100,0
GNFT.US,5,20210927,153500,3.89,3.89,3.89,3.89,256,0
GNFT.US,5,20210927,173500,3.88,3.92,3.88,3.91,500,0
GNFT.US,5,20210927,182000,3.801,3.801,3.68,3.68,1040,0
GNFT.US,5,20210927,182500,3.81,3.93,3.81,3.93,200,0
GNFT.US,5,20210927,212500,3.89,3.89,3.795,3.795,200,0
GNFT.US,5,20210927,213000,3.7,3.734,3.7,3.734,200,0
GNFT.US,5,20210927,214000,3.76,3.77,3.75,3.75,600,0
GNFT.US,5,20210927,214500,3.82,3.82,3.82,3.82,100,0
GNFT.US,5,20210927,215500,3.85,3.85,3.85,3.85,157,0
GNFT.US,5,20210928,155000,3.82,3.82,3.82,3.82,500,0
GNFT.US,5,20210928,161000,3.83,3.83,3.8122,3.8122,1100,0
GNFT.US,5,20210928,173000,3.815,3.815,3.815,3.815,100,0
GNFT.US,5,20210928,174500,3.8,3.8,3.8,3.8,100,0
GNFT.US,5,20210928,192000,3.83,3.83,3.83,3.83,100,0
GNFT.US,5,20210928,215000,3.81,3.81,3.81,3.81,200,0
GNFT.US,5,20210929,164500,3.8,3.8,3.8,3.8,200,0
GNFT.US,5,20210929,170000,3.77,3.77,3.77,3.77,200,0
GNFT.US,5,20210929,172500,3.78,3.78,3.78,3.78,100,0
GNFT.US,5,20210929,173000,3.795,3.795,3.795,3.795,100,0
GNFT.US,5,20210929,174500,3.6601,3.6601,3.6601,3.6601,250,0
GNFT.US,5,20210929,184500,3.7296,3.7296,3.7296,3.7296,100,0
GNFT.US,5,20210929,193500,3.75,3.75,3.734,3.734,700,0
GNFT.US,5,20210929,195500,3.79,3.79,3.79,3.79,100,0
GNFT.US,5,20210929,200000,3.8,3.8,3.8,3.8,100,0
GNFT.US,5,20210929,205000,3.78,3.78,3.78,3.78,200,0
GNFT.US,5,20210929,213500,3.77,3.77,3.77,3.77,100,0
GNFT.US,5,20210930,160000,3.75,3.75,3.75,3.75,1200,0
GNFT.US,5,20210930,160500,3.7238,3.7238,3.7238,3.7238,256,0
GNFT.US,5,20210930,162500,3.76,3.76,3.745,3.745,1100,0
GNFT.US,5,20210930,163000,3.76,3.76,3.76,3.76,100,0
GNFT.US,5,20210930,163500,3.76,3.76,3.76,3.76,500,0
GNFT.US,5,20210930,164000,3.7106,3.7106,3.7106,3.7106,155,0
GNFT.US,5,20210930,170500,3.751,3.751,3.751,3.751,135,0
GNFT.US,5,20210930,185500,3.705,3.705,3.705,3.705,100,0
GNFT.US,5,20210930,215500,3.76,3.76,3.7,3.7,304,0
GNFT.US,5,20211001,153000,3.7128,3.7128,3.7128,3.7128,100,0
GNFT.US,5,20211001,160500,3.7001,3.7001,3.7001,3.7001,100,0
GNFT.US,5,20211001,163000,3.76,3.76,3.75,3.76,300,0
GNFT.US,5,20211001,213000,3.9799,3.9799,3.9799,3.9799,100,0
GNFT.US,5,20211004,153000,3.72,3.75,3.72,3.75,381,0
GNFT.US,5,20211004,155500,3.72,3.72,3.72,3.72,400,0
