<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPRK.US,5,20210922,153000,10.97,10.97,10.97,10.97,604,0
GPRK.US,5,20210922,154000,11.0675,11.1,11.0675,11.08,1076,0
GPRK.US,5,20210922,154500,11.2284,11.29,11.165,11.17,3600,0
GPRK.US,5,20210922,155000,11.1625,11.31,11.14,11.24,2550,0
GPRK.US,5,20210922,155500,11.31,11.31,11.155,11.155,1050,0
GPRK.US,5,20210922,160000,11.18,11.21,11.12,11.165,3297,0
GPRK.US,5,20210922,160500,11.17,11.17,11.12,11.12,600,0
GPRK.US,5,20210922,161000,11.12,11.16,11.025,11.09,3109,0
GPRK.US,5,20210922,161500,11.035,11.1397,11.01,11.085,33295,0
GPRK.US,5,20210922,162000,11.09,11.11,11.065,11.075,4803,0
GPRK.US,5,20210922,162500,11.1,11.13,11.08,11.08,2499,0
GPRK.US,5,20210922,163000,11.08,11.08,11.08,11.08,100,0
GPRK.US,5,20210922,163500,11.08,11.08,11.03,11.05,5457,0
GPRK.US,5,20210922,164000,11.06,11.0954,11.04,11.0839,5322,0
GPRK.US,5,20210922,164500,11.08,11.086,11.08,11.08,1600,0
GPRK.US,5,20210922,165000,11.12,11.12,11.07,11.075,3478,0
GPRK.US,5,20210922,165500,11.08,11.08,11.055,11.06,3200,0
GPRK.US,5,20210922,170000,11.06,11.08,11.06,11.06,600,0
GPRK.US,5,20210922,170500,11.09,11.1,11.075,11.075,1426,0
GPRK.US,5,20210922,171500,11.07,11.07,11.07,11.07,100,0
GPRK.US,5,20210922,172500,11.08,11.08,11.055,11.065,2230,0
GPRK.US,5,20210922,173000,11.06,11.08,11.06,11.08,300,0
GPRK.US,5,20210922,173500,11.08,11.1,11.07,11.07,899,0
GPRK.US,5,20210922,174500,11.06,11.06,11.06,11.06,200,0
GPRK.US,5,20210922,175000,11.08,11.08,11.07,11.07,400,0
GPRK.US,5,20210922,175500,11.09,11.09,11.05,11.08,6605,0
GPRK.US,5,20210922,180000,11.08,11.08,11.08,11.08,100,0
GPRK.US,5,20210922,180500,11.04,11.04,11,11,5268,0
GPRK.US,5,20210922,181000,11,11,10.98,10.98,898,0
GPRK.US,5,20210922,181500,10.98,10.98,10.98,10.98,100,0
GPRK.US,5,20210922,182000,10.97,10.97,10.97,10.97,100,0
GPRK.US,5,20210922,182500,10.97,10.97,10.97,10.97,100,0
GPRK.US,5,20210922,183000,10.96,10.96,10.95,10.95,200,0
GPRK.US,5,20210922,183500,11.01,11.03,10.97,10.97,12352,0
GPRK.US,5,20210922,184000,11,11,10.98,11,600,0
GPRK.US,5,20210922,184500,11,11,11,11,100,0
GPRK.US,5,20210922,185000,11.015,11.015,11,11,500,0
GPRK.US,5,20210922,185500,10.97,10.97,10.97,10.97,283,0
GPRK.US,5,20210922,190000,10.96,10.96,10.96,10.96,100,0
GPRK.US,5,20210922,190500,10.915,10.915,10.915,10.915,100,0
GPRK.US,5,20210922,191500,10.91,10.91,10.91,10.91,400,0
GPRK.US,5,20210922,193000,10.96,10.97,10.96,10.96,633,0
GPRK.US,5,20210922,193500,10.96,10.96,10.96,10.96,354,0
GPRK.US,5,20210922,194000,10.97,10.97,10.955,10.955,552,0
GPRK.US,5,20210922,194500,10.95,10.95,10.95,10.95,100,0
GPRK.US,5,20210922,195000,10.95,10.95,10.95,10.95,100,0
GPRK.US,5,20210922,195500,10.95,10.95,10.91,10.91,200,0
GPRK.US,5,20210922,200000,10.97,11,10.97,11,342,0
GPRK.US,5,20210922,200500,10.99,11.02,10.99,11.01,3874,0
GPRK.US,5,20210922,201000,11.0525,11.06,11.0525,11.06,900,0
GPRK.US,5,20210922,201500,11.065,11.065,11.015,11.035,1741,0
GPRK.US,5,20210922,202000,11.04,11.045,11,11.03,1300,0
GPRK.US,5,20210922,202500,11.06,11.06,11.03,11.06,1202,0
GPRK.US,5,20210922,203000,11.1,11.1,11.1,11.1,300,0
GPRK.US,5,20210922,203500,11.075,11.09,11.075,11.085,900,0
GPRK.US,5,20210922,204000,11.08,11.08,11.04,11.05,700,0
GPRK.US,5,20210922,204500,11.05,11.05,11.05,11.05,200,0
