<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRPH.US,5,20210922,153000,16.08,16.24,16,16,1280,0
GRPH.US,5,20210922,153500,15.9669,15.9669,15.9669,15.9669,150,0
GRPH.US,5,20210922,154000,16.09,16.16,15.63,15.725,2094,0
GRPH.US,5,20210922,154500,15.96,15.96,15.64,15.9148,400,0
GRPH.US,5,20210922,155500,15.87,15.87,15.45,15.489,6801,0
GRPH.US,5,20210922,160000,15.47,15.49,15.25,15.25,840,0
GRPH.US,5,20210922,160500,15.372,15.52,15.18,15.49,2900,0
GRPH.US,5,20210922,161000,15.52,15.52,15.25,15.25,800,0
GRPH.US,5,20210922,162000,15.5,15.5,15.231,15.231,600,0
GRPH.US,5,20210922,162500,15.23,15.57,15.05,15.22,14380,0
GRPH.US,5,20210922,163000,15.49,15.68,15.34,15.34,1040,0
GRPH.US,5,20210922,163500,15.34,15.345,15.22,15.31,800,0
GRPH.US,5,20210922,164000,15.22,15.3,15.19,15.19,600,0
GRPH.US,5,20210922,164500,15.2,15.31,15.13,15.18,2400,0
GRPH.US,5,20210922,165000,15.15,15.2048,15.15,15.2048,1200,0
GRPH.US,5,20210922,165500,15.2,15.31,15.1,15.26,1550,0
GRPH.US,5,20210922,170000,15.2157,15.255,15.2,15.22,2250,0
GRPH.US,5,20210922,170500,15.245,15.57,15.13,15.48,7035,0
GRPH.US,5,20210922,171000,15.43,15.465,15.43,15.43,400,0
GRPH.US,5,20210922,171500,15.51,15.51,15.23,15.28,7601,0
GRPH.US,5,20210922,172000,15.305,15.39,15.305,15.36,1100,0
GRPH.US,5,20210922,172500,15.39,15.43,15.39,15.43,1500,0
GRPH.US,5,20210922,173000,15.46,15.49,15.447,15.46,425,0
GRPH.US,5,20210922,173500,15.43,15.49,15.42,15.46,2400,0
GRPH.US,5,20210922,174000,15.44,15.44,15.39,15.39,200,0
GRPH.US,5,20210922,174500,15.39,15.49,15.38,15.38,300,0
GRPH.US,5,20210922,175000,15.35,15.35,15.33,15.3398,300,0
GRPH.US,5,20210922,175500,15.33,15.4883,15.32,15.445,1907,0
GRPH.US,5,20210922,180000,15.445,15.47,15.28,15.44,27391,0
GRPH.US,5,20210922,180500,15.37,15.4,15.33,15.33,500,0
GRPH.US,5,20210922,181000,15.33,15.4,15.16,15.4,8750,0
GRPH.US,5,20210922,181500,15.25,15.42,15.25,15.405,1200,0
GRPH.US,5,20210922,182000,15.385,15.385,15.385,15.385,100,0
GRPH.US,5,20210922,182500,15.365,15.365,15.346,15.346,400,0
GRPH.US,5,20210922,183000,15.35,15.51,15.35,15.435,2748,0
GRPH.US,5,20210922,183500,15.54,15.56,15.54,15.55,774,0
GRPH.US,5,20210922,184000,15.58,15.58,15.57,15.57,300,0
GRPH.US,5,20210922,184500,15.62,15.62,15.57,15.57,520,0
GRPH.US,5,20210922,185000,15.5864,15.5864,15.5864,15.5864,125,0
GRPH.US,5,20210922,185500,15.55,15.58,15.49,15.49,2810,0
GRPH.US,5,20210922,190000,15.49,15.49,15.49,15.49,445,0
GRPH.US,5,20210922,190500,15.45,15.45,15.445,15.445,416,0
GRPH.US,5,20210922,191000,15.48,15.5,15.46,15.46,1305,0
GRPH.US,5,20210922,191500,15.455,15.61,15.455,15.505,700,0
GRPH.US,5,20210922,192000,15.5,15.5,15.5,15.5,100,0
GRPH.US,5,20210922,192500,15.495,15.5792,15.495,15.5792,700,0
GRPH.US,5,20210922,193000,15.6,15.61,15.6,15.605,400,0
GRPH.US,5,20210922,193500,15.555,15.555,15.46,15.53,904,0
GRPH.US,5,20210922,194000,15.6,15.6,15.45,15.52,1146,0
GRPH.US,5,20210922,194500,15.5899,15.7,15.52,15.57,3768,0
GRPH.US,5,20210922,195000,15.66,15.66,15.53,15.555,900,0
GRPH.US,5,20210922,195500,15.555,15.69,15.54,15.69,5545,0
GRPH.US,5,20210922,200000,15.64,15.83,15.57,15.78,2000,0
GRPH.US,5,20210922,200500,15.725,15.99,15.725,15.96,5140,0
GRPH.US,5,20210922,201000,16,16.4,15.92,16.255,16893,0
GRPH.US,5,20210922,201500,16.25,16.39,16.15,16.23,2315,0
GRPH.US,5,20210922,202000,16.2,16.51,16.18,16.51,19968,0
GRPH.US,5,20210922,202500,16.45,16.77,16.45,16.49,6915,0
