<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCWB.US,5,20210922,153000,3.52,3.5717,3.52,3.5717,426,0
HCWB.US,5,20210922,154000,3.52,3.52,3.5,3.5,200,0
HCWB.US,5,20210922,154500,3.45,3.52,3.45,3.52,500,0
HCWB.US,5,20210922,155500,3.52,3.52,3.52,3.52,100,0
HCWB.US,5,20210922,160000,3.5762,3.5762,3.5762,3.5762,1000,0
HCWB.US,5,20210922,161000,3.57,3.58,3.5692,3.58,1000,0
HCWB.US,5,20210922,161500,3.57,3.58,3.57,3.58,249,0
HCWB.US,5,20210922,163500,3.5252,3.5252,3.5252,3.5252,750,0
HCWB.US,5,20210922,164000,3.52,3.53,3.52,3.52,1260,0
HCWB.US,5,20210922,164500,3.52,3.52,3.52,3.52,1350,0
HCWB.US,5,20210922,165000,3.52,3.55,3.52,3.55,3798,0
HCWB.US,5,20210922,165500,3.55,3.55,3.52,3.52,600,0
HCWB.US,5,20210922,170000,3.5664,3.5664,3.52,3.562,2503,0
HCWB.US,5,20210922,170500,3.52,3.52,3.48,3.48,500,0
HCWB.US,5,20210922,171000,3.48,3.53,3.48,3.53,1500,0
HCWB.US,5,20210922,171500,3.4769,3.4769,3.43,3.43,1700,0
HCWB.US,5,20210922,172000,3.505,3.505,3.44,3.44,600,0
HCWB.US,5,20210922,173500,3.44,3.44,3.44,3.44,100,0
HCWB.US,5,20210922,180000,3.45,3.45,3.45,3.45,100,0
HCWB.US,5,20210922,184000,3.48,3.48,3.48,3.48,100,0
HCWB.US,5,20210922,184500,3.48,3.48,3.44,3.44,1161,0
HCWB.US,5,20210922,185000,3.4637,3.4871,3.4637,3.4871,898,0
HCWB.US,5,20210922,185500,3.47,3.47,3.44,3.4518,1934,0
HCWB.US,5,20210922,190500,3.44,3.44,3.44,3.44,100,0
HCWB.US,5,20210922,191500,3.44,3.482,3.44,3.44,2390,0
HCWB.US,5,20210922,192000,3.44,3.44,3.44,3.44,100,0
HCWB.US,5,20210922,194000,3.44,3.44,3.43,3.43,1328,0
HCWB.US,5,20210922,201000,3.465,3.465,3.43,3.43,400,0
HCWB.US,5,20210922,201500,3.43,3.43,3.43,3.43,100,0
HCWB.US,5,20210922,202000,3.43,3.43,3.43,3.43,100,0
HCWB.US,5,20210922,203000,3.43,3.43,3.43,3.43,100,0
HCWB.US,5,20210922,205000,3.43,3.43,3.33,3.33,1498,0
HCWB.US,5,20210922,205500,3.33,3.33,3.33,3.33,100,0
HCWB.US,5,20210922,213500,3.38,3.3899,3.38,3.3899,1200,0
HCWB.US,5,20210922,214500,3.3885,3.3885,3.37,3.37,900,0
HCWB.US,5,20210922,215000,3.38,3.38,3.37,3.37,500,0
HCWB.US,5,20210922,215500,3.37,3.39,3.32,3.33,3585,0
HCWB.US,5,20210923,161500,3.34,3.36,3.34,3.36,3989,0
HCWB.US,5,20210923,162000,3.43,3.43,3.36,3.36,200,0
HCWB.US,5,20210923,162500,3.41,3.55,3.4,3.535,1992,0
HCWB.US,5,20210923,163500,3.55,3.55,3.55,3.55,2500,0
HCWB.US,5,20210923,164000,3.5393,3.5393,3.52,3.52,1100,0
HCWB.US,5,20210923,164500,3.41,3.412,3.41,3.41,1100,0
HCWB.US,5,20210923,165500,3.4561,3.52,3.421,3.485,2300,0
HCWB.US,5,20210923,170000,3.52,3.55,3.52,3.55,961,0
HCWB.US,5,20210923,171000,3.42,3.42,3.39,3.4,2488,0
HCWB.US,5,20210923,172000,3.385,3.385,3.385,3.385,100,0
HCWB.US,5,20210923,173000,3.379,3.379,3.379,3.379,500,0
