<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDB.US,5,20210922,153000,72.12,72.86,72.12,72.685,48173,0
HDB.US,5,20210922,153500,72.68,72.78,72.65,72.75,7823,0
HDB.US,5,20210922,154000,72.7245,72.77,72.69,72.705,11039,0
HDB.US,5,20210922,154500,72.6799,72.71,72.61,72.63,31899,0
HDB.US,5,20210922,155000,72.63,72.75,72.61,72.68,32751,0
HDB.US,5,20210922,155500,72.68,72.74,72.64,72.685,11280,0
HDB.US,5,20210922,160000,72.69,72.73,72.61,72.73,25234,0
HDB.US,5,20210922,160500,72.78,72.8195,72.755,72.81,55419,0
HDB.US,5,20210922,161000,72.85,72.92,72.84,72.9,15044,0
HDB.US,5,20210922,161500,72.95,73,72.92,72.92,8476,0
HDB.US,5,20210922,162000,72.9399,72.9399,72.85,72.88,5018,0
HDB.US,5,20210922,162500,72.8899,72.98,72.8899,72.9,8896,0
HDB.US,5,20210922,163000,72.89,72.94,72.85,72.93,11523,0
HDB.US,5,20210922,163500,72.93,72.95,72.915,72.92,5571,0
HDB.US,5,20210922,164000,72.93,73.02,72.89,72.97,153709,0
HDB.US,5,20210922,164500,72.97,73.07,72.96,73.05,34574,0
HDB.US,5,20210922,165000,73.08,73.1,72.97,72.97,9002,0
HDB.US,5,20210922,165500,72.9707,73.02,72.96,73,3456,0
HDB.US,5,20210922,170000,73.025,73.1,72.98,73.09,19719,0
HDB.US,5,20210922,170500,73.1,73.105,73.01,73.03,6755,0
HDB.US,5,20210922,171000,73.04,73.04,72.9675,73,9374,0
HDB.US,5,20210922,171500,73.0301,73.07,72.95,72.9772,5600,0
HDB.US,5,20210922,172000,72.97,72.98,72.86,72.935,4666,0
HDB.US,5,20210922,172500,72.94,72.99,72.91,72.99,3963,0
HDB.US,5,20210922,173000,72.98,73.0078,72.94,72.95,3469,0
HDB.US,5,20210922,173500,72.96,72.97,72.93,72.96,4200,0
HDB.US,5,20210922,174000,72.97,73.08,72.96,73.06,2591,0
HDB.US,5,20210922,174500,73.08,73.08,72.99,73.01,4723,0
HDB.US,5,20210922,175000,73.02,73.075,72.91,73.005,7164,0
HDB.US,5,20210922,175500,73.01,73.05,72.99,72.99,4603,0
HDB.US,5,20210922,180000,72.99,73.01,72.98,73.01,2281,0
HDB.US,5,20210922,180500,73.03,73.03,72.91,72.94,20838,0
HDB.US,5,20210922,181000,72.92,73.02,72.92,73.01,44832,0
HDB.US,5,20210922,181500,73.02,73.02,72.98,73.01,2984,0
HDB.US,5,20210922,182000,73.01,73.07,73.01,73.01,3221,0
HDB.US,5,20210922,182500,73.02,73.02,72.9442,72.95,3707,0
HDB.US,5,20210922,183000,72.96,73,72.96,72.98,1563,0
HDB.US,5,20210922,183500,72.99,72.99,72.95,72.95,869,0
HDB.US,5,20210922,184000,72.94,72.9559,72.92,72.945,3282,0
HDB.US,5,20210922,184500,72.95,72.96,72.93,72.93,1426,0
HDB.US,5,20210922,185000,72.94,72.95,72.88,72.89,1608,0
HDB.US,5,20210922,185500,72.88,72.9156,72.88,72.895,1023,0
HDB.US,5,20210922,190000,72.93,72.93,72.87,72.88,2346,0
HDB.US,5,20210922,190500,72.86,72.9256,72.86,72.9256,1025,0
HDB.US,5,20210922,191000,72.9134,72.9134,72.89,72.91,1488,0
HDB.US,5,20210922,191500,72.92,72.92,72.88,72.9,4071,0
HDB.US,5,20210922,192000,72.9,72.9,72.86,72.86,1427,0
HDB.US,5,20210922,192500,72.845,72.91,72.845,72.89,5900,0
HDB.US,5,20210922,193000,72.9,72.92,72.8881,72.9,7705,0
HDB.US,5,20210922,193500,72.9,72.94,72.89,72.94,7671,0
HDB.US,5,20210922,194000,72.9599,73,72.9599,72.975,1619,0
HDB.US,5,20210922,194500,72.98,72.98,72.92,72.92,2099,0
HDB.US,5,20210922,195000,72.9,72.9,72.86,72.89,1733,0
HDB.US,5,20210922,195500,72.899,72.91,72.86,72.895,1403,0
HDB.US,5,20210922,200000,72.89,73.06,72.795,73.02,4772,0
HDB.US,5,20210922,200500,73.015,73.02,72.96,72.98,4068,0
HDB.US,5,20210922,201000,73,73.04,72.95,72.98,27347,0
HDB.US,5,20210922,201500,73,73.05,72.95,72.96,13497,0
HDB.US,5,20210922,202000,72.96,73.005,72.88,72.88,9110,0
HDB.US,5,20210922,202500,72.89,73.005,72.89,73.005,2451,0
HDB.US,5,20210922,203000,73.01,73.04,72.925,72.99,6462,0
HDB.US,5,20210922,203500,72.97,73.01,72.89,72.91,6124,0
HDB.US,5,20210922,204000,72.88,72.91,72.8,72.84,9621,0
HDB.US,5,20210922,204500,72.8,72.865,72.72,72.751,13174,0
HDB.US,5,20210922,205000,72.7,72.83,72.62,72.83,7291,0
HDB.US,5,20210922,205500,72.81,72.81,72.695,72.77,3093,0
HDB.US,5,20210922,210000,72.79,72.79,72.69,72.71,4362,0
HDB.US,5,20210922,210500,72.75,72.8,72.7,72.8,5001,0
HDB.US,5,20210922,211000,72.77,72.93,72.77,72.9,5037,0
HDB.US,5,20210922,211500,72.88,72.95,72.87,72.95,5851,0
HDB.US,5,20210922,212000,72.95,73.02,72.93,73.005,35323,0
HDB.US,5,20210922,212500,73.01,73.01,72.93,72.945,10662,0
HDB.US,5,20210922,213000,72.94,72.94,72.84,72.92,6761,0
HDB.US,5,20210922,213500,72.9,73.01,72.85,73,8300,0
HDB.US,5,20210922,214000,73.005,73.01,72.9123,72.94,8001,0
HDB.US,5,20210922,214500,72.935,72.97,72.89,72.91,9529,0
HDB.US,5,20210922,215000,72.9,72.94,72.835,72.94,22723,0
HDB.US,5,20210922,215500,72.94,72.94,72.72,72.73,99621,0
HDB.US,5,20210923,153000,73.74,74.04,73.56,73.94,39644,0
HDB.US,5,20210923,153500,73.94,74.07,73.83,73.8979,232936,0
HDB.US,5,20210923,154000,73.91,74.01,73.87,73.95,13346,0
HDB.US,5,20210923,154500,73.94,74.015,73.94,73.99,15177,0
HDB.US,5,20210923,155000,74,74.04,73.9896,74.01,19093,0
HDB.US,5,20210923,155500,74.03,74.08,74,74,9148,0
HDB.US,5,20210923,160000,74.01,74.065,73.99,74.02,21935,0
HDB.US,5,20210923,160500,74.02,74.0564,74,74.04,9295,0
HDB.US,5,20210923,161000,74.05,74.07,74.03,74.05,10819,0
HDB.US,5,20210923,161500,74.05,74.12,74.03,74.1,16258,0
HDB.US,5,20210923,162000,74.09,74.155,74.08,74.155,10559,0
HDB.US,5,20210923,162500,74.155,74.16,74.08,74.0866,6489,0
HDB.US,5,20210923,163000,74.07,74.16,74.06,74.15,11324,0
HDB.US,5,20210923,163500,74.15,74.17,74.12,74.16,34546,0
HDB.US,5,20210923,164000,74.165,74.165,74.1125,74.14,7227,0
HDB.US,5,20210923,164500,74.15,74.22,74.15,74.17,62022,0
HDB.US,5,20210923,165000,74.2,74.205,74.18,74.18,10154,0
HDB.US,5,20210923,165500,74.19,74.21,74.17,74.205,14711,0
HDB.US,5,20210923,170000,74.2,74.2099,74.13,74.13,12258,0
HDB.US,5,20210923,170500,74.11,74.15,74.03,74.11,20229,0
HDB.US,5,20210923,171000,74.09,74.09,74.07,74.0744,6102,0
HDB.US,5,20210923,171500,74.08,74.09,74.01,74.01,17402,0
HDB.US,5,20210923,172000,74.02,74.025,73.99,74.02,13655,0
HDB.US,5,20210923,172500,74.05,74.13,74.05,74.13,9641,0
HDB.US,5,20210923,173000,74.13,74.2,74.09,74.17,10468,0
HDB.US,5,20210923,173500,74.155,74.155,74.1,74.15,7147,0
HDB.US,5,20210923,174000,74.15,74.17,74.12,74.16,7381,0
HDB.US,5,20210923,174500,74.16,74.18,74.15,74.15,7622,0
HDB.US,5,20210923,175000,74.16,74.21,74.15,74.21,15301,0
HDB.US,5,20210923,175500,74.21,74.24,74.175,74.19,3686,0
HDB.US,5,20210923,180000,74.19,74.2173,74.15,74.16,18408,0
HDB.US,5,20210923,180500,74.17,74.17,74.16,74.17,2448,0
HDB.US,5,20210923,181000,74.17,74.17,74.14,74.15,13766,0
HDB.US,5,20210923,181500,74.15,74.155,74.13,74.13,5635,0
HDB.US,5,20210923,182000,74.14,74.15,74.13,74.14,5577,0
HDB.US,5,20210923,182500,74.13,74.195,74.13,74.15,6345,0
HDB.US,5,20210923,183000,74.16,74.165,74.145,74.15,7284,0
HDB.US,5,20210923,183500,74.145,74.145,74.11,74.125,12462,0
HDB.US,5,20210923,184000,74.12,74.1215,74.05,74.08,9125,0
HDB.US,5,20210923,184500,74.08,74.15,74.08,74.15,3647,0
HDB.US,5,20210923,185000,74.1883,74.1883,74.14,74.17,6523,0
HDB.US,5,20210923,185500,74.165,74.17,74.1,74.1,4933,0
HDB.US,5,20210923,190000,74.11,74.12,74.09,74.11,5498,0
HDB.US,5,20210923,190500,74.11,74.11,74.095,74.1,9080,0
HDB.US,5,20210923,191000,74.1,74.1047,74.035,74.035,11695,0
HDB.US,5,20210923,191500,74.04,74.09,74.04,74.07,5044,0
HDB.US,5,20210923,192000,74.06,74.0684,74.05,74.06,2013,0
HDB.US,5,20210923,192500,74.06,74.075,74.06,74.0687,4364,0
HDB.US,5,20210923,193000,74.07,74.075,74.07,74.07,3671,0
HDB.US,5,20210923,193500,74.07,74.075,74.06,74.06,8095,0
