<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HNRG.US,5,20210922,153000,2.32,2.37,2.3,2.37,3144,0
HNRG.US,5,20210922,153500,2.314,2.314,2.314,2.314,250,0
HNRG.US,5,20210922,154000,2.35,2.4399,2.35,2.35,23958,0
HNRG.US,5,20210922,154500,2.3964,2.3964,2.38,2.38,2740,0
HNRG.US,5,20210922,155000,2.4193,2.4193,2.3501,2.3501,505,0
HNRG.US,5,20210922,155500,2.3999,2.4,2.3745,2.3745,13745,0
HNRG.US,5,20210922,160000,2.42,2.42,2.3606,2.3606,613,0
HNRG.US,5,20210922,160500,2.3659,2.39,2.3659,2.39,5100,0
HNRG.US,5,20210922,161000,2.39,2.39,2.37,2.37,700,0
HNRG.US,5,20210922,161500,2.385,2.4,2.3783,2.3783,25600,0
HNRG.US,5,20210922,162500,2.38,2.38,2.38,2.38,400,0
HNRG.US,5,20210922,163000,2.36,2.375,2.36,2.3675,2221,0
HNRG.US,5,20210922,163500,2.39,2.39,2.39,2.39,483,0
HNRG.US,5,20210922,164000,2.39,2.39,2.39,2.39,400,0
HNRG.US,5,20210922,164500,2.38,2.39,2.3701,2.39,1400,0
HNRG.US,5,20210922,165000,2.405,2.42,2.405,2.42,2705,0
HNRG.US,5,20210922,165500,2.4164,2.43,2.4164,2.43,1100,0
HNRG.US,5,20210922,170000,2.43,2.43,2.43,2.43,5900,0
HNRG.US,5,20210922,170500,2.425,2.425,2.395,2.395,2740,0
HNRG.US,5,20210922,172000,2.42,2.42,2.3709,2.42,1596,0
HNRG.US,5,20210922,172500,2.44,2.44,2.41,2.41,200,0
HNRG.US,5,20210922,173500,2.44,2.44,2.44,2.44,200,0
HNRG.US,5,20210922,174000,2.43,2.43,2.41,2.41,2560,0
HNRG.US,5,20210922,174500,2.415,2.43,2.415,2.425,1200,0
HNRG.US,5,20210922,175000,2.43,2.43,2.42,2.42,300,0
HNRG.US,5,20210922,180000,2.425,2.43,2.42,2.425,1100,0
HNRG.US,5,20210922,180500,2.425,2.425,2.39,2.395,4036,0
HNRG.US,5,20210922,182000,2.395,2.4,2.39,2.4,300,0
HNRG.US,5,20210922,183000,2.4,2.42,2.4,2.42,478,0
HNRG.US,5,20210922,183500,2.43,2.43,2.43,2.43,300,0
HNRG.US,5,20210922,184000,2.4,2.415,2.4,2.4,4746,0
HNRG.US,5,20210922,184500,2.385,2.385,2.385,2.385,100,0
HNRG.US,5,20210922,185000,2.4,2.4,2.38,2.38,2000,0
HNRG.US,5,20210922,185500,2.37,2.38,2.37,2.38,200,0
HNRG.US,5,20210922,190000,2.375,2.375,2.375,2.375,200,0
HNRG.US,5,20210922,190500,2.39,2.39,2.36,2.365,1379,0
HNRG.US,5,20210922,191000,2.36,2.36,2.36,2.36,100,0
HNRG.US,5,20210922,191500,2.36,2.36,2.36,2.36,200,0
HNRG.US,5,20210922,192000,2.37,2.39,2.37,2.39,1000,0
HNRG.US,5,20210922,193500,2.39,2.39,2.39,2.39,100,0
HNRG.US,5,20210922,194000,2.37,2.37,2.37,2.37,200,0
HNRG.US,5,20210922,194500,2.37,2.37,2.365,2.365,300,0
HNRG.US,5,20210922,195500,2.36,2.36,2.3,2.32,2872,0
HNRG.US,5,20210922,200000,2.32,2.34,2.3,2.33,3057,0
HNRG.US,5,20210922,200500,2.33,2.33,2.29,2.29,16526,0
HNRG.US,5,20210922,201000,2.29,2.29,2.28,2.28,1800,0
HNRG.US,5,20210922,202000,2.3273,2.33,2.3252,2.33,500,0
HNRG.US,5,20210922,202500,2.33,2.335,2.33,2.335,6000,0
HNRG.US,5,20210922,203000,2.335,2.335,2.32,2.32,11000,0
HNRG.US,5,20210922,203500,2.336,2.34,2.32,2.32,1100,0
HNRG.US,5,20210922,205000,2.35,2.35,2.32,2.32,400,0
HNRG.US,5,20210922,205500,2.32,2.32,2.32,2.32,100,0
HNRG.US,5,20210922,210500,2.332,2.35,2.33,2.33,1588,0
