<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUBG.US,5,20210922,153000,69.7,69.7,69.31,69.31,1276,0
HUBG.US,5,20210922,154500,69.86,69.86,69.27,69.27,300,0
HUBG.US,5,20210922,155000,69.24,69.24,69.24,69.24,100,0
HUBG.US,5,20210922,155500,69.58,69.58,69.46,69.49,600,0
HUBG.US,5,20210922,160000,69.65,69.81,69.56,69.81,1700,0
HUBG.US,5,20210922,160500,69.69,69.69,69.69,69.69,100,0
HUBG.US,5,20210922,161000,69.615,69.77,69.615,69.62,400,0
HUBG.US,5,20210922,161500,69.49,69.49,69.48,69.48,200,0
HUBG.US,5,20210922,162000,69.595,69.595,69.42,69.42,896,0
HUBG.US,5,20210922,162500,69.375,69.44,69.375,69.44,200,0
HUBG.US,5,20210922,163000,69.45,69.55,69.45,69.55,400,0
HUBG.US,5,20210922,163500,69.78,69.78,69.64,69.64,200,0
HUBG.US,5,20210922,164000,69.69,69.81,69.69,69.81,200,0
HUBG.US,5,20210922,164500,69.87,69.91,69.81,69.91,800,0
HUBG.US,5,20210922,165000,69.93,69.93,69.89,69.91,852,0
HUBG.US,5,20210922,165500,69.93,69.93,69.93,69.93,100,0
HUBG.US,5,20210922,170000,69.93,69.93,69.91,69.91,465,0
HUBG.US,5,20210922,170500,69.83,69.89,69.83,69.89,200,0
HUBG.US,5,20210922,171000,69.84,69.99,69.84,69.99,400,0
HUBG.US,5,20210922,171500,70.02,70.085,70.005,70.005,527,0
HUBG.US,5,20210922,172000,69.885,69.885,69.885,69.885,100,0
HUBG.US,5,20210922,172500,69.89,70.025,69.89,70.02,600,0
HUBG.US,5,20210922,173500,70.03,70.035,70.03,70.035,200,0
HUBG.US,5,20210922,174000,70.04,70.05,70.04,70.05,400,0
HUBG.US,5,20210922,174500,70.13,70.13,70,70,300,0
HUBG.US,5,20210922,175000,70.04,70.05,70,70,500,0
HUBG.US,5,20210922,175500,70,70,70,70,100,0
HUBG.US,5,20210922,180000,69.945,69.945,69.945,69.945,100,0
HUBG.US,5,20210922,180500,69.89,69.89,69.825,69.825,200,0
HUBG.US,5,20210922,181000,69.75,69.75,69.67,69.67,200,0
HUBG.US,5,20210922,181500,69.69,69.69,69.63,69.63,200,0
HUBG.US,5,20210922,182000,69.67,69.67,69.66,69.67,400,0
HUBG.US,5,20210922,182500,69.75,69.75,69.75,69.75,200,0
HUBG.US,5,20210922,183500,69.675,69.675,69.675,69.675,100,0
HUBG.US,5,20210922,184000,69.62,69.62,69.555,69.555,200,0
HUBG.US,5,20210922,184500,69.58,69.58,69.5,69.53,700,0
HUBG.US,5,20210922,185500,69.48,69.48,69.46,69.48,400,0
HUBG.US,5,20210922,190000,69.5,69.5,69.5,69.5,100,0
HUBG.US,5,20210922,191000,69.44,69.44,69.44,69.44,100,0
HUBG.US,5,20210922,191500,69.3423,69.3423,69.3423,69.3423,450,0
HUBG.US,5,20210922,192000,69.38,69.41,69.38,69.41,624,0
HUBG.US,5,20210922,192500,69.49,69.49,69.49,69.49,100,0
HUBG.US,5,20210922,193000,69.55,69.62,69.55,69.62,500,0
HUBG.US,5,20210922,193500,69.62,69.62,69.56,69.565,400,0
HUBG.US,5,20210922,194000,69.65,69.77,69.65,69.77,400,0
HUBG.US,5,20210922,194500,69.73,69.79,69.73,69.74,300,0
HUBG.US,5,20210922,195500,69.705,69.75,69.705,69.75,1100,0
HUBG.US,5,20210922,200000,69.64,69.78,69.61,69.78,400,0
HUBG.US,5,20210922,200500,69.85,69.85,69.67,69.685,300,0
HUBG.US,5,20210922,201000,69.63,69.875,69.63,69.875,400,0
HUBG.US,5,20210922,201500,69.9,69.925,69.72,69.72,500,0
HUBG.US,5,20210922,202000,69.725,69.75,69.66,69.66,300,0
HUBG.US,5,20210922,202500,69.72,69.76,69.72,69.76,300,0
HUBG.US,5,20210922,203000,69.73,69.89,69.73,69.89,300,0
HUBG.US,5,20210922,203500,69.835,69.835,69.63,69.63,600,0
HUBG.US,5,20210922,204000,69.445,69.52,69.22,69.24,2400,0
HUBG.US,5,20210922,204500,69.19,69.275,69.19,69.275,1701,0
HUBG.US,5,20210922,205000,69.205,69.34,69.12,69.28,1400,0
HUBG.US,5,20210922,205500,69.26,69.26,69.11,69.11,533,0
HUBG.US,5,20210922,210000,69.04,69.13,69.04,69.04,800,0
HUBG.US,5,20210922,210500,69.08,69.13,69.04,69.13,1235,0
HUBG.US,5,20210922,211000,69.27,69.435,69.27,69.435,700,0
HUBG.US,5,20210922,211500,69.59,69.62,69.55,69.62,300,0
HUBG.US,5,20210922,212000,69.62,69.68,69.59,69.59,628,0
HUBG.US,5,20210922,212500,69.52,69.61,69.52,69.61,500,0
HUBG.US,5,20210922,213000,69.62,69.62,69.38,69.38,800,0
HUBG.US,5,20210922,213500,69.47,69.53,69.47,69.53,502,0
HUBG.US,5,20210922,214000,69.51,69.51,69.44,69.48,900,0
HUBG.US,5,20210922,214500,69.52,69.52,69.38,69.38,1100,0
HUBG.US,5,20210922,215000,69.32,69.33,69.26,69.29,1389,0
HUBG.US,5,20210922,215500,69.3,69.45,69.28,69.29,21528,0
HUBG.US,5,20210923,153000,69.62,69.62,69.62,69.62,1176,0
HUBG.US,5,20210923,155500,70,70.2256,70,70.2256,750,0
HUBG.US,5,20210923,160500,70.02,70.02,70.02,70.02,213,0
HUBG.US,5,20210923,162000,69.96,69.96,69.94,69.94,344,0
HUBG.US,5,20210923,164000,69.68,69.68,69.68,69.68,100,0
HUBG.US,5,20210923,164500,69.72,69.72,69.72,69.72,100,0
HUBG.US,5,20210923,165000,69.8,69.8,69.8,69.8,100,0
HUBG.US,5,20210923,165500,69.74,69.77,69.73,69.77,500,0
HUBG.US,5,20210923,170000,69.795,69.84,69.795,69.8,500,0
HUBG.US,5,20210923,170500,69.74,69.82,69.74,69.82,300,0
HUBG.US,5,20210923,171500,69.82,69.82,69.82,69.82,109,0
HUBG.US,5,20210923,172000,69.86,69.87,69.86,69.87,200,0
HUBG.US,5,20210923,172500,69.93,70.03,69.93,70.03,500,0
HUBG.US,5,20210923,173000,70.03,70.31,70.03,70.31,842,0
HUBG.US,5,20210923,173500,70.3,70.3,70.3,70.3,100,0
HUBG.US,5,20210923,174000,70.23,70.23,70.17,70.21,714,0
HUBG.US,5,20210923,175500,70.24,70.24,70.24,70.24,100,0
HUBG.US,5,20210923,180000,70.17,70.19,70.16,70.19,400,0
HUBG.US,5,20210923,180500,70.25,70.46,70.23,70.46,1400,0
HUBG.US,5,20210923,181000,70.43,70.43,70.43,70.43,100,0
HUBG.US,5,20210923,181500,70.44,70.64,70.44,70.62,2000,0
HUBG.US,5,20210923,182000,70.63,70.63,70.63,70.63,100,0
HUBG.US,5,20210923,182500,70.54,70.56,70.54,70.56,400,0
HUBG.US,5,20210923,183000,70.575,70.575,70.455,70.455,700,0
HUBG.US,5,20210923,183500,70.44,70.495,70.44,70.495,1000,0
HUBG.US,5,20210923,184000,70.5,70.64,70.5,70.57,400,0
HUBG.US,5,20210923,184500,70.57,70.61,70.57,70.61,400,0
HUBG.US,5,20210923,185000,70.56,70.645,70.56,70.62,1000,0
HUBG.US,5,20210923,185500,70.475,70.52,70.475,70.52,300,0
HUBG.US,5,20210923,190000,70.465,70.465,70.45,70.45,300,0
HUBG.US,5,20210923,190500,70.45,70.64,70.45,70.64,500,0
HUBG.US,5,20210923,191000,70.67,70.68,70.61,70.63,700,0
HUBG.US,5,20210923,191500,70.64,70.64,70.52,70.52,1100,0
HUBG.US,5,20210923,192000,70.61,70.62,70.61,70.615,600,0
HUBG.US,5,20210923,192500,70.6,70.63,70.555,70.56,1500,0
HUBG.US,5,20210923,193000,70.585,70.65,70.5,70.5,2262,0
HUBG.US,5,20210923,193500,70.51,70.625,70.51,70.625,400,0
HUBG.US,5,20210923,194000,70.67,70.67,70.55,70.55,800,0
HUBG.US,5,20210923,194500,70.58,70.8275,70.58,70.8275,400,0
HUBG.US,5,20210923,195000,70.73,70.77,70.69,70.7675,600,0
HUBG.US,5,20210923,195500,70.67,70.72,70.59,70.61,1800,0
HUBG.US,5,20210923,200000,70.605,70.79,70.57,70.79,4000,0
HUBG.US,5,20210923,200500,70.76,70.81,70.73,70.73,500,0
HUBG.US,5,20210923,201000,70.63,70.74,70.63,70.64,300,0
HUBG.US,5,20210923,201500,70.6,70.6,70.59,70.59,200,0
HUBG.US,5,20210923,202000,70.63,70.695,70.53,70.53,900,0
HUBG.US,5,20210923,202500,70.5,70.5,70.46,70.46,200,0
HUBG.US,5,20210923,203000,70.49,70.585,70.43,70.43,1800,0
HUBG.US,5,20210923,203500,70.42,70.42,70.33,70.33,200,0
HUBG.US,5,20210923,204000,70.31,70.31,70.22,70.27,600,0
HUBG.US,5,20210923,204500,70.265,70.404,70.265,70.404,600,0
HUBG.US,5,20210923,205000,70.3,70.33,70.27,70.28,600,0
HUBG.US,5,20210923,205500,70.38,70.4025,70.33,70.4,968,0
HUBG.US,5,20210923,210000,70.3,70.35,70.29,70.29,500,0
HUBG.US,5,20210923,210500,70.375,70.375,70.375,70.375,100,0
HUBG.US,5,20210923,211000,70.31,70.33,70.2,70.2,900,0
HUBG.US,5,20210923,211500,70.24,70.24,70.17,70.21,700,0
HUBG.US,5,20210923,212000,70.15,70.22,70.15,70.17,900,0
HUBG.US,5,20210923,212500,70.14,70.14,70.11,70.11,200,0
HUBG.US,5,20210923,213000,70.1,70.13,70.075,70.09,2700,0
HUBG.US,5,20210923,213500,69.99,69.99,69.99,69.99,200,0
HUBG.US,5,20210923,214000,69.99,70.05,69.94,70.05,1934,0
HUBG.US,5,20210923,214500,69.99,70.02,69.98,70,1200,0
HUBG.US,5,20210923,215000,69.96,70.02,69.95,69.97,1600,0
HUBG.US,5,20210923,215500,69.99,70.13,69.96,69.98,21258,0
HUBG.US,5,20210924,153000,69.83,69.83,69.83,69.83,1046,0
HUBG.US,5,20210924,153500,69.24,70,68.51,70,800,0
HUBG.US,5,20210924,154000,69.99,69.99,69.99,69.99,100,0
HUBG.US,5,20210924,155000,69.82,69.82,69.82,69.82,100,0
HUBG.US,5,20210924,155500,69.85,69.99,69.775,69.99,1500,0
HUBG.US,5,20210924,160000,69.7875,70,69.7875,69.885,529,0
HUBG.US,5,20210924,160500,70.14,70.14,69.99,69.99,300,0
HUBG.US,5,20210924,161000,70.07,70.15,69.98,69.98,500,0
HUBG.US,5,20210924,161500,69.93,70.32,69.93,70.32,5394,0
HUBG.US,5,20210924,162000,70.32,70.55,70.19,70.19,4800,0
HUBG.US,5,20210924,162500,70.1,70.1,69.87,70.08,5000,0
HUBG.US,5,20210924,163000,69.93,69.93,69.93,69.93,100,0
HUBG.US,5,20210924,163500,69.92,70.08,69.86,69.9,1300,0
HUBG.US,5,20210924,164000,69.94,70.08,69.94,70.005,1658,0
HUBG.US,5,20210924,164500,70.04,70.14,70.04,70.09,700,0
HUBG.US,5,20210924,165000,70.035,70.14,70.035,70.14,300,0
HUBG.US,5,20210924,165500,70.1,70.42,70.1,70.36,900,0
HUBG.US,5,20210924,170500,70.63,70.63,70.63,70.63,100,0
HUBG.US,5,20210924,171500,70.505,70.54,70.505,70.54,400,0
HUBG.US,5,20210924,172500,70.48,70.56,70.48,70.56,294,0
HUBG.US,5,20210924,173000,70.44,70.44,70.44,70.44,186,0
HUBG.US,5,20210924,174000,70.44,70.505,70.43,70.505,300,0
HUBG.US,5,20210924,174500,70.41,70.44,70.38,70.38,300,0
HUBG.US,5,20210924,175000,70.38,70.45,70.35,70.43,1000,0
HUBG.US,5,20210924,175500,70.5566,70.6,70.5566,70.6,400,0
HUBG.US,5,20210924,180000,70.51,70.51,70.42,70.42,500,0
HUBG.US,5,20210924,180500,70.52,70.52,70.465,70.51,1000,0
