<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYLN.US,5,20210922,153000,8.41,8.44,8.3901,8.3901,53031,0
HYLN.US,5,20210922,153500,8.42,8.52,8.42,8.5,34911,0
HYLN.US,5,20210922,154000,8.51,8.549,8.48,8.485,44928,0
HYLN.US,5,20210922,154500,8.48,8.54,8.46,8.5299,27930,0
HYLN.US,5,20210922,155000,8.52,8.54,8.46,8.4713,24097,0
HYLN.US,5,20210922,155500,8.48,8.4993,8.45,8.45,21135,0
HYLN.US,5,20210922,160000,8.46,8.465,8.39,8.43,42732,0
HYLN.US,5,20210922,160500,8.43,8.48,8.41,8.46,23267,0
HYLN.US,5,20210922,161000,8.45,8.455,8.39,8.405,28934,0
HYLN.US,5,20210922,161500,8.4,8.42,8.385,8.41,33884,0
HYLN.US,5,20210922,162000,8.4,8.4,8.36,8.37,24134,0
HYLN.US,5,20210922,162500,8.37,8.3888,8.33,8.3341,75975,0
HYLN.US,5,20210922,163000,8.34,8.389,8.34,8.389,11309,0
HYLN.US,5,20210922,163500,8.385,8.42,8.385,8.3911,22971,0
HYLN.US,5,20210922,164000,8.39,8.4299,8.38,8.4299,18733,0
HYLN.US,5,20210922,164500,8.42,8.425,8.39,8.42,23167,0
HYLN.US,5,20210922,165000,8.42,8.425,8.37,8.37,11515,0
HYLN.US,5,20210922,165500,8.37,8.375,8.36,8.36,21954,0
HYLN.US,5,20210922,170000,8.3678,8.4,8.34,8.395,12514,0
HYLN.US,5,20210922,170500,8.4,8.41,8.39,8.39,6152,0
HYLN.US,5,20210922,171000,8.4,8.425,8.4,8.425,18322,0
HYLN.US,5,20210922,171500,8.43,8.439,8.43,8.432,2105,0
HYLN.US,5,20210922,172000,8.44,8.4479,8.42,8.42,7680,0
HYLN.US,5,20210922,172500,8.425,8.4606,8.4201,8.4606,14367,0
HYLN.US,5,20210922,173000,8.46,8.465,8.455,8.465,7377,0
HYLN.US,5,20210922,173500,8.47,8.48,8.45,8.47,56841,0
HYLN.US,5,20210922,174000,8.4601,8.4601,8.43,8.4301,9009,0
HYLN.US,5,20210922,174500,8.43,8.435,8.41,8.4101,23678,0
HYLN.US,5,20210922,175000,8.415,8.44,8.415,8.42,24098,0
HYLN.US,5,20210922,175500,8.415,8.42,8.4,8.4088,24183,0
HYLN.US,5,20210922,180000,8.41,8.415,8.41,8.415,5200,0
HYLN.US,5,20210922,180500,8.4189,8.42,8.4,8.4,6867,0
HYLN.US,5,20210922,181000,8.4,8.41,8.395,8.4,12683,0
HYLN.US,5,20210922,181500,8.41,8.41,8.39,8.41,6115,0
HYLN.US,5,20210922,182000,8.41,8.41,8.4,8.4,3990,0
HYLN.US,5,20210922,182500,8.3999,8.4099,8.39,8.395,14505,0
HYLN.US,5,20210922,183000,8.39,8.4,8.39,8.39,5789,0
HYLN.US,5,20210922,183500,8.395,8.445,8.395,8.445,26120,0
HYLN.US,5,20210922,184000,8.44,8.4477,8.435,8.44,20181,0
HYLN.US,5,20210922,184500,8.435,8.47,8.435,8.4658,6860,0
HYLN.US,5,20210922,185000,8.48,8.485,8.46,8.46,4605,0
HYLN.US,5,20210922,185500,8.46,8.465,8.45,8.45,20414,0
HYLN.US,5,20210922,190000,8.4501,8.4561,8.42,8.42,13580,0
HYLN.US,5,20210922,190500,8.4278,8.43,8.42,8.42,12939,0
HYLN.US,5,20210922,191000,8.4201,8.425,8.4,8.4,13817,0
HYLN.US,5,20210922,191500,8.39,8.41,8.39,8.405,12178,0
HYLN.US,5,20210922,192000,8.4087,8.4094,8.39,8.395,11841,0
HYLN.US,5,20210922,192500,8.397,8.44,8.395,8.4369,11676,0
HYLN.US,5,20210922,193000,8.43,8.45,8.4211,8.4409,15968,0
HYLN.US,5,20210922,193500,8.4499,8.45,8.44,8.45,11800,0
HYLN.US,5,20210922,194000,8.45,8.45,8.44,8.445,7721,0
HYLN.US,5,20210922,194500,8.44,8.45,8.43,8.43,12088,0
HYLN.US,5,20210922,195000,8.43,8.445,8.42,8.42,10614,0
HYLN.US,5,20210922,195500,8.425,8.425,8.39,8.4,31247,0
HYLN.US,5,20210922,200000,8.39,8.45,8.38,8.45,16508,0
HYLN.US,5,20210922,200500,8.45,8.455,8.41,8.44,8365,0
HYLN.US,5,20210922,201000,8.435,8.455,8.435,8.45,23317,0
HYLN.US,5,20210922,201500,8.46,8.46,8.4101,8.4101,24315,0
HYLN.US,5,20210922,202000,8.415,8.43,8.4,8.43,12095,0
HYLN.US,5,20210922,202500,8.425,8.47,8.425,8.47,8542,0
HYLN.US,5,20210922,203000,8.47,8.475,8.45,8.47,7977,0
HYLN.US,5,20210922,203500,8.465,8.48,8.4301,8.45,24777,0
