<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HZAC.US,5,20210922,153000,10,10,10,10,300,0
HZAC.US,5,20210922,155000,9.98,9.98,9.97,9.97,1101,0
HZAC.US,5,20210922,160000,9.98,9.98,9.98,9.98,1300,0
HZAC.US,5,20210922,160500,9.98,9.98,9.98,9.98,200,0
HZAC.US,5,20210922,162000,9.98,9.98,9.98,9.98,1300,0
HZAC.US,5,20210922,162500,9.98,9.98,9.98,9.98,200,0
HZAC.US,5,20210922,164000,9.98,9.98,9.98,9.98,800,0
HZAC.US,5,20210922,165500,9.98,9.98,9.98,9.98,800,0
HZAC.US,5,20210922,172000,9.98,9.98,9.98,9.98,1200,0
HZAC.US,5,20210922,172500,9.98,9.99,9.98,9.99,12070,0
HZAC.US,5,20210922,173000,9.99,9.99,9.98,9.98,700,0
HZAC.US,5,20210922,174000,9.98,9.98,9.98,9.98,400,0
HZAC.US,5,20210922,175000,9.98,9.98,9.98,9.98,500,0
HZAC.US,5,20210922,175500,9.9719,9.9719,9.9719,9.9719,1000,0
HZAC.US,5,20210922,180000,9.98,9.99,9.98,9.98,184713,0
HZAC.US,5,20210922,180500,9.98,9.985,9.98,9.985,15900,0
HZAC.US,5,20210922,181000,9.98,9.985,9.98,9.98,6100,0
HZAC.US,5,20210922,181500,9.98,9.98,9.98,9.98,2300,0
HZAC.US,5,20210922,182000,9.98,9.985,9.98,9.98,1000,0
HZAC.US,5,20210922,182500,9.98,9.98,9.98,9.98,400,0
HZAC.US,5,20210922,183000,9.98,9.98,9.98,9.98,300,0
HZAC.US,5,20210922,183500,9.98,9.98,9.98,9.98,300,0
HZAC.US,5,20210922,184000,9.985,9.985,9.985,9.985,100,0
HZAC.US,5,20210922,184500,9.98,9.985,9.98,9.985,400,0
HZAC.US,5,20210922,185000,9.98,9.98,9.98,9.98,200,0
HZAC.US,5,20210922,185500,9.98,9.9889,9.98,9.9889,1100,0
HZAC.US,5,20210922,190000,9.98,9.98,9.98,9.98,300,0
HZAC.US,5,20210922,190500,9.985,9.985,9.985,9.985,100,0
HZAC.US,5,20210922,191000,9.98,9.98,9.98,9.98,300,0
HZAC.US,5,20210922,191500,9.98,9.985,9.98,9.98,400,0
HZAC.US,5,20210922,192500,9.98,9.98,9.98,9.98,300,0
HZAC.US,5,20210922,193000,9.98,9.98,9.98,9.98,200,0
HZAC.US,5,20210922,193500,9.98,9.985,9.98,9.985,200,0
HZAC.US,5,20210922,194000,9.98,9.98,9.98,9.98,300,0
HZAC.US,5,20210922,194500,9.985,9.985,9.98,9.98,300,0
HZAC.US,5,20210922,195000,9.98,9.98,9.98,9.98,100,0
HZAC.US,5,20210922,195500,9.98,9.98,9.98,9.98,300,0
