<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IH.US,5,20210922,153000,4.89,4.977,4.89,4.89,766,0
IH.US,5,20210922,154000,4.9784,5.02,4.9784,5.01,800,0
IH.US,5,20210922,154500,5.02,5.02,5.02,5.02,100,0
IH.US,5,20210922,155000,5.03,5.03,5.03,5.03,2100,0
IH.US,5,20210922,155500,5.0956,5.0956,5.02,5.02,400,0
IH.US,5,20210922,160500,4.96,4.96,4.96,4.96,100,0
IH.US,5,20210922,161000,4.9638,4.9638,4.9638,4.9638,500,0
IH.US,5,20210922,161500,4.96,4.96,4.96,4.96,1000,0
IH.US,5,20210922,163500,5.01,5.01,5.01,5.01,100,0
IH.US,5,20210922,165000,5.01,5.01,5.01,5.01,3000,0
IH.US,5,20210922,171000,5.09,5.09,5.03,5.03,1600,0
IH.US,5,20210922,173500,5.01,5.01,4.98,4.98,900,0
IH.US,5,20210922,174000,4.96,4.96,4.96,4.96,100,0
IH.US,5,20210922,175500,4.98,4.98,4.95,4.95,2203,0
IH.US,5,20210922,181000,4.8,4.8,4.8,4.8,100,0
IH.US,5,20210922,185000,4.83,4.83,4.83,4.83,1300,0
IH.US,5,20210922,192500,4.8544,4.8544,4.8544,4.8544,1100,0
IH.US,5,20210922,193500,4.85,4.85,4.85,4.85,800,0
IH.US,5,20210922,195000,4.85,4.85,4.83,4.83,500,0
IH.US,5,20210922,200500,4.8,4.8,4.78,4.78,1100,0
IH.US,5,20210922,202000,4.83,4.84,4.83,4.83,2145,0
IH.US,5,20210922,202500,4.85,4.9,4.85,4.88,1200,0
IH.US,5,20210922,203000,4.92,4.94,4.88,4.88,4593,0
IH.US,5,20210922,204000,4.88,4.88,4.88,4.88,1137,0
IH.US,5,20210922,204500,4.98,5,4.98,5,2100,0
IH.US,5,20210922,210500,4.82,4.82,4.82,4.82,100,0
IH.US,5,20210922,211500,4.85,4.85,4.84,4.84,200,0
IH.US,5,20210922,212500,4.84,4.84,4.84,4.84,180,0
IH.US,5,20210922,214500,4.85,4.85,4.76,4.82,1888,0
IH.US,5,20210922,215500,4.9332,4.9332,4.74,4.74,1700,0
IH.US,5,20210923,153000,4.72,4.72,4.65,4.65,262,0
IH.US,5,20210923,154500,4.8599,4.8599,4.74,4.74,377,0
IH.US,5,20210923,155500,4.74,4.74,4.52,4.739,1344,0
IH.US,5,20210923,160000,4.6,4.6,4.57,4.6,950,0
IH.US,5,20210923,160500,4.6334,4.7336,4.6334,4.64,1150,0
IH.US,5,20210923,161000,4.66,4.7,4.66,4.66,3514,0
IH.US,5,20210923,162500,4.6727,4.6727,4.67,4.67,1100,0
IH.US,5,20210923,163500,4.67,4.705,4.67,4.705,300,0
IH.US,5,20210923,164500,4.67,4.67,4.67,4.67,500,0
IH.US,5,20210923,165500,4.67,4.67,4.67,4.67,100,0
IH.US,5,20210923,171500,4.68,4.68,4.68,4.68,794,0
IH.US,5,20210923,173500,4.61,4.61,4.61,4.61,100,0
IH.US,5,20210923,175500,4.66,4.66,4.66,4.66,100,0
IH.US,5,20210923,181500,4.69,4.69,4.68,4.68,953,0
IH.US,5,20210923,182000,4.69,4.81,4.68,4.81,17712,0
IH.US,5,20210923,182500,4.72,4.89,4.72,4.805,6400,0
IH.US,5,20210923,183500,4.88,4.88,4.88,4.88,100,0
IH.US,5,20210923,185000,4.88,4.88,4.77,4.77,4150,0
IH.US,5,20210923,185500,4.88,4.88,4.78,4.78,300,0
IH.US,5,20210923,190000,4.85,4.85,4.85,4.85,100,0
IH.US,5,20210923,192000,4.85,4.85,4.85,4.85,600,0
IH.US,5,20210923,192500,4.85,4.85,4.82,4.82,300,0
IH.US,5,20210923,193500,4.85,4.88,4.85,4.88,800,0
IH.US,5,20210923,194000,4.86,4.86,4.85,4.85,3236,0
IH.US,5,20210923,194500,4.77,4.77,4.77,4.77,200,0
IH.US,5,20210923,203500,4.83,4.86,4.77,4.77,3373,0
IH.US,5,20210923,205000,4.79,4.8799,4.79,4.835,4500,0
IH.US,5,20210923,205500,4.81,4.845,4.75,4.75,3836,0
IH.US,5,20210923,210000,4.78,4.78,4.75,4.75,500,0
IH.US,5,20210923,211500,4.76,4.76,4.69,4.69,700,0
IH.US,5,20210923,214000,4.715,4.715,4.715,4.715,100,0
IH.US,5,20210923,215000,4.715,4.715,4.715,4.715,300,0
IH.US,5,20210923,215500,4.75,4.75,4.68,4.71,1461,0
IH.US,5,20210924,153500,4.7399,4.7399,4.7368,4.7368,200,0
IH.US,5,20210924,154500,4.57,4.57,4.57,4.57,100,0
IH.US,5,20210924,160000,4.7474,4.7474,4.7474,4.7474,100,0
IH.US,5,20210924,161500,4.68,4.68,4.65,4.65,1646,0
IH.US,5,20210924,162000,4.59,4.59,4.59,4.59,100,0
IH.US,5,20210924,162500,4.57,4.57,4.57,4.57,1045,0
IH.US,5,20210924,163000,4.57,4.57,4.57,4.57,709,0
IH.US,5,20210924,170500,4.75,4.75,4.75,4.75,100,0
IH.US,5,20210924,171500,4.7678,4.7678,4.7678,4.7678,500,0
IH.US,5,20210924,172000,4.78,4.78,4.65,4.78,500,0
IH.US,5,20210924,173000,4.75,4.75,4.75,4.75,100,0
IH.US,5,20210924,181000,4.67,4.67,4.67,4.67,100,0
IH.US,5,20210924,184500,4.69,4.69,4.69,4.69,121,0
IH.US,5,20210924,191000,4.74,4.74,4.74,4.74,100,0
IH.US,5,20210924,195000,4.73,4.78,4.73,4.78,577,0
IH.US,5,20210924,195500,4.77,4.78,4.74,4.74,1410,0
IH.US,5,20210924,201000,4.76,4.76,4.76,4.76,200,0
IH.US,5,20210924,201500,4.76,4.76,4.76,4.76,100,0
IH.US,5,20210924,203000,4.805,4.805,4.805,4.805,400,0
IH.US,5,20210924,214000,4.84,4.84,4.79,4.79,2965,0
IH.US,5,20210924,215500,4.85,4.8852,4.85,4.86,1728,0
IH.US,5,20210927,153000,4.86,4.86,4.86,4.86,229,0
IH.US,5,20210927,154000,4.74,4.74,4.74,4.74,100,0
IH.US,5,20210927,173500,4.87,4.87,4.87,4.87,200,0
IH.US,5,20210927,174500,4.98,4.98,4.9752,4.9752,2000,0
IH.US,5,20210927,180000,4.88,4.88,4.88,4.88,100,0
IH.US,5,20210927,180500,4.88,4.88,4.88,4.88,600,0
IH.US,5,20210927,181000,4.88,4.88,4.88,4.88,100,0
IH.US,5,20210927,200500,4.97,4.97,4.97,4.97,100,0
IH.US,5,20210927,203000,4.99,5,4.99,5,1493,0
IH.US,5,20210927,203500,5.0988,5.0988,5.055,5.055,5240,0
IH.US,5,20210927,204000,5.06,5.06,5.055,5.055,432,0
IH.US,5,20210927,205000,5.02,5.02,5.02,5.02,100,0
IH.US,5,20210927,215000,5.05,5.0899,5.05,5.06,1842,0
IH.US,5,20210927,215500,5.03,5.09,5.03,5.07,1070,0
IH.US,5,20210928,153000,4.99,4.99,4.99,4.99,114,0
IH.US,5,20210928,154000,5,5.0001,4.81,4.81,3386,0
IH.US,5,20210928,155500,4.84,4.84,4.81,4.81,600,0
IH.US,5,20210928,161000,4.85,4.85,4.85,4.85,100,0
IH.US,5,20210928,161500,4.84,4.85,4.77,4.81,1450,0
IH.US,5,20210928,163000,4.67,4.67,4.65,4.65,400,0
IH.US,5,20210928,165000,4.66,4.66,4.66,4.66,100,0
IH.US,5,20210928,165500,4.75,4.77,4.69,4.69,600,0
IH.US,5,20210928,172000,4.73,4.7799,4.73,4.7799,300,0
IH.US,5,20210928,174500,4.67,4.68,4.67,4.67,600,0
IH.US,5,20210928,175000,4.67,4.67,4.67,4.67,835,0
IH.US,5,20210928,183000,4.7148,4.7148,4.7148,4.7148,200,0
IH.US,5,20210928,183500,4.705,4.7518,4.705,4.7518,300,0
IH.US,5,20210928,184000,4.66,4.66,4.66,4.66,100,0
IH.US,5,20210928,190000,4.68,4.68,4.68,4.68,100,0
IH.US,5,20210928,191500,4.7363,4.7363,4.69,4.69,700,0
IH.US,5,20210928,192000,4.64,4.64,4.64,4.64,100,0
IH.US,5,20210928,192500,4.76,4.76,4.76,4.76,200,0
IH.US,5,20210928,194000,4.66,4.66,4.66,4.66,100,0
IH.US,5,20210928,194500,4.7433,4.7433,4.705,4.705,2000,0
IH.US,5,20210928,195000,4.735,4.81,4.735,4.81,11132,0
IH.US,5,20210928,195500,4.88,4.88,4.88,4.88,100,0
IH.US,5,20210928,203000,4.89,4.89,4.89,4.89,400,0
IH.US,5,20210928,205500,4.915,4.915,4.89,4.89,300,0
IH.US,5,20210928,210500,4.92,4.93,4.845,4.845,800,0
IH.US,5,20210928,211500,4.83,4.83,4.83,4.83,100,0
IH.US,5,20210928,212500,4.86,4.86,4.86,4.86,100,0
IH.US,5,20210928,213500,4.81,4.81,4.81,4.81,100,0
IH.US,5,20210928,215500,4.81,4.93,4.81,4.85,1378,0
IH.US,5,20210929,153000,4.97,5.07,4.95,5.07,7527,0
IH.US,5,20210929,153500,5.07,5.08,5.07,5.07,2467,0
IH.US,5,20210929,154500,5.05,5.05,5.05,5.05,300,0
IH.US,5,20210929,155500,5.0521,5.0521,5.0521,5.0521,200,0
IH.US,5,20210929,160000,5.05,5.06,5.05,5.05,955,0
IH.US,5,20210929,161000,4.9125,4.9125,4.9125,4.9125,500,0
IH.US,5,20210929,161500,5.05,5.05,5.05,5.05,100,0
IH.US,5,20210929,163500,4.96,4.96,4.96,4.96,100,0
IH.US,5,20210929,164000,4.96,4.96,4.96,4.96,100,0
IH.US,5,20210929,164500,4.96,4.96,4.96,4.96,400,0
IH.US,5,20210929,165000,4.96,4.96,4.96,4.96,100,0
IH.US,5,20210929,165500,4.965,4.965,4.94,4.94,200,0
IH.US,5,20210929,170000,4.94,4.94,4.895,4.915,900,0
IH.US,5,20210929,171500,4.91,4.91,4.9,4.9,200,0
IH.US,5,20210929,172000,4.86,4.86,4.85,4.855,607,0
IH.US,5,20210929,173500,4.86,4.86,4.86,4.86,100,0
IH.US,5,20210929,180000,4.85,4.85,4.825,4.825,200,0
IH.US,5,20210929,183000,4.78,4.78,4.78,4.78,200,0
IH.US,5,20210929,184000,4.755,4.92,4.755,4.85,15835,0
IH.US,5,20210929,185000,4.75,4.75,4.5227,4.5227,14821,0
IH.US,5,20210929,185500,4.6,4.6,4.5201,4.5712,4412,0
IH.US,5,20210929,190000,4.55,4.6,4.55,4.6,1657,0
