<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMV.US,5,20210922,153000,1.73,1.74,1.7,1.7141,35356,0
IMV.US,5,20210922,153500,1.7124,1.7124,1.7,1.705,12200,0
IMV.US,5,20210922,154000,1.705,1.7099,1.69,1.6999,10728,0
IMV.US,5,20210922,154500,1.695,1.6989,1.685,1.685,6004,0
IMV.US,5,20210922,155000,1.6818,1.69,1.68,1.682,548,0
IMV.US,5,20210922,155500,1.68,1.689,1.68,1.689,200,0
IMV.US,5,20210922,160000,1.6816,1.6816,1.6816,1.6816,100,0
IMV.US,5,20210922,160500,1.6806,1.7,1.6806,1.69,5954,0
IMV.US,5,20210922,161000,1.69,1.69,1.68,1.68,700,0
IMV.US,5,20210922,161500,1.7,1.7,1.69,1.7,4253,0
IMV.US,5,20210922,162000,1.71,1.71,1.6924,1.6924,1050,0
IMV.US,5,20210922,162500,1.6941,1.7,1.6941,1.7,1000,0
IMV.US,5,20210922,163000,1.6985,1.6985,1.6985,1.6985,200,0
IMV.US,5,20210922,163500,1.695,1.7,1.695,1.7,495,0
IMV.US,5,20210922,164000,1.7,1.71,1.6997,1.7024,2600,0
IMV.US,5,20210922,164500,1.71,1.71,1.7,1.7,605,0
IMV.US,5,20210922,165000,1.6943,1.71,1.6943,1.709,3800,0
IMV.US,5,20210922,165500,1.7181,1.73,1.7181,1.725,14335,0
IMV.US,5,20210922,170000,1.73,1.74,1.73,1.73,15953,0
IMV.US,5,20210922,170500,1.73,1.7473,1.7297,1.7473,9389,0
IMV.US,5,20210922,171000,1.75,1.75,1.7329,1.7434,3425,0
IMV.US,5,20210922,171500,1.74,1.7427,1.73,1.73,5400,0
IMV.US,5,20210922,172000,1.75,1.75,1.73,1.7301,1311,0
IMV.US,5,20210922,172500,1.7356,1.75,1.73,1.74,5700,0
IMV.US,5,20210922,173000,1.7401,1.745,1.73,1.74,5750,0
IMV.US,5,20210922,173500,1.73,1.735,1.72,1.72,6795,0
IMV.US,5,20210922,174000,1.72,1.73,1.71,1.71,7300,0
IMV.US,5,20210922,174500,1.71,1.71,1.71,1.71,2589,0
IMV.US,5,20210922,175000,1.7,1.7,1.7,1.7,4625,0
IMV.US,5,20210922,175500,1.71,1.71,1.7,1.7,1784,0
IMV.US,5,20210922,180000,1.71,1.725,1.71,1.72,6237,0
IMV.US,5,20210922,181000,1.73,1.74,1.73,1.74,7438,0
IMV.US,5,20210922,182000,1.7403,1.7403,1.7403,1.7403,500,0
IMV.US,5,20210922,182500,1.74,1.7401,1.74,1.7401,780,0
IMV.US,5,20210922,183500,1.75,1.75,1.7482,1.75,1775,0
IMV.US,5,20210922,184000,1.75,1.75,1.7497,1.75,5500,0
IMV.US,5,20210922,184500,1.75,1.75,1.7463,1.7463,300,0
IMV.US,5,20210922,185000,1.7407,1.745,1.7407,1.745,3261,0
IMV.US,5,20210922,185500,1.75,1.755,1.7401,1.7413,11200,0
IMV.US,5,20210922,190000,1.747,1.7499,1.747,1.7499,500,0
IMV.US,5,20210922,190500,1.749,1.76,1.749,1.755,9176,0
IMV.US,5,20210922,191000,1.755,1.755,1.755,1.755,1000,0
IMV.US,5,20210922,191500,1.755,1.755,1.745,1.745,2800,0
IMV.US,5,20210922,192000,1.74,1.75,1.74,1.7401,9740,0
IMV.US,5,20210922,194000,1.745,1.745,1.745,1.745,1100,0
IMV.US,5,20210922,195500,1.74,1.74,1.73,1.74,4007,0
IMV.US,5,20210922,200000,1.73,1.74,1.73,1.74,4403,0
IMV.US,5,20210922,200500,1.7499,1.7499,1.7499,1.7499,2000,0
IMV.US,5,20210922,201000,1.7499,1.7499,1.7499,1.7499,100,0
