<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPVA-WS.US,5,20210922,160000,1.1299,1.13,1.1247,1.13,1729,0
IPVA-WS.US,5,20210922,160500,1.1299,1.14,1.1132,1.14,2000,0
IPVA-WS.US,5,20210922,174000,1.105,1.105,1.105,1.105,200,0
IPVA-WS.US,5,20210922,174500,1.105,1.105,1.105,1.105,100,0
IPVA-WS.US,5,20210922,194500,1.11,1.11,1.11,1.11,100,0
IPVA-WS.US,5,20210922,212500,1.1,1.1,1.1,1.1,200,0
IPVA-WS.US,5,20210924,165500,1.05,1.06,1.05,1.06,2000,0
IPVA-WS.US,5,20210927,160000,1.06,1.0602,1.06,1.0602,1300,0
IPVA-WS.US,5,20210927,170500,1.05,1.05,1.05,1.05,100,0
IPVA-WS.US,5,20210927,172000,0.99,0.99,0.99,0.99,250,0
IPVA-WS.US,5,20210927,212500,0.99,1.05,0.99,1.015,4067,0
IPVA-WS.US,5,20210928,153000,1.25,1.25,1.25,1.25,957,0
IPVA-WS.US,5,20210928,153500,1.2,1.2,1.17,1.17,300,0
IPVA-WS.US,5,20210928,154000,1.15,1.15,1.15,1.15,100,0
IPVA-WS.US,5,20210928,164000,1.1,1.1,1.1,1.1,100,0
IPVA-WS.US,5,20210928,165000,1.09,1.09,1.09,1.09,167,0
IPVA-WS.US,5,20210928,165500,1.08,1.08,1.08,1.08,749,0
IPVA-WS.US,5,20210928,170500,1.05,1.0501,0.92,0.92,5800,0
IPVA-WS.US,5,20210928,190000,0.99,0.99,0.99,0.99,933,0
IPVA-WS.US,5,20210929,174000,0.9202,0.9301,0.9202,0.9233,6400,0
IPVA-WS.US,5,20210929,191500,0.9301,0.9301,0.93,0.93,1232,0
IPVA-WS.US,5,20210929,213500,0.93,0.93,0.93,0.93,200,0
IPVA-WS.US,5,20210929,215500,0.93,0.93,0.93,0.93,300,0
IPVA-WS.US,5,20210930,161000,1.03,1.09,1.03,1.09,2000,0
IPVA-WS.US,5,20210930,162500,1.04,1.04,1.03,1.03,200,0
IPVA-WS.US,5,20210930,170000,1,1,1,1,1000,0
IPVA-WS.US,5,20210930,175000,0.97,0.97,0.97,0.97,100,0
IPVA-WS.US,5,20210930,181000,0.99,0.99,0.99,0.99,3000,0
IPVA-WS.US,5,20210930,194500,0.99,0.99,0.99,0.99,100,0
IPVA-WS.US,5,20210930,214500,0.98,0.99,0.98,0.9897,3000,0
IPVA-WS.US,5,20210930,215000,0.9862,0.9862,0.9862,0.9862,100,0
IPVA-WS.US,5,20210930,215500,0.9862,0.9862,0.9862,0.9862,100,0
IPVA-WS.US,5,20211001,155000,0.96,0.96,0.96,0.96,1100,0
IPVA-WS.US,5,20211001,162500,0.9501,0.95104,0.9501,0.95104,800,0
IPVA-WS.US,5,20211001,165000,0.95,0.95,0.95,0.95,200,0
IPVA-WS.US,5,20211001,165500,0.95,0.95,0.92,0.92,2000,0
IPVA-WS.US,5,20211001,173000,0.92,0.92,0.92,0.92,500,0
