<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRS-WS.US,5,20210922,153000,0.199,0.199,0.199,0.199,7000,0
IRS-WS.US,5,20210922,154000,0.1989,0.1989,0.1701,0.1701,2700,0
IRS-WS.US,5,20210922,155500,0.1869,0.1869,0.1801,0.1801,2500,0
IRS-WS.US,5,20210922,160500,0.187,0.187,0.187,0.187,100,0
IRS-WS.US,5,20210922,183500,0.1884,0.1884,0.1884,0.1884,5520,0
IRS-WS.US,5,20210922,215000,0.1988,0.1988,0.1988,0.1988,200,0
IRS-WS.US,5,20210923,153000,0.2,0.2,0.2,0.2,273000,0
IRS-WS.US,5,20210923,155500,0.19,0.19,0.19,0.19,200,0
IRS-WS.US,5,20210923,181000,0.19,0.19,0.19,0.19,600,0
IRS-WS.US,5,20210923,181500,0.19,0.2,0.19,0.2,2371,0
IRS-WS.US,5,20210924,153500,0.1901,0.1901,0.1901,0.1901,100,0
IRS-WS.US,5,20210924,154000,0.18,0.18,0.18,0.18,88000,0
IRS-WS.US,5,20210924,154500,0.18,0.18,0.18,0.18,582,0
IRS-WS.US,5,20210924,155000,0.1964,0.1964,0.1964,0.1964,200,0
IRS-WS.US,5,20210924,155500,0.1963,0.1963,0.1963,0.1963,300,0
IRS-WS.US,5,20210924,160500,0.1963,0.1963,0.1963,0.1963,900,0
IRS-WS.US,5,20210924,184500,0.19,0.19,0.19,0.19,100,0
IRS-WS.US,5,20210924,190500,0.1754,0.1754,0.1754,0.1754,1000,0
IRS-WS.US,5,20210924,191000,0.1754,0.1754,0.1754,0.1754,1200,0
IRS-WS.US,5,20210924,194500,0.18,0.18,0.1754,0.1754,3100,0
IRS-WS.US,5,20210924,195000,0.1753,0.1753,0.175,0.175,1900,0
IRS-WS.US,5,20210924,203000,0.175,0.18,0.1734,0.1799,3121,0
IRS-WS.US,5,20210924,210000,0.1718,0.1718,0.1718,0.1718,1800,0
IRS-WS.US,5,20210924,212500,0.1799,0.18,0.1799,0.18,1079,0
IRS-WS.US,5,20210924,215500,0.209,0.209,0.209,0.209,111,0
IRS-WS.US,5,20210927,164500,0.220101,0.220101,0.22,0.2201,2900,0
IRS-WS.US,5,20210927,181000,0.23,0.23,0.23,0.23,100,0
IRS-WS.US,5,20210927,211000,0.2249,0.2249,0.2159,0.2247,1650,0
IRS-WS.US,5,20210927,211500,0.224699,0.224699,0.224699,0.224699,450,0
IRS-WS.US,5,20210929,212000,0.2002,0.2002,0.2002,0.2002,100,0
IRS-WS.US,5,20210930,183000,0.24,0.24,0.24,0.24,361,0
IRS-WS.US,5,20210930,213000,0.229799,0.229799,0.229799,0.229799,361,0
IRS-WS.US,5,20211001,162000,0.2299,0.2299,0.2299,0.2299,1650,0
IRS-WS.US,5,20211001,184500,0.2208,0.2218,0.2208,0.2208,1100,0
IRS-WS.US,5,20211001,200000,0.2218,0.2218,0.2217,0.2217,1828,0
IRS-WS.US,5,20211001,201500,0.2242,0.2242,0.223848,0.223848,1928,0
IRS-WS.US,5,20211001,203500,0.2242,0.2242,0.2242,0.2242,100,0
IRS-WS.US,5,20211001,205500,0.2242,0.2242,0.2242,0.2242,1091,0
IRS-WS.US,5,20211001,210000,0.2242,0.2298,0.2242,0.2298,10300,0
IRS-WS.US,5,20211001,211000,0.2299,0.2474,0.2299,0.2474,9850,0
IRS-WS.US,5,20211001,212500,0.2401,0.2401,0.2101,0.2101,10000,0
IRS-WS.US,5,20211001,213000,0.24,0.24,0.24,0.24,200,0
IRS-WS.US,5,20211001,215500,0.24,0.2653,0.225,0.2653,311,0
IRS-WS.US,5,20211004,173000,0.22,0.22,0.2105,0.2105,3200,0
IRS-WS.US,5,20211004,183000,0.2346,0.25,0.2346,0.25,10000,0
IRS-WS.US,5,20211004,184000,0.2252,0.25,0.2252,0.25,24500,0
IRS-WS.US,5,20211004,184500,0.25,0.25,0.25,0.25,2000,0
IRS-WS.US,5,20211004,203500,0.2588,0.2588,0.2588,0.2588,100,0
IRS-WS.US,5,20211005,163500,0.2589,0.259,0.2589,0.259,1200,0
IRS-WS.US,5,20211005,165000,0.2699,0.27,0.2651,0.27,10380,0
IRS-WS.US,5,20211005,170500,0.277,0.2976,0.277,0.2976,300,0
IRS-WS.US,5,20211005,173500,0.2976,0.3184,0.2946,0.3183,5239,0
IRS-WS.US,5,20211005,174000,0.3154,0.3155,0.3154,0.3155,1000,0
IRS-WS.US,5,20211005,180500,0.2884,0.2884,0.2701,0.2701,1700,0
IRS-WS.US,5,20211005,185000,0.2791,0.2791,0.2791,0.2791,100,0
IRS-WS.US,5,20211006,153500,0.3699,0.3699,0.3699,0.3699,100,0
IRS-WS.US,5,20211006,154000,0.3099,0.3099,0.3099,0.3099,100,0
IRS-WS.US,5,20211006,165500,0.2998,0.2999,0.2998,0.2999,2500,0
IRS-WS.US,5,20211008,153000,0.3,0.3,0.3,0.3,125,0
IRS-WS.US,5,20211008,205500,0.270001,0.270001,0.270001,0.270001,100,0
IRS-WS.US,5,20211008,215500,0.33,0.33,0.33,0.33,111,0
IRS-WS.US,5,20211011,153000,0.2999,0.2999,0.2999,0.2999,200,0
IRS-WS.US,5,20211011,163000,0.284,0.284,0.2837,0.284,10000,0
IRS-WS.US,5,20211011,171000,0.2544,0.2544,0.2544,0.2544,100,0
IRS-WS.US,5,20211011,215500,0.2968,0.2968,0.2968,0.2968,111,0
IRS-WS.US,5,20211013,203500,0.2206,0.2434,0.2206,0.2429,3100,0
IRS-WS.US,5,20211013,204000,0.2286,0.25,0.22,0.22,2812,0
IRS-WS.US,5,20211013,204500,0.2203,0.2203,0.2199,0.2199,1700,0
IRS-WS.US,5,20211013,205000,0.22,0.22,0.219885,0.22,3700,0
IRS-WS.US,5,20211013,212500,0.22,0.22,0.219778,0.219778,1800,0
IRS-WS.US,5,20211013,213000,0.2277,0.2277,0.2199,0.22,2180,0
IRS-WS.US,5,20211013,214000,0.22,0.22,0.22,0.22,1300,0
IRS-WS.US,5,20211013,214500,0.22,0.2216,0.22,0.22,2950,0
IRS-WS.US,5,20211013,215500,0.264,0.264,0.264,0.264,111,0
IRS-WS.US,5,20211015,153000,0.2442,0.2442,0.2442,0.2442,132,0
IRS-WS.US,5,20211015,161000,0.22,0.2303,0.22,0.2203,1492,0
IRS-WS.US,5,20211015,161500,0.2201,0.2201,0.2201,0.2201,1100,0
