<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVH.US,5,20210922,153000,13.85,13.92,13.85,13.885,3683,0
IVH.US,5,20210922,154000,13.86,13.86,13.85,13.85,220,0
IVH.US,5,20210922,154500,13.88,13.88,13.88,13.88,200,0
IVH.US,5,20210922,161500,13.88,13.88,13.88,13.88,200,0
IVH.US,5,20210922,174000,13.9,13.9,13.89,13.89,1318,0
IVH.US,5,20210922,175000,13.89,13.89,13.89,13.89,1096,0
IVH.US,5,20210922,181500,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,182500,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,183000,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,183500,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,184500,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,185000,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,190000,13.89,13.89,13.89,13.89,400,0
IVH.US,5,20210922,190500,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,191000,13.89,13.89,13.89,13.89,500,0
IVH.US,5,20210922,191500,13.88,13.88,13.88,13.88,100,0
IVH.US,5,20210922,192000,13.88,13.88,13.88,13.88,100,0
IVH.US,5,20210922,192500,13.89,13.895,13.89,13.895,1200,0
IVH.US,5,20210922,193000,13.89,13.8901,13.89,13.8901,1400,0
IVH.US,5,20210922,194500,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,195000,13.89,13.89,13.89,13.89,388,0
IVH.US,5,20210922,195500,13.8994,13.8994,13.8994,13.8994,1020,0
IVH.US,5,20210922,200500,13.89,13.89,13.89,13.89,300,0
IVH.US,5,20210922,201000,13.9,13.9,13.895,13.895,2400,0
IVH.US,5,20210922,201500,13.8991,13.8991,13.8991,13.8991,600,0
IVH.US,5,20210922,202000,13.8941,13.8941,13.89,13.89,1300,0
IVH.US,5,20210922,202500,13.9,14.03,13.9,13.96,3596,0
IVH.US,5,20210922,203000,14.03,14.03,13.8901,13.8901,2845,0
IVH.US,5,20210922,203500,13.9,13.9,13.9,13.9,100,0
IVH.US,5,20210922,204000,13.9248,13.9248,13.9248,13.9248,302,0
IVH.US,5,20210922,204500,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,205000,13.9,13.9,13.9,13.9,100,0
IVH.US,5,20210922,205500,13.9,13.9,13.9,13.9,100,0
IVH.US,5,20210922,210000,13.8901,13.9,13.8901,13.9,400,0
IVH.US,5,20210922,210500,13.9,13.9,13.9,13.9,100,0
IVH.US,5,20210922,211000,13.9,13.9,13.9,13.9,100,0
IVH.US,5,20210922,211500,13.9,13.94,13.89,13.89,4809,0
IVH.US,5,20210922,212000,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,212500,13.89,13.9,13.89,13.89,559,0
IVH.US,5,20210922,213000,13.9,13.9,13.89,13.89,1532,0
IVH.US,5,20210922,213500,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,214000,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,214500,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,215000,13.89,13.89,13.89,13.89,100,0
IVH.US,5,20210922,215500,13.89,13.91,13.89,13.91,1002,0
IVH.US,5,20210923,153000,13.92,13.92,13.92,13.92,1702,0
IVH.US,5,20210923,154000,13.9,13.9,13.89,13.89,2750,0
IVH.US,5,20210923,154500,13.9,13.95,13.9,13.95,700,0
IVH.US,5,20210923,155000,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,155500,13.92,13.935,13.92,13.935,300,0
IVH.US,5,20210923,160500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,161000,13.92,13.92,13.92,13.92,200,0
IVH.US,5,20210923,161500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,162000,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,162500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,163000,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,163500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,164000,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,164500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,165000,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,165500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,170000,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,170500,13.92,13.92,13.92,13.92,557,0
IVH.US,5,20210923,171000,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,171500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,172000,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,172500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,173000,13.93,13.9471,13.92,13.9471,1325,0
IVH.US,5,20210923,173500,13.95,13.96,13.9497,13.96,2098,0
IVH.US,5,20210923,174500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,175000,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,180000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,180500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,181000,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210923,181500,13.935,13.95,13.935,13.94,1779,0
IVH.US,5,20210923,182000,13.94,13.94,13.94,13.94,109,0
IVH.US,5,20210923,183000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,184000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,184500,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,185000,13.938,13.938,13.938,13.938,235,0
IVH.US,5,20210923,185500,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,190000,13.93,13.935,13.93,13.93,921,0
IVH.US,5,20210923,191000,13.93,13.93,13.93,13.93,500,0
IVH.US,5,20210923,191500,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,192500,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,193000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,194000,13.93,13.9373,13.93,13.9373,700,0
IVH.US,5,20210923,194500,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,195000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,200000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,200500,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,201000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,202000,13.93,13.936,13.93,13.936,382,0
IVH.US,5,20210923,202500,13.93,13.93,13.93,13.93,281,0
IVH.US,5,20210923,203000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,204000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,205000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,205500,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,210000,13.93,13.93,13.93,13.93,600,0
IVH.US,5,20210923,210500,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,211000,13.93,13.93,13.93,13.93,200,0
IVH.US,5,20210923,211500,13.93,13.93,13.93,13.93,700,0
IVH.US,5,20210923,212000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,212500,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210923,213000,13.93,13.9351,13.93,13.93,1500,0
IVH.US,5,20210923,213500,13.93,13.93,13.93,13.93,400,0
IVH.US,5,20210923,214000,13.93,13.93,13.93,13.93,200,0
IVH.US,5,20210923,214500,13.93,13.93,13.93,13.93,900,0
IVH.US,5,20210923,215000,13.93,13.93,13.93,13.93,1100,0
IVH.US,5,20210923,215500,13.93,13.93,13.93,13.93,1700,0
IVH.US,5,20210924,153000,13.95,13.95,13.95,13.95,989,0
IVH.US,5,20210924,163500,13.935,13.935,13.935,13.935,2500,0
IVH.US,5,20210924,164500,13.945,13.945,13.945,13.945,200,0
IVH.US,5,20210924,165000,13.93,13.94,13.93,13.94,604,0
IVH.US,5,20210924,170000,13.93,13.93,13.93,13.93,500,0
IVH.US,5,20210924,172000,13.9399,13.9399,13.935,13.935,365,0
IVH.US,5,20210924,173000,13.935,13.935,13.935,13.935,100,0
IVH.US,5,20210924,174000,13.94,13.94,13.94,13.94,100,0
IVH.US,5,20210924,175500,13.9272,13.9272,13.9272,13.9272,1371,0
IVH.US,5,20210924,180000,13.94,13.94,13.9365,13.9365,550,0
IVH.US,5,20210924,183500,13.94,13.94,13.94,13.94,225,0
IVH.US,5,20210924,185500,13.95,13.95,13.95,13.95,130,0
IVH.US,5,20210924,205000,13.92,13.92,13.92,13.92,200,0
IVH.US,5,20210924,205500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210924,210000,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210924,210500,13.92,13.92,13.92,13.92,100,0
IVH.US,5,20210924,211000,13.93,13.93,13.9201,13.9201,425,0
IVH.US,5,20210924,211500,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210924,212000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210924,212500,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210924,213000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210924,213500,13.92,13.92,13.92,13.92,200,0
IVH.US,5,20210924,214000,13.93,13.93,13.93,13.93,100,0
IVH.US,5,20210924,214500,13.9337,13.9337,13.93,13.93,272,0
IVH.US,5,20210924,215500,13.93,13.93,13.92,13.93,697,0
IVH.US,5,20210927,153000,13.95,13.95,13.95,13.95,1529,0
IVH.US,5,20210927,153500,13.94,13.95,13.94,13.95,666,0
IVH.US,5,20210927,155000,13.8836,13.8836,13.8836,13.8836,953,0
IVH.US,5,20210927,171500,13.95,13.95,13.95,13.95,100,0
IVH.US,5,20210927,173500,13.9413,13.9413,13.86,13.9102,3135,0
IVH.US,5,20210927,174000,13.9,13.9,13.9,13.9,100,0
IVH.US,5,20210927,174500,13.9346,13.9346,13.9346,13.9346,1150,0
IVH.US,5,20210927,180000,13.9,13.9,13.9,13.9,100,0
IVH.US,5,20210927,183000,13.905,13.905,13.905,13.905,125,0
IVH.US,5,20210927,194000,13.9,13.93,13.87,13.93,1000,0
IVH.US,5,20210927,195500,13.905,13.94,13.905,13.94,971,0
IVH.US,5,20210927,201000,13.94,13.94,13.94,13.94,109,0
IVH.US,5,20210927,203500,13.9199,13.94,13.91,13.91,3444,0
IVH.US,5,20210927,204500,13.9,13.9,13.9,13.9,100,0
IVH.US,5,20210927,205000,13.9,13.915,13.9,13.9,400,0
IVH.US,5,20210927,205500,13.9,13.92,13.9,13.92,300,0
IVH.US,5,20210927,210000,13.9,13.9,13.9,13.9,200,0
IVH.US,5,20210927,214000,13.9,13.92,13.9,13.92,300,0
IVH.US,5,20210927,214500,13.9,13.92,13.9,13.9,1000,0
IVH.US,5,20210927,215000,13.9,13.9,13.89,13.9,2000,0
IVH.US,5,20210927,215500,13.89,13.9,13.89,13.89,1500,0
IVH.US,5,20210928,153000,13.87,13.87,13.87,13.87,773,0
IVH.US,5,20210928,153500,13.837,13.837,13.837,13.837,340,0
IVH.US,5,20210928,155000,13.8118,13.82,13.81,13.81,531,0
IVH.US,5,20210928,160000,13.85,13.85,13.82,13.82,816,0
IVH.US,5,20210928,161000,13.79,13.8,13.79,13.8,400,0
IVH.US,5,20210928,162500,13.79,13.79,13.79,13.79,100,0
IVH.US,5,20210928,164500,13.81,13.81,13.8,13.8,200,0
IVH.US,5,20210928,165000,13.8,13.8,13.79,13.79,387,0
IVH.US,5,20210928,170000,13.79,13.79,13.77,13.77,1629,0
IVH.US,5,20210928,174000,13.7954,13.7954,13.77,13.77,1395,0
IVH.US,5,20210928,174500,13.74,13.74,13.73,13.73,500,0
IVH.US,5,20210928,175000,13.73,13.73,13.73,13.73,100,0
IVH.US,5,20210928,181500,13.79,13.79,13.765,13.765,475,0
IVH.US,5,20210928,183000,13.8,13.8,13.8,13.8,1930,0
IVH.US,5,20210928,183500,13.8,13.8,13.76,13.76,907,0
IVH.US,5,20210928,192000,13.77,13.77,13.77,13.77,100,0
IVH.US,5,20210928,194000,13.755,13.755,13.755,13.755,390,0
IVH.US,5,20210928,195500,13.75,13.7509,13.74,13.7509,1256,0
IVH.US,5,20210928,200000,13.77,13.77,13.77,13.77,100,0
IVH.US,5,20210928,201500,13.74,13.74,13.73,13.73,600,0
IVH.US,5,20210928,202500,13.75,13.75,13.68,13.68,2347,0
IVH.US,5,20210928,205000,13.73,13.73,13.73,13.73,364,0
IVH.US,5,20210928,210000,13.73,13.73,13.73,13.73,100,0
IVH.US,5,20210928,210500,13.735,13.735,13.735,13.735,425,0
IVH.US,5,20210928,214500,13.73,13.73,13.72,13.72,4800,0
IVH.US,5,20210928,215000,13.72,13.72,13.7,13.7,2314,0
IVH.US,5,20210928,215500,13.71,13.71,13.7,13.7,648,0
IVH.US,5,20210929,153000,13.71,13.71,13.7,13.71,6457,0
IVH.US,5,20210929,153500,13.715,13.78,13.715,13.78,1400,0
IVH.US,5,20210929,154000,13.74,13.78,13.74,13.75,1100,0
IVH.US,5,20210929,154500,13.75,13.76,13.74,13.76,681,0
IVH.US,5,20210929,155000,13.7501,13.76,13.75,13.75,1100,0
IVH.US,5,20210929,155500,13.78,13.78,13.75,13.75,1178,0
IVH.US,5,20210929,160000,13.75,13.75,13.75,13.75,300,0
IVH.US,5,20210929,163500,13.77,13.77,13.77,13.77,400,0
IVH.US,5,20210929,164500,13.7671,13.7671,13.7671,13.7671,325,0
IVH.US,5,20210929,165000,13.7713,13.7713,13.7713,13.7713,300,0
IVH.US,5,20210929,170000,13.78,13.78,13.78,13.78,500,0
IVH.US,5,20210929,172500,13.77,13.77,13.77,13.77,900,0
IVH.US,5,20210929,173500,13.7708,13.7708,13.7708,13.7708,100,0
IVH.US,5,20210929,175000,13.76,13.76,13.76,13.76,650,0
IVH.US,5,20210929,175500,13.77,13.77,13.77,13.77,100,0
IVH.US,5,20210929,180000,13.78,13.78,13.78,13.78,700,0
IVH.US,5,20210929,181500,13.78,13.94,13.7799,13.94,8118,0
IVH.US,5,20210929,192000,13.7994,13.7994,13.7994,13.7994,350,0
IVH.US,5,20210929,192500,13.82,13.82,13.82,13.82,3415,0
IVH.US,5,20210929,193500,13.79,13.79,13.79,13.79,1100,0
IVH.US,5,20210929,195500,13.81,13.82,13.81,13.82,1000,0
IVH.US,5,20210929,201500,13.7846,13.7846,13.7846,13.7846,1274,0
IVH.US,5,20210929,202500,13.78,13.78,13.78,13.78,100,0
IVH.US,5,20210929,205500,13.7893,13.7893,13.7893,13.7893,500,0
IVH.US,5,20210929,211500,13.82,13.82,13.82,13.82,600,0
IVH.US,5,20210929,214500,13.8,13.8,13.8,13.8,300,0
IVH.US,5,20210929,215000,13.7701,13.8,13.7701,13.8,1550,0
IVH.US,5,20210929,215500,13.78,13.81,13.78,13.81,1705,0
IVH.US,5,20210930,153000,13.89,13.89,13.83,13.8369,8065,0
IVH.US,5,20210930,153500,13.84,13.87,13.84,13.87,600,0
IVH.US,5,20210930,154000,13.845,13.845,13.845,13.845,100,0
IVH.US,5,20210930,155500,13.85,13.86,13.85,13.85,3400,0
IVH.US,5,20210930,160000,13.85,13.8501,13.82,13.8201,3300,0
IVH.US,5,20210930,164500,13.86,13.86,13.86,13.86,100,0
IVH.US,5,20210930,170500,13.86,13.86,13.86,13.86,100,0
IVH.US,5,20210930,171000,13.8557,13.86,13.8557,13.86,427,0
IVH.US,5,20210930,173500,13.86,13.86,13.86,13.86,100,0
IVH.US,5,20210930,174500,13.845,13.845,13.845,13.845,100,0
IVH.US,5,20210930,181500,13.84,13.84,13.84,13.84,100,0
IVH.US,5,20210930,182500,13.84,13.84,13.83,13.83,570,0
IVH.US,5,20210930,183000,13.83,13.83,13.83,13.83,600,0
IVH.US,5,20210930,185500,13.83,13.83,13.83,13.83,670,0
IVH.US,5,20210930,190500,13.8206,13.8206,13.8206,13.8206,100,0
IVH.US,5,20210930,191500,13.8257,13.8257,13.8257,13.8257,100,0
IVH.US,5,20210930,192000,13.82,13.8201,13.82,13.8201,3170,0
IVH.US,5,20210930,192500,13.825,13.825,13.825,13.825,1000,0
IVH.US,5,20210930,194000,13.825,13.83,13.825,13.83,1200,0
IVH.US,5,20210930,195000,13.84,13.84,13.84,13.84,1000,0
IVH.US,5,20210930,200000,13.85,13.85,13.85,13.85,100,0
IVH.US,5,20210930,200500,13.8501,13.8501,13.85,13.85,450,0
IVH.US,5,20210930,201500,13.853,13.855,13.853,13.855,7600,0
IVH.US,5,20210930,205000,13.855,13.86,13.855,13.86,600,0
IVH.US,5,20210930,210000,13.865,13.8695,13.865,13.8695,200,0
IVH.US,5,20210930,210500,13.865,13.865,13.86,13.86,2800,0
IVH.US,5,20210930,212000,13.865,13.865,13.865,13.865,328,0
IVH.US,5,20210930,212500,13.87,13.87,13.85,13.865,799,0
IVH.US,5,20210930,214500,13.86,13.86,13.85,13.85,2956,0
IVH.US,5,20210930,215000,13.85,13.85,13.72,13.76,2100,0
IVH.US,5,20210930,215500,13.805,13.83,13.67,13.67,14637,0
IVH.US,5,20211001,153000,13.73,13.7469,13.73,13.7469,5811,0
IVH.US,5,20211001,153500,13.7388,13.7388,13.73,13.73,1000,0
IVH.US,5,20211001,154000,13.76,13.77,13.76,13.77,1900,0
IVH.US,5,20211001,154500,13.76,13.77,13.76,13.77,2759,0
IVH.US,5,20211001,155000,13.76,13.78,13.74,13.7531,6510,0
IVH.US,5,20211001,155500,13.78,13.78,13.74,13.74,1444,0
IVH.US,5,20211001,160000,13.765,13.765,13.73,13.755,3105,0
IVH.US,5,20211001,160500,13.78,13.78,13.755,13.755,2000,0
IVH.US,5,20211001,161000,13.755,13.755,13.755,13.755,1300,0
IVH.US,5,20211001,161500,13.75,13.75,13.75,13.75,1390,0
IVH.US,5,20211001,163000,13.745,13.745,13.7307,13.745,900,0
IVH.US,5,20211001,163500,13.73,13.73,13.73,13.73,1090,0
IVH.US,5,20211001,170000,13.735,13.735,13.7201,13.7201,1000,0
IVH.US,5,20211001,174000,13.74,13.74,13.74,13.74,1700,0
IVH.US,5,20211001,180000,13.75,13.75,13.7468,13.7468,500,0
IVH.US,5,20211001,183500,13.75,13.75,13.75,13.75,525,0
IVH.US,5,20211001,191000,13.74,13.74,13.74,13.74,200,0
IVH.US,5,20211001,191500,13.74,13.74,13.74,13.74,1200,0
IVH.US,5,20211001,192000,13.74,13.74,13.72,13.72,9285,0
IVH.US,5,20211001,193500,13.75,13.75,13.74,13.75,1800,0
IVH.US,5,20211001,194000,13.75,13.75,13.75,13.75,2300,0
IVH.US,5,20211001,194500,13.75,13.75,13.75,13.75,200,0
IVH.US,5,20211001,200500,13.75,13.75,13.75,13.75,2057,0
IVH.US,5,20211001,201000,13.75,13.75,13.75,13.75,300,0
IVH.US,5,20211001,201500,13.75,13.75,13.75,13.75,2728,0
IVH.US,5,20211001,203000,13.75,13.75,13.75,13.75,1500,0
IVH.US,5,20211001,203500,13.75,13.75,13.75,13.75,279,0
IVH.US,5,20211001,204000,13.75,13.7502,13.75,13.75,3000,0
IVH.US,5,20211001,204500,13.7534,13.7534,13.7534,13.7534,337,0
IVH.US,5,20211001,205000,13.7575,13.76,13.755,13.76,1860,0
IVH.US,5,20211001,210000,13.75,13.75,13.75,13.75,500,0
IVH.US,5,20211001,215500,13.75,13.76,13.74,13.75,1450,0
IVH.US,5,20211004,153000,13.69,13.735,13.69,13.735,2140,0
IVH.US,5,20211004,153500,13.72,13.735,13.72,13.735,504,0
IVH.US,5,20211004,154000,13.735,13.74,13.73,13.74,1300,0
IVH.US,5,20211004,154500,13.7393,13.7419,13.73,13.7419,300,0
IVH.US,5,20211004,155000,13.73,13.73,13.73,13.73,100,0
IVH.US,5,20211004,155500,13.73,13.73,13.73,13.73,200,0
IVH.US,5,20211004,160000,13.73,13.73,13.73,13.73,200,0
IVH.US,5,20211004,160500,13.73,13.73,13.73,13.73,100,0
IVH.US,5,20211004,161000,13.73,13.74,13.73,13.74,300,0
IVH.US,5,20211004,162500,13.74,13.74,13.74,13.74,200,0
IVH.US,5,20211004,165000,13.735,13.735,13.735,13.735,200,0
IVH.US,5,20211004,171000,13.72,13.7324,13.7,13.7,2250,0
IVH.US,5,20211004,171500,13.73,13.73,13.73,13.73,700,0
IVH.US,5,20211004,173000,13.75,13.75,13.7226,13.7226,503,0
IVH.US,5,20211004,174500,13.7436,13.7436,13.7436,13.7436,500,0
IVH.US,5,20211004,180000,13.7231,13.7231,13.7231,13.7231,108,0
IVH.US,5,20211004,181000,13.71,13.71,13.71,13.71,900,0
IVH.US,5,20211004,183500,13.7275,13.7275,13.7275,13.7275,1850,0
IVH.US,5,20211004,184000,13.72,13.74,13.71,13.74,749,0
IVH.US,5,20211004,185500,13.74,13.74,13.725,13.74,2316,0
IVH.US,5,20211004,201500,13.721,13.7234,13.72,13.7234,2506,0
IVH.US,5,20211004,202500,13.735,13.735,13.735,13.735,200,0
IVH.US,5,20211004,203500,13.729,13.729,13.729,13.729,112,0
