<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JOBY-WS.US,5,20210922,153000,1.85,1.95,1.85,1.95,575,0
JOBY-WS.US,5,20210922,154500,2.01,2.01,2.01,2.01,286,0
JOBY-WS.US,5,20210922,155000,2.01,2.015,1.98,2.015,2584,0
JOBY-WS.US,5,20210922,155500,2.04,2.04,2.01,2.04,4400,0
JOBY-WS.US,5,20210922,160000,2.05,2.08,2.03,2.03,5081,0
JOBY-WS.US,5,20210922,161500,2,2.0327,2,2.0327,990,0
JOBY-WS.US,5,20210922,162500,2.0101,2.0101,2.0101,2.0101,343,0
JOBY-WS.US,5,20210922,163500,2.08,2.1,2.08,2.1,5400,0
JOBY-WS.US,5,20210922,165000,2.08,2.08,2.08,2.08,1000,0
JOBY-WS.US,5,20210922,165500,2.085,2.085,2.085,2.085,400,0
JOBY-WS.US,5,20210922,170500,2,2,2,2,200,0
JOBY-WS.US,5,20210922,171000,2.05,2.0506,2.05,2.0506,700,0
JOBY-WS.US,5,20210922,172000,2.01,2.01,2.01,2.01,350,0
JOBY-WS.US,5,20210922,173000,2.0201,2.0201,2.0201,2.0201,758,0
JOBY-WS.US,5,20210922,174000,2.02,2.02,2.02,2.02,100,0
JOBY-WS.US,5,20210922,180500,2,2,1.97,1.97,988,0
JOBY-WS.US,5,20210922,183500,1.9699,1.9699,1.9699,1.9699,761,0
JOBY-WS.US,5,20210922,191500,1.99,1.99,1.94,1.94,3313,0
JOBY-WS.US,5,20210922,195500,2,2.01,2,2.01,1009,0
JOBY-WS.US,5,20210922,200500,1.99,1.99,1.99,1.99,200,0
JOBY-WS.US,5,20210922,204000,1.99,2.01,1.99,2.01,3300,0
JOBY-WS.US,5,20210922,204500,1.99,1.99,1.99,1.99,2000,0
JOBY-WS.US,5,20210922,211000,1.99,1.99,1.99,1.99,1975,0
JOBY-WS.US,5,20210922,212500,2.01,2.01,1.99,1.99,2153,0
JOBY-WS.US,5,20210922,213000,2.01,2.01,1.96,1.96,4900,0
JOBY-WS.US,5,20210922,214500,2.01,2.02,2.01,2.02,746,0
JOBY-WS.US,5,20210922,215500,2,2,2,2,100,0
JOBY-WS.US,5,20210923,153000,2.6,2.6,2.37,2.37,14178,0
JOBY-WS.US,5,20210923,153500,2.38,2.51,2.38,2.4907,6104,0
JOBY-WS.US,5,20210923,154000,2.535,2.535,2.4,2.4142,2550,0
JOBY-WS.US,5,20210923,154500,2.47,2.54,2.37,2.4444,10627,0
JOBY-WS.US,5,20210923,155000,2.44,2.44,2.33,2.43,2543,0
JOBY-WS.US,5,20210923,155500,2.43,2.43,2.36,2.36,4600,0
