<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JRVR.US,5,20210922,153000,33.59,33.59,33.59,33.59,1696,0
JRVR.US,5,20210922,153500,34.01,34.01,34.01,34.01,100,0
JRVR.US,5,20210922,154000,33.3,33.3,33.3,33.3,100,0
JRVR.US,5,20210922,154500,33.64,33.64,33.52,33.52,200,0
JRVR.US,5,20210922,155000,33.52,33.52,33.52,33.52,100,0
JRVR.US,5,20210922,155500,33.44,33.44,33.44,33.44,100,0
JRVR.US,5,20210922,160000,33.55,33.56,33.55,33.56,300,0
JRVR.US,5,20210922,161000,33.53,33.53,33.52,33.52,309,0
JRVR.US,5,20210922,162500,33.54,33.55,33.54,33.55,400,0
JRVR.US,5,20210922,165000,33.66,33.66,33.66,33.66,100,0
JRVR.US,5,20210922,170000,33.69,33.7,33.69,33.7,300,0
JRVR.US,5,20210922,170500,33.71,33.74,33.71,33.74,300,0
JRVR.US,5,20210922,171000,33.8,33.8,33.8,33.8,100,0
JRVR.US,5,20210922,171500,33.86,33.86,33.86,33.86,118,0
JRVR.US,5,20210922,172000,33.86,33.86,33.86,33.86,100,0
JRVR.US,5,20210922,172500,33.8,33.84,33.8,33.8208,501,0
JRVR.US,5,20210922,175000,33.74,33.74,33.72,33.72,200,0
JRVR.US,5,20210922,180500,33.75,33.75,33.74,33.74,500,0
JRVR.US,5,20210922,181500,33.69,33.69,33.69,33.69,100,0
JRVR.US,5,20210922,182000,33.685,33.685,33.685,33.685,200,0
JRVR.US,5,20210922,183000,33.7,33.7193,33.7,33.7193,433,0
JRVR.US,5,20210922,184000,33.69,33.69,33.69,33.69,100,0
JRVR.US,5,20210922,185000,33.72,33.72,33.72,33.72,100,0
JRVR.US,5,20210922,190000,33.69,33.69,33.66,33.66,500,0
JRVR.US,5,20210922,190500,33.64,33.64,33.62,33.62,200,0
JRVR.US,5,20210922,191000,33.56,33.6,33.56,33.6,900,0
JRVR.US,5,20210922,193000,33.5703,33.63,33.5703,33.63,213,0
JRVR.US,5,20210922,193500,33.635,33.64,33.635,33.64,289,0
JRVR.US,5,20210922,194500,33.68,33.68,33.68,33.68,100,0
JRVR.US,5,20210922,195000,33.67,33.67,33.67,33.67,100,0
JRVR.US,5,20210922,200000,33.69,33.73,33.675,33.73,1000,0
JRVR.US,5,20210922,201500,33.85,33.93,33.84,33.84,800,0
JRVR.US,5,20210922,202000,33.88,33.88,33.79,33.79,200,0
JRVR.US,5,20210922,203500,33.82,33.82,33.82,33.82,100,0
JRVR.US,5,20210922,204500,33.73,33.73,33.66,33.66,300,0
JRVR.US,5,20210922,205000,33.62,33.7,33.6,33.69,900,0
JRVR.US,5,20210922,205500,33.71,33.72,33.6907,33.72,476,0
JRVR.US,5,20210922,210500,33.73,33.73,33.73,33.73,400,0
JRVR.US,5,20210922,211000,33.72,33.72,33.72,33.72,105,0
JRVR.US,5,20210922,211500,33.81,33.81,33.81,33.81,200,0
JRVR.US,5,20210922,212000,33.77,33.77,33.77,33.77,100,0
JRVR.US,5,20210922,212500,33.7693,33.82,33.7693,33.77,534,0
JRVR.US,5,20210922,213000,33.75,33.75,33.71,33.71,500,0
JRVR.US,5,20210922,213500,33.68,33.69,33.68,33.69,600,0
JRVR.US,5,20210922,214000,33.76,33.76,33.76,33.76,100,0
JRVR.US,5,20210922,214500,33.72,33.72,33.67,33.67,400,0
JRVR.US,5,20210922,215000,33.62,33.64,33.52,33.52,1900,0
JRVR.US,5,20210922,215500,33.53,33.58,33.48,33.51,35597,0
JRVR.US,5,20210923,153000,33.56,33.56,33.56,33.56,1601,0
JRVR.US,5,20210923,153500,33.99,33.99,33.99,33.99,100,0
JRVR.US,5,20210923,154500,33.56,33.8,33.56,33.8,200,0
JRVR.US,5,20210923,155500,33.82,33.82,33.7,33.7,200,0
JRVR.US,5,20210923,160500,33.675,33.68,33.675,33.68,200,0
JRVR.US,5,20210923,161000,33.67,33.68,33.67,33.67,400,0
JRVR.US,5,20210923,162000,33.66,33.66,33.61,33.61,300,0
JRVR.US,5,20210923,165000,33.63,33.64,33.63,33.64,208,0
JRVR.US,5,20210923,170000,33.62,33.62,33.62,33.62,100,0
JRVR.US,5,20210923,172000,33.66,33.73,33.66,33.73,1115,0
JRVR.US,5,20210923,173000,33.835,33.835,33.835,33.835,101,0
JRVR.US,5,20210923,173500,33.87,33.94,33.86,33.86,310,0
JRVR.US,5,20210923,174000,33.88,33.89,33.82,33.83,900,0
JRVR.US,5,20210923,174500,33.85,33.85,33.85,33.85,100,0
JRVR.US,5,20210923,175000,33.82,33.825,33.82,33.825,273,0
JRVR.US,5,20210923,175500,33.8192,33.93,33.8192,33.93,1461,0
JRVR.US,5,20210923,180000,33.885,33.94,33.8419,33.8419,1876,0
JRVR.US,5,20210923,180500,33.83,33.83,33.83,33.83,100,0
JRVR.US,5,20210923,181000,33.86,33.86,33.79,33.815,963,0
JRVR.US,5,20210923,182000,33.8275,33.89,33.8275,33.83,2800,0
JRVR.US,5,20210923,182500,33.86,33.86,33.83,33.83,227,0
JRVR.US,5,20210923,183000,33.87,33.87,33.87,33.87,200,0
JRVR.US,5,20210923,184000,33.85,33.85,33.85,33.85,200,0
JRVR.US,5,20210923,185000,33.87,33.87,33.86,33.86,528,0
JRVR.US,5,20210923,185500,33.81,33.81,33.81,33.81,100,0
JRVR.US,5,20210923,190500,33.84,33.85,33.8161,33.85,726,0
JRVR.US,5,20210923,191000,33.81,33.81,33.757,33.757,615,0
