<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRUS.US,5,20210922,153000,43.82,43.82,43.82,43.82,880,0
KRUS.US,5,20210922,153500,44.7331,44.7331,43.82,43.82,200,0
KRUS.US,5,20210922,155500,43.9,44.18,43.89,43.89,300,0
KRUS.US,5,20210922,160000,43.71,43.71,43.69,43.69,500,0
KRUS.US,5,20210922,162500,44.31,44.31,44.31,44.31,226,0
KRUS.US,5,20210922,163500,43.78,43.78,43.78,43.78,100,0
KRUS.US,5,20210922,164000,43.85,43.92,43.84,43.86,700,0
KRUS.US,5,20210922,164500,43.86,43.86,43.5,43.5,400,0
KRUS.US,5,20210922,170500,43.9556,43.9556,43.9556,43.9556,500,0
KRUS.US,5,20210922,171000,43.8,43.8,43.8,43.8,100,0
KRUS.US,5,20210922,171500,44.09,44.16,43.91,44.09,1500,0
KRUS.US,5,20210922,172000,44.01,44.01,43.9,43.9,300,0
KRUS.US,5,20210922,180000,43.9296,43.9296,43.78,43.78,327,0
KRUS.US,5,20210922,180500,43.976,43.976,43.976,43.976,500,0
KRUS.US,5,20210922,181000,43.67,43.67,43.66,43.66,300,0
KRUS.US,5,20210922,184000,43.725,43.725,43.725,43.725,100,0
KRUS.US,5,20210922,190500,43.53,43.53,43.39,43.39,700,0
KRUS.US,5,20210922,191000,43.14,43.14,42.87,42.87,1253,0
KRUS.US,5,20210922,192000,43.04,43.04,43.04,43.04,200,0
KRUS.US,5,20210922,193000,43.18,43.18,43.18,43.18,400,0
KRUS.US,5,20210922,193500,43.17,43.17,43.17,43.17,100,0
KRUS.US,5,20210922,200000,43.33,43.41,43.33,43.34,600,0
KRUS.US,5,20210922,201500,43.74,43.74,43.74,43.74,100,0
KRUS.US,5,20210922,204000,43.525,43.76,43.525,43.5884,1260,0
KRUS.US,5,20210922,204500,43.525,43.74,43.525,43.71,600,0
KRUS.US,5,20210922,205000,43.55,43.6,43.5,43.6,500,0
KRUS.US,5,20210922,210000,43.85,43.85,43.85,43.85,100,0
KRUS.US,5,20210922,210500,44.1,44.1,44.1,44.1,100,0
KRUS.US,5,20210922,211000,44.16,44.2,44.02,44.07,2040,0
KRUS.US,5,20210922,211500,44.11,44.375,44.04,44.09,1400,0
KRUS.US,5,20210922,212000,44.09,44.32,44.09,44.32,400,0
KRUS.US,5,20210922,212500,44,44,44,44,300,0
KRUS.US,5,20210922,213000,44.02,44.57,44.01,44.01,900,0
KRUS.US,5,20210922,213500,44.155,44.155,44.155,44.155,100,0
KRUS.US,5,20210922,214000,44.15,44.15,44.15,44.15,300,0
KRUS.US,5,20210922,214500,44.16,44.16,44.03,44.03,600,0
KRUS.US,5,20210922,215000,44.0686,44.18,44,44.03,3808,0
KRUS.US,5,20210922,215500,44.03,44.03,43.38,43.59,8843,0
KRUS.US,5,20210923,153000,44.09,44.2,44.09,44.2,334,0
KRUS.US,5,20210923,154000,44.26,44.4,44.26,44.4,200,0
KRUS.US,5,20210923,155000,45.0427,45.0427,44.01,44.18,312,0
KRUS.US,5,20210923,155500,44.96,44.96,44.755,44.755,200,0
KRUS.US,5,20210923,160500,44.91,44.91,44.9,44.9,300,0
KRUS.US,5,20210923,161500,44.99,45.1,44.82,44.82,850,0
KRUS.US,5,20210923,162000,45,45,45,45,288,0
KRUS.US,5,20210923,162500,44.9618,44.9618,44.9618,44.9618,113,0
KRUS.US,5,20210923,164000,44.92,44.92,44.92,44.92,100,0
KRUS.US,5,20210923,164500,44.9,44.9,44.8,44.8,400,0
KRUS.US,5,20210923,170000,44.79,44.79,44.79,44.79,100,0
KRUS.US,5,20210923,171000,44.75,44.97,44.54,44.97,1100,0
