<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAD.US,5,20210922,153000,327.77,330.02,326.07,330.02,7400,0
LAD.US,5,20210922,153500,329.86,331.31,329.64,331.155,3153,0
LAD.US,5,20210922,154000,331.23,331.235,330.005,330.07,3250,0
LAD.US,5,20210922,154500,330.075,330.65,328.91,330.65,8405,0
LAD.US,5,20210922,155000,331.05,331.6,330.5,330.5,4620,0
LAD.US,5,20210922,155500,330.99,334.07,330.76,334.05,16870,0
LAD.US,5,20210922,160000,333.43,333.47,331.57,331.57,4539,0
LAD.US,5,20210922,160500,331.845,332.18,330.75,332.18,3901,0
LAD.US,5,20210922,161000,332.18,332.36,331.16,332.33,2612,0
LAD.US,5,20210922,161500,332.4,332.54,331.5,332.54,2678,0
LAD.US,5,20210922,162000,332.51,332.97,331.68,332.97,3933,0
LAD.US,5,20210922,162500,332.69,332.69,331.09,331.16,1917,0
LAD.US,5,20210922,163000,331.35,331.99,331.255,331.99,2849,0
LAD.US,5,20210922,163500,332.49,333.62,331.98,333.62,2894,0
LAD.US,5,20210922,164000,333.69,334.99,333.69,334.745,3300,0
LAD.US,5,20210922,164500,334.37,335.03,334.37,334.97,2775,0
LAD.US,5,20210922,165000,334.77,334.93,334.4,334.9,1986,0
LAD.US,5,20210922,165500,334.51,334.88,334.51,334.88,1236,0
LAD.US,5,20210922,170000,334.42,334.42,333.385,333.385,1400,0
LAD.US,5,20210922,170500,333.42,333.66,333.11,333.11,1307,0
LAD.US,5,20210922,171000,333.1,334.52,333.1,334.52,1845,0
LAD.US,5,20210922,171500,334.95,335.98,334.765,335.98,800,0
LAD.US,5,20210922,172000,335.68,335.76,335.38,335.755,1400,0
LAD.US,5,20210922,172500,335.715,335.87,335.52,335.52,900,0
LAD.US,5,20210922,173000,335.49,336.73,335.49,336.73,4962,0
LAD.US,5,20210922,173500,336.95,337.93,336.21,336.505,3400,0
LAD.US,5,20210922,174000,336.48,337.28,336.06,337.28,1672,0
LAD.US,5,20210922,174500,337.43,337.63,337.2,337.2,900,0
LAD.US,5,20210922,175000,337.42,338.05,337.34,337.37,4246,0
LAD.US,5,20210922,175500,337.52,338.42,337.405,338.12,2000,0
LAD.US,5,20210922,180000,337.77,339.09,337.58,339.09,1800,0
LAD.US,5,20210922,180500,339.49,339.55,339,339.02,900,0
LAD.US,5,20210922,181000,339.03,339.03,338.44,338.515,1887,0
LAD.US,5,20210922,181500,338.6,338.98,338.6,338.83,900,0
LAD.US,5,20210922,182000,338.755,339.01,338.75,338.845,3815,0
LAD.US,5,20210922,182500,338.72,339.82,338.72,339.79,3489,0
LAD.US,5,20210922,183000,340.02,340.73,340.02,340.73,4510,0
LAD.US,5,20210922,183500,340.66,341.23,340.48,340.67,11768,0
LAD.US,5,20210922,184000,340.93,340.93,339.05,339.53,3970,0
LAD.US,5,20210922,184500,339.6,339.77,339.395,339.77,800,0
LAD.US,5,20210922,185000,339.77,340.65,339.76,340.365,2278,0
LAD.US,5,20210922,185500,340.37,340.85,339.98,340.695,4499,0
LAD.US,5,20210922,190000,340.41,340.6,338.89,338.89,4309,0
LAD.US,5,20210922,190500,338.9,338.9,337.98,338.6,2100,0
LAD.US,5,20210922,191000,338.58,339,338.58,338.735,3494,0
LAD.US,5,20210922,191500,338.41,338.52,337.31,338.215,5020,0
LAD.US,5,20210922,192000,337.99,339.33,337.99,339.012,4562,0
LAD.US,5,20210922,192500,340,340.44,339.75,339.94,8160,0
LAD.US,5,20210922,193000,340.17,341.478,339.879,341.315,5613,0
LAD.US,5,20210922,193500,341.54,342,341.27,341.38,20176,0
LAD.US,5,20210922,194000,341.32,341.57,341.2,341.375,11427,0
LAD.US,5,20210922,194500,341.29,341.85,341.29,341.655,2648,0
LAD.US,5,20210922,195000,341.663,343.45,341.55,343.115,11686,0
LAD.US,5,20210922,195500,343.07,343.075,340.21,341.055,8289,0
LAD.US,5,20210922,200000,341,341.97,340.15,341.21,7719,0
LAD.US,5,20210922,200500,341.715,342.06,341.11,341.22,4035,0
LAD.US,5,20210922,201000,341.525,343.28,341.21,343.28,3810,0
LAD.US,5,20210922,201500,343.9,343.9,342.93,342.93,3103,0
LAD.US,5,20210922,202000,343.04,343.39,342.25,342.82,4205,0
LAD.US,5,20210922,202500,342.97,343.38,342.73,342.78,3106,0
LAD.US,5,20210922,203000,343.15,343.88,342.73,343.57,4837,0
LAD.US,5,20210922,203500,343.59,343.87,343.07,343.325,3135,0
LAD.US,5,20210922,204000,343.225,343.225,340.87,340.87,4145,0
LAD.US,5,20210922,204500,340.87,341.495,340.45,340.85,3896,0
LAD.US,5,20210922,205000,340.32,341.18,340.05,341,3103,0
LAD.US,5,20210922,205500,341.317,341.317,340.57,341.235,4525,0
LAD.US,5,20210922,210000,340.88,341.13,340.59,340.84,1752,0
LAD.US,5,20210922,210500,341.015,341.015,340.2,340.2,3229,0
